Method,Dataset,Pruning_Power
isax,ASTRO,0.7747974444
sfa_equi-width_True,ASTRO,0.8165788848000001
sfa_equi-width_False,ASTRO,0.8195261194
sfa_equi-depth_True,ASTRO,0.8559317607
sfa_equi-depth_False,ASTRO,0.8580800812
isax,BIGANN,0.0902572474
sfa_equi-width_True,BIGANN,0.6851858265
sfa_equi-width_False,BIGANN,0.34254237590000003
sfa_equi-depth_True,BIGANN,0.7273606238
sfa_equi-depth_False,BIGANN,0.38435735870000004
isax,SALD,0.5117057797
sfa_equi-width_True,SALD,0.5218243611
sfa_equi-width_False,SALD,0.5220128653
sfa_equi-depth_True,SALD,0.5197723767
sfa_equi-depth_False,SALD,0.5199093964
isax,SIFT1B,0.14510337850000002
sfa_equi-width_True,SIFT1B,0.9521828503
sfa_equi-width_False,SIFT1B,0.243015867
sfa_equi-depth_True,SIFT1B,0.9622235130000001
sfa_equi-depth_False,SIFT1B,0.27033696160000004
isax,DEEP1B,0.7690891885000001
sfa_equi-width_True,DEEP1B,0.8641064836000001
sfa_equi-width_False,DEEP1B,0.7796845682
sfa_equi-depth_True,DEEP1B,0.8853106456000001
sfa_equi-depth_False,DEEP1B,0.8023001924000001
isax,SCEDC,0.9590171527
sfa_equi-width_True,SCEDC,0.9985819100000001
sfa_equi-width_False,SCEDC,0.8783091066000001
sfa_equi-depth_True,SCEDC,0.9995287017000001
sfa_equi-depth_False,SCEDC,0.9377938945000001
isax,ETHZ,0.6924090507630905
sfa_equi-width_True,ETHZ,0.6871209328446868
sfa_equi-width_False,ETHZ,0.6870633460615065
sfa_equi-depth_True,ETHZ,0.6882826846445113
sfa_equi-depth_False,ETHZ,0.6869822349583955
isax,ISC_EHB_DepthPhases,0.9932091654
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9923518773000001
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9907685367000001
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9966212372000001
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9943350849
isax,LenDB,0.7345325521900237
sfa_equi-width_True,LenDB,0.7403099167069663
sfa_equi-width_False,LenDB,0.7403111198047625
sfa_equi-depth_True,LenDB,0.5272862290957407
sfa_equi-depth_False,LenDB,0.5272862290957407
isax,Iquique,0.4090438505112697
sfa_equi-width_True,Iquique,0.41984693868736966
sfa_equi-width_False,Iquique,0.41986129466375743
sfa_equi-depth_True,Iquique,0.4101272689266532
sfa_equi-depth_False,Iquique,0.4100179665649137
isax,NEIC,0.8868209972916293
sfa_equi-width_True,NEIC,0.8864684410532816
sfa_equi-width_False,NEIC,0.8862746500638079
sfa_equi-depth_True,NEIC,0.8855460474103576
sfa_equi-depth_False,NEIC,0.8858847565216342
isax,OBS,0.8521831910334227
sfa_equi-width_True,OBS,0.8606301669878392
sfa_equi-width_False,OBS,0.8519308006799239
sfa_equi-depth_True,OBS,0.8499278460981556
sfa_equi-depth_False,OBS,0.839994197485633
isax,OBST2024,0.03253193890996917
sfa_equi-width_True,OBST2024,0.13424802765963686
sfa_equi-width_False,OBST2024,0.05378486719422655
sfa_equi-depth_True,OBST2024,0.08154896802767887
sfa_equi-depth_False,OBST2024,0.00837745770362903
isax,PNW,0.4258941349850729
sfa_equi-width_True,PNW,0.43760497481674976
sfa_equi-width_False,PNW,0.4287639192932844
sfa_equi-depth_True,PNW,0.41279747411465284
sfa_equi-depth_False,PNW,0.4020963915378676
isax,Meier2019JGR,0.7257215469102631
sfa_equi-width_True,Meier2019JGR,0.81199337063608
sfa_equi-width_False,Meier2019JGR,0.816948004384786
sfa_equi-depth_True,Meier2019JGR,0.41675621715064987
sfa_equi-depth_False,Meier2019JGR,0.4243334279576951
isax,STEAD,0.23876155063670024
sfa_equi-width_True,STEAD,0.25695078811205235
sfa_equi-width_False,STEAD,0.25737149706425305
sfa_equi-depth_True,STEAD,0.18296394107638897
sfa_equi-depth_False,STEAD,0.18289143877337025
isax,TXED,0.09832703390062397
sfa_equi-width_True,TXED,0.17521663596932704
sfa_equi-width_False,TXED,0.12275383154706922
sfa_equi-depth_True,TXED,0.17694995551249665
sfa_equi-depth_False,TXED,0.1224417398355629
