Method,Dataset,TLB
isax,ArrowHead,0.18912423146410123
sfa_equi-width_True_True_dynamic_programming,ArrowHead,0.39285859724805905
sfa_equi-width_True_True_linear_scale,ArrowHead,0.5311136864774569
sfa_equi-width_True_True_log_scale,ArrowHead,0.5311136864774569
sfa_equi-width_True_True_sqrt_scale,ArrowHead,0.5311136864774569
isax,Beef,0.2651696462444466
sfa_equi-width_True_True_dynamic_programming,Beef,0.21743336736824317
sfa_equi-width_True_True_linear_scale,Beef,0.3835101939231577
sfa_equi-width_True_True_log_scale,Beef,0.38522397729670504
sfa_equi-width_True_True_sqrt_scale,Beef,0.38522397729670504
isax,BeetleFly,0.3877758711596044
sfa_equi-width_True_True_dynamic_programming,BeetleFly,0.4259294617147149
sfa_equi-width_True_True_linear_scale,BeetleFly,0.4701140469174904
sfa_equi-width_True_True_log_scale,BeetleFly,0.4701140469174904
sfa_equi-width_True_True_sqrt_scale,BeetleFly,0.4701140469174904
isax,BirdChicken,0.38996236307560683
sfa_equi-width_True_True_dynamic_programming,BirdChicken,0.46382618656358643
sfa_equi-width_True_True_linear_scale,BirdChicken,0.6261464039682153
sfa_equi-width_True_True_log_scale,BirdChicken,0.626875754679359
sfa_equi-width_True_True_sqrt_scale,BirdChicken,0.6261464039682153
isax,BME,0.40743219709481754
sfa_equi-width_True_True_dynamic_programming,BME,0.43099514549777146
sfa_equi-width_True_True_linear_scale,BME,0.5686499924428743
sfa_equi-width_True_True_log_scale,BME,0.5744277319537764
sfa_equi-width_True_True_sqrt_scale,BME,0.5744277319537764
isax,Car,0.2112428324618096
sfa_equi-width_True_True_dynamic_programming,Car,0.3840482788019112
sfa_equi-width_True_True_linear_scale,Car,0.5496122762515825
sfa_equi-width_True_True_log_scale,Car,0.5547153144597629
sfa_equi-width_True_True_sqrt_scale,Car,0.5547153144597629
isax,CBF,0.33269370503014295
sfa_equi-width_True_True_dynamic_programming,CBF,0.37166807616902164
sfa_equi-width_True_True_linear_scale,CBF,0.499057777233376
sfa_equi-width_True_True_log_scale,CBF,0.5053092535182733
sfa_equi-width_True_True_sqrt_scale,CBF,0.5053092535182733
isax,Chinatown,0.15498103923771153
sfa_equi-width_True_True_dynamic_programming,Chinatown,0.4042568928281384
sfa_equi-width_True_True_linear_scale,Chinatown,0.5505889697877366
sfa_equi-width_True_True_log_scale,Chinatown,0.5505889697877366
sfa_equi-width_True_True_sqrt_scale,Chinatown,0.5593272767777966
isax,ChlorineConcentration,0.11656923474554028
sfa_equi-width_True_True_dynamic_programming,ChlorineConcentration,0.25152122956475015
sfa_equi-width_True_True_linear_scale,ChlorineConcentration,0.3102359838325256
sfa_equi-width_True_True_log_scale,ChlorineConcentration,0.3102359838325256
sfa_equi-width_True_True_sqrt_scale,ChlorineConcentration,0.3102359838325256
isax,CinCECGTorso,0.2802509949548109
sfa_equi-width_True_True_dynamic_programming,CinCECGTorso,0.3149018982218954
sfa_equi-width_True_True_linear_scale,CinCECGTorso,0.3473826431053989
sfa_equi-width_True_True_log_scale,CinCECGTorso,0.3473826431053989
sfa_equi-width_True_True_sqrt_scale,CinCECGTorso,0.3473826431053989
isax,Coffee,0.05530323953797499
sfa_equi-width_True_True_dynamic_programming,Coffee,0.35608294199397883
sfa_equi-width_True_True_linear_scale,Coffee,0.4352228644567778
sfa_equi-width_True_True_log_scale,Coffee,0.4352228644567778
sfa_equi-width_True_True_sqrt_scale,Coffee,0.4352228644567778
isax,Computers,0.35639092873608663
sfa_equi-width_True_True_dynamic_programming,Computers,0.3544030386518011
sfa_equi-width_True_True_linear_scale,Computers,0.41347300303015716
sfa_equi-width_True_True_log_scale,Computers,0.41670269325395953
sfa_equi-width_True_True_sqrt_scale,Computers,0.41670269325395953
isax,CricketX,0.3640843954970951
sfa_equi-width_True_True_dynamic_programming,CricketX,0.3883431569737312
sfa_equi-width_True_True_linear_scale,CricketX,0.46838717691009635
sfa_equi-width_True_True_log_scale,CricketX,0.46838717691009635
sfa_equi-width_True_True_sqrt_scale,CricketX,0.46838717691009635
isax,CricketY,0.373663115657219
sfa_equi-width_True_True_dynamic_programming,CricketY,0.40976697686096974
sfa_equi-width_True_True_linear_scale,CricketY,0.4840803522280276
sfa_equi-width_True_True_log_scale,CricketY,0.4871405304616158
sfa_equi-width_True_True_sqrt_scale,CricketY,0.4871405304616158
isax,CricketZ,0.36494778350293894
sfa_equi-width_True_True_dynamic_programming,CricketZ,0.38964487284735017
sfa_equi-width_True_True_linear_scale,CricketZ,0.46975277476355176
sfa_equi-width_True_True_log_scale,CricketZ,0.4686516361332337
sfa_equi-width_True_True_sqrt_scale,CricketZ,0.46975277476355176
isax,Crop,0.4181978999925107
sfa_equi-width_True_True_dynamic_programming,Crop,0.42423938608520056
sfa_equi-width_True_True_linear_scale,Crop,0.5723054630238186
sfa_equi-width_True_True_log_scale,Crop,0.574317766430616
sfa_equi-width_True_True_sqrt_scale,Crop,0.574317766430616
isax,DiatomSizeReduction,0.036388094688416694
sfa_equi-width_True_True_dynamic_programming,DiatomSizeReduction,0.37906067173627805
sfa_equi-width_True_True_linear_scale,DiatomSizeReduction,0.6058964514489764
sfa_equi-width_True_True_log_scale,DiatomSizeReduction,0.6058964514489764
sfa_equi-width_True_True_sqrt_scale,DiatomSizeReduction,0.6087220293985461
isax,DistalPhalanxOutlineAgeGroup,0.1433492150143591
sfa_equi-width_True_True_dynamic_programming,DistalPhalanxOutlineAgeGroup,0.3537355539867751
sfa_equi-width_True_True_linear_scale,DistalPhalanxOutlineAgeGroup,0.4363367339378229
sfa_equi-width_True_True_log_scale,DistalPhalanxOutlineAgeGroup,0.4363367339378229
sfa_equi-width_True_True_sqrt_scale,DistalPhalanxOutlineAgeGroup,0.4363367339378229
isax,DistalPhalanxOutlineCorrect,0.16198195518559325
sfa_equi-width_True_True_dynamic_programming,DistalPhalanxOutlineCorrect,0.31352455388634026
sfa_equi-width_True_True_linear_scale,DistalPhalanxOutlineCorrect,0.365551940673536
sfa_equi-width_True_True_log_scale,DistalPhalanxOutlineCorrect,0.365551940673536
sfa_equi-width_True_True_sqrt_scale,DistalPhalanxOutlineCorrect,0.365551940673536
isax,DistalPhalanxTW,0.13182675181925924
sfa_equi-width_True_True_dynamic_programming,DistalPhalanxTW,0.3473791597159095
sfa_equi-width_True_True_linear_scale,DistalPhalanxTW,0.4277055608093384
sfa_equi-width_True_True_log_scale,DistalPhalanxTW,0.4277055608093384
sfa_equi-width_True_True_sqrt_scale,DistalPhalanxTW,0.4277055608093384
isax,DodgerLoopDay,0.20680133625339103
sfa_equi-width_True_True_dynamic_programming,DodgerLoopDay,0.2689048771775043
sfa_equi-width_True_True_linear_scale,DodgerLoopDay,0.3423741124316574
sfa_equi-width_True_True_log_scale,DodgerLoopDay,0.3423741124316574
sfa_equi-width_True_True_sqrt_scale,DodgerLoopDay,0.3423741124316574
isax,DodgerLoopGame,0.21299287155186022
sfa_equi-width_True_True_dynamic_programming,DodgerLoopGame,0.28272623819435805
sfa_equi-width_True_True_linear_scale,DodgerLoopGame,0.35978425410509246
sfa_equi-width_True_True_log_scale,DodgerLoopGame,0.35978425410509246
sfa_equi-width_True_True_sqrt_scale,DodgerLoopGame,0.35978425410509246
isax,DodgerLoopWeekend,0.21267350004969393
sfa_equi-width_True_True_dynamic_programming,DodgerLoopWeekend,0.29183653869284704
sfa_equi-width_True_True_linear_scale,DodgerLoopWeekend,0.3809413511166486
sfa_equi-width_True_True_log_scale,DodgerLoopWeekend,0.38164722267038553
sfa_equi-width_True_True_sqrt_scale,DodgerLoopWeekend,0.38164722267038553
isax,Earthquakes,0.0990728700070492
sfa_equi-width_True_True_dynamic_programming,Earthquakes,0.09702301445395195
sfa_equi-width_True_True_linear_scale,Earthquakes,0.09251935644903572
sfa_equi-width_True_True_log_scale,Earthquakes,0.09251935644903572
sfa_equi-width_True_True_sqrt_scale,Earthquakes,0.09251935644903572
isax,ECG200,0.31794925739594493
sfa_equi-width_True_True_dynamic_programming,ECG200,0.38106259364456846
sfa_equi-width_True_True_linear_scale,ECG200,0.516290249727738
sfa_equi-width_True_True_log_scale,ECG200,0.516290249727738
sfa_equi-width_True_True_sqrt_scale,ECG200,0.516290249727738
isax,ECG5000,0.29659975380911013
sfa_equi-width_True_True_dynamic_programming,ECG5000,0.30308997871425997
sfa_equi-width_True_True_linear_scale,ECG5000,0.3782716928371083
sfa_equi-width_True_True_log_scale,ECG5000,0.3891224935221592
sfa_equi-width_True_True_sqrt_scale,ECG5000,0.3891224935221592
isax,ECGFiveDays,0.12064608510843712
sfa_equi-width_True_True_dynamic_programming,ECGFiveDays,0.2675881228283802
sfa_equi-width_True_True_linear_scale,ECGFiveDays,0.2840367441428433
sfa_equi-width_True_True_log_scale,ECGFiveDays,0.2840367441428433
sfa_equi-width_True_True_sqrt_scale,ECGFiveDays,0.2840367441428433
isax,EOGHorizontalSignal,0.3849325665761819
sfa_equi-width_True_True_dynamic_programming,EOGHorizontalSignal,0.4192684043304314
sfa_equi-width_True_True_linear_scale,EOGHorizontalSignal,0.5374701452424633
sfa_equi-width_True_True_log_scale,EOGHorizontalSignal,0.5340809401731748
sfa_equi-width_True_True_sqrt_scale,EOGHorizontalSignal,0.5374701452424633
isax,EOGVerticalSignal,0.3625104221257717
sfa_equi-width_True_True_dynamic_programming,EOGVerticalSignal,0.40588740366666864
sfa_equi-width_True_True_linear_scale,EOGVerticalSignal,0.5162577027817508
sfa_equi-width_True_True_log_scale,EOGVerticalSignal,0.5139838124824361
sfa_equi-width_True_True_sqrt_scale,EOGVerticalSignal,0.5162577027817508
isax,EthanolLevel,0.047736647396763435
sfa_equi-width_True_True_dynamic_programming,EthanolLevel,0.3661471263083198
sfa_equi-width_True_True_linear_scale,EthanolLevel,0.3581574717596473
sfa_equi-width_True_True_log_scale,EthanolLevel,0.3581574717596473
sfa_equi-width_True_True_sqrt_scale,EthanolLevel,0.3581574717596473
isax,FaceAll,0.20014823615911675
sfa_equi-width_True_True_dynamic_programming,FaceAll,0.3370313489829198
sfa_equi-width_True_True_linear_scale,FaceAll,0.34841779403132744
sfa_equi-width_True_True_log_scale,FaceAll,0.34841779403132744
sfa_equi-width_True_True_sqrt_scale,FaceAll,0.34841779403132744
isax,FaceFour,0.19388077055082514
sfa_equi-width_True_True_dynamic_programming,FaceFour,0.3173244403820792
sfa_equi-width_True_True_linear_scale,FaceFour,0.33892247280611393
sfa_equi-width_True_True_log_scale,FaceFour,0.34104717299836107
sfa_equi-width_True_True_sqrt_scale,FaceFour,0.34104717299836107
isax,FacesUCR,0.2065323290203769
sfa_equi-width_True_True_dynamic_programming,FacesUCR,0.33668876248781726
sfa_equi-width_True_True_linear_scale,FacesUCR,0.34582915082511173
sfa_equi-width_True_True_log_scale,FacesUCR,0.34582915082511173
sfa_equi-width_True_True_sqrt_scale,FacesUCR,0.34582915082511173
isax,FiftyWords,0.4348724561526839
sfa_equi-width_True_True_dynamic_programming,FiftyWords,0.4544341153119301
sfa_equi-width_True_True_linear_scale,FiftyWords,0.5553487373469328
sfa_equi-width_True_True_log_scale,FiftyWords,0.5553487373469328
sfa_equi-width_True_True_sqrt_scale,FiftyWords,0.5553487373469328
isax,Fish,0.11533288011464073
sfa_equi-width_True_True_dynamic_programming,Fish,0.3788248800158035
sfa_equi-width_True_True_linear_scale,Fish,0.4721638046827671
sfa_equi-width_True_True_log_scale,Fish,0.4721638046827671
sfa_equi-width_True_True_sqrt_scale,Fish,0.4721638046827671
isax,FordA,0.07422362319182592
sfa_equi-width_True_True_dynamic_programming,FordA,0.36801762730262166
sfa_equi-width_True_True_linear_scale,FordA,0.39021853264376716
sfa_equi-width_True_True_log_scale,FordA,0.38841370146569226
sfa_equi-width_True_True_sqrt_scale,FordA,0.38841370146569226
isax,FordB,0.08313726161108105
sfa_equi-width_True_True_dynamic_programming,FordB,0.3880421929930447
sfa_equi-width_True_True_linear_scale,FordB,0.374279760739102
sfa_equi-width_True_True_log_scale,FordB,0.374279760739102
sfa_equi-width_True_True_sqrt_scale,FordB,0.374279760739102
isax,FreezerRegularTrain,0.3393225670791405
sfa_equi-width_True_True_dynamic_programming,FreezerRegularTrain,0.37411878107853447
sfa_equi-width_True_True_linear_scale,FreezerRegularTrain,0.5079259595335455
sfa_equi-width_True_True_log_scale,FreezerRegularTrain,0.5143144826765791
sfa_equi-width_True_True_sqrt_scale,FreezerRegularTrain,0.5143144826765791
isax,FreezerSmallTrain,0.3431998615976422
sfa_equi-width_True_True_dynamic_programming,FreezerSmallTrain,0.394076362978507
sfa_equi-width_True_True_linear_scale,FreezerSmallTrain,0.526349337032828
sfa_equi-width_True_True_log_scale,FreezerSmallTrain,0.5315102070436212
sfa_equi-width_True_True_sqrt_scale,FreezerSmallTrain,0.526349337032828
isax,Fungi,0.3455552175567228
sfa_equi-width_True_True_dynamic_programming,Fungi,0.3933138403067078
sfa_equi-width_True_True_linear_scale,Fungi,0.4557115404111194
sfa_equi-width_True_True_log_scale,Fungi,0.4557115404111194
sfa_equi-width_True_True_sqrt_scale,Fungi,0.4557115404111194
isax,GestureMidAirD1,0.4062182750934622
sfa_equi-width_True_True_dynamic_programming,GestureMidAirD1,0.42862590201716144
sfa_equi-width_True_True_linear_scale,GestureMidAirD1,0.599847868128483
sfa_equi-width_True_True_log_scale,GestureMidAirD1,0.6003344853878724
sfa_equi-width_True_True_sqrt_scale,GestureMidAirD1,0.599847868128483
isax,GestureMidAirD2,0.2993849846998019
sfa_equi-width_True_True_dynamic_programming,GestureMidAirD2,0.37741535593115555
sfa_equi-width_True_True_linear_scale,GestureMidAirD2,0.5398927812805804
sfa_equi-width_True_True_log_scale,GestureMidAirD2,0.5398927812805804
sfa_equi-width_True_True_sqrt_scale,GestureMidAirD2,0.5398927812805804
isax,GestureMidAirD3,0.4425380675417834
sfa_equi-width_True_True_dynamic_programming,GestureMidAirD3,0.4507904197454695
sfa_equi-width_True_True_linear_scale,GestureMidAirD3,0.6377323549922798
sfa_equi-width_True_True_log_scale,GestureMidAirD3,0.6445719981784993
sfa_equi-width_True_True_sqrt_scale,GestureMidAirD3,0.6445911732684694
isax,GesturePebbleZ1,0.27450151117314325
sfa_equi-width_True_True_dynamic_programming,GesturePebbleZ1,0.31796954779582337
sfa_equi-width_True_True_linear_scale,GesturePebbleZ1,0.3931555034001268
sfa_equi-width_True_True_log_scale,GesturePebbleZ1,0.3931555034001268
sfa_equi-width_True_True_sqrt_scale,GesturePebbleZ1,0.3931555034001268
isax,GesturePebbleZ2,0.2880901105421205
sfa_equi-width_True_True_dynamic_programming,GesturePebbleZ2,0.3248209344926369
sfa_equi-width_True_True_linear_scale,GesturePebbleZ2,0.3980313458498569
sfa_equi-width_True_True_log_scale,GesturePebbleZ2,0.3989643160831749
sfa_equi-width_True_True_sqrt_scale,GesturePebbleZ2,0.3989643160831749
isax,GunPoint,0.31894426627673006
sfa_equi-width_True_True_dynamic_programming,GunPoint,0.42904637594543643
sfa_equi-width_True_True_linear_scale,GunPoint,0.580484915825936
sfa_equi-width_True_True_log_scale,GunPoint,0.5838950003279986
sfa_equi-width_True_True_sqrt_scale,GunPoint,0.5838950003279986
isax,GunPointAgeSpan,0.3936313309602246
sfa_equi-width_True_True_dynamic_programming,GunPointAgeSpan,0.41526171137015816
sfa_equi-width_True_True_linear_scale,GunPointAgeSpan,0.605294820023555
sfa_equi-width_True_True_log_scale,GunPointAgeSpan,0.605294820023555
sfa_equi-width_True_True_sqrt_scale,GunPointAgeSpan,0.605294820023555
isax,GunPointMaleVersusFemale,0.3909847489067158
sfa_equi-width_True_True_dynamic_programming,GunPointMaleVersusFemale,0.4196124709681173
sfa_equi-width_True_True_linear_scale,GunPointMaleVersusFemale,0.6002320641598464
sfa_equi-width_True_True_log_scale,GunPointMaleVersusFemale,0.6002320641598464
sfa_equi-width_True_True_sqrt_scale,GunPointMaleVersusFemale,0.6002320641598464
isax,GunPointOldVersusYoung,0.3812761090748301
sfa_equi-width_True_True_dynamic_programming,GunPointOldVersusYoung,0.42109761666860374
sfa_equi-width_True_True_linear_scale,GunPointOldVersusYoung,0.6014641691478266
sfa_equi-width_True_True_log_scale,GunPointOldVersusYoung,0.6014641691478266
sfa_equi-width_True_True_sqrt_scale,GunPointOldVersusYoung,0.6014641691478266
isax,Ham,0.18576327911679702
sfa_equi-width_True_True_dynamic_programming,Ham,0.29207832744693246
sfa_equi-width_True_True_linear_scale,Ham,0.3256688514272682
sfa_equi-width_True_True_log_scale,Ham,0.3267584814445114
sfa_equi-width_True_True_sqrt_scale,Ham,0.3267584814445114
isax,HandOutlines,0.12185840882297931
sfa_equi-width_True_True_dynamic_programming,HandOutlines,0.2695780903327673
sfa_equi-width_True_True_linear_scale,HandOutlines,0.30351385160502176
sfa_equi-width_True_True_log_scale,HandOutlines,0.30351385160502176
sfa_equi-width_True_True_sqrt_scale,HandOutlines,0.30351385160502176
isax,Haptics,0.2640401975893216
sfa_equi-width_True_True_dynamic_programming,Haptics,0.37224930081522434
sfa_equi-width_True_True_linear_scale,Haptics,0.46737965330239917
sfa_equi-width_True_True_log_scale,Haptics,0.46737965330239917
sfa_equi-width_True_True_sqrt_scale,Haptics,0.46737965330239917
isax,Herring,0.09192010029852771
sfa_equi-width_True_True_dynamic_programming,Herring,0.4051588843936104
sfa_equi-width_True_True_linear_scale,Herring,0.4910222657416658
sfa_equi-width_True_True_log_scale,Herring,0.4910222657416658
sfa_equi-width_True_True_sqrt_scale,Herring,0.4910222657416658
isax,HouseTwenty,0.31696140922499244
sfa_equi-width_True_True_dynamic_programming,HouseTwenty,0.32493332966592253
sfa_equi-width_True_True_linear_scale,HouseTwenty,0.4183151344195588
sfa_equi-width_True_True_log_scale,HouseTwenty,0.4183151344195588
sfa_equi-width_True_True_sqrt_scale,HouseTwenty,0.4183151344195588
isax,InlineSkate,0.3562267752863252
sfa_equi-width_True_True_dynamic_programming,InlineSkate,0.3998263093894987
sfa_equi-width_True_True_linear_scale,InlineSkate,0.5755089576621927
sfa_equi-width_True_True_log_scale,InlineSkate,0.5785074641204176
sfa_equi-width_True_True_sqrt_scale,InlineSkate,0.5755089576621927
isax,InsectEPGRegularTrain,0.38098607583016425
sfa_equi-width_True_True_dynamic_programming,InsectEPGRegularTrain,0.4372143039724143
sfa_equi-width_True_True_linear_scale,InsectEPGRegularTrain,0.579685121431993
sfa_equi-width_True_True_log_scale,InsectEPGRegularTrain,0.5863840348651644
sfa_equi-width_True_True_sqrt_scale,InsectEPGRegularTrain,0.5862025638328399
isax,InsectEPGSmallTrain,0.377480658735236
sfa_equi-width_True_True_dynamic_programming,InsectEPGSmallTrain,0.40576319729623134
sfa_equi-width_True_True_linear_scale,InsectEPGSmallTrain,0.5804054385819768
sfa_equi-width_True_True_log_scale,InsectEPGSmallTrain,0.5804054385819768
sfa_equi-width_True_True_sqrt_scale,InsectEPGSmallTrain,0.5804054385819768
isax,InsectWingbeatSound,0.363103495282665
sfa_equi-width_True_True_dynamic_programming,InsectWingbeatSound,0.39522477728657907
sfa_equi-width_True_True_linear_scale,InsectWingbeatSound,0.45567344404426274
sfa_equi-width_True_True_log_scale,InsectWingbeatSound,0.45567344404426274
sfa_equi-width_True_True_sqrt_scale,InsectWingbeatSound,0.45567344404426274
isax,ItalyPowerDemand,0.2753817477539652
sfa_equi-width_True_True_dynamic_programming,ItalyPowerDemand,0.37515209344874295
sfa_equi-width_True_True_linear_scale,ItalyPowerDemand,0.5352681262953806
sfa_equi-width_True_True_log_scale,ItalyPowerDemand,0.5352681262953806
sfa_equi-width_True_True_sqrt_scale,ItalyPowerDemand,0.5352681262953806
isax,LargeKitchenAppliances,0.29435294423111097
sfa_equi-width_True_True_dynamic_programming,LargeKitchenAppliances,0.25926226842569006
sfa_equi-width_True_True_linear_scale,LargeKitchenAppliances,0.2714666986820834
sfa_equi-width_True_True_log_scale,LargeKitchenAppliances,0.2714666986820834
sfa_equi-width_True_True_sqrt_scale,LargeKitchenAppliances,0.2714666986820834
isax,Lightning2,0.254019767502726
sfa_equi-width_True_True_dynamic_programming,Lightning2,0.30047522273573324
sfa_equi-width_True_True_linear_scale,Lightning2,0.40476865326122347
sfa_equi-width_True_True_log_scale,Lightning2,0.4061972587040068
sfa_equi-width_True_True_sqrt_scale,Lightning2,0.40476865326122347
isax,Lightning7,0.27265872110125433
sfa_equi-width_True_True_dynamic_programming,Lightning7,0.3203103957088544
sfa_equi-width_True_True_linear_scale,Lightning7,0.4387348643250496
sfa_equi-width_True_True_log_scale,Lightning7,0.44175604395121065
sfa_equi-width_True_True_sqrt_scale,Lightning7,0.44175604395121065
isax,Mallat,0.08768302754480642
sfa_equi-width_True_True_dynamic_programming,Mallat,0.3482160381241945
sfa_equi-width_True_True_linear_scale,Mallat,0.4264345860394388
sfa_equi-width_True_True_log_scale,Mallat,0.4264345860394388
sfa_equi-width_True_True_sqrt_scale,Mallat,0.4264345860394388
isax,Meat,0.0
sfa_equi-width_True_True_dynamic_programming,Meat,0.3293449447497022
sfa_equi-width_True_True_linear_scale,Meat,0.4468019905891884
sfa_equi-width_True_True_log_scale,Meat,0.4468019905891884
sfa_equi-width_True_True_sqrt_scale,Meat,0.4468019905891884
isax,MedicalImages,0.27364164221163334
sfa_equi-width_True_True_dynamic_programming,MedicalImages,0.3782049535413491
sfa_equi-width_True_True_linear_scale,MedicalImages,0.4328017491349575
sfa_equi-width_True_True_log_scale,MedicalImages,0.4328017491349575
sfa_equi-width_True_True_sqrt_scale,MedicalImages,0.4328017491349575
isax,MiddlePhalanxOutlineAgeGroup,0.142158148962851
sfa_equi-width_True_True_dynamic_programming,MiddlePhalanxOutlineAgeGroup,0.3665300688270194
sfa_equi-width_True_True_linear_scale,MiddlePhalanxOutlineAgeGroup,0.3825172105529569
sfa_equi-width_True_True_log_scale,MiddlePhalanxOutlineAgeGroup,0.3825172105529569
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxOutlineAgeGroup,0.3825172105529569
isax,MiddlePhalanxOutlineCorrect,0.13701674873186157
sfa_equi-width_True_True_dynamic_programming,MiddlePhalanxOutlineCorrect,0.3790922267689066
sfa_equi-width_True_True_linear_scale,MiddlePhalanxOutlineCorrect,0.3793908767550423
sfa_equi-width_True_True_log_scale,MiddlePhalanxOutlineCorrect,0.3793908767550423
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxOutlineCorrect,0.3848219266382055
isax,MiddlePhalanxTW,0.12661840668806523
sfa_equi-width_True_True_dynamic_programming,MiddlePhalanxTW,0.36291208538023
sfa_equi-width_True_True_linear_scale,MiddlePhalanxTW,0.38390547274308534
sfa_equi-width_True_True_log_scale,MiddlePhalanxTW,0.38390547274308534
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxTW,0.38390547274308534
isax,MixedShapesRegularTrain,0.40544769086220867
sfa_equi-width_True_True_dynamic_programming,MixedShapesRegularTrain,0.4420706961063508
sfa_equi-width_True_True_linear_scale,MixedShapesRegularTrain,0.5967219662760012
sfa_equi-width_True_True_log_scale,MixedShapesRegularTrain,0.5967219662760012
sfa_equi-width_True_True_sqrt_scale,MixedShapesRegularTrain,0.5967219662760012
isax,MixedShapesSmallTrain,0.3994687868721688
sfa_equi-width_True_True_dynamic_programming,MixedShapesSmallTrain,0.44484853577593436
sfa_equi-width_True_True_linear_scale,MixedShapesSmallTrain,0.607373076368448
sfa_equi-width_True_True_log_scale,MixedShapesSmallTrain,0.6094068154501081
sfa_equi-width_True_True_sqrt_scale,MixedShapesSmallTrain,0.6094068154501081
isax,MoteStrain,0.2814042796692528
sfa_equi-width_True_True_dynamic_programming,MoteStrain,0.3828491293112722
sfa_equi-width_True_True_linear_scale,MoteStrain,0.4871050821689016
sfa_equi-width_True_True_log_scale,MoteStrain,0.49785943028147667
sfa_equi-width_True_True_sqrt_scale,MoteStrain,0.49785943028147667
isax,NonInvasiveFetalECGThorax1,0.15295962582299294
sfa_equi-width_True_True_dynamic_programming,NonInvasiveFetalECGThorax1,0.3346375055038848
sfa_equi-width_True_True_linear_scale,NonInvasiveFetalECGThorax1,0.35478929891829103
sfa_equi-width_True_True_log_scale,NonInvasiveFetalECGThorax1,0.3684089940873803
