Method,Dataset,TLB
SAX-TD,ASTRO,0.13775420209161335
SAX-TD,BIGANN,0.16198133158546313
SAX-TD,SALD,0.3407545973744894
SAX-TD,SIFT1B,0.082594608704855
SAX-TD,DEPP1B,0.1411610608808454
SAX-TD,SCEDC,0.048001007790772675
SAX-TD,ETHZ,0.323690550742728
SAX-TD,ISC_EHB_DepthPhases,0.41291639357759535
SAX-TD,LenDB,0.34232500610000555
SAX-TD,Iquique,0.2666704333387383
SAX-TD,NEIC,0.34121406889634726
SAX-TD,OBS,0.3698818616732378
SAX-TD,OBST2024,0.04158656363766132
SAX-TD,PNW,0.21677744617907307
SAX-TD,Meier2019JGR,0.33731961132464455
SAX-TD,STEAD,0.14762414430271728
SAX-TD,TXED,0.08612956848820297
