Method,Dataset,TLB
isax,ArrowHead,0.3570502455175418
sfa_equi-width_True,ArrowHead,0.6065947609547246
sfa_equi-width_False,ArrowHead,0.5937206175676107
sfa_equi-depth_True,ArrowHead,0.647075075291654
sfa_equi-depth_False,ArrowHead,0.6373382015342802
isax,Beef,0.3993432471992499
sfa_equi-width_True,Beef,0.465364413049723
sfa_equi-width_False,Beef,0.4476799814996754
sfa_equi-depth_True,Beef,0.5875586212650561
sfa_equi-depth_False,Beef,0.5760829789777524
isax,BeetleFly,0.558825956735533
sfa_equi-width_True,BeetleFly,0.6082968592083964
sfa_equi-width_False,BeetleFly,0.60928981159749
sfa_equi-depth_True,BeetleFly,0.600838973342612
sfa_equi-depth_False,BeetleFly,0.5997673609802127
isax,BirdChicken,0.5954696148309854
sfa_equi-width_True,BirdChicken,0.6817626020613946
sfa_equi-width_False,BirdChicken,0.6821737656218343
sfa_equi-depth_True,BirdChicken,0.6830583253884338
sfa_equi-depth_False,BirdChicken,0.6833983694429975
isax,BME,0.6601711032990856
sfa_equi-width_True,BME,0.6612809089785475
sfa_equi-width_False,BME,0.6630165871055737
sfa_equi-depth_True,BME,0.6823020701147777
sfa_equi-depth_False,BME,0.6838985081724054
isax,Car,0.40869760093395635
sfa_equi-width_True,Car,0.5977196073849407
sfa_equi-width_False,Car,0.5977196073849407
sfa_equi-depth_True,Car,0.646212965017407
sfa_equi-depth_False,Car,0.646212965017407
isax,CBF,0.5109899267672544
sfa_equi-width_True,CBF,0.5650374640239353
sfa_equi-width_False,CBF,0.5658721263385421
sfa_equi-depth_True,CBF,0.5576678307910359
sfa_equi-depth_False,CBF,0.5582745023961911
isax,Chinatown,0.3337105968987202
sfa_equi-width_True,Chinatown,0.6237283559792847
sfa_equi-width_False,Chinatown,0.6283510784956754
sfa_equi-depth_True,Chinatown,0.6301865091827906
sfa_equi-depth_False,Chinatown,0.6330229952796151
isax,ChlorineConcentration,0.1806006325082376
sfa_equi-width_True,ChlorineConcentration,0.4216486337023398
sfa_equi-width_False,ChlorineConcentration,0.35784667859414826
sfa_equi-depth_True,ChlorineConcentration,0.43700585535151276
sfa_equi-depth_False,ChlorineConcentration,0.3795474216346352
isax,CinCECGTorso,0.39818053430302086
