# query,time in ms,distance, total
0.0,1640.0625562222222,14117.022934887791,59042.289576
1.0,1640.0625562222222,10228.00162434351,59042.289576
2.0,1640.0625562222222,10223.43896183744,59042.289576
3.0,1640.0625562222222,10219.580703666958,59042.289576
4.0,1640.0625562222222,10216.431078440568,59042.289576
5.0,1640.0625562222222,10213.989758817712,59042.289576
6.0,1640.0625562222222,10212.261117001122,59042.289576
7.0,1640.0625562222222,10211.241888293065,59042.289576
8.0,1640.0625562222222,10210.936592165614,59042.289576
9.0,1640.0625562222222,10211.342112764309,59042.289576
10.0,1640.0625562222222,10212.463118442334,59042.289576
11.0,1640.0625562222222,10214.296642726345,59042.289576
12.0,1640.0625562222222,10216.74262600072,59042.289576
13.0,1640.0625562222222,10219.893841810757,59042.289576
14.0,1640.0625562222222,10223.756787652383,59042.289576
15.0,1640.0625562222222,10228.330323474715,59042.289576
16.0,1640.0625562222222,10233.611838255078,59042.289576
17.0,1640.0625562222222,10239.59879125678,59042.289576
18.0,1640.0625562222222,10246.290255520085,59042.289576
19.0,1640.0625562222222,10253.563310964091,59042.289576
20.0,1640.0625562222222,10261.531410219672,59042.289576
21.0,1640.0625562222222,10270.195360005891,59042.289576
22.0,1640.0625562222222,10279.55449007661,59042.289576
23.0,1640.0625562222222,10289.602005989349,59042.289576
24.0,1640.0625562222222,10300.334264177422,59042.289576
25.0,1640.0625562222222,10311.75232744799,59042.289576
26.0,1640.0625562222222,10323.772054620145,59042.289576
27.0,1640.0625562222222,10336.450333729386,59042.289576
28.0,1640.0625562222222,10349.64865411917,59042.289576
29.0,1640.0625562222222,10363.492264718749,59042.289576
30.0,1640.0625562222222,10377.937363096513,59042.289576
31.0,1640.0625562222222,10392.901185464638,59042.289576
32.0,1640.0625562222222,10408.512482597085,59042.289576
33.0,1640.0625562222222,10424.766455683857,59042.289576
34.0,1640.0625562222222,10441.655225717463,59042.289576
35.0,1640.0625562222222,10459.172500094632,59042.289576
36.0,1930.34536975,10477.312014742347,128547.331566
37.0,1930.34536975,10495.919021925016,128547.331566
38.0,1930.34536975,10515.052616657282,128547.331566
39.0,1930.34536975,10534.639017095382,128547.331566
40.0,1930.34536975,10554.795442713017,128547.331566
41.0,1930.34536975,10575.53759750817,128547.331566
42.0,1930.34536975,10596.860865835333,128547.331566
43.0,1930.34536975,10618.75750683999,128547.331566
44.0,1930.34536975,10641.218210221268,128547.331566
45.0,1930.34536975,10664.195843279595,128547.331566
46.0,1930.34536975,10687.594197781349,128547.331566
47.0,1930.34536975,10711.239281654358,128547.331566
48.0,1930.34536975,10735.293086980528,128547.331566
49.0,1930.34536975,10759.690423598746,128547.331566
50.0,1930.34536975,10784.427615003893,128547.331566
51.0,1930.34536975,10809.635824147204,128547.331566
52.0,1930.34536975,10835.329306868894,128547.331566
53.0,1930.34536975,10861.396778155176,128547.331566
54.0,1930.34536975,10887.895201537991,128547.331566
55.0,1930.34536975,10914.821254389884,128547.331566
56.0,1930.34536975,10942.21470803395,128547.331566
57.0,1930.34536975,10970.062810228206,128547.331566
58.0,1930.34536975,10998.266347829252,128547.331566
59.0,1930.34536975,11026.869814990147,128547.331566
60.0,1930.34536975,11055.898694101721,128547.331566
61.0,1930.34536975,11085.348089145555,128547.331566
62.0,1930.34536975,11115.147132747865,128547.331566
63.0,1930.34536975,11145.305128769542,128547.331566
64.0,1930.34536975,11175.752396630647,128547.331566
65.0,1930.34536975,11206.546487991,128547.331566
66.0,1930.34536975,11237.71616049629,128547.331566
67.0,1930.34536975,11269.25146269059,128547.331566
68.0,1930.34536975,11301.144015887985,128547.331566
69.0,1930.34536975,11333.231079781486,128547.331566
70.0,1930.34536975,11365.589745780977,128547.331566
71.0,1930.34536975,11398.27962666843,128547.331566
72.0,1375.0823609285715,11431.19590717979,167053.912063
73.0,1375.0823609285715,11464.303419778356,167053.912063
74.0,1375.0823609285715,11497.552067047218,167053.912063
75.0,1375.0823609285715,11531.097913999343,167053.912063
76.0,1375.0823609285715,11564.928920759121,167053.912063
77.0,1375.0823609285715,11599.037908169033,167053.912063
78.0,1375.0823609285715,11633.397906182567,167053.912063
79.0,1375.0823609285715,11667.765867880138,167053.912063
80.0,1375.0823609285715,11702.272004818136,167053.912063
81.0,1375.0823609285715,11737.014236869814,167053.912063
82.0,1375.0823609285715,11771.99338671338,167053.912063
83.0,1375.0823609285715,11807.198675165186,167053.912063
84.0,1375.0823609285715,11842.441582896048,167053.912063
85.0,1375.0823609285715,11877.876700652996,167053.912063
86.0,1375.0823609285715,11913.516312385036,167053.912063
87.0,1375.0823609285715,11949.351090776327,167053.912063
88.0,1375.0823609285715,11985.374992082128,167053.912063
89.0,1375.0823609285715,12021.578588690842,167053.912063
90.0,1375.0823609285715,12057.952394558175,167053.912063
91.0,1375.0823609285715,12094.491898957873,167053.912063
92.0,1375.0823609285715,12131.189201032976,167053.912063
93.0,1375.0823609285715,12167.852884596272,167053.912063
94.0,1375.0823609285715,12204.555031266296,167053.912063
95.0,1375.0823609285715,12241.395171211101,167053.912063
96.0,1375.0823609285715,12278.361842595972,167053.912063
97.0,1375.0823609285715,12315.448592987144,167053.912063
98.0,1375.0823609285715,12352.631970677525,167053.912063
99.0,1375.0823609285715,12389.878190495307,167053.912063
