querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6651.000000, 13.000000, 406.000000, 0, 0, 0, 0, 65738, 2, 0, 0, 0, 1478, 0, 0.000000, 0.000000, 6643.000000
5918.000000, 12.000000, 208.000000, 0, 0, 0, 0, 65738, 2, 0, 0, 0, 647, 0, 0.011769, 0.011769, 12553.000000
5166.000000, 8.000000, 46.000000, 0, 0, 0, 0, 65738, 3, 0, 0, 0, 647, 0, 0.047113, 0.047113, 17715.000000
4706.000000, 7.000000, 37.000000, 0, 0, 0, 0, 65738, 3, 0, 0, 0, 647, 0, 0.106084, 0.106084, 22417.000000
4124.000000, 6.000000, 27.000000, 0, 0, 0, 0, 65738, 6, 0, 0, 0, 647, 0, 0.188722, 0.188722, 26538.000000
4152.000000, 6.000000, 23.000000, 0, 0, 0, 0, 65738, 11, 0, 0, 0, 647, 0, 0.295057, 0.295057, 30687.000000
3593.000000, 5.000000, 23.000000, 0, 0, 0, 0, 65738, 18, 0, 0, 0, 647, 0, 0.425111, 0.425111, 34277.000000
3552.000000, 4.000000, 29.000000, 0, 0, 0, 0, 65738, 39, 0, 0, 0, 647, 0, 0.578896, 0.578896, 37827.000000
3880.000000, 4.000000, 20.000000, 0, 0, 0, 0, 65738, 77, 0, 0, 0, 647, 0, 0.756411, 0.756411, 41705.000000
3875.000000, 4.000000, 21.000000, 0, 0, 0, 0, 65738, 127, 0, 0, 0, 647, 0, 0.957650, 0.957650, 45578.000000
3839.000000, 5.000000, 21.000000, 0, 0, 0, 0, 65738, 203, 0, 0, 0, 647, 0, 1.182593, 1.182593, 49414.000000
4187.000000, 5.000000, 23.000000, 0, 0, 0, 0, 65738, 274, 0, 0, 0, 647, 0, 1.431213, 1.431213, 53598.000000
4326.000000, 6.000000, 24.000000, 0, 0, 0, 0, 65738, 371, 0, 0, 0, 647, 0, 1.703470, 1.703470, 57921.000000
4284.000000, 8.000000, 30.000000, 0, 0, 0, 0, 65738, 442, 0, 0, 0, 647, 0, 1.999317, 1.999317, 62201.000000
4484.000000, 5.000000, 34.000000, 0, 0, 0, 0, 65738, 503, 0, 0, 0, 647, 0, 2.318696, 2.318696, 66680.000000
4573.000000, 5.000000, 35.000000, 0, 0, 0, 0, 65738, 572, 0, 0, 0, 647, 0, 2.661540, 2.661540, 71250.000000
4649.000000, 7.000000, 36.000000, 0, 0, 0, 0, 65738, 686, 0, 0, 0, 647, 0, 3.027771, 3.027771, 75894.000000
4992.000000, 9.000000, 41.000000, 0, 0, 0, 0, 65738, 891, 0, 0, 0, 647, 0, 3.417302, 3.417302, 80881.000000
5627.000000, 7.000000, 43.000000, 0, 0, 0, 0, 65738, 1213, 0, 0, 0, 647, 0, 3.830037, 3.830037, 86503.000000
6050.000000, 8.000000, 42.000000, 0, 0, 0, 0, 65738, 1542, 0, 0, 0, 647, 0, 4.265870, 4.265870, 92548.000000
6506.000000, 8.000000, 45.000000, 0, 0, 0, 0, 65738, 1824, 0, 0, 0, 647, 0, 4.724687, 4.724687, 99048.000000
6775.000000, 8.000000, 50.000000, 0, 0, 0, 0, 65738, 2042, 0, 0, 0, 647, 0, 5.206360, 5.206360, 105818.000000
7057.000000, 6.000000, 52.000000, 0, 0, 0, 0, 65738, 2283, 0, 0, 0, 647, 0, 5.710759, 5.710759, 112872.000000
7488.000000, 8.000000, 52.000000, 0, 0, 0, 0, 65738, 2652, 0, 0, 0, 647, 0, 6.237741, 6.237741, 120355.000000
8040.000000, 8.000000, 55.000000, 0, 0, 0, 0, 65738, 3085, 0, 0, 0, 647, 0, 6.787153, 6.787153, 128389.000000
8524.000000, 8.000000, 55.000000, 0, 0, 0, 0, 65738, 3381, 0, 0, 0, 647, 0, 7.358836, 7.358836, 136908.000000
8628.000000, 7.000000, 60.000000, 0, 0, 0, 0, 65738, 3529, 0, 0, 0, 647, 0, 7.952621, 7.952621, 145531.000000
9109.000000, 7.000000, 61.000000, 0, 0, 0, 0, 65738, 3773, 0, 0, 0, 647, 0, 8.568335, 8.568335, 154636.000000
9822.000000, 7.000000, 68.000000, 0, 0, 0, 0, 65738, 4192, 0, 0, 0, 647, 0, 9.205786, 9.205786, 164453.000000
10621.000000, 8.000000, 65.000000, 0, 0, 0, 0, 65738, 4629, 0, 0, 0, 647, 0, 9.864790, 9.864790, 175068.000000
11365.000000, 8.000000, 66.000000, 0, 0, 0, 0, 65738, 4977, 0, 0, 0, 647, 0, 10.545137, 10.545137, 186428.000000
12364.000000, 10.000000, 69.000000, 0, 0, 0, 0, 65738, 5520, 0, 0, 0, 647, 0, 11.246633, 11.246633, 198786.000000
14070.000000, 9.000000, 72.000000, 0, 0, 0, 0, 65738, 6349, 0, 0, 0, 647, 0, 11.969043, 11.969043, 212850.000000
17220.000000, 8.000000, 74.000000, 0, 0, 0, 0, 65738, 7597, 0, 0, 0, 647, 0, 12.712160, 12.712160, 230064.000000
20106.000000, 9.000000, 77.000000, 0, 0, 0, 0, 65738, 8908, 0, 0, 0, 647, 0, 13.475749, 13.475749, 250164.000000
23201.000000, 8.000000, 78.000000, 0, 0, 0, 0, 65738, 10349, 0, 0, 0, 647, 0, 14.259572, 14.259572, 273361.000000
27709.000000, 9.000000, 79.000000, 0, 0, 0, 0, 65738, 12167, 0, 0, 0, 647, 0, 15.063391, 15.063391, 301064.000000
32998.000000, 9.000000, 80.000000, 0, 0, 0, 0, 65738, 14137, 0, 0, 0, 647, 0, 15.886956, 15.886956, 334056.000000
36307.000000, 8.000000, 83.000000, 0, 0, 0, 0, 65738, 15745, 0, 0, 0, 647, 0, 16.730011, 16.730011, 370358.000000
39358.000000, 10.000000, 88.000000, 0, 0, 0, 0, 65738, 17362, 0, 0, 0, 647, 0, 17.592297, 17.592297, 409709.000000
43137.000000, 10.000000, 82.000000, 0, 0, 0, 0, 65738, 18908, 0, 0, 0, 647, 0, 18.473545, 18.473545, 452840.000000
46150.000000, 12.000000, 87.000000, 0, 0, 0, 0, 65738, 19979, 0, 0, 0, 647, 0, 19.373489, 19.373489, 498981.000000
49407.000000, 9.000000, 87.000000, 0, 0, 0, 0, 65738, 21223, 0, 0, 0, 647, 0, 20.291847, 20.291847, 548382.000000
53571.000000, 11.000000, 88.000000, 0, 0, 0, 0, 65738, 22618, 0, 0, 0, 647, 0, 21.228342, 21.228342, 601945.000000
60216.000000, 10.000000, 92.000000, 0, 0, 0, 0, 65738, 24698, 0, 0, 0, 647, 0, 22.182688, 22.182688, 662154.000000
68882.000000, 10.000000, 91.000000, 0, 0, 0, 0, 65738, 27118, 0, 0, 0, 647, 0, 23.154602, 23.154602, 731030.000000
80548.000000, 10.000000, 88.000000, 0, 0, 0, 0, 65738, 30389, 0, 0, 0, 647, 0, 24.143776, 24.143776, 811571.000000
92100.000000, 10.000000, 89.000000, 0, 0, 0, 0, 65738, 33698, 0, 0, 0, 647, 0, 25.149925, 25.149925, 903664.000000
105178.000000, 9.000000, 88.000000, 0, 0, 0, 0, 65738, 37141, 0, 0, 0, 647, 0, 26.172745, 26.172745, 1008836.000000
115429.000000, 11.000000, 89.000000, 0, 0, 0, 0, 65738, 39839, 0, 0, 0, 647, 0, 27.211931, 27.211931, 1124258.000000
125360.000000, 10.000000, 92.000000, 0, 0, 0, 0, 65738, 42234, 0, 0, 0, 647, 0, 28.267179, 28.267179, 1249612.000000
132857.000000, 14.000000, 124.000000, 0, 0, 0, 0, 65738, 43842, 0, 0, 0, 647, 0, 29.338179, 29.338179, 1382460.000000
139746.000000, 10.000000, 94.000000, 0, 0, 0, 0, 65738, 45212, 0, 0, 0, 647, 0, 30.424620, 30.424620, 1522199.000000
152312.000000, 10.000000, 93.000000, 0, 0, 0, 0, 65738, 46942, 0, 0, 0, 647, 0, 31.526188, 31.526188, 1674505.000000
163458.000000, 11.000000, 108.000000, 0, 0, 0, 0, 65738, 49057, 0, 0, 0, 647, 0, 32.642567, 32.642567, 1837953.000000
179358.000000, 10.000000, 98.000000, 0, 0, 0, 0, 65738, 51880, 0, 0, 0, 647, 0, 33.773430, 33.773430, 2017305.000000
196236.000000, 10.000000, 97.000000, 0, 0, 0, 0, 65738, 54644, 0, 0, 0, 647, 0, 34.918476, 34.918476, 2213534.000000
211087.000000, 11.000000, 103.000000, 0, 0, 0, 0, 65738, 57295, 0, 0, 0, 647, 0, 36.077377, 36.077377, 2424614.000000
227712.000000, 10.000000, 242.000000, 0, 0, 0, 0, 65738, 59028, 0, 0, 0, 558, 0, 322.810516, 37.249805, 2652320.000000
241505.000000, 10.000000, 213.000000, 0, 0, 0, 0, 65738, 60133, 0, 0, 0, 558, 0, 323.195709, 38.435463, 2893819.000000
254898.000000, 13.000000, 257.000000, 0, 0, 0, 0, 65738, 60883, 0, 0, 0, 558, 0, 323.586243, 39.633995, 3148709.000000
258772.000000, 11.000000, 219.000000, 0, 0, 0, 0, 65738, 61325, 0, 0, 0, 558, 0, 323.982300, 40.845100, 3407474.000000
278008.000000, 10.000000, 208.000000, 0, 0, 0, 0, 65738, 62156, 0, 0, 0, 558, 0, 324.383514, 42.068451, 3685474.000000
289571.000000, 20.000000, 305.000000, 0, 0, 0, 0, 65738, 63016, 0, 0, 0, 558, 0, 324.789886, 43.303715, 3975031.000000
307289.000000, 10.000000, 213.000000, 0, 0, 0, 0, 65738, 64012, 0, 0, 0, 558, 0, 325.201324, 44.550587, 4282313.000000
324798.000000, 11.000000, 208.000000, 0, 0, 0, 0, 65738, 64803, 0, 0, 0, 558, 0, 325.617615, 45.808746, 4607103.000000
336297.000000, 9.000000, 204.000000, 0, 0, 0, 0, 65738, 65139, 0, 0, 0, 558, 0, 326.038605, 47.077850, 4943393.000000
356106.000000, 10.000000, 213.000000, 0, 0, 0, 0, 65738, 65269, 0, 0, 0, 558, 0, 326.464294, 48.357605, 5299492.000000
374112.000000, 10.000000, 212.000000, 0, 0, 0, 0, 65738, 65331, 0, 0, 0, 558, 0, 326.894531, 49.647678, 5673598.000000
391146.000000, 10.000000, 210.000000, 0, 0, 0, 0, 65738, 65313, 0, 0, 0, 558, 0, 327.329132, 50.947754, 6064738.000000
409419.000000, 10.000000, 208.000000, 0, 0, 0, 0, 65738, 65319, 0, 0, 0, 558, 0, 327.768127, 52.257511, 6474151.000000
429021.000000, 10.000000, 206.000000, 0, 0, 0, 0, 65738, 65340, 0, 0, 0, 558, 0, 328.211151, 53.576645, 6903166.000000
462860.000000, 11.000000, 207.000000, 0, 0, 0, 0, 65738, 65370, 0, 0, 0, 558, 0, 328.658264, 54.904839, 7366019.000000
481469.000000, 11.000000, 210.000000, 0, 0, 0, 0, 65738, 65365, 0, 0, 0, 558, 0, 329.109344, 56.241783, 7847481.000000
503640.000000, 11.000000, 201.000000, 0, 0, 0, 0, 65738, 65369, 0, 0, 0, 558, 0, 329.564209, 57.587189, 8351114.000000
535376.000000, 10.000000, 195.000000, 0, 0, 0, 0, 65738, 65398, 0, 0, 0, 558, 0, 330.022705, 58.940723, 8886483.000000
556111.000000, 11.000000, 211.000000, 0, 0, 0, 0, 65738, 65406, 0, 0, 0, 558, 0, 330.484863, 60.302071, 9442586.000000
583656.000000, 11.000000, 187.000000, 0, 0, 0, 0, 65738, 65417, 0, 0, 0, 558, 0, 330.950470, 61.670975, 10026235.000000
614362.000000, 12.000000, 196.000000, 0, 0, 0, 0, 65738, 65445, 0, 0, 0, 558, 0, 331.419342, 63.047108, 10640589.000000
646955.000000, 10.000000, 198.000000, 0, 0, 0, 0, 65738, 65434, 0, 0, 0, 558, 0, 331.891571, 64.430176, 11287537.000000
679479.000000, 10.000000, 190.000000, 0, 0, 0, 0, 65738, 65472, 0, 0, 0, 558, 0, 332.366821, 65.819901, 11967009.000000
715147.000000, 9.000000, 195.000000, 0, 0, 0, 0, 65738, 65489, 0, 0, 0, 558, 0, 332.845062, 67.215965, 12682150.000000
733918.000000, 13.000000, 217.000000, 0, 0, 0, 0, 65738, 65475, 0, 0, 0, 558, 0, 333.326294, 68.618126, 13416060.000000
767756.000000, 10.000000, 194.000000, 0, 0, 0, 0, 65738, 65456, 0, 0, 0, 558, 0, 333.522034, 70.026039, 14183809.000000
791533.000000, 10.000000, 139.000000, 0, 0, 0, 0, 65738, 65501, 0, 0, 0, 382, 0, 346.078033, 71.439484, 14975334.000000
834009.000000, 12.000000, 134.000000, 0, 0, 0, 0, 65738, 65500, 0, 0, 0, 382, 0, 346.133057, 72.858170, 15809335.000000
850066.000000, 10.000000, 137.000000, 0, 0, 0, 0, 65738, 65499, 0, 0, 0, 382, 0, 346.192566, 74.281784, 16659392.000000
873043.000000, 12.000000, 166.000000, 0, 0, 0, 0, 65738, 65493, 0, 0, 0, 382, 0, 346.256500, 75.710129, 17532427.000000
901318.000000, 11.000000, 140.000000, 0, 0, 0, 0, 65738, 65523, 0, 0, 0, 382, 0, 346.324829, 77.142853, 18433738.000000
926660.000000, 10.000000, 146.000000, 0, 0, 0, 0, 65738, 65486, 0, 0, 0, 382, 0, 346.397461, 78.579773, 19360390.000000
955356.000000, 10.000000, 139.000000, 0, 0, 0, 0, 65738, 65511, 0, 0, 0, 382, 0, 346.474274, 80.020569, 20315737.000000
980878.000000, 10.000000, 137.000000, 0, 0, 0, 0, 65738, 65498, 0, 0, 0, 382, 0, 346.555206, 81.465027, 21296608.000000
1019158.000000, 11.000000, 142.000000, 0, 0, 0, 0, 65738, 65511, 0, 0, 0, 382, 0, 346.640076, 82.912895, 22315759.000000
1028393.000000, 16.000000, 212.000000, 0, 0, 0, 0, 65738, 65513, 0, 0, 0, 382, 0, 346.728943, 84.363892, 23344141.000000
1047989.000000, 11.000000, 139.000000, 0, 0, 0, 0, 65738, 65526, 0, 0, 0, 382, 0, 346.821686, 85.817818, 24392123.000000
1073683.000000, 10.000000, 138.000000, 0, 0, 0, 0, 65738, 65523, 0, 0, 0, 382, 0, 346.918243, 87.274391, 25465800.000000
1114756.000000, 16.000000, 200.000000, 0, 0, 0, 0, 65738, 65521, 0, 0, 0, 382, 0, 347.018463, 88.733406, 26580546.000000
1126724.000000, 10.000000, 142.000000, 0, 0, 0, 0, 65738, 65533, 0, 0, 0, 382, 0, 347.122314, 90.194618, 27707262.000000
1159289.000000, 11.000000, 145.000000, 0, 0, 0, 0, 65738, 65528, 0, 0, 0, 382, 0, 347.229767, 91.657791, 28866544.000000
1170941.000000, 11.000000, 131.000000, 0, 0, 0, 0, 65738, 65519, 0, 0, 0, 382, 0, 347.340607, 93.122757, 30037478.000000
300381.070000, 9.490000, 120.940000, 0.000000, 0.000000, 0.000000, 0.000000, 65738, 35285.510000, 0.000000, 0.000000, 0.000000, 589.770000, 0.000000, 148.013184, 34.227947, 5699490.580000
