querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6138.000000, 8.000000, 353.000000, 0, 0, 0, 0, 67156, 2, 0, 0, 0, 454, 0, 0.000000, 0.000000, 6133.000000
12206.000000, 8.000000, 5550.000000, 0, 0, 0, 0, 67156, 5, 0, 0, 0, 12948, 0, 0.003883, 0.003883, 18334.000000
7612.000000, 5.000000, 737.000000, 0, 0, 0, 0, 67156, 9, 0, 0, 0, 12948, 0, 0.015523, 0.015523, 25943.000000
6675.000000, 6.000000, 504.000000, 0, 0, 0, 0, 67156, 17, 0, 0, 0, 12948, 0, 0.034906, 0.034906, 32616.000000
6298.000000, 8.000000, 451.000000, 0, 0, 0, 0, 67156, 16, 0, 0, 0, 12948, 0, 0.062013, 0.062013, 38912.000000
5070.000000, 6.000000, 421.000000, 0, 0, 0, 0, 67156, 26, 0, 0, 0, 12948, 0, 0.096824, 0.096824, 43979.000000
4975.000000, 6.000000, 427.000000, 0, 0, 0, 0, 67156, 30, 0, 0, 0, 12948, 0, 0.139316, 0.139316, 48951.000000
4646.000000, 5.000000, 398.000000, 0, 0, 0, 0, 67156, 42, 0, 0, 0, 12948, 0, 0.189462, 0.189462, 53594.000000
4611.000000, 6.000000, 417.000000, 0, 0, 0, 0, 67156, 51, 0, 0, 0, 12948, 0, 0.247234, 0.247234, 58202.000000
4284.000000, 6.000000, 419.000000, 0, 0, 0, 0, 67156, 76, 0, 0, 0, 12948, 0, 0.312600, 0.312600, 62483.000000
4374.000000, 5.000000, 437.000000, 0, 0, 0, 0, 67156, 89, 0, 0, 0, 12948, 0, 0.385527, 0.385527, 66854.000000
4457.000000, 5.000000, 444.000000, 0, 0, 0, 0, 67156, 108, 0, 0, 0, 12948, 0, 0.465978, 0.465978, 71308.000000
4581.000000, 5.000000, 475.000000, 0, 0, 0, 0, 67156, 144, 0, 0, 0, 12948, 0, 0.553913, 0.553913, 75886.000000
15366.000000, 7.000000, 2097.000000, 0, 0, 0, 0, 67156, 220, 0, 0, 0, 6404, 0, 19.754313, 0.649291, 91248.000000
15006.000000, 9.000000, 826.000000, 0, 0, 0, 0, 67156, 349, 0, 0, 0, 6404, 0, 19.649132, 0.752068, 106247.000000
16623.000000, 8.000000, 778.000000, 0, 0, 0, 0, 67156, 513, 0, 0, 0, 6404, 0, 19.550890, 0.862197, 122865.000000
