querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
7740.000000, 12.000000, 1729.000000, 0, 0, 0, 0, 67010, 2, 0, 0, 0, 742, 0, 0.000000, 0.000000, 7734.000000
22181.000000, 14.000000, 16211.000000, 0, 0, 0, 0, 67010, 5, 0, 0, 0, 8069, 0, 0.003883, 0.003883, 29907.000000
7470.000000, 14.000000, 674.000000, 0, 0, 0, 0, 67010, 5, 0, 0, 0, 8069, 0, 0.015523, 0.015523, 37370.000000
6145.000000, 7.000000, 533.000000, 0, 0, 0, 0, 67010, 9, 0, 0, 0, 8069, 0, 0.034906, 0.034906, 43511.000000
5646.000000, 7.000000, 479.000000, 0, 0, 0, 0, 67010, 15, 0, 0, 0, 8069, 0, 0.062013, 0.062013, 49152.000000
5194.000000, 11.000000, 462.000000, 0, 0, 0, 0, 67010, 22, 0, 0, 0, 8069, 0, 0.096824, 0.096824, 54340.000000
5062.000000, 9.000000, 672.000000, 0, 0, 0, 0, 67010, 31, 0, 0, 0, 8069, 0, 0.139316, 0.139316, 59397.000000
4438.000000, 10.000000, 467.000000, 0, 0, 0, 0, 67010, 51, 0, 0, 0, 8069, 0, 0.189462, 0.189462, 63831.000000
4727.000000, 9.000000, 500.000000, 0, 0, 0, 0, 67010, 69, 0, 0, 0, 8069, 0, 0.247234, 0.247234, 68553.000000
4297.000000, 9.000000, 520.000000, 0, 0, 0, 0, 67010, 93, 0, 0, 0, 8069, 0, 0.312600, 0.312600, 72844.000000
4675.000000, 9.000000, 491.000000, 0, 0, 0, 0, 67010, 114, 0, 0, 0, 8069, 0, 0.385527, 0.385527, 77513.000000
5073.000000, 9.000000, 521.000000, 0, 0, 0, 0, 67010, 128, 0, 0, 0, 8069, 0, 0.465978, 0.465978, 82581.000000
3851.000000, 10.000000, 545.000000, 0, 0, 0, 0, 67010, 146, 0, 0, 0, 8069, 0, 0.553913, 0.553913, 86426.000000
4131.000000, 11.000000, 538.000000, 0, 0, 0, 0, 67010, 194, 0, 0, 0, 8069, 0, 0.649291, 0.649291, 90551.000000
4833.000000, 9.000000, 552.000000, 0, 0, 0, 0, 67010, 307, 0, 0, 0, 8069, 0, 0.752068, 0.752068, 95379.000000
5252.000000, 11.000000, 616.000000, 0, 0, 0, 0, 67010, 495, 0, 0, 0, 8069, 0, 0.862197, 0.862197, 100624.000000
5913.000000, 9.000000, 648.000000, 0, 0, 0, 0, 67010, 681, 0, 0, 0, 8069, 0, 0.979630, 0.979630, 106531.000000
7206.000000, 10.000000, 643.000000, 0, 0, 0, 0, 67010, 907, 0, 0, 0, 8069, 0, 1.104315, 1.104315, 113731.000000
7591.000000, 10.000000, 701.000000, 0, 0, 0, 0, 67010, 1183, 0, 0, 0, 8069, 0, 1.236198, 1.236198, 121315.000000
8614.000000, 10.000000, 690.000000, 0, 0, 0, 0, 67010, 1644, 0, 0, 0, 8069, 0, 1.375224, 1.375224, 129922.000000
10034.000000, 11.000000, 688.000000, 0, 0, 0, 0, 67010, 2230, 0, 0, 0, 8069, 0, 1.521335, 1.521335, 139949.000000
12366.000000, 10.000000, 720.000000, 0, 0, 0, 0, 67010, 2930, 0, 0, 0, 8069, 0, 1.674471, 1.674471, 152309.000000
14743.000000, 12.000000, 719.000000, 0, 0, 0, 0, 67010, 3858, 0, 0, 0, 8069, 0, 1.834570, 1.834570, 167046.000000
18045.000000, 11.000000, 748.000000, 0, 0, 0, 0, 67010, 4970, 0, 0, 0, 8069, 0, 2.001568, 2.001568, 185085.000000
22117.000000, 11.000000, 749.000000, 0, 0, 0, 0, 67010, 6383, 0, 0, 0, 8069, 0, 2.175399, 2.175399, 207196.000000
23843.000000, 10.000000, 780.000000, 0, 0, 0, 0, 67010, 8055, 0, 0, 0, 8069, 0, 2.355994, 2.355994, 231033.000000
29292.000000, 12.000000, 777.000000, 0, 0, 0, 0, 67010, 10047, 0, 0, 0, 8069, 0, 2.543284, 2.543284, 260318.000000
35177.000000, 14.000000, 1116.000000, 0, 0, 0, 0, 67010, 12436, 0, 0, 0, 8069, 0, 2.737198, 2.737198, 295487.000000
41315.000000, 11.000000, 768.000000, 0, 0, 0, 0, 67010, 15216, 0, 0, 0, 8069, 0, 2.937662, 2.937662, 336795.000000
48371.000000, 12.000000, 764.000000, 0, 0, 0, 0, 67010, 18368, 0, 0, 0, 8069, 0, 3.144603, 3.144603, 385160.000000
56661.000000, 11.000000, 782.000000, 0, 0, 0, 0, 67010, 21840, 0, 0, 0, 8069, 0, 3.357941, 3.357941, 441815.000000
65856.000000, 23.000000, 799.000000, 0, 0, 0, 0, 67010, 25719, 0, 0, 0, 8069, 0, 3.577602, 3.577602, 507664.000000
77243.000000, 12.000000, 831.000000, 0, 0, 0, 0, 67010, 29893, 0, 0, 0, 8069, 0, 3.803504, 3.803504, 584900.000000
89578.000000, 13.000000, 847.000000, 0, 0, 0, 0, 67010, 34121, 0, 0, 0, 8069, 0, 4.035569, 4.035569, 674471.000000
98150.000000, 12.000000, 883.000000, 0, 0, 0, 0, 67010, 38510, 0, 0, 0, 8069, 0, 4.273713, 4.273713, 772613.000000
