querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
345596.000000, 17.000000, 35.000000, 0, 0, 0, 0, 63981, 63434, 0, 0, 0, 34, 0, 430.242828, 339.123474, 345595.000000
9051.000000, 7.000000, 1957.000000, 0, 0, 0, 0, 63981, 5, 0, 0, 0, 17625, 0, 0.365176, 0.365176, 354644.000000
302530.000000, 7.000000, 1484.000000, 0, 0, 0, 0, 63981, 63414, 0, 0, 0, 2434, 0, 364.313446, 304.093292, 657172.000000
11562.000000, 7.000000, 1276.000000, 0, 0, 0, 0, 63981, 95, 0, 0, 0, 12247, 0, 1.638407, 1.638407, 668731.000000
196143.000000, 7.000000, 47.000000, 0, 0, 0, 0, 63981, 63311, 0, 0, 0, 63, 0, 355.456451, 194.679367, 864872.000000
202229.000000, 7.000000, 1458.000000, 0, 0, 0, 0, 63981, 63257, 0, 0, 0, 2898, 0, 196.824997, 187.058197, 1067098.000000
8854.000000, 8.000000, 242.000000, 0, 0, 0, 0, 63981, 184, 0, 0, 0, 600, 0, 4.409128, 3.834274, 1075950.000000
11403.000000, 7.000000, 2740.000000, 0, 0, 0, 0, 63981, 18, 0, 0, 0, 17053, 0, 1.939525, 1.939525, 1087351.000000
13751.000000, 8.000000, 5066.000000, 0, 0, 0, 0, 63981, 8, 0, 0, 0, 17405, 0, 0.892899, 0.892899, 1101100.000000
232402.000000, 7.000000, 13.000000, 0, 0, 0, 0, 63981, 63400, 0, 0, 0, 10, 0, 400.605133, 251.284012, 1333500.000000
13017.000000, 7.000000, 3927.000000, 0, 0, 0, 0, 63981, 21, 0, 0, 0, 14802, 0, 1.697101, 1.697101, 1346515.000000
12638.000000, 8.000000, 3698.000000, 0, 0, 0, 0, 63981, 9, 0, 0, 0, 11700, 0, 0.167392, 0.119568, 1359151.000000
324384.000000, 7.000000, 75.000000, 0, 0, 0, 0, 63981, 63466, 0, 0, 0, 83, 0, 415.647552, 322.906403, 1683533.000000
15506.000000, 8.000000, 4589.000000, 0, 0, 0, 0, 63981, 28, 0, 0, 0, 10410, 0, 3.514809, 3.514809, 1699037.000000
19584.000000, 8.000000, 7101.000000, 0, 0, 0, 0, 63981, 56, 0, 0, 0, 17523, 0, 7.807409, 6.178798, 1718619.000000
17750.000000, 7.000000, 6230.000000, 0, 0, 0, 0, 63981, 36, 0, 0, 0, 17995, 0, 5.001294, 4.848814, 1736366.000000
46450.000000, 8.000000, 37.000000, 0, 0, 0, 0, 63981, 33605, 0, 0, 0, 42, 0, 135.477676, 102.810822, 1782814.000000
22396.000000, 7.000000, 4646.000000, 0, 0, 0, 0, 63981, 148, 0, 0, 0, 9368, 0, 14.513070, 12.769119, 1805208.000000
204255.000000, 7.000000, 71.000000, 0, 0, 0, 0, 63981, 63369, 0, 0, 0, 81, 0, 316.349609, 253.340515, 2009462.000000
10450.000000, 8.000000, 2541.000000, 0, 0, 0, 0, 63981, 47, 0, 0, 0, 8249, 0, 8.426591, 5.605164, 2019910.000000
12930.000000, 8.000000, 2956.000000, 0, 0, 0, 0, 63981, 16, 0, 0, 0, 11165, 0, 2.724831, 2.319895, 2032838.000000
159382.000000, 7.000000, 49.000000, 0, 0, 0, 0, 63981, 63232, 0, 0, 0, 65, 0, 317.649200, 151.521957, 2192218.000000
348190.000000, 8.000000, 32.000000, 0, 0, 0, 0, 63981, 63444, 0, 0, 0, 30, 0, 423.362488, 338.448639, 2540406.000000
11036.000000, 7.000000, 2340.000000, 0, 0, 0, 0, 63981, 5, 0, 0, 0, 12545, 0, 1.944981, 1.670906, 2551440.000000
86442.000000, 7.000000, 7493.000000, 0, 0, 0, 0, 63981, 53787, 0, 0, 0, 16443, 0, 108.396286, 108.396286, 2637881.000000
11054.000000, 8.000000, 2970.000000, 0, 0, 0, 0, 63981, 7, 0, 0, 0, 12185, 0, 0.887677, 0.887677, 2648933.000000
10184.000000, 7.000000, 1129.000000, 0, 0, 0, 0, 63981, 37, 0, 0, 0, 4312, 0, 6.289430, 5.915697, 2659115.000000
11779.000000, 7.000000, 3149.000000, 0, 0, 0, 0, 63981, 9, 0, 0, 0, 16667, 0, 0.362603, 0.362603, 2670892.000000
11122.000000, 7.000000, 3104.000000, 0, 0, 0, 0, 63981, 7, 0, 0, 0, 10132, 0, 0.480697, 0.480697, 2682012.000000
337506.000000, 7.000000, 34.000000, 0, 0, 0, 0, 63981, 63408, 0, 0, 0, 36, 0, 462.239441, 325.659393, 3019516.000000
39472.000000, 8.000000, 10282.000000, 0, 0, 0, 0, 63981, 1657, 0, 0, 0, 17405, 0, 37.120770, 35.937546, 3058985.000000
71532.000000, 8.000000, 41.000000, 0, 0, 0, 0, 63981, 53222, 0, 0, 0, 68, 0, 157.881973, 114.644341, 3130515.000000
53392.000000, 7.000000, 14.000000, 0, 0, 0, 0, 63981, 44564, 0, 0, 0, 13, 0, 240.541031, 115.778435, 3183904.000000
8429.000000, 7.000000, 350.000000, 0, 0, 0, 0, 63981, 959, 0, 0, 0, 600, 0, 18.711533, 18.711533, 3192331.000000
62224.000000, 8.000000, 110.000000, 0, 0, 0, 0, 63981, 32582, 0, 0, 0, 235, 0, 106.848839, 95.382973, 3254553.000000
29066.000000, 7.000000, 6336.000000, 0, 0, 0, 0, 63981, 180, 0, 0, 0, 10571, 0, 19.090269, 17.472527, 3283618.000000
16660.000000, 7.000000, 5174.000000, 0, 0, 0, 0, 63981, 12, 0, 0, 0, 15727, 0, 1.470446, 1.470446, 3300277.000000
55683.000000, 7.000000, 3020.000000, 0, 0, 0, 0, 63981, 14247, 0, 0, 0, 6733, 0, 69.809303, 67.701988, 3355958.000000
15022.000000, 7.000000, 6960.000000, 0, 0, 0, 0, 63981, 19, 0, 0, 0, 15020, 0, 1.767895, 1.755522, 3370978.000000
12141.000000, 7.000000, 451.000000, 0, 0, 0, 0, 63981, 1824, 0, 0, 0, 1485, 0, 29.995703, 26.423359, 3383117.000000
342632.000000, 7.000000, 251.000000, 0, 0, 0, 0, 63981, 63473, 0, 0, 0, 486, 0, 402.201172, 345.895203, 3725747.000000
35539.000000, 7.000000, 1594.000000, 0, 0, 0, 0, 63981, 5720, 0, 0, 0, 2992, 0, 65.736832, 53.962887, 3761284.000000
120113.000000, 7.000000, 10330.000000, 0, 0, 0, 0, 63981, 59729, 0, 0, 0, 17995, 0, 126.316833, 126.116570, 3881395.000000
25781.000000, 7.000000, 2041.000000, 0, 0, 0, 0, 63981, 4392, 0, 0, 0, 4761, 0, 37.431744, 34.010887, 3907175.000000
336419.000000, 8.000000, 115.000000, 0, 0, 0, 0, 63981, 63451, 0, 0, 0, 154, 0, 434.048798, 258.337585, 4243592.000000
345205.000000, 7.000000, 39.000000, 0, 0, 0, 0, 63981, 63447, 0, 0, 0, 37, 0, 452.429382, 321.179871, 4588795.000000
240323.000000, 7.000000, 62.000000, 0, 0, 0, 0, 63981, 63356, 0, 0, 0, 118, 0, 258.057281, 243.376450, 4829116.000000
178964.000000, 7.000000, 80.000000, 0, 0, 0, 0, 63981, 63210, 0, 0, 0, 139, 0, 209.565216, 204.954391, 5008078.000000
349833.000000, 7.000000, 32.000000, 0, 0, 0, 0, 63981, 63445, 0, 0, 0, 28, 0, 414.943329, 323.347076, 5357908.000000
314488.000000, 7.000000, 282.000000, 0, 0, 0, 0, 63981, 63400, 0, 0, 0, 455, 0, 374.497620, 277.570007, 5672394.000000
334239.000000, 8.000000, 71.000000, 0, 0, 0, 0, 63981, 63428, 0, 0, 0, 80, 0, 427.800018, 334.601196, 6006631.000000
318450.000000, 7.000000, 34.000000, 0, 0, 0, 0, 63981, 63400, 0, 0, 0, 42, 0, 368.356750, 307.404266, 6325079.000000
329212.000000, 7.000000, 23.000000, 0, 0, 0, 0, 63981, 63412, 0, 0, 0, 28, 0, 435.329285, 320.210419, 6654289.000000
339446.000000, 7.000000, 50.000000, 0, 0, 0, 0, 63981, 63429, 0, 0, 0, 73, 0, 407.734070, 280.394684, 6993733.000000
8722.000000, 8.000000, 1333.000000, 0, 0, 0, 0, 63981, 6, 0, 0, 0, 4098, 0, 1.354596, 1.354596, 7002453.000000
199800.000000, 7.000000, 3221.000000, 0, 0, 0, 0, 63981, 63214, 0, 0, 0, 6462, 0, 174.587021, 169.126205, 7202250.000000
193950.000000, 7.000000, 25.000000, 0, 0, 0, 0, 63981, 63356, 0, 0, 0, 27, 0, 441.722382, 197.533722, 7396197.000000
133345.000000, 2.000000, 59.000000, 0, 0, 0, 0, 63981, 63063, 0, 0, 0, 86, 0, 405.144775, 112.079292, 7529542.000000
270673.000000, 8.000000, 34.000000, 0, 0, 0, 0, 63981, 63421, 0, 0, 0, 39, 0, 308.334320, 295.079834, 7800212.000000
166846.000000, 7.000000, 85.000000, 0, 0, 0, 0, 63981, 63199, 0, 0, 0, 147, 0, 285.656860, 141.814804, 7967056.000000
