querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
65833.000000, 11.000000, 7.000000, 0, 0, 0, 0, 62025, 59678, 0, 0, 0, 8, 0, 404.910339, 252.075409, 65826.000000
75286.000000, 15.000000, 142.000000, 0, 0, 0, 0, 62025, 60379, 0, 0, 0, 257, 0, 384.590424, 305.809296, 141101.000000
65409.000000, 15.000000, 37.000000, 0, 0, 0, 0, 62025, 60194, 0, 0, 0, 36, 0, 336.817810, 257.408691, 206501.000000
53405.000000, 16.000000, 5.000000, 0, 0, 0, 0, 62025, 58899, 0, 0, 0, 4, 0, 374.206848, 227.161194, 259896.000000
60866.000000, 14.000000, 3.000000, 0, 0, 0, 0, 62025, 59829, 0, 0, 0, 1, 0, 469.375732, 252.694427, 320753.000000
59054.000000, 14.000000, 3.000000, 0, 0, 0, 0, 62025, 59517, 0, 0, 0, 2, 0, 505.744324, 239.022842, 379798.000000
76489.000000, 11.000000, 10.000000, 0, 0, 0, 0, 62025, 60505, 0, 0, 0, 10, 0, 399.429871, 330.185974, 456281.000000
75421.000000, 16.000000, 41.000000, 0, 0, 0, 0, 62025, 60336, 0, 0, 0, 51, 0, 415.633392, 295.016541, 531691.000000
63388.000000, 16.000000, 15.000000, 0, 0, 0, 0, 62025, 59919, 0, 0, 0, 17, 0, 306.371643, 231.599518, 595070.000000
57290.000000, 14.000000, 7.000000, 0, 0, 0, 0, 62025, 59615, 0, 0, 0, 5, 0, 377.995056, 255.593063, 652352.000000
77847.000000, 15.000000, 12.000000, 0, 0, 0, 0, 62025, 60475, 0, 0, 0, 9, 0, 476.052979, 332.273438, 730188.000000
61197.000000, 14.000000, 5.000000, 0, 0, 0, 0, 62025, 59696, 0, 0, 0, 4, 0, 387.018433, 219.572067, 791376.000000
76584.000000, 12.000000, 6.000000, 0, 0, 0, 0, 62025, 60460, 0, 0, 0, 7, 0, 424.271179, 270.149384, 867952.000000
79809.000000, 15.000000, 65.000000, 0, 0, 0, 0, 62025, 60463, 0, 0, 0, 79, 0, 455.185516, 354.312744, 947753.000000
72418.000000, 14.000000, 125.000000, 0, 0, 0, 0, 62025, 60071, 0, 0, 0, 194, 0, 391.065826, 284.677338, 1020163.000000
73910.000000, 15.000000, 11.000000, 0, 0, 0, 0, 62025, 60519, 0, 0, 0, 8, 0, 489.156097, 304.460114, 1094064.000000
110649.000000, 12.000000, 1.000000, 0, 0, 0, 0, 62025, 58193, 0, 0, 0, 0, 0, 333.560822, 185.877975, 1204706.000000
60403.000000, 16.000000, 4.000000, 0, 0, 0, 0, 62025, 59634, 0, 0, 0, 3, 0, 371.153687, 261.093567, 1265100.000000
55468.000000, 11.000000, 13.000000, 0, 0, 0, 0, 62025, 59292, 0, 0, 0, 13, 0, 334.894073, 184.020065, 1320562.000000
70809.000000, 11.000000, 14.000000, 0, 0, 0, 0, 62025, 60208, 0, 0, 0, 13, 0, 367.164459, 274.723938, 1391365.000000
62752.000000, 11.000000, 7.000000, 0, 0, 0, 0, 62025, 60089, 0, 0, 0, 6, 0, 346.625427, 258.643982, 1454112.000000
63568.000000, 14.000000, 9.000000, 0, 0, 0, 0, 62025, 59922, 0, 0, 0, 9, 0, 395.849854, 242.973755, 1517672.000000
64545.000000, 13.000000, 6.000000, 0, 0, 0, 0, 62025, 59902, 0, 0, 0, 4, 0, 334.821869, 244.364609, 1582210.000000
56224.000000, 11.000000, 3.000000, 0, 0, 0, 0, 62025, 59325, 0, 0, 0, 2, 0, 500.601288, 212.744415, 1638428.000000
76547.000000, 12.000000, 39.000000, 0, 0, 0, 0, 62025, 60235, 0, 0, 0, 49, 0, 456.794525, 336.467529, 1714969.000000
79628.000000, 13.000000, 3.000000, 0, 0, 0, 0, 62025, 60594, 0, 0, 0, 2, 0, 398.179413, 298.238708, 1794590.000000
52447.000000, 15.000000, 18.000000, 0, 0, 0, 0, 62025, 58762, 0, 0, 0, 19, 0, 347.975098, 207.232239, 1847028.000000
67580.000000, 14.000000, 4.000000, 0, 0, 0, 0, 62025, 59995, 0, 0, 0, 4, 0, 420.136871, 283.994354, 1914600.000000
62204.000000, 12.000000, 16.000000, 0, 0, 0, 0, 62025, 59685, 0, 0, 0, 16, 0, 312.060913, 226.505020, 1976798.000000
52655.000000, 11.000000, 46.000000, 0, 0, 0, 0, 62025, 59197, 0, 0, 0, 66, 0, 270.105560, 210.800079, 2029446.000000
67418.000000, 13.000000, 13.000000, 0, 0, 0, 0, 62025, 59888, 0, 0, 0, 12, 0, 432.825897, 219.827896, 2096856.000000
61749.000000, 16.000000, 24.000000, 0, 0, 0, 0, 62025, 59868, 0, 0, 0, 26, 0, 363.744934, 238.040863, 2158595.000000
73232.000000, 15.000000, 24.000000, 0, 0, 0, 0, 62025, 60257, 0, 0, 0, 22, 0, 405.756317, 265.024353, 2231817.000000
