querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
27668.000000, 9.000000, 4.000000, 0, 0, 0, 0, 64481, 50621, 0, 0, 0, 5, 0, 382.384613, 252.075409, 27662.000000
23931.000000, 11.000000, 3.000000, 0, 0, 0, 0, 64481, 52546, 0, 0, 0, 3, 0, 453.437683, 305.809296, 51586.000000
21052.000000, 9.000000, 10.000000, 0, 0, 0, 0, 64481, 49099, 0, 0, 0, 19, 0, 413.636597, 257.408691, 72631.000000
17478.000000, 10.000000, 3.000000, 0, 0, 0, 0, 64481, 39869, 0, 0, 0, 4, 0, 396.931580, 227.161194, 90102.000000
19094.000000, 11.000000, 4.000000, 0, 0, 0, 0, 64481, 47901, 0, 0, 0, 7, 0, 330.812408, 252.694427, 109189.000000
18048.000000, 10.000000, 3.000000, 0, 0, 0, 0, 64481, 45564, 0, 0, 0, 4, 0, 447.627716, 239.022842, 127230.000000
23806.000000, 9.000000, 5.000000, 0, 0, 0, 0, 64481, 53314, 0, 0, 0, 10, 0, 462.025269, 330.185974, 151029.000000
25229.000000, 9.000000, 16.000000, 0, 0, 0, 0, 64481, 50979, 0, 0, 0, 31, 0, 411.510254, 295.016541, 176252.000000
20766.000000, 9.000000, 6.000000, 0, 0, 0, 0, 64481, 48622, 0, 0, 0, 9, 0, 437.182678, 231.599518, 197010.000000
16875.000000, 10.000000, 1.000000, 0, 0, 0, 0, 64481, 45615, 0, 0, 0, 1, 0, 384.777527, 255.593063, 213879.000000
24278.000000, 10.000000, 4.000000, 0, 0, 0, 0, 64481, 52228, 0, 0, 0, 5, 0, 480.605347, 332.273438, 238151.000000
19106.000000, 9.000000, 5.000000, 0, 0, 0, 0, 64481, 46866, 0, 0, 0, 8, 0, 349.672607, 219.572067, 257250.000000
21193.000000, 9.000000, 9.000000, 0, 0, 0, 0, 64481, 51575, 0, 0, 0, 15, 0, 390.879120, 270.149384, 278436.000000
24792.000000, 10.000000, 3.000000, 0, 0, 0, 0, 64481, 52715, 0, 0, 0, 4, 0, 486.815369, 354.312744, 303221.000000
25056.000000, 12.000000, 6.000000, 0, 0, 0, 0, 64481, 51561, 0, 0, 0, 10, 0, 452.554565, 284.677338, 328270.000000
23801.000000, 10.000000, 3.000000, 0, 0, 0, 0, 64481, 52312, 0, 0, 0, 5, 0, 394.209259, 304.460114, 352062.000000
15122.000000, 9.000000, 1.000000, 0, 0, 0, 0, 64481, 35571, 0, 0, 0, 1, 0, 418.270477, 185.877975, 367178.000000
16905.000000, 9.000000, 4.000000, 0, 0, 0, 0, 64481, 46304, 0, 0, 0, 6, 0, 371.153687, 261.093567, 384077.000000
15476.000000, 9.000000, 6.000000, 0, 0, 0, 0, 64481, 41981, 0, 0, 0, 8, 0, 334.894073, 184.020065, 399546.000000
20642.000000, 10.000000, 3.000000, 0, 0, 0, 0, 64481, 50731, 0, 0, 0, 5, 0, 385.714539, 274.723938, 420181.000000
18168.000000, 12.000000, 8.000000, 0, 0, 0, 0, 64481, 48376, 0, 0, 0, 15, 0, 383.598938, 258.643982, 438341.000000
17871.000000, 11.000000, 3.000000, 0, 0, 0, 0, 64481, 47320, 0, 0, 0, 6, 0, 339.260284, 242.973755, 456205.000000
17647.000000, 11.000000, 4.000000, 0, 0, 0, 0, 64481, 47380, 0, 0, 0, 7, 0, 332.297028, 244.364609, 473845.000000
20858.000000, 10.000000, 2.000000, 0, 0, 0, 0, 64481, 43354, 0, 0, 0, 2, 0, 457.851501, 212.744415, 494696.000000
23802.000000, 10.000000, 5.000000, 0, 0, 0, 0, 64481, 52882, 0, 0, 0, 5, 0, 469.889862, 336.467529, 518491.000000
23858.000000, 11.000000, 3.000000, 0, 0, 0, 0, 64481, 52626, 0, 0, 0, 4, 0, 398.179413, 298.238708, 542341.000000
