querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
966469.000000, 11.000000, 280.000000, 0, 0, 0, 0, 67260, 66188, 0, 0, 0, 282, 0, 255.982620, 160.474442, 966462.000000
1059538.000000, 11.000000, 105.000000, 0, 0, 0, 0, 67260, 66170, 0, 0, 0, 196, 0, 255.993271, 140.199997, 2025991.000000
32587.000000, 12.000000, 591.000000, 0, 0, 0, 0, 67260, 16017, 0, 0, 0, 1523, 0, 151.262726, 8.134409, 2058570.000000
32774.000000, 26.000000, 2741.000000, 0, 0, 0, 0, 67260, 3793, 0, 0, 0, 11671, 0, 61.045628, 6.328071, 2091328.000000
1033097.000000, 16.000000, 152.000000, 0, 0, 0, 0, 67260, 66188, 0, 0, 0, 237, 0, 207.182175, 107.638672, 3124415.000000
44331.000000, 12.000000, 2534.000000, 0, 0, 0, 0, 67260, 12912, 0, 0, 0, 7048, 0, 255.983414, 29.842976, 3168738.000000
44869.000000, 16.000000, 1735.000000, 0, 0, 0, 0, 67260, 9315, 0, 0, 0, 3314, 0, 255.985336, 11.716393, 3213597.000000
19159.000000, 17.000000, 2261.000000, 0, 0, 0, 0, 67260, 1886, 0, 0, 0, 19675, 0, 11.917797, 9.954462, 3232746.000000
156392.000000, 16.000000, 204.000000, 0, 0, 0, 0, 67260, 60213, 0, 0, 0, 336, 0, 255.980164, 64.074570, 3389129.000000
38848.000000, 10.000000, 3123.000000, 0, 0, 0, 0, 67260, 8278, 0, 0, 0, 8690, 0, 255.969177, 10.271839, 3427969.000000
33277.000000, 11.000000, 1050.000000, 0, 0, 0, 0, 67260, 9324, 0, 0, 0, 2005, 0, 159.235504, 25.018688, 3461238.000000
870811.000000, 14.000000, 116.000000, 0, 0, 0, 0, 67260, 66157, 0, 0, 0, 169, 0, 255.997223, 102.369072, 4332040.000000
1055306.000000, 12.000000, 180.000000, 0, 0, 0, 0, 67260, 66183, 0, 0, 0, 413, 0, 255.997894, 121.175713, 5387338.000000
86747.000000, 12.000000, 6655.000000, 0, 0, 0, 0, 67260, 51259, 0, 0, 0, 18814, 0, 140.469437, 73.848846, 5474077.000000
1031488.000000, 12.000000, 627.000000, 0, 0, 0, 0, 67260, 66177, 0, 0, 0, 1692, 0, 228.089767, 127.825340, 6505557.000000
20764.000000, 12.000000, 3894.000000, 0, 0, 0, 0, 67260, 1632, 0, 0, 0, 11461, 0, 130.259720, 7.556457, 6526314.000000
24070.000000, 13.000000, 817.000000, 0, 0, 0, 0, 67260, 1712, 0, 0, 0, 16767, 0, 2.317698, 1.750371, 6550376.000000
1035177.000000, 10.000000, 504.000000, 0, 0, 0, 0, 67260, 66158, 0, 0, 0, 1346, 0, 255.991547, 145.661316, 7585544.000000
1058587.000000, 10.000000, 119.000000, 0, 0, 0, 0, 67260, 66152, 0, 0, 0, 147, 0, 255.996841, 105.415886, 8644122.000000
1052000.000000, 12.000000, 1000.000000, 0, 0, 0, 0, 67260, 66110, 0, 0, 0, 2701, 0, 255.998077, 158.617188, 9696114.000000
85932.000000, 13.000000, 1675.000000, 0, 0, 0, 0, 67260, 38881, 0, 0, 0, 4755, 0, 246.274704, 133.686996, 9782038.000000
1052341.000000, 17.000000, 922.000000, 0, 0, 0, 0, 67260, 66161, 0, 0, 0, 1704, 0, 255.991211, 101.880653, 10834368.000000
1083839.000000, 12.000000, 181.000000, 0, 0, 0, 0, 67260, 66170, 0, 0, 0, 386, 0, 142.229919, 125.038994, 11918199.000000
1061499.000000, 17.000000, 113.000000, 0, 0, 0, 0, 67260, 66165, 0, 0, 0, 175, 0, 255.990509, 142.428604, 12979688.000000
128592.000000, 12.000000, 1157.000000, 0, 0, 0, 0, 67260, 55760, 0, 0, 0, 3232, 0, 197.501221, 108.611481, 13108272.000000
175258.000000, 12.000000, 172.000000, 0, 0, 0, 0, 67260, 65194, 0, 0, 0, 412, 0, 255.984497, 102.284157, 13283523.000000
21604.000000, 10.000000, 1433.000000, 0, 0, 0, 0, 67260, 3882, 0, 0, 0, 17206, 0, 24.284573, 3.007715, 13305119.000000
746041.000000, 12.000000, 110.000000, 0, 0, 0, 0, 67260, 66128, 0, 0, 0, 203, 0, 255.989960, 135.470581, 14051152.000000
29821.000000, 11.000000, 79.000000, 0, 0, 0, 0, 67260, 16073, 0, 0, 0, 120, 0, 255.994385, 34.015835, 14080966.000000
61308.000000, 11.000000, 118.000000, 0, 0, 0, 0, 67260, 18078, 0, 0, 0, 216, 0, 255.990555, 74.786240, 14142266.000000
54055.000000, 12.000000, 592.000000, 0, 0, 0, 0, 67260, 32085, 0, 0, 0, 1500, 0, 255.992218, 84.753769, 14196313.000000
