querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
447264.000000, 17.000000, 33.000000, 0, 0, 0, 0, 65036, 64861, 0, 0, 0, 40, 0, 255.987381, 158.258011, 447263.000000
448258.000000, 7.000000, 32.000000, 0, 0, 0, 0, 65036, 64852, 0, 0, 0, 34, 0, 255.996109, 181.711288, 895518.000000
40699.000000, 8.000000, 394.000000, 0, 0, 0, 0, 65036, 22099, 0, 0, 0, 724, 0, 177.681442, 85.829346, 936214.000000
437061.000000, 7.000000, 60.000000, 0, 0, 0, 0, 65036, 64872, 0, 0, 0, 74, 0, 255.998077, 101.962402, 1373274.000000
435558.000000, 7.000000, 18.000000, 0, 0, 0, 0, 65036, 64858, 0, 0, 0, 19, 0, 255.988617, 147.802338, 1808830.000000
444302.000000, 8.000000, 58.000000, 0, 0, 0, 0, 65036, 64847, 0, 0, 0, 73, 0, 255.998108, 183.378067, 2253129.000000
53200.000000, 8.000000, 132.000000, 0, 0, 0, 0, 65036, 31737, 0, 0, 0, 192, 0, 255.975830, 91.945007, 2306327.000000
65202.000000, 8.000000, 58.000000, 0, 0, 0, 0, 65036, 48271, 0, 0, 0, 70, 0, 255.997818, 135.380249, 2371527.000000
56695.000000, 8.000000, 54.000000, 0, 0, 0, 0, 65036, 37125, 0, 0, 0, 70, 0, 255.998169, 93.383339, 2428220.000000
69169.000000, 13.000000, 442.000000, 0, 0, 0, 0, 65036, 56285, 0, 0, 0, 627, 0, 172.037918, 143.090027, 2497386.000000
37836.000000, 7.000000, 59.000000, 0, 0, 0, 0, 65036, 13944, 0, 0, 0, 79, 0, 255.991165, 53.414455, 2535220.000000
13115.000000, 8.000000, 272.000000, 0, 0, 0, 0, 65036, 2882, 0, 0, 0, 832, 0, 49.309914, 44.603924, 2548333.000000
449177.000000, 6.000000, 62.000000, 0, 0, 0, 0, 65036, 64843, 0, 0, 0, 80, 0, 255.985474, 146.280670, 2997508.000000
81456.000000, 8.000000, 284.000000, 0, 0, 0, 0, 65036, 56823, 0, 0, 0, 515, 0, 182.686478, 116.066116, 3078961.000000
43975.000000, 8.000000, 87.000000, 0, 0, 0, 0, 65036, 30006, 0, 0, 0, 142, 0, 139.494110, 92.917755, 3122933.000000
68598.000000, 8.000000, 96.000000, 0, 0, 0, 0, 65036, 47563, 0, 0, 0, 147, 0, 187.367279, 111.920464, 3191529.000000
462923.000000, 9.000000, 73.000000, 0, 0, 0, 0, 65036, 64870, 0, 0, 0, 95, 0, 255.993118, 194.605789, 3654450.000000
92469.000000, 8.000000, 33.000000, 0, 0, 0, 0, 65036, 63520, 0, 0, 0, 34, 0, 255.998718, 111.665497, 3746917.000000
55328.000000, 8.000000, 181.000000, 0, 0, 0, 0, 65036, 32715, 0, 0, 0, 308, 0, 255.987793, 100.937386, 3802242.000000
46082.000000, 7.000000, 798.000000, 0, 0, 0, 0, 65036, 31828, 0, 0, 0, 1459, 0, 118.503525, 100.603912, 3848322.000000
35287.000000, 8.000000, 366.000000, 0, 0, 0, 0, 65036, 13461, 0, 0, 0, 631, 0, 196.624786, 66.711548, 3883607.000000
54199.000000, 7.000000, 350.000000, 0, 0, 0, 0, 65036, 31734, 0, 0, 0, 581, 0, 255.989151, 80.351357, 3937803.000000
68864.000000, 8.000000, 111.000000, 0, 0, 0, 0, 65036, 51921, 0, 0, 0, 173, 0, 255.987839, 147.360214, 4006665.000000
32316.000000, 9.000000, 593.000000, 0, 0, 0, 0, 65036, 23814, 0, 0, 0, 1138, 0, 95.806725, 91.316200, 4038979.000000
34693.000000, 8.000000, 405.000000, 0, 0, 0, 0, 65036, 10086, 0, 0, 0, 741, 0, 185.486450, 52.865437, 4073670.000000
14584.000000, 7.000000, 1263.000000, 0, 0, 0, 0, 65036, 2209, 0, 0, 0, 3927, 0, 37.097515, 34.020420, 4088251.000000
12234.000000, 6.000000, 1152.000000, 0, 0, 0, 0, 65036, 1912, 0, 0, 0, 3927, 0, 31.527184, 31.527184, 4100484.000000
41544.000000, 6.000000, 103.000000, 0, 0, 0, 0, 65036, 20261, 0, 0, 0, 147, 0, 242.244019, 75.281052, 4142027.000000
48014.000000, 7.000000, 142.000000, 0, 0, 0, 0, 65036, 28569, 0, 0, 0, 233, 0, 255.991501, 81.051620, 4190039.000000
67942.000000, 8.000000, 99.000000, 0, 0, 0, 0, 65036, 51417, 0, 0, 0, 144, 0, 255.983566, 127.326126, 4257978.000000
37898.000000, 7.000000, 162.000000, 0, 0, 0, 0, 65036, 12753, 0, 0, 0, 255, 0, 255.992920, 63.163536, 4295873.000000
61341.000000, 7.000000, 378.000000, 0, 0, 0, 0, 65036, 42168, 0, 0, 0, 661, 0, 246.946701, 113.241669, 4357212.000000
38283.000000, 8.000000, 94.000000, 0, 0, 0, 0, 65036, 17200, 0, 0, 0, 150, 0, 255.993881, 68.065422, 4395492.000000
78751.000000, 7.000000, 48.000000, 0, 0, 0, 0, 65036, 58445, 0, 0, 0, 56, 0, 255.998032, 144.007919, 4474240.000000
448177.000000, 8.000000, 99.000000, 0, 0, 0, 0, 65036, 64838, 0, 0, 0, 142, 0, 255.998032, 114.220673, 4922414.000000
72152.000000, 8.000000, 37.000000, 0, 0, 0, 0, 65036, 56371, 0, 0, 0, 47, 0, 255.973892, 132.838913, 4994563.000000
66358.000000, 8.000000, 100.000000, 0, 0, 0, 0, 65036, 48200, 0, 0, 0, 139, 0, 255.982971, 147.053467, 5060919.000000
52575.000000, 8.000000, 23.000000, 0, 0, 0, 0, 65036, 31026, 0, 0, 0, 26, 0, 255.995392, 76.447426, 5113492.000000
55141.000000, 8.000000, 22.000000, 0, 0, 0, 0, 65036, 30475, 0, 0, 0, 20, 0, 255.997009, 70.421349, 5168630.000000
10409.000000, 3.000000, 2169.000000, 0, 0, 0, 0, 65036, 375, 0, 0, 0, 7765, 0, 28.233946, 21.959927, 5179039.000000
75507.000000, 2.000000, 31.000000, 0, 0, 0, 0, 65036, 62436, 0, 0, 0, 30, 0, 255.998444, 161.175446, 5254546.000000
38640.000000, 6.000000, 65.000000, 0, 0, 0, 0, 65036, 16094, 0, 0, 0, 78, 0, 255.993301, 75.852371, 5293184.000000
