querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
33300.000000, 12.000000, 1411.000000, 0, 0, 0, 0, 72146, 5140, 0, 0, 0, 2324, 0, 17.564491, 12.447766, 33291.000000
17566.000000, 13.000000, 5823.000000, 0, 0, 0, 0, 72146, 148, 0, 0, 0, 10302, 0, 1.665452, 1.665452, 50848.000000
63388.000000, 11.000000, 218.000000, 0, 0, 0, 0, 72146, 16551, 0, 0, 0, 424, 0, 33.767693, 20.164249, 114228.000000
1403552.000000, 12.000000, 463.000000, 0, 0, 0, 0, 72146, 67394, 0, 0, 0, 829, 0, 246.227081, 213.470169, 1517772.000000
204986.000000, 13.000000, 908.000000, 0, 0, 0, 0, 72146, 33466, 0, 0, 0, 2236, 0, 79.736290, 49.990955, 1722749.000000
8297.000000, 13.000000, 2780.000000, 0, 0, 0, 0, 72146, 47, 0, 0, 0, 10935, 0, 0.179217, 0.179217, 1731037.000000
1328307.000000, 10.000000, 9792.000000, 0, 0, 0, 0, 72146, 67768, 0, 0, 0, 19463, 0, 216.595322, 151.610733, 3059337.000000
471287.000000, 17.000000, 122.000000, 0, 0, 0, 0, 72146, 66693, 0, 0, 0, 184, 0, 285.402924, 92.912659, 3530613.000000
449360.000000, 16.000000, 12207.000000, 0, 0, 0, 0, 72146, 31530, 0, 0, 0, 18744, 0, 60.896843, 48.675865, 3979963.000000
16723.000000, 12.000000, 5628.000000, 0, 0, 0, 0, 72146, 127, 0, 0, 0, 17775, 0, 0.989566, 0.989566, 3996679.000000
86254.000000, 14.000000, 1443.000000, 0, 0, 0, 0, 72146, 5376, 0, 0, 0, 5846, 0, 19.763634, 14.495574, 4082923.000000
30417.000000, 12.000000, 99.000000, 0, 0, 0, 0, 72146, 9605, 0, 0, 0, 273, 0, 84.872833, 55.950466, 4113332.000000
1194813.000000, 12.000000, 5605.000000, 0, 0, 0, 0, 72146, 67926, 0, 0, 0, 12926, 0, 227.897400, 181.264832, 5308135.000000
5773.000000, 11.000000, 108.000000, 0, 0, 0, 0, 72146, 1003, 0, 0, 0, 349, 0, 25.367739, 6.714111, 5313899.000000
115724.000000, 9.000000, 687.000000, 0, 0, 0, 0, 72146, 17552, 0, 0, 0, 1696, 0, 154.553650, 37.990635, 5429617.000000
250697.000000, 18.000000, 7205.000000, 0, 0, 0, 0, 72146, 33308, 0, 0, 0, 9884, 0, 83.956024, 65.409508, 5680301.000000
704428.000000, 11.000000, 930.000000, 0, 0, 0, 0, 72146, 67040, 0, 0, 0, 2116, 0, 186.416351, 141.049713, 6384721.000000
386646.000000, 12.000000, 154.000000, 0, 0, 0, 0, 72146, 65880, 0, 0, 0, 253, 0, 412.121857, 54.946804, 6771359.000000
395449.000000, 12.000000, 406.000000, 0, 0, 0, 0, 72146, 66542, 0, 0, 0, 862, 0, 197.364548, 137.332886, 7166800.000000
602196.000000, 15.000000, 1730.000000, 0, 0, 0, 0, 72146, 67197, 0, 0, 0, 3956, 0, 260.010834, 126.871048, 7768987.000000
1030139.000000, 12.000000, 1711.000000, 0, 0, 0, 0, 72146, 67676, 0, 0, 0, 3565, 0, 215.202621, 202.817993, 8799117.000000
13173.000000, 12.000000, 1826.000000, 0, 0, 0, 0, 72146, 155, 0, 0, 0, 10875, 0, 0.813807, 0.770839, 8812282.000000
19130.000000, 11.000000, 520.000000, 0, 0, 0, 0, 72146, 6037, 0, 0, 0, 1693, 0, 50.995663, 38.999680, 8831405.000000
7525.000000, 11.000000, 621.000000, 0, 0, 0, 0, 72146, 286, 0, 0, 0, 2280, 0, 4.587313, 1.148669, 8838923.000000
422516.000000, 10.000000, 281.000000, 0, 0, 0, 0, 72146, 33719, 0, 0, 0, 601, 0, 103.112236, 82.649536, 9261432.000000
755281.000000, 11.000000, 682.000000, 0, 0, 0, 0, 72146, 67346, 0, 0, 0, 1697, 0, 193.176270, 150.033920, 10016704.000000
51163.000000, 11.000000, 5850.000000, 0, 0, 0, 0, 72146, 1427, 0, 0, 0, 12177, 0, 7.779855, 7.403674, 10067859.000000
70130.000000, 12.000000, 207.000000, 0, 0, 0, 0, 72146, 31763, 0, 0, 0, 511, 0, 113.438622, 98.353355, 10137981.000000
1168154.000000, 16.000000, 5214.000000, 0, 0, 0, 0, 72146, 67865, 0, 0, 0, 8845, 0, 250.174774, 175.922211, 11306125.000000
191584.000000, 12.000000, 10257.000000, 0, 0, 0, 0, 72146, 6719, 0, 0, 0, 19928, 0, 15.496260, 14.879477, 11497700.000000
50870.000000, 11.000000, 3222.000000, 0, 0, 0, 0, 72146, 6361, 0, 0, 0, 9449, 0, 13.231065, 12.238750, 11548562.000000
160830.000000, 11.000000, 603.000000, 0, 0, 0, 0, 72146, 42343, 0, 0, 0, 1248, 0, 158.971558, 110.184891, 11709384.000000
14889.000000, 12.000000, 3398.000000, 0, 0, 0, 0, 72146, 274, 0, 0, 0, 12284, 0, 1.352831, 1.052321, 11724265.000000
13583.000000, 10.000000, 2485.000000, 0, 0, 0, 0, 72146, 195, 0, 0, 0, 14111, 0, 0.839579, 0.839579, 11737841.000000
316630.000000, 13.000000, 3239.000000, 0, 0, 0, 0, 72146, 65689, 0, 0, 0, 8272, 0, 255.978333, 43.081028, 12054462.000000
30993.000000, 12.000000, 3366.000000, 0, 0, 0, 0, 72146, 3093, 0, 0, 0, 10265, 0, 18.133062, 16.145891, 12085447.000000
458856.000000, 11.000000, 3994.000000, 0, 0, 0, 0, 72146, 66576, 0, 0, 0, 10727, 0, 193.890167, 88.550842, 12544295.000000
419198.000000, 14.000000, 4061.000000, 0, 0, 0, 0, 72146, 60538, 0, 0, 0, 11368, 0, 151.708527, 110.574158, 12963484.000000
15936.000000, 15.000000, 4000.000000, 0, 0, 0, 0, 72146, 346, 0, 0, 0, 20000, 0, 1.997672, 1.997672, 12979410.000000
258784.000000, 10.000000, 486.000000, 0, 0, 0, 0, 72146, 61473, 0, 0, 0, 1031, 0, 150.179321, 136.787476, 13238187.000000
101254.000000, 17.000000, 233.000000, 0, 0, 0, 0, 72146, 32616, 0, 0, 0, 550, 0, 45.380684, 36.973343, 13339430.000000
26631.000000, 16.000000, 5085.000000, 0, 0, 0, 0, 72146, 260, 0, 0, 0, 11353, 0, 1.307032, 1.286649, 13366052.000000
9180.000000, 15.000000, 3230.000000, 0, 0, 0, 0, 72146, 47, 0, 0, 0, 10448, 0, 0.527446, 0.341315, 13375222.000000
899904.000000, 13.000000, 8317.000000, 0, 0, 0, 0, 72146, 66841, 0, 0, 0, 16910, 0, 213.784729, 128.640259, 14275120.000000
104927.000000, 12.000000, 7202.000000, 0, 0, 0, 0, 72146, 16582, 0, 0, 0, 15708, 0, 34.209717, 28.337069, 14380039.000000
278115.000000, 11.000000, 4522.000000, 0, 0, 0, 0, 72146, 46419, 0, 0, 0, 11338, 0, 111.749329, 98.727242, 14658146.000000
244032.000000, 12.000000, 5183.000000, 0, 0, 0, 0, 72146, 9924, 0, 0, 0, 12135, 0, 36.568100, 33.754276, 14902169.000000
14140.000000, 14.000000, 2816.000000, 0, 0, 0, 0, 72146, 154, 0, 0, 0, 13354, 0, 0.592532, 0.545092, 14916299.000000
13727.000000, 12.000000, 5898.000000, 0, 0, 0, 0, 72146, 146, 0, 0, 0, 18555, 0, 1.195073, 1.195073, 14930018.000000
486289.000000, 13.000000, 6792.000000, 0, 0, 0, 0, 72146, 33626, 0, 0, 0, 12225, 0, 60.792850, 53.206837, 15416298.000000
217254.000000, 12.000000, 793.000000, 0, 0, 0, 0, 72146, 52535, 0, 0, 0, 2139, 0, 141.332382, 109.005836, 15633543.000000
59420.000000, 11.000000, 341.000000, 0, 0, 0, 0, 72146, 25003, 0, 0, 0, 966, 0, 48.246288, 40.306618, 15692955.000000
554610.000000, 16.000000, 363.000000, 0, 0, 0, 0, 72146, 33805, 0, 0, 0, 808, 0, 111.224045, 73.460175, 16247555.000000
1151770.000000, 12.000000, 4252.000000, 0, 0, 0, 0, 72146, 67763, 0, 0, 0, 10644, 0, 173.761139, 168.038574, 17399316.000000
1267043.000000, 12.000000, 4562.000000, 0, 0, 0, 0, 72146, 67678, 0, 0, 0, 9849, 0, 265.902191, 195.492447, 18666350.000000
23176.000000, 12.000000, 4139.000000, 0, 0, 0, 0, 72146, 279, 0, 0, 0, 13755, 0, 2.969159, 2.747849, 18689517.000000
22516.000000, 12.000000, 3114.000000, 0, 0, 0, 0, 72146, 560, 0, 0, 0, 8728, 0, 1.277868, 1.277868, 18712025.000000
185550.000000, 11.000000, 6636.000000, 0, 0, 0, 0, 72146, 11884, 0, 0, 0, 15281, 0, 14.793141, 14.453391, 18897568.000000
9372.000000, 12.000000, 876.000000, 0, 0, 0, 0, 72146, 2331, 0, 0, 0, 3716, 0, 33.068169, 25.128290, 18906932.000000
13287.000000, 11.000000, 3925.000000, 0, 0, 0, 0, 72146, 136, 0, 0, 0, 13271, 0, 3.011999, 2.775935, 18920212.000000
114937.000000, 12.000000, 1085.000000, 0, 0, 0, 0, 72146, 32588, 0, 0, 0, 3281, 0, 38.724941, 33.536823, 19035142.000000
117869.000000, 17.000000, 4369.000000, 0, 0, 0, 0, 72146, 18585, 0, 0, 0, 8705, 0, 41.995522, 40.708431, 19153001.000000
120531.000000, 12.000000, 87.000000, 0, 0, 0, 0, 72146, 40567, 0, 0, 0, 146, 0, 133.174606, 101.857559, 19273523.000000
166077.000000, 16.000000, 6445.000000, 0, 0, 0, 0, 72146, 16825, 0, 0, 0, 11205, 0, 37.031681, 30.935040, 19439590.000000
12463.000000, 11.000000, 2462.000000, 0, 0, 0, 0, 72146, 3949, 0, 0, 0, 11916, 0, 14.160118, 6.388825, 19452045.000000
77922.000000, 10.000000, 4691.000000, 0, 0, 0, 0, 72146, 1847, 0, 0, 0, 11475, 0, 13.173973, 7.357483, 19529960.000000
298027.000000, 12.000000, 6237.000000, 0, 0, 0, 0, 72146, 65668, 0, 0, 0, 16924, 0, 65.474968, 38.279682, 19827979.000000
18389.000000, 14.000000, 378.000000, 0, 0, 0, 0, 72146, 5316, 0, 0, 0, 987, 0, 98.410339, 64.216354, 19846358.000000
34135.000000, 11.000000, 6026.000000, 0, 0, 0, 0, 72146, 543, 0, 0, 0, 17782, 0, 3.569241, 3.378760, 19880486.000000
678843.000000, 13.000000, 427.000000, 0, 0, 0, 0, 72146, 66371, 0, 0, 0, 1132, 0, 143.480942, 118.852631, 20559321.000000
396636.000000, 15.000000, 148.000000, 0, 0, 0, 0, 72146, 36162, 0, 0, 0, 325, 0, 135.633423, 113.454910, 20955947.000000
943388.000000, 11.000000, 8038.000000, 0, 0, 0, 0, 72146, 67438, 0, 0, 0, 18785, 0, 300.045654, 181.781403, 21899328.000000
16103.000000, 11.000000, 1850.000000, 0, 0, 0, 0, 72146, 792, 0, 0, 0, 8862, 0, 9.728982, 6.876559, 21915423.000000
10485.000000, 20.000000, 2247.000000, 0, 0, 0, 0, 72146, 90, 0, 0, 0, 12685, 0, 0.425339, 0.425339, 21925899.000000
1114515.000000, 10.000000, 413.000000, 0, 0, 0, 0, 72146, 67551, 0, 0, 0, 837, 0, 237.017593, 222.880798, 23040407.000000
25088.000000, 11.000000, 2232.000000, 0, 0, 0, 0, 72146, 1870, 0, 0, 0, 19567, 0, 4.465089, 2.629232, 23065488.000000
18738.000000, 11.000000, 5210.000000, 0, 0, 0, 0, 72146, 674, 0, 0, 0, 15024, 0, 1.289774, 1.289774, 23084217.000000
896269.000000, 9.000000, 241.000000, 0, 0, 0, 0, 72146, 67177, 0, 0, 0, 465, 0, 280.366089, 174.078186, 23980480.000000
226882.000000, 12.000000, 346.000000, 0, 0, 0, 0, 72146, 53202, 0, 0, 0, 863, 0, 142.521194, 120.229622, 24207353.000000
21695.000000, 11.000000, 419.000000, 0, 0, 0, 0, 72146, 6735, 0, 0, 0, 1292, 0, 37.909851, 28.203424, 24229041.000000
10606.000000, 14.000000, 3624.000000, 0, 0, 0, 0, 72146, 89, 0, 0, 0, 11998, 0, 0.596925, 0.596925, 24239640.000000
45960.000000, 9.000000, 3673.000000, 0, 0, 0, 0, 72146, 1268, 0, 0, 0, 17914, 0, 5.633283, 5.044586, 24285594.000000
275209.000000, 12.000000, 7615.000000, 0, 0, 0, 0, 72146, 17378, 0, 0, 0, 17247, 0, 70.652695, 52.375340, 24560794.000000
17845.000000, 12.000000, 5476.000000, 0, 0, 0, 0, 72146, 152, 0, 0, 0, 13420, 0, 1.087146, 1.025546, 24578631.000000
22324.000000, 11.000000, 4044.000000, 0, 0, 0, 0, 72146, 1091, 0, 0, 0, 16107, 0, 3.460168, 3.124938, 24600948.000000
1230004.000000, 10.000000, 125.000000, 0, 0, 0, 0, 72146, 68529, 0, 0, 0, 247, 0, 307.119965, 243.770126, 25830945.000000
1330960.000000, 12.000000, 4320.000000, 0, 0, 0, 0, 72146, 67882, 0, 0, 0, 9631, 0, 227.954269, 173.558624, 27161896.000000
7974.000000, 12.000000, 2396.000000, 0, 0, 0, 0, 72146, 32, 0, 0, 0, 15195, 0, 0.753302, 0.377449, 27169862.000000
23809.000000, 16.000000, 4753.000000, 0, 0, 0, 0, 72146, 2541, 0, 0, 0, 10484, 0, 2.782427, 2.480643, 27193663.000000
