querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
62640.000000, 8.000000, 1318.000000, 0, 0, 0, 0, 66670, 23032, 0, 0, 0, 1051, 0, 68.076675, 62.247364, 62634.000000
7435.000000, 11.000000, 874.000000, 0, 0, 0, 0, 66670, 2680, 0, 0, 0, 4168, 0, 8.825755, 5.631338, 70062.000000
15902.000000, 8.000000, 46.000000, 0, 0, 0, 0, 66670, 16023, 0, 0, 0, 65, 0, 36.218967, 29.198051, 85957.000000
8100.000000, 10.000000, 2805.000000, 0, 0, 0, 0, 66670, 406, 0, 0, 0, 16746, 0, 3.371730, 3.371730, 94050.000000
6127.000000, 8.000000, 1679.000000, 0, 0, 0, 0, 66670, 1965, 0, 0, 0, 10979, 0, 6.185990, 6.185990, 100172.000000
59754.000000, 6.000000, 27.000000, 0, 0, 0, 0, 66670, 60355, 0, 0, 0, 18, 0, 242.998901, 107.154762, 159922.000000
8282.000000, 12.000000, 2019.000000, 0, 0, 0, 0, 66670, 6457, 0, 0, 0, 9016, 0, 14.338559, 13.997404, 168196.000000
7521.000000, 8.000000, 956.000000, 0, 0, 0, 0, 66670, 6701, 0, 0, 0, 2779, 0, 25.275436, 24.051296, 175711.000000
4874.000000, 8.000000, 977.000000, 0, 0, 0, 0, 66670, 2, 0, 0, 0, 12238, 0, 0.000000, 0.000000, 180580.000000
11478.000000, 6.000000, 51.000000, 0, 0, 0, 0, 66670, 14706, 0, 0, 0, 129, 0, 53.729984, 38.112732, 192055.000000
7560.000000, 9.000000, 3369.000000, 0, 0, 0, 0, 66670, 737, 0, 0, 0, 18362, 0, 3.071646, 2.832206, 199610.000000
16072.000000, 8.000000, 497.000000, 0, 0, 0, 0, 66670, 18406, 0, 0, 0, 1391, 0, 59.642761, 49.776207, 215676.000000
4707.000000, 10.000000, 313.000000, 0, 0, 0, 0, 66670, 536, 0, 0, 0, 1887, 0, 1.572200, 0.506250, 220377.000000
5391.000000, 7.000000, 1310.000000, 0, 0, 0, 0, 66670, 435, 0, 0, 0, 9790, 0, 2.831873, 2.831873, 225763.000000
6199.000000, 6.000000, 1898.000000, 0, 0, 0, 0, 66670, 1899, 0, 0, 0, 10548, 0, 3.081249, 3.081249, 231958.000000
5279.000000, 5.000000, 474.000000, 0, 0, 0, 0, 66670, 1948, 0, 0, 0, 2639, 0, 8.271511, 7.334002, 237234.000000
5165.000000, 7.000000, 1306.000000, 0, 0, 0, 0, 66670, 84, 0, 0, 0, 5904, 0, 0.348326, 0.348326, 242393.000000
4855.000000, 8.000000, 986.000000, 0, 0, 0, 0, 66670, 89, 0, 0, 0, 9217, 0, 0.502818, 0.502818, 247243.000000
26849.000000, 14.000000, 8.000000, 0, 0, 0, 0, 66670, 34655, 0, 0, 0, 15, 0, 393.438416, 124.780502, 274083.000000
4046.000000, 11.000000, 282.000000, 0, 0, 0, 0, 66670, 591, 0, 0, 0, 1713, 0, 2.057920, 0.978197, 278122.000000
6336.000000, 7.000000, 2338.000000, 0, 0, 0, 0, 66670, 245, 0, 0, 0, 13532, 0, 1.138906, 0.821146, 284453.000000
4613.000000, 13.000000, 780.000000, 0, 0, 0, 0, 66670, 94, 0, 0, 0, 10671, 0, 0.470098, 0.470098, 289060.000000
6544.000000, 7.000000, 1974.000000, 0, 0, 0, 0, 66670, 1692, 0, 0, 0, 12789, 0, 2.576085, 2.395939, 295599.000000
78447.000000, 6.000000, 27.000000, 0, 0, 0, 0, 66670, 63298, 0, 0, 0, 54, 0, 287.143341, 218.710754, 374041.000000
4820.000000, 10.000000, 366.000000, 0, 0, 0, 0, 66670, 1015, 0, 0, 0, 3876, 0, 11.849411, 6.422733, 378853.000000
4459.000000, 7.000000, 494.000000, 0, 0, 0, 0, 66670, 837, 0, 0, 0, 4419, 0, 1.705613, 1.705613, 383307.000000
4595.000000, 5.000000, 670.000000, 0, 0, 0, 0, 66670, 563, 0, 0, 0, 9217, 0, 0.499470, 0.499470, 387897.000000
62726.000000, 6.000000, 32.000000, 0, 0, 0, 0, 66670, 62531, 0, 0, 0, 61, 0, 237.617981, 165.894653, 450619.000000
56859.000000, 11.000000, 130.000000, 0, 0, 0, 0, 66670, 61195, 0, 0, 0, 351, 0, 268.437592, 191.295502, 507471.000000
7378.000000, 10.000000, 357.000000, 0, 0, 0, 0, 66670, 2628, 0, 0, 0, 1962, 0, 7.127484, 6.114903, 514841.000000
