querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
119420.000000, 12.000000, 84.000000, 0, 0, 0, 0, 65998, 64234, 0, 0, 0, 109, 0, 291.037476, 243.993118, 119412.000000
82901.000000, 17.000000, 87.000000, 0, 0, 0, 0, 65998, 63439, 0, 0, 0, 133, 0, 373.521759, 150.606842, 202302.000000
114742.000000, 12.000000, 67.000000, 0, 0, 0, 0, 65998, 64214, 0, 0, 0, 130, 0, 325.147339, 218.079254, 317036.000000
121860.000000, 19.000000, 99.000000, 0, 0, 0, 0, 65998, 64369, 0, 0, 0, 168, 0, 303.337219, 214.058014, 438885.000000
108397.000000, 16.000000, 14.000000, 0, 0, 0, 0, 65998, 64246, 0, 0, 0, 16, 0, 315.745392, 239.503143, 547271.000000
109673.000000, 12.000000, 21.000000, 0, 0, 0, 0, 65998, 64163, 0, 0, 0, 44, 0, 339.008545, 196.681702, 656937.000000
107136.000000, 15.000000, 21.000000, 0, 0, 0, 0, 65998, 64220, 0, 0, 0, 40, 0, 280.931854, 228.887695, 764063.000000
115492.000000, 15.000000, 57.000000, 0, 0, 0, 0, 65998, 64303, 0, 0, 0, 144, 0, 366.290558, 234.888641, 879545.000000
66963.000000, 15.000000, 14.000000, 0, 0, 0, 0, 65998, 63173, 0, 0, 0, 29, 0, 260.487274, 160.424606, 946498.000000
116885.000000, 14.000000, 117.000000, 0, 0, 0, 0, 65998, 64334, 0, 0, 0, 323, 0, 343.708710, 231.059952, 1063375.000000
80303.000000, 17.000000, 80.000000, 0, 0, 0, 0, 65998, 62800, 0, 0, 0, 216, 0, 233.569626, 178.847961, 1143666.000000
20954.000000, 14.000000, 30.000000, 0, 0, 0, 0, 65998, 37149, 0, 0, 0, 91, 0, 159.806427, 113.034195, 1164611.000000
113916.000000, 11.000000, 23.000000, 0, 0, 0, 0, 65998, 64306, 0, 0, 0, 46, 0, 310.278442, 229.595108, 1278521.000000
101656.000000, 14.000000, 9.000000, 0, 0, 0, 0, 65998, 64158, 0, 0, 0, 18, 0, 320.216431, 175.587906, 1380168.000000
93424.000000, 13.000000, 262.000000, 0, 0, 0, 0, 65998, 63714, 0, 0, 0, 702, 0, 295.503845, 165.262939, 1473583.000000
