querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1756291.000000, 13.000000, 132250.000000, 0, 0, 0, 0, 88464, 73615, 0, 0, 0, 1656, 0, 158.796646, 135.980804, 1756291.000000
183117.000000, 2.000000, 89.000000, 0, 0, 0, 0, 88464, 30687, 0, 0, 0, 284, 0, 36.518677, 35.997322, 1939408.000000
1187204.000000, 7.000000, 482.000000, 0, 0, 0, 0, 88464, 73591, 0, 0, 0, 1305, 0, 146.431702, 121.714340, 3126611.000000
124109.000000, 7.000000, 46.000000, 0, 0, 0, 0, 88464, 19601, 0, 0, 0, 111, 0, 44.784184, 33.050213, 3250717.000000
1663740.000000, 2.000000, 36.000000, 0, 0, 0, 0, 88464, 73602, 0, 0, 0, 54, 0, 169.984726, 133.919449, 4914456.000000
199166.000000, 6.000000, 104.000000, 0, 0, 0, 0, 88464, 34308, 0, 0, 0, 284, 0, 37.562798, 37.562798, 5113620.000000
1650550.000000, 8.000000, 34.000000, 0, 0, 0, 0, 88464, 73602, 0, 0, 0, 52, 0, 176.779099, 141.361832, 6764169.000000
198954.000000, 7.000000, 105.000000, 0, 0, 0, 0, 88464, 34693, 0, 0, 0, 270, 0, 51.315231, 37.818684, 6963122.000000
1802552.000000, 7.000000, 111.000000, 0, 0, 0, 0, 88464, 73620, 0, 0, 0, 232, 0, 179.106018, 142.787064, 8765673.000000
211567.000000, 7.000000, 97.000000, 0, 0, 0, 0, 88464, 34888, 0, 0, 0, 242, 0, 39.245872, 38.735657, 8977238.000000
1875096.000000, 7.000000, 53.000000, 0, 0, 0, 0, 88464, 73614, 0, 0, 0, 87, 0, 186.907257, 147.225861, 10852333.000000
138886.000000, 7.000000, 65.000000, 0, 0, 0, 0, 88464, 21330, 0, 0, 0, 171, 0, 43.173172, 33.858292, 10991217.000000
1710208.000000, 11.000000, 140.000000, 0, 0, 0, 0, 88464, 73623, 0, 0, 0, 211, 0, 174.966690, 146.604691, 12701423.000000
170797.000000, 7.000000, 106.000000, 0, 0, 0, 0, 88464, 31957, 0, 0, 0, 284, 0, 36.259361, 36.259361, 12872219.000000
1760092.000000, 2.000000, 93.000000, 0, 0, 0, 0, 88464, 73590, 0, 0, 0, 187, 0, 175.756073, 141.119568, 14632309.000000
196392.000000, 7.000000, 54.000000, 0, 0, 0, 0, 88464, 34459, 0, 0, 0, 140, 0, 45.401539, 39.176807, 14828699.000000
