querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
176953.000000, 14.000000, 1035.000000, 0, 0, 0, 0, 42637, 15926, 0, 0, 0, 1783, 0, 507.577545, 17.696831, 176953.000000
208548.000000, 14.000000, 982.000000, 0, 0, 0, 0, 42637, 26035, 0, 0, 0, 1460, 0, 369.543701, 14.898204, 385499.000000
153262.000000, 8.000000, 497.000000, 0, 0, 0, 0, 42637, 19347, 0, 0, 0, 887, 0, 278.749298, 17.828831, 538758.000000
515935.000000, 8.000000, 6211.000000, 0, 0, 0, 0, 42637, 38504, 0, 0, 0, 10841, 0, 399.803101, 15.856450, 1054691.000000
168738.000000, 9.000000, 185.000000, 0, 0, 0, 0, 42637, 21335, 0, 0, 0, 200, 0, 387.762024, 14.364668, 1223426.000000
299248.000000, 2.000000, 171.000000, 0, 0, 0, 0, 42637, 38021, 0, 0, 0, 1438, 0, 15.054004, 15.054004, 1522673.000000
186932.000000, 8.000000, 7146.000000, 0, 0, 0, 0, 42637, 22518, 0, 0, 0, 11723, 0, 467.978394, 16.723976, 1709603.000000
387269.000000, 8.000000, 0.000000, 0, 0, 0, 0, 42637, 38308, 0, 0, 0, 0, 0, 442.281219, 16.485147, 2096868.000000
324563.000000, 8.000000, 4637.000000, 0, 0, 0, 0, 42637, 38222, 0, 0, 0, 13853, 0, 15.144854, 15.144854, 2421429.000000
256340.000000, 8.000000, 797.000000, 0, 0, 0, 0, 42637, 32440, 0, 0, 0, 849, 0, 504.101471, 15.658474, 2677767.000000
272683.000000, 8.000000, 5607.000000, 0, 0, 0, 0, 42637, 33966, 0, 0, 0, 6731, 0, 513.082214, 14.940656, 2950448.000000
233093.000000, 12.000000, 12091.000000, 0, 0, 0, 0, 42637, 28680, 0, 0, 0, 11245, 0, 436.780396, 14.938226, 3183538.000000
273443.000000, 9.000000, 1382.000000, 0, 0, 0, 0, 42637, 35105, 0, 0, 0, 5840, 0, 14.115511, 14.115511, 3456978.000000
231164.000000, 10.000000, 7894.000000, 0, 0, 0, 0, 42637, 28422, 0, 0, 0, 9987, 0, 16.976398, 16.976398, 3688140.000000
111491.000000, 11.000000, 1151.000000, 0, 0, 0, 0, 42637, 12466, 0, 0, 0, 1662, 0, 430.782898, 15.534549, 3799629.000000
98139.000000, 8.000000, 2805.000000, 0, 0, 0, 0, 42637, 10743, 0, 0, 0, 4272, 0, 312.025879, 15.949063, 3897765.000000
159893.000000, 9.000000, 13194.000000, 0, 0, 0, 0, 42637, 18013, 0, 0, 0, 12136, 0, 426.200439, 20.205744, 4057654.000000
103823.000000, 8.000000, 1288.000000, 0, 0, 0, 0, 42637, 12110, 0, 0, 0, 3749, 0, 60.304272, 16.048643, 4161474.000000
109936.000000, 12.000000, 15412.000000, 0, 0, 0, 0, 42637, 10251, 0, 0, 0, 16700, 0, 385.509460, 15.684227, 4271407.000000
149971.000000, 8.000000, 12229.000000, 0, 0, 0, 0, 42637, 17178, 0, 0, 0, 18363, 0, 438.883514, 16.539320, 4421376.000000
180963.000000, 8.000000, 502.000000, 0, 0, 0, 0, 42637, 23472, 0, 0, 0, 981, 0, 16.588627, 16.588627, 4602337.000000
295811.000000, 9.000000, 1916.000000, 0, 0, 0, 0, 42637, 37021, 0, 0, 0, 11041, 0, 15.140232, 15.140232, 4898145.000000
