querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
603698.000000, 7.000000, 504.000000, 0, 0, 0, 0, 67563, 66265, 0, 0, 0, 772, 0, 59.569485, 51.895206, 603695.000000
351535.000000, 7.000000, 281.000000, 0, 0, 0, 0, 67563, 66052, 0, 0, 0, 981, 0, 61.237549, 36.224583, 955227.000000
134848.000000, 7.000000, 3748.000000, 0, 0, 0, 0, 67563, 38588, 0, 0, 0, 16226, 0, 19.078072, 19.078072, 1090071.000000
240923.000000, 7.000000, 4043.000000, 0, 0, 0, 0, 67563, 64067, 0, 0, 0, 19510, 0, 21.251453, 21.251453, 1330991.000000
407950.000000, 8.000000, 142.000000, 0, 0, 0, 0, 67563, 65982, 0, 0, 0, 267, 0, 59.132965, 30.531570, 1738937.000000
658041.000000, 8.000000, 3740.000000, 0, 0, 0, 0, 67563, 66329, 0, 0, 0, 13781, 0, 70.666580, 64.408295, 2396973.000000
686258.000000, 9.000000, 721.000000, 0, 0, 0, 0, 67563, 66298, 0, 0, 0, 2590, 0, 73.425377, 55.455639, 3083227.000000
118862.000000, 7.000000, 1155.000000, 0, 0, 0, 0, 67563, 21780, 0, 0, 0, 5183, 0, 25.042562, 18.778326, 3202085.000000
739385.000000, 10.000000, 1615.000000, 0, 0, 0, 0, 67563, 66329, 0, 0, 0, 5669, 0, 56.910820, 56.610981, 3941466.000000
224819.000000, 8.000000, 247.000000, 0, 0, 0, 0, 67563, 58878, 0, 0, 0, 986, 0, 43.609009, 35.827148, 4166281.000000
280972.000000, 7.000000, 1089.000000, 0, 0, 0, 0, 67563, 65909, 0, 0, 0, 4268, 0, 38.561333, 29.562952, 4447249.000000
397288.000000, 7.000000, 93.000000, 0, 0, 0, 0, 67563, 66103, 0, 0, 0, 153, 0, 81.071281, 40.874527, 4844534.000000
206222.000000, 7.000000, 1317.000000, 0, 0, 0, 0, 67563, 47530, 0, 0, 0, 5471, 0, 31.007946, 25.919353, 5050753.000000
126909.000000, 8.000000, 2476.000000, 0, 0, 0, 0, 67563, 36381, 0, 0, 0, 14700, 0, 32.132385, 31.971146, 5177658.000000
266280.000000, 11.000000, 2501.000000, 0, 0, 0, 0, 67563, 60959, 0, 0, 0, 9141, 0, 47.056789, 34.025208, 5443932.000000
510449.000000, 9.000000, 2873.000000, 0, 0, 0, 0, 67563, 66165, 0, 0, 0, 13502, 0, 47.194710, 47.194710, 5954378.000000
306210.000000, 10.000000, 77.000000, 0, 0, 0, 0, 67563, 65684, 0, 0, 0, 142, 0, 74.204918, 33.831337, 6260583.000000
388534.000000, 7.000000, 2954.000000, 0, 0, 0, 0, 67563, 62408, 0, 0, 0, 11948, 0, 39.507542, 39.507542, 6649114.000000
268285.000000, 7.000000, 229.000000, 0, 0, 0, 0, 67563, 65898, 0, 0, 0, 689, 0, 42.944256, 23.175106, 6917395.000000
184694.000000, 9.000000, 434.000000, 0, 0, 0, 0, 67563, 60805, 0, 0, 0, 2663, 0, 14.758595, 11.921935, 7102085.000000
433766.000000, 10.000000, 974.000000, 0, 0, 0, 0, 67563, 66155, 0, 0, 0, 3609, 0, 59.862728, 39.000286, 7535847.000000
35079.000000, 6.000000, 365.000000, 0, 0, 0, 0, 67563, 5864, 0, 0, 0, 1774, 0, 4.172885, 4.172885, 7570923.000000
