querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
601896.000000, 10.000000, 7489.000000, 0, 0, 0, 0, 68160, 66291, 0, 0, 0, 16947, 0, 297.254272, 197.435623, 601890.000000
37698.000000, 10.000000, 308.000000, 0, 0, 0, 0, 68160, 27902, 0, 0, 0, 988, 0, 131.154816, 104.374077, 639581.000000
417721.000000, 9.000000, 623.000000, 0, 0, 0, 0, 68160, 66122, 0, 0, 0, 1787, 0, 240.227310, 180.244370, 1057295.000000
541682.000000, 11.000000, 335.000000, 0, 0, 0, 0, 68160, 66367, 0, 0, 0, 968, 0, 266.275421, 197.705109, 1598970.000000
107535.000000, 13.000000, 5251.000000, 0, 0, 0, 0, 68160, 51315, 0, 0, 0, 10701, 0, 170.043549, 143.106445, 1706498.000000
613719.000000, 9.000000, 3451.000000, 0, 0, 0, 0, 68160, 66285, 0, 0, 0, 10103, 0, 342.778839, 252.393982, 2320211.000000
391592.000000, 11.000000, 514.000000, 0, 0, 0, 0, 68160, 66299, 0, 0, 0, 1517, 0, 265.979797, 161.773712, 2711796.000000
646000.000000, 11.000000, 380.000000, 0, 0, 0, 0, 68160, 66309, 0, 0, 0, 991, 0, 325.828918, 255.999405, 3357789.000000
569265.000000, 12.000000, 903.000000, 0, 0, 0, 0, 68160, 66395, 0, 0, 0, 2601, 0, 306.987701, 226.760895, 3927047.000000
469409.000000, 11.000000, 4035.000000, 0, 0, 0, 0, 68160, 66159, 0, 0, 0, 13272, 0, 199.793610, 149.130676, 4396449.000000
530261.000000, 11.000000, 284.000000, 0, 0, 0, 0, 68160, 66144, 0, 0, 0, 647, 0, 340.444305, 177.441116, 4926704.000000
190339.000000, 11.000000, 2225.000000, 0, 0, 0, 0, 68160, 64449, 0, 0, 0, 10772, 0, 52.282745, 25.845432, 5117035.000000
638802.000000, 9.000000, 3585.000000, 0, 0, 0, 0, 68160, 66197, 0, 0, 0, 10329, 0, 333.874817, 255.999283, 5755830.000000
580299.000000, 11.000000, 81.000000, 0, 0, 0, 0, 68160, 66371, 0, 0, 0, 195, 0, 262.044464, 226.074783, 6336121.000000
355022.000000, 9.000000, 147.000000, 0, 0, 0, 0, 68160, 66155, 0, 0, 0, 358, 0, 198.060730, 169.612091, 6691137.000000
461686.000000, 9.000000, 215.000000, 0, 0, 0, 0, 68160, 66248, 0, 0, 0, 536, 0, 247.052917, 196.722839, 7152817.000000
560540.000000, 10.000000, 268.000000, 0, 0, 0, 0, 68160, 66347, 0, 0, 0, 788, 0, 297.914551, 250.125244, 7713350.000000
374401.000000, 13.000000, 1150.000000, 0, 0, 0, 0, 68160, 66138, 0, 0, 0, 3641, 0, 211.705856, 180.750031, 8087743.000000
629545.000000, 11.000000, 82.000000, 0, 0, 0, 0, 68160, 66445, 0, 0, 0, 183, 0, 324.152252, 255.998093, 8717281.000000
550246.000000, 10.000000, 190.000000, 0, 0, 0, 0, 68160, 66349, 0, 0, 0, 411, 0, 284.968964, 226.219086, 9267520.000000
511953.000000, 12.000000, 6800.000000, 0, 0, 0, 0, 68160, 66065, 0, 0, 0, 19545, 0, 283.519104, 191.079590, 9779466.000000
513187.000000, 11.000000, 330.000000, 0, 0, 0, 0, 68160, 66320, 0, 0, 0, 895, 0, 307.138916, 183.750427, 10292646.000000
546478.000000, 12.000000, 5613.000000, 0, 0, 0, 0, 68160, 66186, 0, 0, 0, 15298, 0, 253.242218, 191.238388, 10839116.000000
354843.000000, 10.000000, 3346.000000, 0, 0, 0, 0, 68160, 66160, 0, 0, 0, 8594, 0, 238.096039, 169.300964, 11193952.000000
189544.000000, 25.000000, 390.000000, 0, 0, 0, 0, 68160, 65723, 0, 0, 0, 628, 0, 184.651382, 147.730011, 11383483.000000
21434.000000, 21.000000, 667.000000, 0, 0, 0, 0, 68160, 29881, 0, 0, 0, 1141, 0, 150.273560, 88.271461, 11404903.000000
586652.000000, 20.000000, 699.000000, 0, 0, 0, 0, 68160, 66406, 0, 0, 0, 1053, 0, 279.139893, 237.982208, 11991543.000000
376913.000000, 20.000000, 404.000000, 0, 0, 0, 0, 68160, 66319, 0, 0, 0, 653, 0, 202.998108, 162.195755, 12368443.000000
529077.000000, 19.000000, 205.000000, 0, 0, 0, 0, 68160, 66421, 0, 0, 0, 255, 0, 298.437714, 173.879730, 12897508.000000
505671.000000, 18.000000, 393.000000, 0, 0, 0, 0, 68160, 66305, 0, 0, 0, 632, 0, 243.115921, 219.060074, 13403167.000000
385427.000000, 20.000000, 621.000000, 0, 0, 0, 0, 68160, 66292, 0, 0, 0, 1003, 0, 228.058319, 174.843033, 13788581.000000
637239.000000, 20.000000, 1271.000000, 0, 0, 0, 0, 68160, 66384, 0, 0, 0, 2069, 0, 339.335175, 255.998871, 14425807.000000
562211.000000, 20.000000, 922.000000, 0, 0, 0, 0, 68160, 66366, 0, 0, 0, 1552, 0, 284.343262, 230.416168, 14988005.000000
637963.000000, 19.000000, 7220.000000, 0, 0, 0, 0, 68160, 66222, 0, 0, 0, 12780, 0, 290.839935, 255.999161, 15625954.000000
432756.000000, 20.000000, 8086.000000, 0, 0, 0, 0, 68160, 66019, 0, 0, 0, 17332, 0, 160.765137, 136.511719, 16058697.000000
553025.000000, 21.000000, 3894.000000, 0, 0, 0, 0, 68160, 66224, 0, 0, 0, 6789, 0, 223.633759, 211.081299, 16611708.000000
294322.000000, 20.000000, 300.000000, 0, 0, 0, 0, 68160, 63338, 0, 0, 0, 435, 0, 218.751968, 154.440598, 16906016.000000
421333.000000, 20.000000, 1769.000000, 0, 0, 0, 0, 68160, 66244, 0, 0, 0, 2902, 0, 298.716278, 178.396225, 17327337.000000
134445.000000, 20.000000, 597.000000, 0, 0, 0, 0, 68160, 58054, 0, 0, 0, 927, 0, 191.923248, 123.541122, 17461770.000000
526278.000000, 20.000000, 1377.000000, 0, 0, 0, 0, 68160, 66231, 0, 0, 0, 2184, 0, 240.082153, 202.385406, 17988036.000000
404699.000000, 21.000000, 183.000000, 0, 0, 0, 0, 68160, 66340, 0, 0, 0, 213, 0, 255.435379, 172.721237, 18392723.000000
565280.000000, 19.000000, 1478.000000, 0, 0, 0, 0, 68160, 66394, 0, 0, 0, 2439, 0, 322.282349, 239.335861, 18957991.000000
469206.000000, 19.000000, 3193.000000, 0, 0, 0, 0, 68160, 66175, 0, 0, 0, 5432, 0, 248.151062, 187.490845, 19427184.000000
562940.000000, 20.000000, 267.000000, 0, 0, 0, 0, 68160, 66424, 0, 0, 0, 367, 0, 280.034454, 216.625839, 19990111.000000
644591.000000, 11.000000, 346.000000, 0, 0, 0, 0, 68160, 66409, 0, 0, 0, 895, 0, 323.034668, 253.178970, 20634693.000000
454792.000000, 19.000000, 252.000000, 0, 0, 0, 0, 68160, 66380, 0, 0, 0, 621, 0, 254.800583, 204.300842, 21089478.000000
643850.000000, 10.000000, 671.000000, 0, 0, 0, 0, 68160, 66352, 0, 0, 0, 1859, 0, 336.913055, 255.997635, 21733321.000000
541095.000000, 10.000000, 1701.000000, 0, 0, 0, 0, 68160, 66360, 0, 0, 0, 4869, 0, 313.217621, 167.752945, 22274409.000000
424740.000000, 10.000000, 5155.000000, 0, 0, 0, 0, 68160, 65929, 0, 0, 0, 13821, 0, 239.697266, 133.815720, 22699143.000000
452970.000000, 11.000000, 1589.000000, 0, 0, 0, 0, 68160, 66317, 0, 0, 0, 4977, 0, 292.075928, 187.660049, 23152106.000000
496642.000000, 10.000000, 4474.000000, 0, 0, 0, 0, 68160, 66120, 0, 0, 0, 14645, 0, 238.183701, 198.576447, 23648741.000000
198989.000000, 11.000000, 717.000000, 0, 0, 0, 0, 68160, 65618, 0, 0, 0, 2315, 0, 165.172302, 130.333786, 23847722.000000
297112.000000, 10.000000, 517.000000, 0, 0, 0, 0, 68160, 66183, 0, 0, 0, 1588, 0, 214.628418, 163.139114, 24144828.000000
404448.000000, 10.000000, 179.000000, 0, 0, 0, 0, 68160, 66359, 0, 0, 0, 392, 0, 256.811310, 165.903519, 24549269.000000
608708.000000, 11.000000, 299.000000, 0, 0, 0, 0, 68160, 66489, 0, 0, 0, 768, 0, 269.035950, 218.450806, 25157970.000000
461569.000000, 14.000000, 244.000000, 0, 0, 0, 0, 68160, 66114, 0, 0, 0, 567, 0, 346.882812, 165.466110, 25619531.000000
358681.000000, 11.000000, 410.000000, 0, 0, 0, 0, 68160, 66197, 0, 0, 0, 1232, 0, 244.643616, 169.437164, 25978205.000000
321880.000000, 11.000000, 230.000000, 0, 0, 0, 0, 68160, 66184, 0, 0, 0, 525, 0, 226.593719, 156.284103, 26300078.000000
271374.000000, 10.000000, 1558.000000, 0, 0, 0, 0, 68160, 65356, 0, 0, 0, 6097, 0, 187.924515, 62.225811, 26571446.000000
492619.000000, 10.000000, 150.000000, 0, 0, 0, 0, 68160, 66321, 0, 0, 0, 372, 0, 290.800385, 193.379776, 27064057.000000
477411.000000, 13.000000, 296.000000, 0, 0, 0, 0, 68160, 66351, 0, 0, 0, 830, 0, 221.088699, 193.958145, 27541459.000000
549146.000000, 12.000000, 301.000000, 0, 0, 0, 0, 68160, 66400, 0, 0, 0, 770, 0, 260.548096, 214.270859, 28090598.000000
530416.000000, 11.000000, 2911.000000, 0, 0, 0, 0, 68160, 66168, 0, 0, 0, 9033, 0, 279.219604, 225.187195, 28621006.000000
335196.000000, 11.000000, 231.000000, 0, 0, 0, 0, 68160, 66185, 0, 0, 0, 644, 0, 246.398163, 155.138031, 28956195.000000
627993.000000, 9.000000, 712.000000, 0, 0, 0, 0, 68160, 66405, 0, 0, 0, 1979, 0, 307.941254, 255.996643, 29584183.000000
309128.000000, 11.000000, 2849.000000, 0, 0, 0, 0, 68160, 65611, 0, 0, 0, 10567, 0, 169.069916, 78.389557, 29893304.000000
72176.000000, 12.000000, 306.000000, 0, 0, 0, 0, 68160, 37240, 0, 0, 0, 983, 0, 161.722366, 113.621582, 29965472.000000
534344.000000, 11.000000, 3560.000000, 0, 0, 0, 0, 68160, 66394, 0, 0, 0, 10359, 0, 239.563004, 197.245026, 30499809.000000
381710.000000, 9.000000, 54.000000, 0, 0, 0, 0, 68160, 66202, 0, 0, 0, 46, 0, 234.409286, 169.189651, 30881512.000000
637470.000000, 9.000000, 236.000000, 0, 0, 0, 0, 68160, 66492, 0, 0, 0, 532, 0, 315.838898, 252.332535, 31518976.000000
99846.000000, 11.000000, 143.000000, 0, 0, 0, 0, 68160, 53057, 0, 0, 0, 305, 0, 197.589813, 122.196747, 31618815.000000
425404.000000, 9.000000, 243.000000, 0, 0, 0, 0, 68160, 66376, 0, 0, 0, 544, 0, 262.195587, 204.020828, 32044213.000000
