querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6667.000000, 12.000000, 327.000000, 0, 0, 0, 0, 65738, 2, 0, 0, 0, 1478, 0, 0.000000, 0.000000, 6659.000000
6027.000000, 9.000000, 115.000000, 0, 0, 0, 0, 65738, 2, 0, 0, 0, 647, 0, 0.011769, 0.011769, 12680.000000
5362.000000, 6.000000, 42.000000, 0, 0, 0, 0, 65738, 3, 0, 0, 0, 647, 0, 0.047113, 0.047113, 18038.000000
4992.000000, 5.000000, 31.000000, 0, 0, 0, 0, 65738, 3, 0, 0, 0, 647, 0, 0.106084, 0.106084, 23027.000000
4375.000000, 4.000000, 22.000000, 0, 0, 0, 0, 65738, 5, 0, 0, 0, 647, 0, 0.188722, 0.188722, 27400.000000
4091.000000, 4.000000, 20.000000, 0, 0, 0, 0, 65738, 10, 0, 0, 0, 647, 0, 0.295057, 0.295057, 31488.000000
3967.000000, 4.000000, 18.000000, 0, 0, 0, 0, 65738, 19, 0, 0, 0, 647, 0, 0.425111, 0.425111, 35452.000000
3546.000000, 4.000000, 18.000000, 0, 0, 0, 0, 65738, 39, 0, 0, 0, 647, 0, 0.578896, 0.578896, 38996.000000
3829.000000, 4.000000, 19.000000, 0, 0, 0, 0, 65738, 74, 0, 0, 0, 647, 0, 0.756411, 0.756411, 42823.000000
4065.000000, 4.000000, 20.000000, 0, 0, 0, 0, 65738, 129, 0, 0, 0, 647, 0, 0.957650, 0.957650, 46886.000000
3949.000000, 5.000000, 21.000000, 0, 0, 0, 0, 65738, 200, 0, 0, 0, 647, 0, 1.182593, 1.182593, 50832.000000
4249.000000, 5.000000, 21.000000, 0, 0, 0, 0, 65738, 283, 0, 0, 0, 647, 0, 1.431213, 1.431213, 55078.000000
4405.000000, 5.000000, 24.000000, 0, 0, 0, 0, 65738, 370, 0, 0, 0, 647, 0, 1.703470, 1.703470, 59480.000000
4353.000000, 5.000000, 27.000000, 0, 0, 0, 0, 65738, 438, 0, 0, 0, 647, 0, 1.999317, 1.999317, 63830.000000
4724.000000, 8.000000, 31.000000, 0, 0, 0, 0, 65738, 507, 0, 0, 0, 647, 0, 2.318696, 2.318696, 68548.000000
4617.000000, 7.000000, 31.000000, 0, 0, 0, 0, 65738, 576, 0, 0, 0, 647, 0, 2.661540, 2.661540, 73160.000000
4746.000000, 7.000000, 33.000000, 0, 0, 0, 0, 65738, 688, 0, 0, 0, 647, 0, 3.027771, 3.027771, 77902.000000
4990.000000, 6.000000, 36.000000, 0, 0, 0, 0, 65738, 887, 0, 0, 0, 647, 0, 3.417302, 3.417302, 82888.000000
5475.000000, 7.000000, 37.000000, 0, 0, 0, 0, 65738, 1199, 0, 0, 0, 647, 0, 3.830037, 3.830037, 88358.000000
6044.000000, 8.000000, 40.000000, 0, 0, 0, 0, 65738, 1537, 0, 0, 0, 647, 0, 4.265870, 4.265870, 94396.000000
6486.000000, 8.000000, 42.000000, 0, 0, 0, 0, 65738, 1826, 0, 0, 0, 647, 0, 4.724687, 4.724687, 100877.000000
6687.000000, 8.000000, 42.000000, 0, 0, 0, 0, 65738, 2047, 0, 0, 0, 647, 0, 5.206360, 5.206360, 107559.000000
7014.000000, 7.000000, 67.000000, 0, 0, 0, 0, 65738, 2289, 0, 0, 0, 647, 0, 5.710759, 5.710759, 114569.000000
7483.000000, 8.000000, 47.000000, 0, 0, 0, 0, 65738, 2637, 0, 0, 0, 647, 0, 6.237741, 6.237741, 122047.000000
