querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6704.000000, 18.000000, 313.000000, 0, 0, 0, 0, 66333, 2, 0, 0, 0, 595, 0, 0.000000, 0.000000, 6703.000000
8871.000000, 3.000000, 583.000000, 0, 0, 0, 0, 66333, 5, 0, 0, 0, 2144, 0, 0.003883, 0.003883, 15574.000000
8189.000000, 4.000000, 118.000000, 0, 0, 0, 0, 66333, 5, 0, 0, 0, 2144, 0, 0.015523, 0.015523, 23762.000000
7368.000000, 4.000000, 89.000000, 0, 0, 0, 0, 66333, 5, 0, 0, 0, 2144, 0, 0.034906, 0.034906, 31130.000000
6194.000000, 6.000000, 103.000000, 0, 0, 0, 0, 66333, 9, 0, 0, 0, 2144, 0, 0.062013, 0.062013, 37323.000000
6684.000000, 5.000000, 96.000000, 0, 0, 0, 0, 66333, 13, 0, 0, 0, 2144, 0, 0.096824, 0.096824, 44006.000000
30710.000000, 5.000000, 2098.000000, 0, 0, 0, 0, 66333, 27, 0, 0, 0, 4290, 0, 22.070368, 0.139316, 74714.000000
20795.000000, 7.000000, 792.000000, 0, 0, 0, 0, 66333, 38, 0, 0, 0, 4290, 0, 22.130484, 0.189462, 95508.000000
21006.000000, 7.000000, 640.000000, 0, 0, 0, 0, 66333, 49, 0, 0, 0, 4290, 0, 22.197336, 0.247234, 116512.000000
21338.000000, 7.000000, 618.000000, 0, 0, 0, 0, 66333, 76, 0, 0, 0, 4290, 0, 22.270897, 0.312600, 137849.000000
23027.000000, 7.000000, 787.000000, 0, 0, 0, 0, 66333, 130, 0, 0, 0, 4290, 0, 22.351135, 0.385527, 160875.000000
21576.000000, 7.000000, 762.000000, 0, 0, 0, 0, 66333, 187, 0, 0, 0, 4290, 0, 22.438013, 0.465978, 182450.000000
25181.000000, 6.000000, 724.000000, 0, 0, 0, 0, 66333, 278, 0, 0, 0, 4290, 0, 22.531494, 0.553913, 207629.000000
25374.000000, 6.000000, 606.000000, 0, 0, 0, 0, 66333, 406, 0, 0, 0, 4290, 0, 22.631542, 0.649291, 233002.000000
28678.000000, 3.000000, 455.000000, 0, 0, 0, 0, 66333, 570, 0, 0, 0, 4290, 0, 22.738119, 0.752068, 261679.000000
28143.000000, 4.000000, 565.000000, 0, 0, 0, 0, 66333, 754, 0, 0, 0, 4290, 0, 22.851177, 0.862197, 289822.000000
30804.000000, 6.000000, 595.000000, 0, 0, 0, 0, 66333, 962, 0, 0, 0, 4290, 0, 22.970671, 0.979630, 320625.000000
33293.000000, 6.000000, 583.000000, 0, 0, 0, 0, 66333, 1192, 0, 0, 0, 4290, 0, 23.096556, 1.104315, 353917.000000
