querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
39907.000000, 13.000000, 17.000000, 0, 0, 0, 0, 55791, 51350, 0, 0, 0, 21, 0, 326.572510, 252.075409, 39907.000000
44419.000000, 8.000000, 4.000000, 0, 0, 0, 0, 55791, 52562, 0, 0, 0, 3, 0, 468.539215, 305.809296, 84324.000000
37267.000000, 7.000000, 2.000000, 0, 0, 0, 0, 55791, 51439, 0, 0, 0, 1, 0, 418.538483, 257.408691, 121589.000000
31542.000000, 7.000000, 11.000000, 0, 0, 0, 0, 55791, 48720, 0, 0, 0, 10, 0, 320.218506, 227.161194, 153129.000000
36511.000000, 2.000000, 4.000000, 0, 0, 0, 0, 55791, 51624, 0, 0, 0, 6, 0, 351.986237, 252.694427, 189639.000000
34487.000000, 7.000000, 20.000000, 0, 0, 0, 0, 55791, 51349, 0, 0, 0, 24, 0, 346.388000, 239.022842, 224124.000000
45019.000000, 8.000000, 9.000000, 0, 0, 0, 0, 55791, 52534, 0, 0, 0, 8, 0, 431.031891, 330.185974, 269141.000000
47507.000000, 3.000000, 2.000000, 0, 0, 0, 0, 55791, 52687, 0, 0, 0, 2, 0, 511.855896, 295.016541, 316647.000000
98391.000000, 8.000000, 0.000000, 0, 0, 0, 0, 55791, 51703, 0, 0, 0, 0, 0, 455.672302, 231.599518, 415036.000000
35437.000000, 3.000000, 5.000000, 0, 0, 0, 0, 55791, 50768, 0, 0, 0, 5, 0, 396.184052, 255.593063, 450472.000000
44160.000000, 5.000000, 6.000000, 0, 0, 0, 0, 55791, 52726, 0, 0, 0, 7, 0, 406.132507, 332.273438, 494630.000000
37989.000000, 7.000000, 9.000000, 0, 0, 0, 0, 55791, 51594, 0, 0, 0, 8, 0, 376.135376, 219.572067, 532617.000000
38773.000000, 7.000000, 8.000000, 0, 0, 0, 0, 55791, 52229, 0, 0, 0, 6, 0, 423.669159, 270.149384, 571389.000000
44776.000000, 7.000000, 3.000000, 0, 0, 0, 0, 55791, 52671, 0, 0, 0, 1, 0, 496.627106, 354.312744, 616163.000000
42880.000000, 6.000000, 5.000000, 0, 0, 0, 0, 55791, 52727, 0, 0, 0, 3, 0, 485.778992, 284.677338, 659040.000000
44960.000000, 8.000000, 17.000000, 0, 0, 0, 0, 55791, 52584, 0, 0, 0, 16, 0, 438.228546, 304.460114, 703998.000000
89433.000000, 7.000000, 1.000000, 0, 0, 0, 0, 55791, 49617, 0, 0, 0, 0, 0, 375.079926, 185.877975, 793429.000000
