querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
26231.000000, 9.000000, 5.000000, 0, 0, 0, 0, 64477, 49986, 0, 0, 0, 5, 0, 382.384613, 252.075409, 26225.000000
22757.000000, 12.000000, 2.000000, 0, 0, 0, 0, 64477, 51695, 0, 0, 0, 3, 0, 453.437683, 305.809296, 48975.000000
19351.000000, 11.000000, 9.000000, 0, 0, 0, 0, 64477, 48707, 0, 0, 0, 19, 0, 413.636597, 257.408691, 68319.000000
14271.000000, 10.000000, 4.000000, 0, 0, 0, 0, 64477, 39028, 0, 0, 0, 4, 0, 396.931580, 227.161194, 82583.000000
17486.000000, 10.000000, 5.000000, 0, 0, 0, 0, 64477, 47016, 0, 0, 0, 7, 0, 330.812408, 252.694427, 100062.000000
16344.000000, 10.000000, 2.000000, 0, 0, 0, 0, 64477, 45293, 0, 0, 0, 4, 0, 447.627716, 239.022842, 116399.000000
23821.000000, 10.000000, 7.000000, 0, 0, 0, 0, 64477, 52639, 0, 0, 0, 10, 0, 462.025269, 330.185974, 140212.000000
24028.000000, 10.000000, 27.000000, 0, 0, 0, 0, 64477, 51137, 0, 0, 0, 31, 0, 411.510254, 295.016541, 164233.000000
18755.000000, 10.000000, 6.000000, 0, 0, 0, 0, 64477, 47892, 0, 0, 0, 9, 0, 437.182678, 231.599518, 182982.000000
17023.000000, 12.000000, 1.000000, 0, 0, 0, 0, 64477, 45425, 0, 0, 0, 1, 0, 384.777527, 255.593063, 199997.000000
23432.000000, 13.000000, 3.000000, 0, 0, 0, 0, 64477, 52337, 0, 0, 0, 5, 0, 480.605347, 332.273438, 223420.000000
16971.000000, 10.000000, 5.000000, 0, 0, 0, 0, 64477, 46363, 0, 0, 0, 8, 0, 349.672607, 219.572067, 240385.000000
21008.000000, 10.000000, 9.000000, 0, 0, 0, 0, 64477, 51427, 0, 0, 0, 15, 0, 390.879120, 270.149384, 261386.000000
22536.000000, 11.000000, 2.000000, 0, 0, 0, 0, 64477, 52186, 0, 0, 0, 4, 0, 486.815369, 354.312744, 283914.000000
21624.000000, 11.000000, 7.000000, 0, 0, 0, 0, 64477, 51644, 0, 0, 0, 10, 0, 452.554565, 284.677338, 305531.000000
22074.000000, 11.000000, 4.000000, 0, 0, 0, 0, 64477, 51800, 0, 0, 0, 5, 0, 394.209259, 304.460114, 327598.000000
12964.000000, 11.000000, 1.000000, 0, 0, 0, 0, 64477, 32932, 0, 0, 0, 1, 0, 418.270477, 185.877975, 340555.000000
18946.000000, 10.000000, 4.000000, 0, 0, 0, 0, 64477, 46371, 0, 0, 0, 6, 0, 371.153687, 261.093567, 359495.000000
15293.000000, 10.000000, 4.000000, 0, 0, 0, 0, 64477, 41996, 0, 0, 0, 8, 0, 334.894073, 184.020065, 374781.000000
