querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
683094.000000, 10.000000, 230.000000, 0, 0, 0, 0, 67426, 66149, 0, 0, 0, 361, 0, 255.982620, 160.474442, 683088.000000
113078.000000, 11.000000, 111.000000, 0, 0, 0, 0, 67426, 64920, 0, 0, 0, 195, 0, 255.991867, 140.199997, 796159.000000
22096.000000, 12.000000, 620.000000, 0, 0, 0, 0, 67426, 15794, 0, 0, 0, 1472, 0, 227.446747, 8.134409, 818248.000000
22723.000000, 12.000000, 2306.000000, 0, 0, 0, 0, 67426, 3334, 0, 0, 0, 9809, 0, 121.257591, 6.328071, 840964.000000
88193.000000, 10.000000, 150.000000, 0, 0, 0, 0, 67426, 48875, 0, 0, 0, 234, 0, 255.985794, 107.638672, 929151.000000
37255.000000, 11.000000, 5631.000000, 0, 0, 0, 0, 67426, 14090, 0, 0, 0, 13825, 0, 255.964127, 29.842976, 966398.000000
33182.000000, 14.000000, 1444.000000, 0, 0, 0, 0, 67426, 8425, 0, 0, 0, 3347, 0, 255.990555, 11.716393, 999574.000000
12156.000000, 11.000000, 1461.000000, 0, 0, 0, 0, 67426, 1489, 0, 0, 0, 5687, 0, 14.058062, 9.954462, 1011722.000000
94526.000000, 16.000000, 185.000000, 0, 0, 0, 0, 67426, 57177, 0, 0, 0, 336, 0, 255.980164, 64.074570, 1106236.000000
22874.000000, 9.000000, 2630.000000, 0, 0, 0, 0, 67426, 8241, 0, 0, 0, 9248, 0, 34.361713, 10.271839, 1129103.000000
26660.000000, 9.000000, 838.000000, 0, 0, 0, 0, 67426, 9250, 0, 0, 0, 1990, 0, 255.995422, 25.018688, 1155755.000000
162894.000000, 11.000000, 101.000000, 0, 0, 0, 0, 67426, 56572, 0, 0, 0, 173, 0, 255.992508, 102.369072, 1318642.000000
781274.000000, 13.000000, 247.000000, 0, 0, 0, 0, 67426, 66221, 0, 0, 0, 516, 0, 255.997894, 121.175713, 2099908.000000
69258.000000, 10.000000, 5369.000000, 0, 0, 0, 0, 67426, 52339, 0, 0, 0, 13592, 0, 140.469437, 73.848846, 2169160.000000
788233.000000, 12.000000, 1448.000000, 0, 0, 0, 0, 67426, 66212, 0, 0, 0, 3713, 0, 252.548828, 127.825340, 2957386.000000
14765.000000, 18.000000, 4257.000000, 0, 0, 0, 0, 67426, 1617, 0, 0, 0, 13379, 0, 33.893044, 7.556457, 2972140.000000
28258.000000, 11.000000, 6710.000000, 0, 0, 0, 0, 67426, 1279, 0, 0, 0, 19911, 0, 127.144432, 1.750371, 3000391.000000
791877.000000, 10.000000, 424.000000, 0, 0, 0, 0, 67426, 66194, 0, 0, 0, 911, 0, 255.995193, 145.661316, 3792261.000000
800547.000000, 9.000000, 100.000000, 0, 0, 0, 0, 67426, 66205, 0, 0, 0, 142, 0, 255.997025, 105.415886, 4592801.000000
