querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
79163.000000, 9.000000, 597.000000, 0, 0, 0, 0, 67110, 24873, 0, 0, 0, 418, 0, 68.076675, 62.247364, 79155.000000
12091.000000, 39.000000, 4330.000000, 0, 0, 0, 0, 67110, 2552, 0, 0, 0, 18215, 0, 5.631338, 5.631338, 91235.000000
17920.000000, 13.000000, 51.000000, 0, 0, 0, 0, 67110, 14878, 0, 0, 0, 94, 0, 30.353184, 29.198051, 109147.000000
7037.000000, 9.000000, 3011.000000, 0, 0, 0, 0, 67110, 471, 0, 0, 0, 18959, 0, 3.371730, 3.371730, 116177.000000
10309.000000, 10.000000, 4726.000000, 0, 0, 0, 0, 67110, 1908, 0, 0, 0, 13980, 0, 6.661810, 6.185990, 126481.000000
49826.000000, 7.000000, 79.000000, 0, 0, 0, 0, 67110, 56387, 0, 0, 0, 71, 0, 213.524109, 107.154762, 176302.000000
7970.000000, 10.000000, 1691.000000, 0, 0, 0, 0, 67110, 6641, 0, 0, 0, 8098, 0, 13.997404, 13.997404, 184264.000000
10337.000000, 14.000000, 4350.000000, 0, 0, 0, 0, 67110, 5923, 0, 0, 0, 13784, 0, 24.051296, 24.051296, 194592.000000
4262.000000, 7.000000, 650.000000, 0, 0, 0, 0, 67110, 2, 0, 0, 0, 7988, 0, 0.000000, 0.000000, 198849.000000
14237.000000, 7.000000, 79.000000, 0, 0, 0, 0, 67110, 14882, 0, 0, 0, 376, 0, 44.648212, 38.112732, 213082.000000
5320.000000, 12.000000, 1285.000000, 0, 0, 0, 0, 67110, 559, 0, 0, 0, 6692, 0, 3.661823, 2.832206, 218394.000000
18108.000000, 8.000000, 120.000000, 0, 0, 0, 0, 67110, 20553, 0, 0, 0, 291, 0, 62.060261, 49.776207, 236497.000000
5211.000000, 12.000000, 142.000000, 0, 0, 0, 0, 67110, 506, 0, 0, 0, 771, 0, 1.735160, 0.506250, 241700.000000
6114.000000, 8.000000, 2227.000000, 0, 0, 0, 0, 67110, 504, 0, 0, 0, 16783, 0, 2.831873, 2.831873, 247807.000000
4593.000000, 6.000000, 141.000000, 0, 0, 0, 0, 67110, 2069, 0, 0, 0, 619, 0, 8.815161, 3.081249, 252396.000000
5065.000000, 5.000000, 587.000000, 0, 0, 0, 0, 67110, 1994, 0, 0, 0, 3642, 0, 7.730921, 7.334002, 257457.000000
5830.000000, 6.000000, 1754.000000, 0, 0, 0, 0, 67110, 996, 0, 0, 0, 13916, 0, 0.365815, 0.348326, 263283.000000
4197.000000, 5.000000, 480.000000, 0, 0, 0, 0, 67110, 499, 0, 0, 0, 9356, 0, 0.502818, 0.502818, 267477.000000
27791.000000, 6.000000, 6.000000, 0, 0, 0, 0, 67110, 39885, 0, 0, 0, 12, 0, 389.590607, 124.780502, 295264.000000
4599.000000, 13.000000, 675.000000, 0, 0, 0, 0, 67110, 809, 0, 0, 0, 4499, 0, 2.699768, 0.978197, 299855.000000
5893.000000, 6.000000, 1877.000000, 0, 0, 0, 0, 67110, 506, 0, 0, 0, 16512, 0, 0.821146, 0.821146, 305743.000000
4605.000000, 5.000000, 779.000000, 0, 0, 0, 0, 67110, 1297, 0, 0, 0, 18959, 0, 0.640318, 0.470098, 310344.000000
7796.000000, 5.000000, 3179.000000, 0, 0, 0, 0, 67110, 2390, 0, 0, 0, 19082, 0, 2.395939, 2.395939, 318137.000000
93195.000000, 8.000000, 237.000000, 0, 0, 0, 0, 67110, 64051, 0, 0, 0, 669, 0, 218.710754, 218.710754, 411328.000000
