querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
206314.000000, 12.000000, 79.000000, 0, 0, 0, 0, 65998, 64941, 0, 0, 0, 96, 0, 281.198730, 243.993118, 206306.000000
134209.000000, 10.000000, 32.000000, 0, 0, 0, 0, 65998, 64567, 0, 0, 0, 52, 0, 364.251465, 150.606842, 340508.000000
188733.000000, 14.000000, 48.000000, 0, 0, 0, 0, 65998, 64885, 0, 0, 0, 63, 0, 346.746735, 218.079254, 529233.000000
200043.000000, 15.000000, 55.000000, 0, 0, 0, 0, 65998, 64992, 0, 0, 0, 77, 0, 349.792023, 214.058014, 729267.000000
183115.000000, 14.000000, 31.000000, 0, 0, 0, 0, 65998, 64868, 0, 0, 0, 63, 0, 292.290131, 239.503143, 912373.000000
184718.000000, 13.000000, 43.000000, 0, 0, 0, 0, 65998, 64891, 0, 0, 0, 59, 0, 339.008545, 196.681702, 1097083.000000
177445.000000, 13.000000, 34.000000, 0, 0, 0, 0, 65998, 64889, 0, 0, 0, 41, 0, 361.845795, 228.887695, 1274521.000000
190908.000000, 13.000000, 36.000000, 0, 0, 0, 0, 65998, 64923, 0, 0, 0, 46, 0, 327.547028, 234.888641, 1465421.000000
111834.000000, 14.000000, 43.000000, 0, 0, 0, 0, 65998, 64487, 0, 0, 0, 60, 0, 284.790466, 160.424606, 1577247.000000
202753.000000, 19.000000, 84.000000, 0, 0, 0, 0, 65998, 64904, 0, 0, 0, 108, 0, 340.702423, 231.059952, 1779989.000000
127854.000000, 17.000000, 60.000000, 0, 0, 0, 0, 65998, 64503, 0, 0, 0, 76, 0, 239.237305, 178.847961, 1907833.000000
37707.000000, 15.000000, 29.000000, 0, 0, 0, 0, 65998, 38699, 0, 0, 0, 29, 0, 222.527145, 113.034195, 1945531.000000
190808.000000, 11.000000, 56.000000, 0, 0, 0, 0, 65998, 64915, 0, 0, 0, 61, 0, 310.278442, 229.595108, 2136333.000000
173057.000000, 13.000000, 64.000000, 0, 0, 0, 0, 65998, 64826, 0, 0, 0, 70, 0, 279.669128, 175.587906, 2309383.000000
152935.000000, 13.000000, 54.000000, 0, 0, 0, 0, 65998, 64775, 0, 0, 0, 63, 0, 344.579071, 165.262939, 2462310.000000
188775.000000, 11.000000, 42.000000, 0, 0, 0, 0, 65998, 65039, 0, 0, 0, 44, 0, 340.816101, 219.725189, 2651078.000000
215535.000000, 15.000000, 63.000000, 0, 0, 0, 0, 65998, 65016, 0, 0, 0, 100, 0, 323.691376, 255.990570, 2866605.000000
193724.000000, 17.000000, 43.000000, 0, 0, 0, 0, 65998, 64932, 0, 0, 0, 55, 0, 399.946014, 236.959122, 3060317.000000
196431.000000, 19.000000, 43.000000, 0, 0, 0, 0, 65998, 64950, 0, 0, 0, 57, 0, 331.526031, 255.837036, 3256736.000000
186010.000000, 14.000000, 29.000000, 0, 0, 0, 0, 65998, 64915, 0, 0, 0, 37, 0, 368.029938, 216.517807, 3442737.000000
214338.000000, 12.000000, 38.000000, 0, 0, 0, 0, 65998, 65019, 0, 0, 0, 40, 0, 314.709961, 255.992523, 3657068.000000
170494.000000, 11.000000, 48.000000, 0, 0, 0, 0, 65998, 64834, 0, 0, 0, 56, 0, 360.480286, 187.160324, 3827556.000000
211582.000000, 11.000000, 51.000000, 0, 0, 0, 0, 65998, 65068, 0, 0, 0, 65, 0, 423.997070, 232.524597, 4039132.000000
214995.000000, 13.000000, 40.000000, 0, 0, 0, 0, 65998, 64946, 0, 0, 0, 57, 0, 376.951019, 250.405807, 4254118.000000
130300.000000, 13.000000, 38.000000, 0, 0, 0, 0, 65998, 64584, 0, 0, 0, 56, 0, 214.873444, 190.958176, 4384409.000000
220748.000000, 12.000000, 41.000000, 0, 0, 0, 0, 65998, 65007, 0, 0, 0, 54, 0, 355.606567, 243.094238, 4605150.000000
184203.000000, 13.000000, 49.000000, 0, 0, 0, 0, 65998, 64924, 0, 0, 0, 72, 0, 313.292786, 236.400620, 4789344.000000
165806.000000, 10.000000, 51.000000, 0, 0, 0, 0, 65998, 64918, 0, 0, 0, 71, 0, 364.655853, 215.161865, 4955145.000000
56224.000000, 12.000000, 84.000000, 0, 0, 0, 0, 65998, 49327, 0, 0, 0, 140, 0, 175.552185, 87.816536, 5011362.000000
131396.000000, 10.000000, 53.000000, 0, 0, 0, 0, 65998, 64535, 0, 0, 0, 78, 0, 228.294312, 122.827507, 5142753.000000
203178.000000, 10.000000, 35.000000, 0, 0, 0, 0, 65998, 65019, 0, 0, 0, 43, 0, 340.057861, 230.207031, 5345925.000000
125966.000000, 10.000000, 46.000000, 0, 0, 0, 0, 65998, 64561, 0, 0, 0, 65, 0, 291.075928, 157.214432, 5471884.000000
74950.000000, 13.000000, 74.000000, 0, 0, 0, 0, 65998, 63366, 0, 0, 0, 113, 0, 135.795486, 121.485962, 5546825.000000
151837.000000, 11.000000, 50.000000, 0, 0, 0, 0, 65998, 64723, 0, 0, 0, 67, 0, 353.206421, 109.317291, 5698655.000000
180267.000000, 10.000000, 56.000000, 0, 0, 0, 0, 65998, 64836, 0, 0, 0, 66, 0, 346.059784, 199.947586, 5878916.000000
200082.000000, 10.000000, 48.000000, 0, 0, 0, 0, 65998, 64939, 0, 0, 0, 53, 0, 401.044281, 223.902496, 6078993.000000
