querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1387790.000000, 8.000000, 952.000000, 0, 0, 0, 0, 65812, 65459, 0, 0, 0, 1386, 0, 303.775269, 217.268478, 1387784.000000
840009.000000, 14.000000, 1187.000000, 0, 0, 0, 0, 65812, 65401, 0, 0, 0, 2172, 0, 225.169266, 147.639908, 2227784.000000
257543.000000, 22.000000, 1020.000000, 0, 0, 0, 0, 65812, 57262, 0, 0, 0, 1434, 0, 212.048752, 124.486542, 2485313.000000
960157.000000, 19.000000, 877.000000, 0, 0, 0, 0, 65812, 65439, 0, 0, 0, 1213, 0, 244.501129, 184.155075, 3445459.000000
116572.000000, 19.000000, 574.000000, 0, 0, 0, 0, 65812, 42650, 0, 0, 0, 1435, 0, 150.825562, 120.844963, 3562020.000000
283220.000000, 11.000000, 447.000000, 0, 0, 0, 0, 65812, 61148, 0, 0, 0, 938, 0, 208.258942, 127.045837, 3845233.000000
950623.000000, 13.000000, 691.000000, 0, 0, 0, 0, 65812, 65431, 0, 0, 0, 1515, 0, 204.163101, 167.251022, 4795848.000000
555915.000000, 22.000000, 955.000000, 0, 0, 0, 0, 65812, 65341, 0, 0, 0, 2188, 0, 184.256302, 154.674927, 5351745.000000
919750.000000, 12.000000, 424.000000, 0, 0, 0, 0, 65812, 65427, 0, 0, 0, 958, 0, 218.180176, 162.522430, 6271487.000000
10412.000000, 11.000000, 342.000000, 0, 0, 0, 0, 65812, 3342, 0, 0, 0, 1079, 0, 94.821030, 41.256969, 6281890.000000
1095355.000000, 16.000000, 3398.000000, 0, 0, 0, 0, 65812, 65442, 0, 0, 0, 5506, 0, 237.127853, 165.862061, 7377233.000000
1138180.000000, 13.000000, 816.000000, 0, 0, 0, 0, 65812, 65459, 0, 0, 0, 1666, 0, 265.819580, 184.297760, 8515403.000000
955242.000000, 11.000000, 908.000000, 0, 0, 0, 0, 65812, 65410, 0, 0, 0, 1962, 0, 261.917542, 157.931183, 9470638.000000
620375.000000, 11.000000, 592.000000, 0, 0, 0, 0, 65812, 65350, 0, 0, 0, 1319, 0, 238.638824, 130.274887, 10091006.000000
202430.000000, 13.000000, 428.000000, 0, 0, 0, 0, 65812, 56814, 0, 0, 0, 1027, 0, 179.643814, 127.069687, 10293427.000000
866436.000000, 11.000000, 559.000000, 0, 0, 0, 0, 65812, 65430, 0, 0, 0, 1117, 0, 256.256836, 179.548889, 11159856.000000
990331.000000, 10.000000, 368.000000, 0, 0, 0, 0, 65812, 65407, 0, 0, 0, 824, 0, 247.743149, 170.973923, 12150180.000000
1559082.000000, 11.000000, 462.000000, 0, 0, 0, 0, 65812, 65482, 0, 0, 0, 951, 0, 296.468140, 248.867737, 13709253.000000
685415.000000, 13.000000, 414.000000, 0, 0, 0, 0, 65812, 65404, 0, 0, 0, 995, 0, 255.038544, 143.385254, 14394659.000000
1313035.000000, 11.000000, 858.000000, 0, 0, 0, 0, 65812, 65477, 0, 0, 0, 1950, 0, 243.668579, 205.413010, 15707687.000000
948006.000000, 11.000000, 406.000000, 0, 0, 0, 0, 65812, 65436, 0, 0, 0, 921, 0, 232.067520, 182.777634, 16655686.000000
1099230.000000, 12.000000, 2291.000000, 0, 0, 0, 0, 65812, 65444, 0, 0, 0, 4184, 0, 260.347626, 190.047424, 17754909.000000
1088611.000000, 14.000000, 453.000000, 0, 0, 0, 0, 65812, 65455, 0, 0, 0, 1057, 0, 268.594971, 175.201584, 18843513.000000
461740.000000, 9.000000, 354.000000, 0, 0, 0, 0, 65812, 65237, 0, 0, 0, 762, 0, 250.391418, 141.163971, 19305247.000000
910490.000000, 13.000000, 438.000000, 0, 0, 0, 0, 65812, 65433, 0, 0, 0, 939, 0, 230.905823, 171.076935, 20215728.000000
