querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1776197.000000, 13.000000, 5463.000000, 0, 0, 0, 0, 67966, 66484, 0, 0, 0, 4947, 0, 290.220917, 197.435623, 1776189.000000
85403.000000, 12.000000, 280.000000, 0, 0, 0, 0, 67966, 30886, 0, 0, 0, 871, 0, 124.827187, 104.374077, 1861582.000000
1214158.000000, 16.000000, 849.000000, 0, 0, 0, 0, 67966, 66397, 0, 0, 0, 1732, 0, 224.513062, 180.244370, 3075730.000000
1452373.000000, 16.000000, 1505.000000, 0, 0, 0, 0, 67966, 66512, 0, 0, 0, 3125, 0, 299.939575, 197.705109, 4528091.000000
292338.000000, 17.000000, 2269.000000, 0, 0, 0, 0, 67966, 56037, 0, 0, 0, 5134, 0, 182.172104, 143.106445, 4820419.000000
1688953.000000, 17.000000, 2984.000000, 0, 0, 0, 0, 67966, 66489, 0, 0, 0, 6102, 0, 325.504395, 252.393982, 6509361.000000
1171885.000000, 16.000000, 748.000000, 0, 0, 0, 0, 67966, 66472, 0, 0, 0, 1198, 0, 217.977356, 161.773712, 7681235.000000
1861267.000000, 17.000000, 559.000000, 0, 0, 0, 0, 67966, 66481, 0, 0, 0, 1099, 0, 365.462006, 255.999405, 9542491.000000
1659359.000000, 17.000000, 385.000000, 0, 0, 0, 0, 67966, 66520, 0, 0, 0, 765, 0, 311.896545, 226.760895, 11201839.000000
1409556.000000, 17.000000, 5156.000000, 0, 0, 0, 0, 67966, 66444, 0, 0, 0, 11560, 0, 255.902008, 149.130676, 12611383.000000
1584487.000000, 17.000000, 4258.000000, 0, 0, 0, 0, 67966, 66478, 0, 0, 0, 8781, 0, 304.336121, 177.441116, 14195859.000000
600771.000000, 11.000000, 3157.000000, 0, 0, 0, 0, 67966, 65974, 0, 0, 0, 19017, 0, 66.532501, 25.845432, 14796622.000000
1858826.000000, 18.000000, 6318.000000, 0, 0, 0, 0, 67966, 66499, 0, 0, 0, 11494, 0, 355.910797, 255.999283, 16655436.000000
1747403.000000, 16.000000, 121.000000, 0, 0, 0, 0, 67966, 66538, 0, 0, 0, 209, 0, 246.658966, 226.074783, 18402829.000000
1128112.000000, 18.000000, 91.000000, 0, 0, 0, 0, 67966, 66424, 0, 0, 0, 151, 0, 230.257462, 169.612091, 19530929.000000
1367087.000000, 17.000000, 317.000000, 0, 0, 0, 0, 67966, 66480, 0, 0, 0, 599, 0, 265.216675, 196.722839, 20898005.000000
1561251.000000, 17.000000, 907.000000, 0, 0, 0, 0, 67966, 66478, 0, 0, 0, 1912, 0, 251.884933, 250.125244, 22459245.000000
1002478.000000, 18.000000, 454.000000, 0, 0, 0, 0, 67966, 66468, 0, 0, 0, 977, 0, 211.705856, 180.750031, 23461711.000000
1760368.000000, 18.000000, 750.000000, 0, 0, 0, 0, 67966, 66508, 0, 0, 0, 1591, 0, 326.203827, 255.998093, 25222068.000000
1625653.000000, 17.000000, 298.000000, 0, 0, 0, 0, 67966, 66468, 0, 0, 0, 605, 0, 281.745209, 226.219086, 26847710.000000
1450630.000000, 16.000000, 2701.000000, 0, 0, 0, 0, 67966, 66412, 0, 0, 0, 4679, 0, 291.398560, 191.079590, 28298329.000000
1502019.000000, 17.000000, 364.000000, 0, 0, 0, 0, 67966, 66513, 0, 0, 0, 720, 0, 316.392242, 183.750427, 29800336.000000
1580450.000000, 32.000000, 5619.000000, 0, 0, 0, 0, 67966, 66479, 0, 0, 0, 12113, 0, 305.572327, 191.238388, 31380774.000000
869188.000000, 17.000000, 3718.000000, 0, 0, 0, 0, 67966, 65333, 0, 0, 0, 7724, 0, 212.132187, 169.300964, 32249951.000000
572768.000000, 17.000000, 118.000000, 0, 0, 0, 0, 67966, 66045, 0, 0, 0, 214, 0, 220.588577, 147.730011, 32822708.000000
56289.000000, 16.000000, 432.000000, 0, 0, 0, 0, 67966, 32149, 0, 0, 0, 986, 0, 170.092392, 88.271461, 32878987.000000
1554039.000000, 17.000000, 145.000000, 0, 0, 0, 0, 67966, 66508, 0, 0, 0, 252, 0, 256.081390, 237.982208, 34433014.000000
1046794.000000, 17.000000, 341.000000, 0, 0, 0, 0, 67966, 66408, 0, 0, 0, 725, 0, 202.998108, 162.195755, 35479798.000000
1424348.000000, 17.000000, 552.000000, 0, 0, 0, 0, 67966, 66461, 0, 0, 0, 1090, 0, 240.317017, 173.879730, 36904135.000000
1355189.000000, 17.000000, 405.000000, 0, 0, 0, 0, 67966, 66479, 0, 0, 0, 866, 0, 243.115921, 219.060074, 38259312.000000
1056242.000000, 18.000000, 192.000000, 0, 0, 0, 0, 67966, 66475, 0, 0, 0, 387, 0, 174.843033, 174.843033, 39315541.000000
1693823.000000, 16.000000, 391.000000, 0, 0, 0, 0, 67966, 66509, 0, 0, 0, 681, 0, 336.558655, 255.998871, 41009353.000000
1666967.000000, 16.000000, 473.000000, 0, 0, 0, 0, 67966, 66496, 0, 0, 0, 1028, 0, 249.059830, 230.416168, 42676310.000000
1830734.000000, 39.000000, 6494.000000, 0, 0, 0, 0, 67966, 66468, 0, 0, 0, 10413, 0, 313.158539, 255.999161, 44507021.000000
1249592.000000, 16.000000, 6619.000000, 0, 0, 0, 0, 67966, 66408, 0, 0, 0, 18519, 0, 170.755707, 136.511719, 45756602.000000
1557237.000000, 18.000000, 4841.000000, 0, 0, 0, 0, 67966, 66482, 0, 0, 0, 10928, 0, 262.717743, 211.081299, 47313827.000000
844412.000000, 16.000000, 155.000000, 0, 0, 0, 0, 67966, 66344, 0, 0, 0, 273, 0, 251.549728, 154.440598, 48158228.000000
1228812.000000, 18.000000, 1323.000000, 0, 0, 0, 0, 67966, 66433, 0, 0, 0, 2825, 0, 283.089447, 178.396225, 49387029.000000
224563.000000, 18.000000, 35.000000, 0, 0, 0, 0, 67966, 48818, 0, 0, 0, 45, 0, 168.507156, 123.541122, 49611581.000000
1496314.000000, 17.000000, 1129.000000, 0, 0, 0, 0, 67966, 66463, 0, 0, 0, 2483, 0, 207.556061, 202.385406, 51107885.000000
1224890.000000, 18.000000, 193.000000, 0, 0, 0, 0, 67966, 66489, 0, 0, 0, 375, 0, 255.632935, 172.721237, 52332763.000000
1561022.000000, 18.000000, 237.000000, 0, 0, 0, 0, 67966, 66474, 0, 0, 0, 447, 0, 326.535339, 239.335861, 53893774.000000
1349308.000000, 17.000000, 708.000000, 0, 0, 0, 0, 67966, 66477, 0, 0, 0, 1564, 0, 233.263046, 187.490845, 55243072.000000
1667509.000000, 14.000000, 735.000000, 0, 0, 0, 0, 67966, 66519, 0, 0, 0, 2337, 0, 280.034454, 216.625839, 56910571.000000
1819795.000000, 11.000000, 493.000000, 0, 0, 0, 0, 67966, 66485, 0, 0, 0, 973, 0, 316.114014, 253.178970, 58730358.000000
1317796.000000, 18.000000, 265.000000, 0, 0, 0, 0, 67966, 66500, 0, 0, 0, 520, 0, 250.035080, 204.300842, 60048143.000000
1753964.000000, 16.000000, 2910.000000, 0, 0, 0, 0, 67966, 66510, 0, 0, 0, 6320, 0, 364.489227, 255.997635, 61802096.000000
1409000.000000, 16.000000, 1224.000000, 0, 0, 0, 0, 67966, 66483, 0, 0, 0, 2598, 0, 289.468994, 167.752945, 63211085.000000
1149499.000000, 17.000000, 6942.000000, 0, 0, 0, 0, 67966, 66361, 0, 0, 0, 17991, 0, 183.573868, 133.815720, 64360573.000000
1352458.000000, 17.000000, 3181.000000, 0, 0, 0, 0, 67966, 66475, 0, 0, 0, 6937, 0, 319.847870, 187.660049, 65713021.000000
1365338.000000, 18.000000, 2432.000000, 0, 0, 0, 0, 67966, 66480, 0, 0, 0, 5770, 0, 207.547806, 198.576447, 67078346.000000
533709.000000, 18.000000, 137.000000, 0, 0, 0, 0, 67966, 66163, 0, 0, 0, 252, 0, 187.304016, 130.333786, 67612044.000000
845374.000000, 17.000000, 737.000000, 0, 0, 0, 0, 67966, 66400, 0, 0, 0, 1209, 0, 214.815552, 163.139114, 68457407.000000
1107840.000000, 18.000000, 492.000000, 0, 0, 0, 0, 67966, 66454, 0, 0, 0, 1023, 0, 269.739960, 165.903519, 69565236.000000
1553434.000000, 18.000000, 428.000000, 0, 0, 0, 0, 67966, 66478, 0, 0, 0, 885, 0, 271.820343, 218.450806, 71118658.000000
1265209.000000, 18.000000, 263.000000, 0, 0, 0, 0, 67966, 66356, 0, 0, 0, 501, 0, 350.275513, 165.466110, 72383856.000000
1027155.000000, 18.000000, 220.000000, 0, 0, 0, 0, 67966, 66477, 0, 0, 0, 455, 0, 222.712006, 169.437164, 73411000.000000
