querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1609806.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65691, 0, 0, 0, 1104, 0, 400.049377, 277.025787, 1609801.000000
18535.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 940, 0, 0, 0, 1585, 0, 336.128174, 3.516008, 1628336.000000
18447.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 962, 0, 0, 0, 1585, 0, 335.986511, 3.535219, 1646782.000000
19090.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 982, 0, 0, 0, 1585, 0, 335.852905, 3.577882, 1665870.000000
18787.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1010, 0, 0, 0, 1308, 0, 357.425781, 3.644043, 1684656.000000
19400.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1070, 0, 0, 0, 1308, 0, 357.395355, 3.733731, 1704054.000000
20336.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1138, 0, 0, 0, 1308, 0, 357.372040, 3.846973, 1724388.000000
20262.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1213, 0, 0, 0, 1308, 0, 357.355865, 3.983781, 1744648.000000
20758.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1303, 0, 0, 0, 1308, 0, 357.346863, 4.144156, 1765403.000000
20906.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1433, 0, 0, 0, 1308, 0, 357.345154, 4.328094, 1786306.000000
20664.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1574, 0, 0, 0, 1308, 0, 357.350433, 4.535581, 1806968.000000
21502.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1708, 0, 0, 0, 1308, 0, 357.362885, 4.766587, 1828468.000000
22138.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 1887, 0, 0, 0, 1308, 0, 357.382599, 5.021079, 1850606.000000
22308.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 2060, 0, 0, 0, 2050, 0, 356.748291, 5.299009, 1872913.000000
22808.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 2307, 0, 0, 0, 2050, 0, 356.578400, 5.600324, 1895719.000000
23381.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 2567, 0, 0, 0, 2050, 0, 356.415710, 5.924960, 1919098.000000
25418.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 2881, 0, 0, 0, 2050, 0, 356.260193, 6.272838, 1944514.000000
25561.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 3219, 0, 0, 0, 2050, 0, 356.112183, 6.643879, 1970072.000000
26898.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 3642, 0, 0, 0, 2050, 0, 355.971283, 7.037986, 1996967.000000
28308.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 4138, 0, 0, 0, 2050, 0, 355.837769, 7.455059, 2025272.000000
30326.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 4701, 0, 0, 0, 2050, 0, 355.711578, 7.894982, 2055596.000000
33192.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 5340, 0, 0, 0, 2050, 0, 355.592621, 8.357635, 2088786.000000
34334.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 6074, 0, 0, 0, 2050, 0, 355.480896, 8.842889, 2123117.000000
36013.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 6908, 0, 0, 0, 2050, 0, 355.376556, 9.350602, 2159128.000000
38731.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 7805, 0, 0, 0, 2050, 0, 355.279480, 9.880629, 2197857.000000
42032.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 8777, 0, 0, 0, 2050, 0, 355.189514, 10.432808, 2239887.000000
43505.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 9787, 0, 0, 0, 2050, 0, 355.106964, 11.006982, 2283390.000000
46470.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 10925, 0, 0, 0, 2050, 0, 355.031494, 11.634168, 2329859.000000
50226.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 12192, 0, 0, 0, 2050, 0, 354.963257, 12.286659, 2380084.000000
52736.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 13491, 0, 0, 0, 2050, 0, 354.902161, 12.960535, 2432818.000000
56160.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 14935, 0, 0, 0, 2050, 0, 354.848297, 13.655595, 2488977.000000
60501.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 16412, 0, 0, 0, 2050, 0, 354.801514, 14.371629, 2549476.000000
66319.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 17961, 0, 0, 0, 2050, 0, 354.761841, 15.108421, 2615792.000000
67358.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 19584, 0, 0, 0, 2050, 0, 354.729034, 15.865745, 2683148.000000
71345.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 21310, 0, 0, 0, 2050, 0, 354.703461, 16.643377, 2754492.000000
76143.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 23160, 0, 0, 0, 2050, 0, 354.684753, 17.441076, 2830634.000000
80289.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 25171, 0, 0, 0, 2050, 0, 354.672913, 18.258591, 2910921.000000
83881.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 27247, 0, 0, 0, 2050, 0, 354.668030, 19.095688, 2994800.000000
88700.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 29233, 0, 0, 0, 2050, 0, 354.669983, 19.952101, 3083498.000000
95541.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 31093, 0, 0, 0, 2050, 0, 354.678528, 20.827574, 3179037.000000
99970.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 32893, 0, 0, 0, 2050, 0, 354.694092, 21.721840, 3279007.000000
102944.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 34739, 0, 0, 0, 2050, 0, 354.716156, 22.634621, 3381951.000000
110324.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 36798, 0, 0, 0, 2050, 0, 354.744812, 23.565641, 3492273.000000
115631.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 39196, 0, 0, 0, 2050, 0, 354.779999, 24.514629, 3607902.000000
124247.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 41751, 0, 0, 0, 2050, 0, 354.821747, 25.481295, 3732147.000000
126783.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 44254, 0, 0, 0, 2050, 0, 354.869934, 26.465351, 3858928.000000
136817.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 46652, 0, 0, 0, 2050, 0, 354.924500, 27.466501, 3995743.000000
143409.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 48670, 0, 0, 0, 2050, 0, 354.985260, 28.484438, 4139151.000000
151007.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 50568, 0, 0, 0, 2050, 0, 355.052277, 29.518881, 4290156.000000
158788.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 52608, 0, 0, 0, 2050, 0, 355.125519, 30.569521, 4448942.000000
163126.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 54763, 0, 0, 0, 2050, 0, 355.204773, 31.636042, 4612066.000000
173734.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 57040, 0, 0, 0, 2050, 0, 355.290100, 32.718136, 4785798.000000
179708.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 59066, 0, 0, 0, 2050, 0, 355.381287, 33.815502, 4965504.000000
190734.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 60585, 0, 0, 0, 2050, 0, 355.478485, 34.927822, 5156238.000000
198849.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 61584, 0, 0, 0, 2050, 0, 355.581207, 36.054768, 5355086.000000
208646.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 62454, 0, 0, 0, 2050, 0, 355.689850, 37.196049, 5563731.000000
220243.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 63292, 0, 0, 0, 2050, 0, 355.804077, 38.351322, 5783974.000000
230387.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 64123, 0, 0, 0, 2050, 0, 355.923828, 39.520298, 6014359.000000
244127.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 64778, 0, 0, 0, 2050, 0, 356.049042, 40.687233, 6258486.000000
257873.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65099, 0, 0, 0, 2050, 0, 356.179657, 41.855579, 6516359.000000
271221.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65257, 0, 0, 0, 2050, 0, 356.315582, 43.036758, 6787580.000000
281560.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65221, 0, 0, 0, 2050, 0, 356.456726, 44.230453, 7069139.000000
292033.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65228, 0, 0, 0, 2050, 0, 356.602905, 45.436348, 7361172.000000
313023.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65296, 0, 0, 0, 2050, 0, 356.754211, 46.654099, 7674192.000000
321662.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65265, 0, 0, 0, 2050, 0, 356.910461, 47.883415, 7995853.000000
340207.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65333, 0, 0, 0, 2050, 0, 357.071625, 49.123974, 8336059.000000
354233.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65336, 0, 0, 0, 2050, 0, 357.237549, 50.375458, 8690291.000000
369706.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65358, 0, 0, 0, 2050, 0, 357.408203, 51.637520, 9059997.000000
386973.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65354, 0, 0, 0, 2050, 0, 357.583527, 52.909885, 9446969.000000
405555.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65399, 0, 0, 0, 2050, 0, 357.763245, 54.192242, 9852523.000000
424955.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65402, 0, 0, 0, 2050, 0, 357.947449, 55.484222, 10277478.000000
443966.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65453, 0, 0, 0, 2050, 0, 358.136078, 56.785572, 10721444.000000
464829.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65439, 0, 0, 0, 2050, 0, 358.328918, 58.095959, 11186271.000000
478109.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65452, 0, 0, 0, 2050, 0, 358.525879, 59.415077, 11664378.000000
492100.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65461, 0, 0, 0, 2050, 0, 358.726990, 60.742619, 12156477.000000
509172.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65490, 0, 0, 0, 2050, 0, 358.932129, 62.078300, 12665647.000000
530034.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65529, 0, 0, 0, 2050, 0, 359.141083, 63.421764, 13195680.000000
544784.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65481, 0, 0, 0, 2050, 0, 359.353973, 64.772797, 13740463.000000
563141.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65492, 0, 0, 0, 2050, 0, 359.570587, 66.131035, 14303602.000000
572392.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65511, 0, 0, 0, 2050, 0, 359.790741, 67.496201, 14875994.000000
587411.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65533, 0, 0, 0, 2050, 0, 360.014648, 68.868027, 15463404.000000
599158.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65538, 0, 0, 0, 2050, 0, 360.241913, 70.246216, 16062561.000000
613760.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65574, 0, 0, 0, 2050, 0, 360.472626, 71.630478, 16676320.000000
630357.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65539, 0, 0, 0, 2050, 0, 360.706635, 73.020515, 17306677.000000
639105.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65572, 0, 0, 0, 2050, 0, 360.943817, 74.416077, 17945782.000000
660149.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65561, 0, 0, 0, 2050, 0, 361.184204, 75.816895, 18605930.000000
665354.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65587, 0, 0, 0, 2050, 0, 361.427673, 77.222672, 19271281.000000
682512.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65568, 0, 0, 0, 2050, 0, 361.674072, 78.633148, 19953793.000000
693340.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65570, 0, 0, 0, 2050, 0, 361.923462, 80.048073, 20647132.000000
699326.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65576, 0, 0, 0, 2050, 0, 362.175507, 81.467178, 21346457.000000
713586.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65546, 0, 0, 0, 2050, 0, 362.430450, 82.890198, 22060043.000000
722055.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65557, 0, 0, 0, 2050, 0, 362.687927, 84.316887, 22782097.000000
734577.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65584, 0, 0, 0, 2050, 0, 362.947998, 85.747017, 23516672.000000
743656.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66102, 65601, 0, 0, 0, 2050, 0, 363.210571, 87.180298, 24260327.000000
