querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
335669.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65901, 0, 0, 0, 2164, 0, 62.402603, 47.117966, 335666.000000
226234.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 60985, 0, 0, 0, 4396, 0, 44.339825, 36.407547, 561895.000000
163766.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 57215, 0, 0, 0, 3065, 0, 33.156334, 28.219269, 725657.000000
177344.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 43922, 0, 0, 0, 11983, 0, 36.486706, 27.416862, 902996.000000
5636.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 278, 0, 0, 0, 12515, 0, 1.661764, 1.434420, 908626.000000
275320.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65822, 0, 0, 0, 564, 0, 62.008919, 39.056389, 1183942.000000
215938.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 63763, 0, 0, 0, 389, 0, 38.172653, 28.608355, 1399875.000000
35954.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 6719, 0, 0, 0, 16057, 0, 12.852010, 10.925974, 1435824.000000
13104.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 2918, 0, 0, 0, 5941, 0, 8.159158, 6.733395, 1448924.000000
148558.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 38568, 0, 0, 0, 4933, 0, 35.702366, 26.361000, 1597478.000000
176689.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 48852, 0, 0, 0, 9878, 0, 44.958076, 30.835213, 1774162.000000
252517.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65149, 0, 0, 0, 4171, 0, 41.262871, 30.665813, 2026673.000000
131346.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 45633, 0, 0, 0, 254, 0, 31.520674, 20.074635, 2158014.000000
310971.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65856, 0, 0, 0, 1234, 0, 60.309929, 46.355938, 2468979.000000
282051.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65684, 0, 0, 0, 7151, 0, 58.641422, 41.963127, 2751025.000000
290514.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65730, 0, 0, 0, 625, 0, 51.961056, 44.168453, 3041535.000000
341660.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65889, 0, 0, 0, 2635, 0, 61.469311, 47.540302, 3383190.000000
211399.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 58039, 0, 0, 0, 4590, 0, 43.120369, 39.174496, 3594584.000000
83609.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 34591, 0, 0, 0, 4579, 0, 16.039513, 13.224281, 3678187.000000
350031.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65838, 0, 0, 0, 3653, 0, 61.592319, 42.535545, 4028214.000000
332686.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65871, 0, 0, 0, 3616, 0, 53.509335, 44.923389, 4360895.000000
244166.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65638, 0, 0, 0, 1165, 0, 59.216896, 28.513462, 4605056.000000
144836.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 51354, 0, 0, 0, 18980, 0, 28.458813, 26.350792, 4749888.000000
27798.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 3911, 0, 0, 0, 12280, 0, 10.575579, 9.339540, 4777681.000000
241270.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65494, 0, 0, 0, 554, 0, 43.625919, 34.936905, 5018944.000000
348402.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65981, 0, 0, 0, 948, 0, 84.502518, 42.475403, 5367341.000000
206077.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 59093, 0, 0, 0, 1230, 0, 54.471607, 39.162300, 5573414.000000
147519.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 37805, 0, 0, 0, 11909, 0, 39.800903, 29.619184, 5720927.000000
196399.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 62110, 0, 0, 0, 2102, 0, 43.660511, 36.410133, 5917322.000000
393062.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 65916, 0, 0, 0, 9143, 0, 63.154541, 52.112560, 6310379.000000
424481.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 66027, 0, 0, 0, 1951, 0, 69.671913, 58.276752, 6734854.000000
104777.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 34239, 0, 0, 0, 3514, 0, 37.014473, 29.124260, 6839626.000000
102676.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 38208, 0, 0, 0, 1317, 0, 39.494938, 23.974583, 6942298.000000
219956.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67184, 54201, 0, 0, 0, 5565, 0, 49.140732, 34.239735, 7162249.000000
