querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
696568.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65494, 0, 0, 0, 595, 0, 45.635918, 35.597935, 696566.000000
396795.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65286, 0, 0, 0, 2144, 0, 27.018852, 18.323809, 1093359.000000
402782.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65257, 0, 0, 0, 2144, 0, 26.941608, 18.296877, 1496140.000000
409045.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65288, 0, 0, 0, 2144, 0, 26.871075, 18.276970, 1905185.000000
402080.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65289, 0, 0, 0, 2144, 0, 26.807247, 18.264086, 2307263.000000
393237.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65274, 0, 0, 0, 2144, 0, 26.750120, 18.258200, 2700499.000000
392131.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65264, 0, 0, 0, 4290, 0, 27.793596, 18.259298, 3092629.000000
398278.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65273, 0, 0, 0, 4290, 0, 27.869049, 18.267370, 3490906.000000
401563.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65241, 0, 0, 0, 4290, 0, 27.950993, 18.282381, 3892469.000000
411040.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65268, 0, 0, 0, 4290, 0, 28.039396, 18.304317, 4303508.000000
403259.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65302, 0, 0, 0, 4290, 0, 28.073526, 18.332729, 4706767.000000
399579.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65269, 0, 0, 0, 4290, 0, 28.109760, 18.332211, 5106345.000000
405616.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65290, 0, 0, 0, 4290, 0, 28.152443, 18.338581, 5511960.000000
398260.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65300, 0, 0, 0, 4290, 0, 28.201542, 18.351805, 5910219.000000
400113.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65301, 0, 0, 0, 4290, 0, 28.257019, 18.371855, 6310332.000000
399221.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65283, 0, 0, 0, 4290, 0, 28.318851, 18.398695, 6709553.000000
399470.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65249, 0, 0, 0, 4290, 0, 28.386982, 18.432289, 7109022.000000
402567.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65297, 0, 0, 0, 4290, 0, 28.461388, 18.472601, 7511589.000000
402817.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65292, 0, 0, 0, 4290, 0, 28.542015, 18.519585, 7914406.000000
407421.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65312, 0, 0, 0, 4290, 0, 28.628822, 18.573200, 8321827.000000
405403.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65266, 0, 0, 0, 4290, 0, 28.721771, 18.633408, 8727229.000000
426226.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65313, 0, 0, 0, 4290, 0, 28.820805, 18.656166, 9153455.000000
450447.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65361, 0, 0, 0, 4290, 0, 28.925871, 18.681034, 9603902.000000
471076.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65346, 0, 0, 0, 4290, 0, 29.036930, 18.712452, 10074977.000000
476835.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66333, 65337, 0, 0, 0, 4290, 0, 29.101854, 18.758842, 10551812.000000
