querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
427456.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65269, 0, 0, 0, 217, 0, 255.999908, 227.715912, 427455.000000
506180.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65334, 0, 0, 0, 57, 0, 255.999985, 219.816360, 933634.000000
80563.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 640, 0, 0, 0, 58, 0, 193.456512, 31.182508, 1014196.000000
9086.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 127, 0, 0, 0, 199, 0, 35.608906, 16.551897, 1023281.000000
476097.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65294, 0, 0, 0, 314, 0, 255.999802, 214.274841, 1499377.000000
8069.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 1090, 0, 0, 0, 454, 0, 56.327251, 39.676792, 1507445.000000
6570.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 172, 0, 0, 0, 454, 0, 34.607620, 27.145681, 1514014.000000
6963.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 127, 0, 0, 0, 454, 0, 13.335989, 11.767624, 1520974.000000
502611.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65292, 0, 0, 0, 5270, 0, 255.999664, 196.321503, 2023584.000000
7076.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 77, 0, 0, 0, 478, 0, 18.326740, 18.251734, 2030660.000000
7813.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 912, 0, 0, 0, 161, 0, 29.261900, 28.737411, 2038472.000000
356049.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65280, 0, 0, 0, 294, 0, 255.999146, 181.872559, 2394520.000000
479828.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65310, 0, 0, 0, 87, 0, 255.999985, 204.437408, 2874347.000000
558480.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65283, 0, 0, 0, 237, 0, 180.548569, 177.800781, 3432826.000000
487806.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65290, 0, 0, 0, 93, 0, 255.999969, 216.432709, 3920631.000000
27187.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 13066, 0, 0, 0, 3853, 0, 255.999329, 61.572144, 3947815.000000
7156.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 20, 0, 0, 0, 454, 0, 6.593828, 6.504101, 3954969.000000
519693.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65229, 0, 0, 0, 7912, 0, 255.999298, 242.450104, 4474659.000000
492694.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65254, 0, 0, 0, 286, 0, 255.999878, 219.730362, 4967352.000000
469667.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65241, 0, 0, 0, 3042, 0, 255.999374, 181.043442, 5437018.000000
63881.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 61535, 0, 0, 0, 9232, 0, 255.999176, 170.437775, 5500897.000000
504657.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65289, 0, 0, 0, 222, 0, 255.999969, 232.633392, 6005552.000000
496206.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65333, 0, 0, 0, 149, 0, 255.999954, 218.747772, 6501756.000000
455862.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65309, 0, 0, 0, 142, 0, 255.999908, 211.994431, 6957617.000000
489423.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65281, 0, 0, 0, 1046, 0, 255.999451, 202.153030, 7447037.000000
507957.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65333, 0, 0, 0, 122, 0, 255.999893, 208.930206, 7954991.000000
7970.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 102, 0, 0, 0, 161, 0, 25.109104, 14.303258, 7962960.000000
434570.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65252, 0, 0, 0, 138, 0, 255.999863, 238.044952, 8397529.000000
83403.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 10250, 0, 0, 0, 72, 0, 120.263588, 76.573624, 8480931.000000
459580.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65301, 0, 0, 0, 642, 0, 255.997955, 179.035339, 8940509.000000
31802.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 27186, 0, 0, 0, 3518, 0, 255.999435, 109.388191, 8972311.000000
81811.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 509, 0, 0, 0, 13765, 0, 255.997040, 23.793676, 9054120.000000
7900.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 13, 0, 0, 0, 478, 0, 4.132111, 3.076874, 9062019.000000
87135.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 4124, 0, 0, 0, 9688, 0, 255.998581, 40.005245, 9149153.000000
70020.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 3220, 0, 0, 0, 183, 0, 58.469852, 49.984432, 9219173.000000
458463.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65275, 0, 0, 0, 1141, 0, 255.999771, 233.474411, 9677634.000000
87660.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 7805, 0, 0, 0, 68, 0, 144.084351, 68.639389, 9765293.000000
412038.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65296, 0, 0, 0, 147, 0, 255.999817, 190.851273, 10177331.000000
573349.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65329, 0, 0, 0, 15073, 0, 255.999039, 176.932053, 10750679.000000
42503.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 36002, 0, 0, 0, 15613, 0, 255.998901, 138.265778, 10793180.000000
464986.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65302, 0, 0, 0, 552, 0, 255.999924, 159.441788, 11258164.000000
502024.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65283, 0, 0, 0, 96, 0, 255.999939, 255.977158, 11760187.000000
73097.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 1583, 0, 0, 0, 76, 0, 128.785095, 37.309177, 11833283.000000
501347.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65258, 0, 0, 0, 7885, 0, 255.999191, 221.031631, 12334629.000000
48371.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 59595, 0, 0, 0, 76, 0, 255.999985, 180.369598, 12382999.000000
503806.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65232, 0, 0, 0, 1072, 0, 255.999786, 253.632050, 12886804.000000
85114.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 2443, 0, 0, 0, 75, 0, 136.387833, 53.464397, 12971916.000000
8457.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 197, 0, 0, 0, 183, 0, 31.591509, 20.292002, 12980373.000000
7675.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 150, 0, 0, 0, 478, 0, 26.314793, 22.189346, 12988047.000000
482591.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 65351, 0, 0, 0, 485, 0, 255.999908, 235.971252, 13470636.000000
76000.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 386, 0, 0, 0, 52, 0, 229.322678, 22.310297, 13546635.000000
74001.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 2839, 0, 0, 0, 64, 0, 180.805176, 41.385696, 13620634.000000
82003.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 11028, 0, 0, 0, 1947, 0, 255.999390, 72.439034, 13702636.000000
7208.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 71, 0, 0, 0, 183, 0, 18.935013, 16.596153, 13709843.000000
7540.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 153, 0, 0, 0, 199, 0, 33.450871, 22.007921, 13717381.000000
61438.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 101, 0, 0, 0, 209, 0, 33.104790, 14.857383, 13778816.000000
41716.000000, 0.000000, 0.000000, 0, 0, 0, 0, 91791, 35685, 0, 0, 0, 1169, 0, 255.999649, 120.652565, 13820531.000000
