querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
192520.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64301, 0, 0, 0, 40, 0, 255.998032, 161.076401, 192518.000000
174036.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64209, 0, 0, 0, 34, 0, 255.998611, 188.106857, 366553.000000
28935.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 25290, 0, 0, 0, 724, 0, 255.979568, 94.522583, 395486.000000
176425.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64301, 0, 0, 0, 74, 0, 255.999130, 144.631836, 571910.000000
161591.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64261, 0, 0, 0, 19, 0, 255.995697, 153.505920, 733501.000000
176174.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64280, 0, 0, 0, 73, 0, 255.999557, 192.978836, 909674.000000
35934.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 40603, 0, 0, 0, 192, 0, 255.997162, 121.107948, 945607.000000
39281.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 47042, 0, 0, 0, 70, 0, 255.998917, 136.986679, 984887.000000
33296.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 34623, 0, 0, 0, 70, 0, 255.999039, 94.549545, 1018183.000000
36946.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 54316, 0, 0, 0, 627, 0, 255.985214, 147.995987, 1055129.000000
26378.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 33335, 0, 0, 0, 79, 0, 255.995117, 95.557259, 1081507.000000
9333.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 3733, 0, 0, 0, 832, 0, 51.944592, 49.309914, 1090839.000000
164134.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64234, 0, 0, 0, 80, 0, 255.989914, 172.244263, 1254973.000000
45377.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 58209, 0, 0, 0, 515, 0, 255.990997, 140.750046, 1300349.000000
20194.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 27589, 0, 0, 0, 142, 0, 140.267807, 93.238678, 1320542.000000
31486.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 52948, 0, 0, 0, 147, 0, 197.949585, 135.745865, 1352027.000000
207028.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64265, 0, 0, 0, 95, 0, 255.997314, 195.058197, 1559053.000000
162683.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64277, 0, 0, 0, 34, 0, 255.999283, 167.043060, 1721735.000000
27862.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 33324, 0, 0, 0, 308, 0, 255.993713, 108.372871, 1749596.000000
26423.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 29457, 0, 0, 0, 1459, 0, 153.681030, 103.038216, 1776018.000000
23297.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 20668, 0, 0, 0, 631, 0, 255.990219, 81.748840, 1799315.000000
24581.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 29327, 0, 0, 0, 581, 0, 255.994476, 86.751907, 1823894.000000
37025.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 50568, 0, 0, 0, 173, 0, 255.998276, 152.689987, 1860918.000000
29829.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 24839, 0, 0, 0, 1138, 0, 121.815033, 95.967033, 1890747.000000
17919.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 11053, 0, 0, 0, 741, 0, 255.985580, 55.898022, 1908665.000000
7802.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 3392, 0, 0, 0, 3927, 0, 82.149788, 39.449547, 1916467.000000
13876.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 3656, 0, 0, 0, 3927, 0, 74.680611, 37.845070, 1930342.000000
33826.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 27259, 0, 0, 0, 147, 0, 255.987045, 90.878830, 1964166.000000
27026.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 31268, 0, 0, 0, 233, 0, 255.993988, 101.965858, 1991191.000000
42609.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 53980, 0, 0, 0, 144, 0, 255.997238, 141.979858, 2033799.000000
16029.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 12076, 0, 0, 0, 255, 0, 255.994370, 63.196117, 2049828.000000
36041.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 51735, 0, 0, 0, 661, 0, 255.985016, 137.344650, 2085867.000000
27194.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 18491, 0, 0, 0, 150, 0, 255.996735, 70.654709, 2113061.000000
59047.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 60176, 0, 0, 0, 56, 0, 255.998550, 167.773117, 2172108.000000
183542.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64285, 0, 0, 0, 142, 0, 255.998322, 123.591461, 2355650.000000
41958.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 56940, 0, 0, 0, 47, 0, 255.988419, 143.974274, 2397606.000000
39823.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 47951, 0, 0, 0, 139, 0, 255.997467, 152.935989, 2437428.000000
26934.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 30231, 0, 0, 0, 26, 0, 255.999741, 92.581703, 2464360.000000
31103.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 30649, 0, 0, 0, 20, 0, 255.997452, 89.179466, 2495463.000000
8550.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 452, 0, 0, 0, 7765, 0, 32.399155, 23.886091, 2504013.000000
43266.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 58671, 0, 0, 0, 30, 0, 255.998764, 161.283707, 2547278.000000
20840.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 15521, 0, 0, 0, 78, 0, 255.997192, 76.323456, 2568117.000000
11113.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 2332, 0, 0, 0, 3927, 0, 41.164627, 41.164627, 2579228.000000
32430.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 44834, 0, 0, 0, 90, 0, 255.998016, 135.441620, 2611657.000000
41943.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 49937, 0, 0, 0, 207, 0, 255.997757, 132.478897, 2653599.000000
44697.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 55893, 0, 0, 0, 65, 0, 255.999466, 138.737640, 2698295.000000
23468.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 7881, 0, 0, 0, 707, 0, 255.992386, 62.196945, 2721762.000000
7614.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 482, 0, 0, 0, 7765, 0, 25.628908, 22.705450, 2729375.000000
172884.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64300, 0, 0, 0, 118, 0, 255.997467, 161.297195, 2902257.000000
172384.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64251, 0, 0, 0, 36, 0, 255.999207, 163.619659, 3074640.000000
28936.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 30877, 0, 0, 0, 36, 0, 255.996445, 116.998795, 3103575.000000
20046.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 14420, 0, 0, 0, 269, 0, 255.967041, 74.044876, 3123620.000000
31442.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 26105, 0, 0, 0, 147, 0, 243.862030, 99.578972, 3155061.000000
39525.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 56351, 0, 0, 0, 290, 0, 255.998398, 161.671112, 3194585.000000
30596.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 33899, 0, 0, 0, 68, 0, 255.995010, 110.435081, 3225181.000000
27978.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 26763, 0, 0, 0, 147, 0, 205.220093, 100.889587, 3253158.000000
24857.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 32363, 0, 0, 0, 22, 0, 255.999710, 123.994095, 3278014.000000
30427.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 50550, 0, 0, 0, 36, 0, 255.998245, 131.370743, 3308441.000000
29119.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 53028, 0, 0, 0, 148, 0, 255.996964, 127.656029, 3337559.000000
15640.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 13706, 0, 0, 0, 903, 0, 255.989380, 69.323624, 3353199.000000
22344.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 25661, 0, 0, 0, 302, 0, 255.991699, 74.008286, 3375542.000000
25169.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 33875, 0, 0, 0, 32, 0, 255.999344, 126.499222, 3400711.000000
19686.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 15673, 0, 0, 0, 230, 0, 255.997833, 68.631348, 3420396.000000
155684.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64281, 0, 0, 0, 53, 0, 255.998108, 176.928619, 3576078.000000
167344.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64253, 0, 0, 0, 83, 0, 255.998611, 196.367279, 3743422.000000
36063.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 58748, 0, 0, 0, 926, 0, 255.995148, 147.662308, 3779484.000000
21780.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 13631, 0, 0, 0, 10340, 0, 81.039650, 76.142174, 3801263.000000
44877.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 41214, 0, 0, 0, 299, 0, 255.996475, 131.039413, 3846139.000000
32217.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 28551, 0, 0, 0, 970, 0, 255.993408, 109.286949, 3878355.000000
46974.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 47970, 0, 0, 0, 164, 0, 255.997314, 133.706009, 3925328.000000
185018.000000, 0.000000, 0.000000, 0, 0, 0, 0, 65036, 64317, 0, 0, 0, 97, 0, 255.998978, 233.761566, 4110345.000000
