querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
63125.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 9332, 0, 0, 0, 491, 0, 33.822315, 16.219978, 63116.000000
931313.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 218, 0, 0, 0, 17995, 0, 2.320128, 2.071790, 994408.000000
186378.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 16794, 0, 0, 0, 511, 0, 38.460571, 22.278830, 1180778.000000
971919.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 68588, 0, 0, 0, 483, 0, 261.855743, 216.912598, 2152688.000000
209338.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 34273, 0, 0, 0, 2963, 0, 89.223587, 61.568317, 2362017.000000
19504.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 265, 0, 0, 0, 17587, 0, 0.731723, 0.459228, 2381512.000000
964305.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 68550, 0, 0, 0, 16496, 0, 268.998199, 157.062836, 3345808.000000
359701.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 68047, 0, 0, 0, 496, 0, 343.977722, 95.872665, 3705497.000000
340020.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 33910, 0, 0, 0, 15850, 0, 55.729149, 50.222477, 4045508.000000
20941.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 188, 0, 0, 0, 18473, 0, 2.919703, 1.318343, 4066440.000000
94886.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 7352, 0, 0, 0, 6115, 0, 21.967278, 16.661045, 4161314.000000
36457.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 14151, 0, 0, 0, 410, 0, 125.282455, 69.467674, 4197762.000000
1063581.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 68705, 0, 0, 0, 831, 0, 340.041077, 202.678391, 5261334.000000
6433.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 1228, 0, 0, 0, 546, 0, 26.230694, 8.415800, 5267758.000000
101944.000000, 0.000000, 0.000000, 0, 0, 0, 0, 73004, 22335, 0, 0, 0, 2901, 0, 145.926071, 41.248375, 5369694.000000
