querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
99029.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60110, 0, 0, 0, 64, 0, 375.243042, 255.986237, 99028.000000
100530.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 59864, 0, 0, 0, 379, 0, 401.196472, 255.993042, 199555.000000
106143.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 59965, 0, 0, 0, 2131, 0, 375.062164, 241.400391, 305697.000000
105565.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60168, 0, 0, 0, 85, 0, 412.052094, 228.183868, 411260.000000
99749.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60051, 0, 0, 0, 65, 0, 430.767578, 255.990860, 511006.000000
104193.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60010, 0, 0, 0, 55, 0, 408.127472, 208.155182, 615195.000000
96888.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60225, 0, 0, 0, 13, 0, 502.954163, 245.014664, 712082.000000
106959.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60301, 0, 0, 0, 236, 0, 396.310303, 255.990936, 819039.000000
99944.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60116, 0, 0, 0, 14, 0, 506.783264, 197.813812, 918981.000000
108986.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60168, 0, 0, 0, 77, 0, 424.226898, 255.993790, 1027966.000000
105414.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60046, 0, 0, 0, 150, 0, 318.588165, 203.924713, 1133378.000000
72098.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 59237, 0, 0, 0, 4375, 0, 188.840820, 140.911926, 1205475.000000
106586.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60140, 0, 0, 0, 284, 0, 388.374268, 248.653748, 1312060.000000
114118.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60107, 0, 0, 0, 900, 0, 352.319763, 218.518539, 1426177.000000
92489.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 59999, 0, 0, 0, 49, 0, 441.063477, 216.902206, 1518666.000000
94559.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60035, 0, 0, 0, 1880, 0, 321.206055, 230.408157, 1613222.000000
95806.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60024, 0, 0, 0, 25, 0, 475.758362, 255.994217, 1709026.000000
100553.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60062, 0, 0, 0, 851, 0, 391.673004, 251.084671, 1809579.000000
172605.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60083, 0, 0, 0, 233, 0, 329.959167, 255.993195, 1982182.000000
103090.000000, 0.000000, 0.000000, 0, 0, 0, 0, 61855, 60161, 0, 0, 0, 29, 0, 462.984589, 246.641907, 2085270.000000
