querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1072138.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73492, 0, 0, 0, 1656, 0, 167.417236, 146.967926, 1072136.000000
113351.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34054, 0, 0, 0, 284, 0, 40.229237, 38.754757, 1185487.000000
923165.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73431, 0, 0, 0, 1305, 0, 152.134018, 138.850800, 2108651.000000
79757.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 23309, 0, 0, 0, 111, 0, 54.600384, 35.127991, 2188407.000000
1214362.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73526, 0, 0, 0, 54, 0, 197.685196, 151.133911, 3402768.000000
121243.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34816, 0, 0, 0, 284, 0, 46.013954, 42.528652, 3524010.000000
1123310.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73512, 0, 0, 0, 52, 0, 203.043060, 148.107605, 4647320.000000
121186.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 35061, 0, 0, 0, 270, 0, 68.141754, 42.058670, 4768506.000000
1240372.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73500, 0, 0, 0, 232, 0, 193.140564, 153.463623, 6008877.000000
124109.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 35081, 0, 0, 0, 242, 0, 50.501656, 42.034328, 6132984.000000
1250332.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73494, 0, 0, 0, 87, 0, 207.785263, 152.419434, 7383314.000000
101245.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 30359, 0, 0, 0, 171, 0, 56.503128, 38.365368, 7484557.000000
1129675.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73511, 0, 0, 0, 211, 0, 184.717163, 152.307648, 8614231.000000
106076.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34201, 0, 0, 0, 284, 0, 40.886864, 39.680660, 8720306.000000
1214668.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73530, 0, 0, 0, 187, 0, 190.888672, 150.795151, 9934974.000000
119578.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34740, 0, 0, 0, 140, 0, 48.723969, 42.503204, 10054550.000000
1225385.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73520, 0, 0, 0, 106, 0, 203.074005, 158.230026, 11279934.000000
100515.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 30657, 0, 0, 0, 136, 0, 55.631706, 38.360470, 11380447.000000
1241293.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73498, 0, 0, 0, 221, 0, 187.781631, 155.969513, 12621739.000000
111320.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34486, 0, 0, 0, 6754, 0, 44.466183, 38.772346, 12733059.000000
1199078.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73518, 0, 0, 0, 176, 0, 190.500992, 150.532135, 13932135.000000
73055.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 22226, 0, 0, 0, 284, 0, 34.303627, 33.651608, 14005189.000000
1246946.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73478, 0, 0, 0, 135, 0, 206.868317, 154.090469, 15252133.000000
103144.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 33839, 0, 0, 0, 284, 0, 41.910206, 39.209812, 15355277.000000
1104863.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73477, 0, 0, 0, 313, 0, 181.288574, 150.226471, 16460139.000000
91786.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 24257, 0, 0, 0, 284, 0, 37.246632, 36.557705, 16551923.000000
1187717.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73499, 0, 0, 0, 2704, 0, 183.708542, 151.025116, 17739638.000000
84079.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 24941, 0, 0, 0, 284, 0, 37.831951, 36.094124, 17823716.000000
1194647.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73515, 0, 0, 0, 3842, 0, 166.846619, 148.720612, 19018361.000000
71933.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 20665, 0, 0, 0, 242, 0, 43.849728, 33.783905, 19090294.000000
1222840.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73505, 0, 0, 0, 2945, 0, 174.088821, 154.110519, 20313133.000000
101333.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 33457, 0, 0, 0, 284, 0, 38.500504, 37.778824, 20414465.000000
1194520.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73507, 0, 0, 0, 201, 0, 199.500381, 153.830429, 21608983.000000
121763.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34742, 0, 0, 0, 284, 0, 44.590378, 41.996067, 21730745.000000
1108196.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73478, 0, 0, 0, 8181, 0, 158.705887, 149.227615, 22838939.000000
102968.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34059, 0, 0, 0, 284, 0, 39.796272, 37.733967, 22941907.000000
1160133.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73473, 0, 0, 0, 88, 0, 210.657501, 150.840164, 24102039.000000
117947.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34838, 0, 0, 0, 179, 0, 61.311546, 41.089287, 24219986.000000
1220719.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73559, 0, 0, 0, 41, 0, 202.289810, 154.301926, 25440705.000000
111719.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34358, 0, 0, 0, 226, 0, 60.236115, 39.692619, 25552424.000000
1175523.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73508, 0, 0, 0, 252, 0, 185.943298, 148.033691, 26727947.000000
98414.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 29887, 0, 0, 0, 226, 0, 51.651321, 37.218689, 26826360.000000
1155480.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73502, 0, 0, 0, 692, 0, 179.853760, 151.423706, 27981839.000000
111601.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34799, 0, 0, 0, 284, 0, 43.787971, 38.294472, 28093440.000000
1206948.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73504, 0, 0, 0, 356, 0, 186.076904, 151.154694, 29300388.000000
124576.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 35257, 0, 0, 0, 226, 0, 61.564716, 42.916718, 29424964.000000
1159634.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73510, 0, 0, 0, 619, 0, 172.051208, 149.112244, 30584597.000000
97217.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 29632, 0, 0, 0, 171, 0, 53.371449, 40.029968, 30681812.000000
1234689.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73491, 0, 0, 0, 200, 0, 202.329681, 153.108505, 31916500.000000
65096.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 17334, 0, 0, 0, 570, 0, 38.416813, 30.782478, 31981595.000000
1172903.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73498, 0, 0, 0, 124, 0, 189.544479, 146.900269, 33154498.000000
114539.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 34603, 0, 0, 0, 284, 0, 41.313358, 40.582680, 33269036.000000
1175397.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 73486, 0, 0, 0, 776, 0, 177.916748, 148.320694, 34444433.000000
105402.000000, 0.000000, 0.000000, 0, 0, 0, 0, 88464, 33993, 0, 0, 0, 242, 0, 44.200413, 38.593334, 34549834.000000
