querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
988935.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66387, 0, 0, 0, 404, 0, 169.373444, 138.967911, 988932.000000
69876.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 24620, 0, 0, 0, 7422, 0, 37.448593, 37.343025, 1058803.000000
840562.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66326, 0, 0, 0, 355, 0, 145.158356, 134.464584, 1899362.000000
47785.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 15624, 0, 0, 0, 8667, 0, 43.224850, 33.852543, 1947142.000000
894022.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66389, 0, 0, 0, 1186, 0, 165.269882, 140.004349, 2841160.000000
83658.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 30826, 0, 0, 0, 3877, 0, 43.009914, 41.394489, 2924814.000000
921593.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66379, 0, 0, 0, 189, 0, 172.828934, 144.076782, 3846403.000000
74463.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 26403, 0, 0, 0, 5585, 0, 43.048306, 40.086651, 3920862.000000
978621.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66405, 0, 0, 0, 145, 0, 170.779236, 145.154205, 4899479.000000
82251.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 29361, 0, 0, 0, 3720, 0, 43.086773, 39.659401, 4981726.000000
1057802.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66396, 0, 0, 0, 343, 0, 172.679688, 150.450714, 6039524.000000
57521.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 19308, 0, 0, 0, 7422, 0, 36.342739, 36.342739, 6097042.000000
949882.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66392, 0, 0, 0, 3880, 0, 169.647812, 149.588501, 7046920.000000
58578.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 19551, 0, 0, 0, 3720, 0, 42.776371, 36.410713, 7105493.000000
1007507.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66407, 0, 0, 0, 1597, 0, 171.532043, 146.136032, 8112996.000000
75834.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 27405, 0, 0, 0, 7422, 0, 41.966991, 40.130833, 8188826.000000
1032560.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66401, 0, 0, 0, 319, 0, 182.116272, 155.149246, 9221381.000000
59645.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 20102, 0, 0, 0, 3720, 0, 40.872250, 35.976173, 9281021.000000
1058222.000000, 0.000000, 0.000000, 0, 0, 0, 0, 67518, 66387, 0, 0, 0, 1553, 0, 179.731979, 152.504303, 10339240.000000
