querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
664966.000000, 8.000000, 573.000000, 0, 0, 0, 0, 67563, 66308, 0, 0, 0, 772, 0, 59.569485, 51.895206, 664962.000000
366481.000000, 11.000000, 278.000000, 0, 0, 0, 0, 67563, 66048, 0, 0, 0, 981, 0, 61.237549, 36.224583, 1031436.000000
128679.000000, 10.000000, 4009.000000, 0, 0, 0, 0, 67563, 38600, 0, 0, 0, 16226, 0, 19.078072, 19.078072, 1160109.000000
237740.000000, 9.000000, 4299.000000, 0, 0, 0, 0, 67563, 64076, 0, 0, 0, 19510, 0, 21.251453, 21.251453, 1397844.000000
415153.000000, 12.000000, 158.000000, 0, 0, 0, 0, 67563, 65972, 0, 0, 0, 267, 0, 59.132965, 30.531570, 1812991.000000
686043.000000, 12.000000, 3967.000000, 0, 0, 0, 0, 67563, 66314, 0, 0, 0, 13781, 0, 70.666580, 64.408295, 2499028.000000
699804.000000, 9.000000, 717.000000, 0, 0, 0, 0, 67563, 66283, 0, 0, 0, 2590, 0, 73.425377, 55.455639, 3198827.000000
119731.000000, 11.000000, 1212.000000, 0, 0, 0, 0, 67563, 21767, 0, 0, 0, 5183, 0, 25.042562, 18.778326, 3318553.000000
746837.000000, 10.000000, 1688.000000, 0, 0, 0, 0, 67563, 66324, 0, 0, 0, 5669, 0, 56.910820, 56.610981, 4065384.000000
213914.000000, 10.000000, 258.000000, 0, 0, 0, 0, 67563, 58808, 0, 0, 0, 986, 0, 43.609009, 35.827148, 4279292.000000
284049.000000, 12.000000, 1068.000000, 0, 0, 0, 0, 67563, 65912, 0, 0, 0, 4268, 0, 38.561333, 29.562952, 4563334.000000
401747.000000, 9.000000, 79.000000, 0, 0, 0, 0, 67563, 66140, 0, 0, 0, 153, 0, 81.071281, 40.874527, 4965076.000000
204991.000000, 8.000000, 1297.000000, 0, 0, 0, 0, 67563, 47564, 0, 0, 0, 5471, 0, 31.007946, 25.919353, 5170063.000000
122341.000000, 9.000000, 2472.000000, 0, 0, 0, 0, 67563, 36361, 0, 0, 0, 14700, 0, 32.132385, 31.971146, 5292398.000000
264084.000000, 12.000000, 2556.000000, 0, 0, 0, 0, 67563, 60901, 0, 0, 0, 9141, 0, 47.056789, 34.025208, 5556476.000000
494237.000000, 9.000000, 2916.000000, 0, 0, 0, 0, 67563, 66185, 0, 0, 0, 13502, 0, 47.194710, 47.194710, 6050708.000000
297388.000000, 11.000000, 60.000000, 0, 0, 0, 0, 67563, 65621, 0, 0, 0, 142, 0, 74.204918, 33.831337, 6348090.000000
