querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1378930.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65630, 0, 0, 0, 942, 0, 319.216217, 239.088684, 1378924.000000
961241.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65593, 0, 0, 0, 6247, 0, 247.996994, 171.813522, 2340163.000000
871641.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65560, 0, 0, 0, 6768, 0, 180.343567, 146.317474, 3211803.000000
1033244.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65600, 0, 0, 0, 5561, 0, 256.427246, 199.938095, 4245046.000000
262370.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 64423, 0, 0, 0, 554, 0, 243.869690, 139.514481, 4507415.000000
796009.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65552, 0, 0, 0, 7968, 0, 182.802109, 139.911850, 5303422.000000
1160765.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65641, 0, 0, 0, 1537, 0, 270.064209, 200.759079, 6464185.000000
763010.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65494, 0, 0, 0, 342, 0, 251.688828, 172.948364, 7227194.000000
1109527.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65603, 0, 0, 0, 6657, 0, 262.566284, 199.062729, 8336721.000000
38478.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 8946, 0, 0, 0, 19564, 0, 75.647751, 55.754128, 8375198.000000
1153366.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65612, 0, 0, 0, 2124, 0, 250.889359, 195.970459, 9528564.000000
1205375.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65625, 0, 0, 0, 1243, 0, 291.699646, 195.190430, 10733938.000000
1078810.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65607, 0, 0, 0, 4215, 0, 257.461456, 186.785233, 11812747.000000
882133.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65540, 0, 0, 0, 1691, 0, 278.290802, 142.958252, 12694879.000000
800000.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65539, 0, 0, 0, 10631, 0, 211.647781, 145.945267, 13494877.000000
1219915.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65600, 0, 0, 0, 142, 0, 320.133057, 204.663452, 14714791.000000
1073458.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65597, 0, 0, 0, 10758, 0, 223.759247, 194.713959, 15788247.000000
1508604.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65650, 0, 0, 0, 735, 0, 340.069153, 255.995667, 17296849.000000
875607.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65583, 0, 0, 0, 386, 0, 333.673553, 180.567917, 18172454.000000
1352823.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65634, 0, 0, 0, 2643, 0, 292.942078, 229.223892, 19525277.000000
1146925.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65604, 0, 0, 0, 866, 0, 277.000244, 205.471146, 20672201.000000
1101875.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65602, 0, 0, 0, 502, 0, 320.305359, 209.184738, 21774075.000000
1092312.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65575, 0, 0, 0, 2564, 0, 281.952026, 192.010330, 22866387.000000
928199.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65572, 0, 0, 0, 692, 0, 262.912415, 159.731827, 23794585.000000
1130089.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65608, 0, 0, 0, 2716, 0, 268.581299, 187.428345, 24924673.000000
1357789.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65639, 0, 0, 0, 2286, 0, 274.149689, 230.910736, 26282462.000000
1073063.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65589, 0, 0, 0, 3470, 0, 257.616486, 180.157700, 27355524.000000
1192472.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65598, 0, 0, 0, 4803, 0, 281.984741, 210.488922, 28547995.000000
1320924.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65619, 0, 0, 0, 1617, 0, 327.481964, 230.774567, 29868918.000000
1111095.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65591, 0, 0, 0, 2068, 0, 274.007812, 205.576050, 30980010.000000
892755.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65567, 0, 0, 0, 3121, 0, 269.734375, 156.423477, 31872764.000000
1246950.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65624, 0, 0, 0, 2456, 0, 301.250000, 189.975952, 33119713.000000
1169624.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65611, 0, 0, 0, 747, 0, 286.842407, 210.208160, 34289336.000000
1070055.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65597, 0, 0, 0, 4553, 0, 228.702515, 200.449097, 35359390.000000
1012535.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65560, 0, 0, 0, 954, 0, 277.348328, 174.519836, 36371924.000000
1275499.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65615, 0, 0, 0, 1606, 0, 280.179871, 214.487915, 37647422.000000
804955.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65529, 0, 0, 0, 1142, 0, 209.851227, 174.833344, 38452375.000000
969708.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65589, 0, 0, 0, 2325, 0, 289.223663, 187.780930, 39422081.000000
1092302.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65598, 0, 0, 0, 758, 0, 321.266663, 210.042084, 40514383.000000
1408755.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65614, 0, 0, 0, 1411, 0, 329.163605, 228.787476, 41923137.000000
984114.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65578, 0, 0, 0, 10554, 0, 189.612640, 146.064926, 42907250.000000
997524.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65583, 0, 0, 0, 296, 0, 299.098755, 184.349625, 43904773.000000
984069.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65565, 0, 0, 0, 1256, 0, 300.073578, 174.673706, 44888840.000000
667682.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65492, 0, 0, 0, 17951, 0, 161.153793, 134.120300, 45556521.000000
645393.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65462, 0, 0, 0, 1888, 0, 176.384964, 151.786163, 46201913.000000
1270778.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65598, 0, 0, 0, 7718, 0, 276.570068, 228.403656, 47472691.000000
1148439.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65595, 0, 0, 0, 359, 0, 325.101959, 187.570557, 48621130.000000
1009732.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65583, 0, 0, 0, 2752, 0, 269.611023, 175.707169, 49630862.000000
594591.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65460, 0, 0, 0, 2989, 0, 234.601364, 133.296021, 50225452.000000
868658.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65567, 0, 0, 0, 777, 0, 256.000000, 126.678345, 51094109.000000
1168464.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65610, 0, 0, 0, 3579, 0, 322.775482, 184.441513, 52262573.000000
1077760.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65599, 0, 0, 0, 1137, 0, 250.975616, 204.718323, 53340332.000000
1322126.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65626, 0, 0, 0, 1824, 0, 318.010162, 208.982117, 54662457.000000
1214641.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65622, 0, 0, 0, 2423, 0, 308.200195, 224.978516, 55877097.000000
1052653.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65567, 0, 0, 0, 2252, 0, 292.184448, 145.338593, 56929750.000000
1313976.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65606, 0, 0, 0, 255, 0, 368.244507, 229.172440, 58243725.000000
1001849.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65580, 0, 0, 0, 4473, 0, 244.918365, 140.090088, 59245573.000000
1180711.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65614, 0, 0, 0, 439, 0, 342.079102, 200.993011, 60426283.000000
887557.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65588, 0, 0, 0, 2905, 0, 238.488373, 140.184509, 61313838.000000
1426273.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65627, 0, 0, 0, 2208, 0, 319.826843, 240.001678, 62740111.000000
1191331.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65616, 0, 0, 0, 10701, 0, 251.246292, 191.815781, 63931441.000000
541417.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65419, 0, 0, 0, 6164, 0, 196.407059, 144.527649, 64472857.000000
868161.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65593, 0, 0, 0, 1234, 0, 292.542450, 153.586380, 65341017.000000
1112670.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65603, 0, 0, 0, 7526, 0, 229.957382, 198.004120, 66453687.000000
1138303.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65615, 0, 0, 0, 828, 0, 342.103668, 192.901031, 67591989.000000
1006362.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65571, 0, 0, 0, 6324, 0, 228.541031, 169.612518, 68598350.000000
1482091.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65630, 0, 0, 0, 636, 0, 381.269714, 236.992447, 70080440.000000
1032977.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65583, 0, 0, 0, 2805, 0, 277.848267, 177.793381, 71113416.000000
913744.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65595, 0, 0, 0, 1202, 0, 261.455841, 151.809372, 72027159.000000
1129672.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65604, 0, 0, 0, 5025, 0, 274.697052, 185.362488, 73156830.000000
1306525.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65636, 0, 0, 0, 551, 0, 366.206909, 204.997452, 74463354.000000
1296454.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65620, 0, 0, 0, 4410, 0, 279.762817, 209.396118, 75759807.000000
1056324.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65583, 0, 0, 0, 449, 0, 321.993439, 179.146790, 76816130.000000
829694.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65559, 0, 0, 0, 7550, 0, 223.248611, 161.167908, 77645823.000000
1034578.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65588, 0, 0, 0, 1946, 0, 270.254547, 189.143387, 78680401.000000
1091554.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65602, 0, 0, 0, 1057, 0, 311.569153, 193.397476, 79771954.000000
1367368.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65617, 0, 0, 0, 877, 0, 337.735321, 236.826355, 81139322.000000
1214298.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65622, 0, 0, 0, 5146, 0, 297.916107, 192.412582, 82353618.000000
1253877.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65621, 0, 0, 0, 2490, 0, 297.933411, 209.664215, 83607494.000000
905734.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65556, 0, 0, 0, 1047, 0, 245.837082, 179.811615, 84513226.000000
1330285.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65625, 0, 0, 0, 543, 0, 355.878296, 205.657333, 85843510.000000
780699.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65550, 0, 0, 0, 1054, 0, 220.377060, 173.655075, 86624208.000000
1199027.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65626, 0, 0, 0, 1238, 0, 320.319916, 187.785309, 87823234.000000
1041576.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65580, 0, 0, 0, 11860, 0, 249.149124, 198.996841, 88864809.000000
1256565.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65606, 0, 0, 0, 2284, 0, 300.257996, 217.183823, 90121373.000000
794965.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65540, 0, 0, 0, 2616, 0, 197.710434, 163.014297, 90916337.000000
404103.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65258, 0, 0, 0, 963, 0, 237.920380, 89.498009, 91320439.000000
1059162.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65596, 0, 0, 0, 1431, 0, 331.692383, 185.775940, 92379599.000000
1012883.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65567, 0, 0, 0, 680, 0, 349.320526, 182.322083, 93392481.000000
1157916.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65626, 0, 0, 0, 662, 0, 365.135498, 199.157135, 94550397.000000
1064168.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65602, 0, 0, 0, 971, 0, 301.615570, 154.443024, 95614564.000000
1150933.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65604, 0, 0, 0, 16376, 0, 219.668884, 187.955795, 96765495.000000
1117381.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65591, 0, 0, 0, 16328, 0, 224.029053, 190.853714, 97882875.000000
971392.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65581, 0, 0, 0, 2667, 0, 235.037903, 172.674026, 98854266.000000
1279678.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65607, 0, 0, 0, 934, 0, 314.581879, 221.879059, 100133942.000000
1078497.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65580, 0, 0, 0, 9691, 0, 309.732422, 183.156952, 101212437.000000
18747.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 3829, 0, 0, 0, 8081, 0, 50.084007, 48.727329, 101231181.000000
1215747.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65595, 0, 0, 0, 797, 0, 330.548370, 203.417252, 102446925.000000
1205904.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65586, 0, 0, 0, 1079, 0, 303.021088, 216.076645, 103652828.000000
996364.000000, 0.000000, 0.000000, 0, 0, 0, 0, 66343, 65603, 0, 0, 0, 1622, 0, 258.024933, 161.860428, 104649191.000000
1046493.030000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 66343, 64390.370000, 0.000000, 0.000000, 0.000000, 3492.450000, 0.000000, 273.672821, 184.203759, 52485357.350000
