querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
628647.000000, 2.000000, 181.000000, 0, 0, 0, 0, 303786, 182994, 0, 0, 0, 851, 0, 71.996216, 45.758892, 628647.000000
475627.000000, 2.000000, 118.000000, 0, 0, 0, 0, 303786, 182425, 0, 0, 0, 739, 0, 66.977272, 31.651720, 1104274.000000
418145.000000, 2.000000, 110.000000, 0, 0, 0, 0, 303786, 182296, 0, 0, 0, 718, 0, 39.410305, 27.509565, 1522418.000000
301951.000000, 2.000000, 123.000000, 0, 0, 0, 0, 303786, 180874, 0, 0, 0, 857, 0, 32.616043, 23.646791, 1824369.000000
4870.000000, 2.000000, 27.000000, 0, 0, 0, 0, 303786, 955, 0, 0, 0, 211, 0, 1.062729, 1.062729, 1829239.000000
524891.000000, 2.000000, 109.000000, 0, 0, 0, 0, 303786, 182580, 0, 0, 0, 475, 0, 54.955746, 38.349384, 2354128.000000
412930.000000, 2.000000, 78.000000, 0, 0, 0, 0, 303786, 181922, 0, 0, 0, 714, 0, 46.236546, 26.243298, 2767058.000000
193834.000000, 1.000000, 91.000000, 0, 0, 0, 0, 303786, 136201, 0, 0, 0, 555, 0, 14.002407, 9.777862, 2960892.000000
120156.000000, 2.000000, 137.000000, 0, 0, 0, 0, 303786, 80325, 0, 0, 0, 967, 0, 15.570613, 5.602266, 3081048.000000
369285.000000, 1.000000, 173.000000, 0, 0, 0, 0, 303786, 181964, 0, 0, 0, 979, 0, 46.745941, 24.724426, 3450333.000000
334856.000000, 2.000000, 72.000000, 0, 0, 0, 0, 303786, 181331, 0, 0, 0, 490, 0, 37.315392, 17.586506, 3785188.000000
557571.000000, 2.000000, 107.000000, 0, 0, 0, 0, 303786, 182650, 0, 0, 0, 657, 0, 92.031433, 29.762901, 4342759.000000
349712.000000, 2.000000, 90.000000, 0, 0, 0, 0, 303786, 181422, 0, 0, 0, 842, 0, 26.171721, 19.024351, 4692470.000000
574494.000000, 2.000000, 111.000000, 0, 0, 0, 0, 303786, 182902, 0, 0, 0, 761, 0, 52.608734, 38.455406, 5266964.000000
601982.000000, 1.000000, 95.000000, 0, 0, 0, 0, 303786, 182663, 0, 0, 0, 587, 0, 70.742630, 40.038719, 5868946.000000
647183.000000, 2.000000, 101.000000, 0, 0, 0, 0, 303786, 182951, 0, 0, 0, 694, 0, 90.776596, 41.392410, 6516128.000000
607732.000000, 2.000000, 146.000000, 0, 0, 0, 0, 303786, 182837, 0, 0, 0, 738, 0, 71.453995, 42.017906, 7123860.000000
523931.000000, 1.000000, 109.000000, 0, 0, 0, 0, 303786, 182396, 0, 0, 0, 655, 0, 54.040051, 35.950954, 7647791.000000
221226.000000, 2.000000, 119.000000, 0, 0, 0, 0, 303786, 151049, 0, 0, 0, 727, 0, 28.490034, 12.127181, 7869017.000000
553194.000000, 2.000000, 74.000000, 0, 0, 0, 0, 303786, 182541, 0, 0, 0, 339, 0, 73.851845, 42.290161, 8422211.000000
618238.000000, 2.000000, 78.000000, 0, 0, 0, 0, 303786, 182849, 0, 0, 0, 535, 0, 74.178688, 41.540337, 9040449.000000
438166.000000, 2.000000, 116.000000, 0, 0, 0, 0, 303786, 182034, 0, 0, 0, 659, 0, 68.347054, 26.595650, 9478615.000000
374573.000000, 2.000000, 131.000000, 0, 0, 0, 0, 303786, 180346, 0, 0, 0, 941, 0, 26.350792, 22.826756, 9853188.000000
59094.000000, 1.000000, 41.000000, 0, 0, 0, 0, 303786, 40900, 0, 0, 0, 445, 0, 9.048760, 6.481960, 9912282.000000
528622.000000, 2.000000, 50.000000, 0, 0, 0, 0, 303786, 182498, 0, 0, 0, 207, 0, 64.784470, 28.055147, 10440903.000000
549513.000000, 1.000000, 57.000000, 0, 0, 0, 0, 303786, 182674, 0, 0, 0, 315, 0, 90.975716, 36.819664, 10990416.000000
576765.000000, 6.000000, 340.000000, 0, 0, 0, 0, 303786, 182572, 0, 0, 0, 813, 0, 55.810184, 35.896297, 11567180.000000
522670.000000, 6.000000, 210.000000, 0, 0, 0, 0, 303786, 182531, 0, 0, 0, 871, 0, 34.165501, 28.109751, 12089849.000000
472582.000000, 6.000000, 304.000000, 0, 0, 0, 0, 303786, 182112, 0, 0, 0, 611, 0, 68.266914, 31.866488, 12562431.000000
618377.000000, 6.000000, 313.000000, 0, 0, 0, 0, 303786, 182773, 0, 0, 0, 830, 0, 75.614830, 46.889095, 13180807.000000
672554.000000, 6.000000, 276.000000, 0, 0, 0, 0, 303786, 182947, 0, 0, 0, 736, 0, 101.131165, 55.955456, 13853360.000000
403653.000000, 5.000000, 260.000000, 0, 0, 0, 0, 303786, 181882, 0, 0, 0, 632, 0, 62.872787, 25.360928, 14257012.000000
337873.000000, 5.000000, 181.000000, 0, 0, 0, 0, 303786, 181428, 0, 0, 0, 657, 0, 36.299679, 17.977362, 14594885.000000
491477.000000, 6.000000, 129.000000, 0, 0, 0, 0, 303786, 182369, 0, 0, 0, 284, 0, 36.935684, 34.034847, 15086361.000000
391615.000000, 5.000000, 210.000000, 0, 0, 0, 0, 303786, 181757, 0, 0, 0, 592, 0, 50.204193, 23.007076, 15477974.000000
463457.000000, 5.000000, 84.000000, 0, 0, 0, 0, 303786, 182236, 0, 0, 0, 192, 0, 52.927406, 31.295284, 15941431.000000
331049.000000, 6.000000, 108.000000, 0, 0, 0, 0, 303786, 175761, 0, 0, 0, 208, 0, 58.224804, 28.594112, 16272479.000000
407700.000000, 7.000000, 311.000000, 0, 0, 0, 0, 303786, 181942, 0, 0, 0, 919, 0, 39.461670, 31.030716, 16680178.000000
522689.000000, 5.000000, 250.000000, 0, 0, 0, 0, 303786, 182330, 0, 0, 0, 670, 0, 53.952625, 39.348129, 17202866.000000
483808.000000, 6.000000, 245.000000, 0, 0, 0, 0, 303786, 182316, 0, 0, 0, 611, 0, 41.546356, 24.147123, 17686673.000000
517162.000000, 6.000000, 273.000000, 0, 0, 0, 0, 303786, 182299, 0, 0, 0, 687, 0, 51.005424, 26.751387, 18203834.000000
412447.000000, 6.000000, 279.000000, 0, 0, 0, 0, 303786, 181929, 0, 0, 0, 990, 0, 29.906202, 20.446857, 18616280.000000
556242.000000, 6.000000, 296.000000, 0, 0, 0, 0, 303786, 182479, 0, 0, 0, 776, 0, 44.638798, 34.239960, 19172520.000000
438813.000000, 5.000000, 278.000000, 0, 0, 0, 0, 303786, 174890, 0, 0, 0, 774, 0, 54.653938, 42.331638, 19611332.000000
383951.000000, 5.000000, 230.000000, 0, 0, 0, 0, 303786, 181763, 0, 0, 0, 878, 0, 55.454903, 24.712805, 19995282.000000
535085.000000, 6.000000, 376.000000, 0, 0, 0, 0, 303786, 182405, 0, 0, 0, 893, 0, 46.476902, 35.426807, 20530366.000000
560639.000000, 6.000000, 277.000000, 0, 0, 0, 0, 303786, 182636, 0, 0, 0, 721, 0, 64.673210, 29.571522, 21091004.000000
521065.000000, 6.000000, 84.000000, 0, 0, 0, 0, 303786, 182393, 0, 0, 0, 184, 0, 58.067150, 35.021233, 21612067.000000
572809.000000, 5.000000, 273.000000, 0, 0, 0, 0, 303786, 182598, 0, 0, 0, 607, 0, 66.897057, 34.009331, 22184874.000000
239213.000000, 5.000000, 357.000000, 0, 0, 0, 0, 303786, 157137, 0, 0, 0, 849, 0, 16.424635, 8.817135, 22424085.000000
305986.000000, 6.000000, 188.000000, 0, 0, 0, 0, 303786, 176886, 0, 0, 0, 457, 0, 35.837345, 18.384209, 22730069.000000
182185.000000, 6.000000, 362.000000, 0, 0, 0, 0, 303786, 122537, 0, 0, 0, 922, 0, 16.578314, 12.039651, 22912253.000000
446665.000000, 5.000000, 347.000000, 0, 0, 0, 0, 303786, 182138, 0, 0, 0, 863, 0, 42.129997, 26.065424, 23358917.000000
235307.000000, 5.000000, 317.000000, 0, 0, 0, 0, 303786, 157205, 0, 0, 0, 939, 0, 21.507488, 10.012355, 23594222.000000
425551.000000, 6.000000, 192.000000, 0, 0, 0, 0, 303786, 182071, 0, 0, 0, 615, 0, 41.908646, 21.099491, 24019772.000000
96384.000000, 5.000000, 377.000000, 0, 0, 0, 0, 303786, 69169, 0, 0, 0, 775, 0, 13.605218, 12.152555, 24116155.000000
240341.000000, 6.000000, 324.000000, 0, 0, 0, 0, 303786, 165362, 0, 0, 0, 741, 0, 17.938103, 17.938103, 24356495.000000
461832.000000, 5.000000, 288.000000, 0, 0, 0, 0, 303786, 182176, 0, 0, 0, 743, 0, 46.562298, 32.475170, 24818326.000000
179811.000000, 6.000000, 319.000000, 0, 0, 0, 0, 303786, 113790, 0, 0, 0, 860, 0, 24.533833, 10.206415, 24998136.000000
385867.000000, 5.000000, 276.000000, 0, 0, 0, 0, 303786, 181688, 0, 0, 0, 927, 0, 34.917999, 22.339430, 25384003.000000
270749.000000, 5.000000, 229.000000, 0, 0, 0, 0, 303786, 173415, 0, 0, 0, 594, 0, 20.110949, 15.500137, 25654750.000000
572332.000000, 5.000000, 350.000000, 0, 0, 0, 0, 303786, 182648, 0, 0, 0, 740, 0, 49.218193, 28.048428, 26227080.000000
548808.000000, 6.000000, 363.000000, 0, 0, 0, 0, 303786, 182593, 0, 0, 0, 837, 0, 79.042885, 46.387196, 26775887.000000
343294.000000, 5.000000, 229.000000, 0, 0, 0, 0, 303786, 181118, 0, 0, 0, 496, 0, 43.227013, 27.040836, 27119181.000000
8427.000000, 6.000000, 266.000000, 0, 0, 0, 0, 303786, 2671, 0, 0, 0, 776, 0, 1.485243, 1.485243, 27127607.000000
264174.000000, 4.000000, 296.000000, 0, 0, 0, 0, 303786, 174120, 0, 0, 0, 993, 0, 17.778732, 14.378125, 27391781.000000
546759.000000, 6.000000, 267.000000, 0, 0, 0, 0, 303786, 182527, 0, 0, 0, 876, 0, 63.172604, 34.992039, 27938539.000000
616850.000000, 6.000000, 217.000000, 0, 0, 0, 0, 303786, 182684, 0, 0, 0, 552, 0, 45.993877, 39.402279, 28555388.000000
257695.000000, 5.000000, 258.000000, 0, 0, 0, 0, 303786, 172868, 0, 0, 0, 944, 0, 10.298264, 9.891306, 28813082.000000
156704.000000, 6.000000, 216.000000, 0, 0, 0, 0, 303786, 110160, 0, 0, 0, 521, 0, 23.452568, 13.253166, 28969786.000000
323283.000000, 5.000000, 129.000000, 0, 0, 0, 0, 303786, 179849, 0, 0, 0, 397, 0, 22.560911, 22.560911, 29293067.000000
325498.000000, 5.000000, 276.000000, 0, 0, 0, 0, 303786, 179485, 0, 0, 0, 720, 0, 36.391483, 26.490343, 29618564.000000
405876.000000, 5.000000, 210.000000, 0, 0, 0, 0, 303786, 181922, 0, 0, 0, 565, 0, 60.634533, 23.991621, 30024439.000000
374870.000000, 5.000000, 255.000000, 0, 0, 0, 0, 303786, 181784, 0, 0, 0, 575, 0, 46.955311, 19.484444, 30399309.000000
577341.000000, 6.000000, 264.000000, 0, 0, 0, 0, 303786, 182694, 0, 0, 0, 701, 0, 83.101990, 40.471340, 30976649.000000
560383.000000, 5.000000, 279.000000, 0, 0, 0, 0, 303786, 182581, 0, 0, 0, 607, 0, 73.537621, 44.564373, 31537031.000000
530080.000000, 6.000000, 197.000000, 0, 0, 0, 0, 303786, 182437, 0, 0, 0, 562, 0, 55.592281, 43.049938, 32067109.000000
286620.000000, 6.000000, 303.000000, 0, 0, 0, 0, 303786, 175681, 0, 0, 0, 873, 0, 36.252228, 20.431761, 32353728.000000
513853.000000, 6.000000, 386.000000, 0, 0, 0, 0, 303786, 182309, 0, 0, 0, 902, 0, 43.037220, 38.696575, 32867581.000000
404226.000000, 6.000000, 190.000000, 0, 0, 0, 0, 303786, 181880, 0, 0, 0, 742, 0, 37.967705, 20.514454, 33271806.000000
203991.000000, 5.000000, 307.000000, 0, 0, 0, 0, 303786, 134068, 0, 0, 0, 772, 0, 28.876932, 14.999061, 33475796.000000
230471.000000, 6.000000, 114.000000, 0, 0, 0, 0, 303786, 145100, 0, 0, 0, 254, 0, 28.331018, 13.195716, 33706266.000000
