querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
7691.000000, 10.000000, 63.000000, 0, 0, 0, 0, 311141, 2, 0, 0, 0, 595, 0, 0.000000, 0.000000, 7691.000000
7911.000000, 2.000000, 61.000000, 0, 0, 0, 0, 311141, 8, 0, 0, 0, 587, 0, 0.003883, 0.003883, 15601.000000
8096.000000, 2.000000, 27.000000, 0, 0, 0, 0, 311141, 8, 0, 0, 0, 587, 0, 0.015523, 0.015523, 23696.000000
7969.000000, 2.000000, 28.000000, 0, 0, 0, 0, 311141, 9, 0, 0, 0, 587, 0, 0.034906, 0.034906, 31664.000000
7872.000000, 3.000000, 31.000000, 0, 0, 0, 0, 311141, 16, 0, 0, 0, 587, 0, 0.062013, 0.062013, 39535.000000
7883.000000, 4.000000, 38.000000, 0, 0, 0, 0, 311141, 32, 0, 0, 0, 587, 0, 0.096824, 0.096824, 47417.000000
43082.000000, 4.000000, 257.000000, 0, 0, 0, 0, 311141, 59, 0, 0, 0, 778, 0, 22.070368, 0.139316, 90498.000000
33778.000000, 6.000000, 117.000000, 0, 0, 0, 0, 311141, 93, 0, 0, 0, 778, 0, 22.130484, 0.189462, 124275.000000
31265.000000, 6.000000, 174.000000, 0, 0, 0, 0, 311141, 147, 0, 0, 0, 778, 0, 22.197336, 0.247234, 155539.000000
31434.000000, 6.000000, 141.000000, 0, 0, 0, 0, 311141, 217, 0, 0, 0, 778, 0, 22.270897, 0.312600, 186972.000000
33610.000000, 5.000000, 142.000000, 0, 0, 0, 0, 311141, 338, 0, 0, 0, 778, 0, 22.351135, 0.385527, 220581.000000
31758.000000, 5.000000, 113.000000, 0, 0, 0, 0, 311141, 479, 0, 0, 0, 778, 0, 22.438013, 0.465978, 252338.000000
30959.000000, 5.000000, 148.000000, 0, 0, 0, 0, 311141, 727, 0, 0, 0, 778, 0, 22.531494, 0.553913, 283297.000000
33023.000000, 5.000000, 139.000000, 0, 0, 0, 0, 311141, 1063, 0, 0, 0, 778, 0, 22.631542, 0.649291, 316318.000000
33886.000000, 6.000000, 158.000000, 0, 0, 0, 0, 311141, 1501, 0, 0, 0, 778, 0, 22.738119, 0.752068, 350203.000000
35541.000000, 3.000000, 83.000000, 0, 0, 0, 0, 311141, 2026, 0, 0, 0, 778, 0, 22.851177, 0.862197, 385743.000000
36968.000000, 5.000000, 164.000000, 0, 0, 0, 0, 311141, 2629, 0, 0, 0, 778, 0, 22.970671, 0.979630, 422710.000000
38715.000000, 5.000000, 177.000000, 0, 0, 0, 0, 311141, 3354, 0, 0, 0, 778, 0, 23.096556, 1.104315, 461425.000000
40048.000000, 6.000000, 183.000000, 0, 0, 0, 0, 311141, 4271, 0, 0, 0, 778, 0, 23.228779, 1.236198, 501472.000000
44372.000000, 5.000000, 189.000000, 0, 0, 0, 0, 311141, 5562, 0, 0, 0, 778, 0, 23.367294, 1.375224, 545844.000000
45267.000000, 2.000000, 118.000000, 0, 0, 0, 0, 311141, 7297, 0, 0, 0, 778, 0, 23.512051, 1.521335, 591111.000000
48291.000000, 4.000000, 187.000000, 0, 0, 0, 0, 311141, 9310, 0, 0, 0, 778, 0, 23.662989, 1.674471, 639402.000000
50890.000000, 3.000000, 122.000000, 0, 0, 0, 0, 311141, 11625, 0, 0, 0, 778, 0, 23.820047, 1.834570, 690291.000000
55988.000000, 2.000000, 112.000000, 0, 0, 0, 0, 311141, 13965, 0, 0, 0, 778, 0, 23.983173, 2.001568, 746277.000000
60896.000000, 5.000000, 197.000000, 0, 0, 0, 0, 311141, 16521, 0, 0, 0, 778, 0, 24.152313, 2.175399, 807172.000000
65333.000000, 4.000000, 151.000000, 0, 0, 0, 0, 311141, 19672, 0, 0, 0, 778, 0, 24.327396, 2.355994, 872503.000000
71894.000000, 3.000000, 120.000000, 0, 0, 0, 0, 311141, 23749, 0, 0, 0, 778, 0, 24.508360, 2.543284, 944397.000000
79441.000000, 5.000000, 199.000000, 0, 0, 0, 0, 311141, 28492, 0, 0, 0, 778, 0, 24.695141, 2.737198, 1023838.000000
87981.000000, 5.000000, 199.000000, 0, 0, 0, 0, 311141, 33251, 0, 0, 0, 778, 0, 24.887676, 2.937662, 1111818.000000
95555.000000, 2.000000, 108.000000, 0, 0, 0, 0, 311141, 38166, 0, 0, 0, 778, 0, 25.085892, 3.144603, 1207373.000000
101594.000000, 2.000000, 117.000000, 0, 0, 0, 0, 311141, 44030, 0, 0, 0, 778, 0, 25.289722, 3.357941, 1308967.000000
116905.000000, 2.000000, 107.000000, 0, 0, 0, 0, 311141, 50748, 0, 0, 0, 778, 0, 25.499100, 3.577602, 1425872.000000
