querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
113116.000000, 11.000000, 122.000000, 0, 0, 0, 0, 140900, 89496, 0, 0, 0, 191, 0, 432.259644, 339.123474, 113109.000000
4926.000000, 16.000000, 70.000000, 0, 0, 0, 0, 140900, 62, 0, 0, 0, 182, 0, 1.206223, 0.365176, 118025.000000
83243.000000, 12.000000, 131.000000, 0, 0, 0, 0, 140900, 88248, 0, 0, 0, 226, 0, 412.469269, 304.093292, 201262.000000
3823.000000, 8.000000, 34.000000, 0, 0, 0, 0, 140900, 137, 0, 0, 0, 138, 0, 4.667604, 1.638407, 205079.000000
53549.000000, 4.000000, 46.000000, 0, 0, 0, 0, 140900, 79356, 0, 0, 0, 130, 0, 234.549866, 194.679367, 258626.000000
53597.000000, 9.000000, 27.000000, 0, 0, 0, 0, 140900, 81700, 0, 0, 0, 60, 0, 419.229919, 187.058197, 312217.000000
3870.000000, 8.000000, 28.000000, 0, 0, 0, 0, 140900, 274, 0, 0, 0, 142, 0, 4.134908, 3.834274, 316082.000000
3851.000000, 4.000000, 61.000000, 0, 0, 0, 0, 140900, 541, 0, 0, 0, 233, 0, 2.546554, 1.939525, 319930.000000
3901.000000, 4.000000, 72.000000, 0, 0, 0, 0, 140900, 120, 0, 0, 0, 239, 0, 1.235306, 0.892899, 323829.000000
67367.000000, 5.000000, 72.000000, 0, 0, 0, 0, 140900, 86045, 0, 0, 0, 236, 0, 402.071625, 251.284012, 391193.000000
4240.000000, 9.000000, 63.000000, 0, 0, 0, 0, 140900, 357, 0, 0, 0, 238, 0, 2.159117, 1.697101, 395427.000000
3840.000000, 5.000000, 45.000000, 0, 0, 0, 0, 140900, 102, 0, 0, 0, 195, 0, 0.285838, 0.119568, 399264.000000
93816.000000, 4.000000, 51.000000, 0, 0, 0, 0, 140900, 89964, 0, 0, 0, 123, 0, 390.564545, 322.906403, 493077.000000
4948.000000, 9.000000, 25.000000, 0, 0, 0, 0, 140900, 2244, 0, 0, 0, 150, 0, 11.359011, 3.514809, 498019.000000
5429.000000, 5.000000, 39.000000, 0, 0, 0, 0, 140900, 3610, 0, 0, 0, 149, 0, 14.740637, 6.178798, 503444.000000
4256.000000, 5.000000, 50.000000, 0, 0, 0, 0, 140900, 761, 0, 0, 0, 171, 0, 4.909386, 4.848814, 507696.000000
9168.000000, 5.000000, 4.000000, 0, 0, 0, 0, 140900, 21943, 0, 0, 0, 8, 0, 129.231354, 102.810822, 516861.000000
5877.000000, 5.000000, 55.000000, 0, 0, 0, 0, 140900, 3291, 0, 0, 0, 172, 0, 17.877544, 12.769119, 522734.000000
71683.000000, 5.000000, 70.000000, 0, 0, 0, 0, 140900, 86943, 0, 0, 0, 246, 0, 378.297791, 253.340515, 594413.000000
5213.000000, 9.000000, 41.000000, 0, 0, 0, 0, 140900, 4048, 0, 0, 0, 124, 0, 7.409172, 5.605164, 599621.000000
4126.000000, 5.000000, 67.000000, 0, 0, 0, 0, 140900, 235, 0, 0, 0, 182, 0, 2.319895, 2.319895, 603745.000000
43030.000000, 5.000000, 90.000000, 0, 0, 0, 0, 140900, 73285, 0, 0, 0, 196, 0, 171.701584, 151.650146, 646773.000000
96758.000000, 8.000000, 12.000000, 0, 0, 0, 0, 140900, 89962, 0, 0, 0, 28, 0, 402.653656, 338.448639, 743526.000000
4447.000000, 10.000000, 33.000000, 0, 0, 0, 0, 140900, 1521, 0, 0, 0, 178, 0, 1.670906, 1.670906, 747967.000000
17821.000000, 5.000000, 57.000000, 0, 0, 0, 0, 140900, 30185, 0, 0, 0, 153, 0, 138.167694, 108.396286, 765785.000000
4042.000000, 8.000000, 37.000000, 0, 0, 0, 0, 140900, 313, 0, 0, 0, 133, 0, 1.200896, 0.887677, 769822.000000
4489.000000, 5.000000, 46.000000, 0, 0, 0, 0, 140900, 2516, 0, 0, 0, 167, 0, 7.536446, 5.915697, 774309.000000
3803.000000, 5.000000, 48.000000, 0, 0, 0, 0, 140900, 115, 0, 0, 0, 164, 0, 0.385979, 0.362603, 778109.000000
3814.000000, 4.000000, 38.000000, 0, 0, 0, 0, 140900, 106, 0, 0, 0, 122, 0, 0.670129, 0.480697, 781921.000000
95615.000000, 4.000000, 72.000000, 0, 0, 0, 0, 140900, 88343, 0, 0, 0, 152, 0, 425.349426, 325.659393, 877534.000000
11633.000000, 18.000000, 85.000000, 0, 0, 0, 0, 140900, 14371, 0, 0, 0, 150, 0, 39.661674, 35.937546, 889157.000000
14792.000000, 15.000000, 129.000000, 0, 0, 0, 0, 140900, 33411, 0, 0, 0, 228, 0, 123.940002, 114.644341, 903941.000000
14984.000000, 10.000000, 24.000000, 0, 0, 0, 0, 140900, 26772, 0, 0, 0, 59, 0, 235.095230, 115.778435, 918918.000000
5319.000000, 10.000000, 73.000000, 0, 0, 0, 0, 140900, 4719, 0, 0, 0, 172, 0, 22.070522, 18.711533, 924232.000000
15150.000000, 8.000000, 47.000000, 0, 0, 0, 0, 140900, 30309, 0, 0, 0, 116, 0, 112.251862, 95.382973, 939378.000000
