querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
20302.000000, 10.000000, 4924.000000, 0, 0, 0, 0, 75362, 1461, 0, 0, 0, 17588, 0, 6.812836, 6.812836, 20295.000000
22064.000000, 18.000000, 2998.000000, 0, 0, 0, 0, 75362, 278, 0, 0, 0, 10131, 0, 2.542029, 1.293658, 42350.000000
13989.000000, 12.000000, 201.000000, 0, 0, 0, 0, 75362, 306, 0, 0, 0, 630, 0, 0.487526, 0.411729, 56333.000000
17801.000000, 12.000000, 1952.000000, 0, 0, 0, 0, 75362, 769, 0, 0, 0, 14474, 0, 0.887118, 0.550013, 74127.000000
9470.000000, 8.000000, 1511.000000, 0, 0, 0, 0, 75362, 640, 0, 0, 0, 5640, 0, 1.692372, 1.692372, 83591.000000
7864.000000, 9.000000, 1293.000000, 0, 0, 0, 0, 75362, 143, 0, 0, 0, 10704, 0, 0.496513, 0.407790, 91449.000000
8893.000000, 9.000000, 1598.000000, 0, 0, 0, 0, 75362, 144, 0, 0, 0, 11977, 0, 0.128910, 0.085353, 100336.000000
9492.000000, 6.000000, 1453.000000, 0, 0, 0, 0, 75362, 422, 0, 0, 0, 17573, 0, 0.759751, 0.611919, 109824.000000
8433.000000, 8.000000, 2474.000000, 0, 0, 0, 0, 75362, 110, 0, 0, 0, 18211, 0, 0.404469, 0.404469, 118252.000000
7343.000000, 8.000000, 115.000000, 0, 0, 0, 0, 75362, 3938, 0, 0, 0, 467, 0, 28.638559, 11.225079, 125590.000000
7774.000000, 7.000000, 1567.000000, 0, 0, 0, 0, 75362, 79, 0, 0, 0, 6728, 0, 0.332657, 0.301291, 133360.000000
11703.000000, 10.000000, 2768.000000, 0, 0, 0, 0, 75362, 171, 0, 0, 0, 11369, 0, 0.869590, 0.482694, 145057.000000
10646.000000, 8.000000, 2086.000000, 0, 0, 0, 0, 75362, 98, 0, 0, 0, 13074, 0, 0.419714, 0.419714, 155697.000000
15441.000000, 11.000000, 5764.000000, 0, 0, 0, 0, 75362, 100, 0, 0, 0, 19751, 0, 0.118242, 0.116234, 171131.000000
14911.000000, 8.000000, 4676.000000, 0, 0, 0, 0, 75362, 87, 0, 0, 0, 14262, 0, 0.264061, 0.239017, 186036.000000
17830.000000, 18.000000, 5943.000000, 0, 0, 0, 0, 75362, 83, 0, 0, 0, 13516, 0, 0.688139, 0.688139, 203855.000000
11883.000000, 14.000000, 2671.000000, 0, 0, 0, 0, 75362, 50, 0, 0, 0, 12630, 0, 0.089229, 0.058809, 215729.000000
14214.000000, 19.000000, 2133.000000, 0, 0, 0, 0, 75362, 114, 0, 0, 0, 12046, 0, 0.206737, 0.097089, 229934.000000
21038.000000, 16.000000, 4171.000000, 0, 0, 0, 0, 75362, 224, 0, 0, 0, 12124, 0, 0.350231, 0.207114, 250965.000000
13392.000000, 9.000000, 929.000000, 0, 0, 0, 0, 75362, 188, 0, 0, 0, 15316, 0, 0.460472, 0.282896, 264351.000000
9104.000000, 10.000000, 1882.000000, 0, 0, 0, 0, 75362, 74, 0, 0, 0, 18211, 0, 0.156645, 0.156645, 273450.000000
11324.000000, 7.000000, 692.000000, 0, 0, 0, 0, 75362, 277, 0, 0, 0, 4891, 0, 1.744511, 0.741146, 284769.000000
16476.000000, 13.000000, 3682.000000, 0, 0, 0, 0, 75362, 393, 0, 0, 0, 14654, 0, 0.390722, 0.352708, 301237.000000
13640.000000, 8.000000, 665.000000, 0, 0, 0, 0, 75362, 7874, 0, 0, 0, 6560, 0, 1.468769, 1.122522, 314872.000000
11539.000000, 10.000000, 2474.000000, 0, 0, 0, 0, 75362, 165, 0, 0, 0, 15028, 0, 1.007161, 0.432175, 326404.000000
11122.000000, 7.000000, 2398.000000, 0, 0, 0, 0, 75362, 218, 0, 0, 0, 15251, 0, 0.221304, 0.221304, 337522.000000
8792.000000, 7.000000, 2130.000000, 0, 0, 0, 0, 75362, 57, 0, 0, 0, 19178, 0, 0.085067, 0.084105, 346309.000000
6634.000000, 7.000000, 53.000000, 0, 0, 0, 0, 75362, 1989, 0, 0, 0, 255, 0, 6.880809, 1.657799, 352939.000000
8857.000000, 8.000000, 113.000000, 0, 0, 0, 0, 75362, 2241, 0, 0, 0, 458, 0, 7.417937, 4.344620, 361791.000000
8406.000000, 7.000000, 2147.000000, 0, 0, 0, 0, 75362, 34, 0, 0, 0, 11342, 0, 0.055367, 0.030166, 370192.000000
10294.000000, 8.000000, 1697.000000, 0, 0, 0, 0, 75362, 202, 0, 0, 0, 16487, 0, 0.593302, 0.444459, 380482.000000
8665.000000, 8.000000, 2292.000000, 0, 0, 0, 0, 75362, 15, 0, 0, 0, 18589, 0, 0.065979, 0.065979, 389142.000000
15518.000000, 4.000000, 716.000000, 0, 0, 0, 0, 75362, 1009, 0, 0, 0, 3478, 0, 13.578608, 7.456873, 404656.000000
16235.000000, 8.000000, 1301.000000, 0, 0, 0, 0, 75362, 671, 0, 0, 0, 6154, 0, 6.832838, 6.675062, 420885.000000
27519.000000, 11.000000, 454.000000, 0, 0, 0, 0, 75362, 2868, 0, 0, 0, 2084, 0, 33.123283, 19.574961, 448396.000000
56196.000000, 8.000000, 230.000000, 0, 0, 0, 0, 75362, 29447, 0, 0, 0, 697, 0, 96.454666, 50.720058, 504587.000000
