querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
30598.000000, 10.000000, 5.000000, 0, 0, 0, 0, 63125, 41988, 0, 0, 0, 5, 0, 403.430481, 252.075409, 30591.000000
30417.000000, 15.000000, 104.000000, 0, 0, 0, 0, 63125, 42688, 0, 0, 0, 228, 0, 373.602783, 305.809296, 60998.000000
25971.000000, 13.000000, 32.000000, 0, 0, 0, 0, 63125, 40576, 0, 0, 0, 58, 0, 296.442352, 257.408691, 86960.000000
23264.000000, 15.000000, 1.000000, 0, 0, 0, 0, 63125, 37584, 0, 0, 0, 1, 0, 406.288635, 227.161194, 110215.000000
96910.000000, 12.000000, 0.000000, 0, 0, 0, 0, 63125, 39758, 0, 0, 0, 0, 0, 415.631042, 252.694427, 207117.000000
26344.000000, 17.000000, 7.000000, 0, 0, 0, 0, 63125, 38554, 0, 0, 0, 6, 0, 421.025757, 239.022842, 233450.000000
27941.000000, 14.000000, 3.000000, 0, 0, 0, 0, 63125, 44039, 0, 0, 0, 4, 0, 465.942230, 330.185974, 261382.000000
20219.000000, 10.000000, 4.000000, 0, 0, 0, 0, 63125, 44558, 0, 0, 0, 7, 0, 459.333862, 295.016541, 281594.000000
18200.000000, 11.000000, 6.000000, 0, 0, 0, 0, 63125, 43337, 0, 0, 0, 10, 0, 424.888184, 231.599518, 299787.000000
17163.000000, 11.000000, 8.000000, 0, 0, 0, 0, 63125, 40302, 0, 0, 0, 15, 0, 324.088165, 255.593063, 316943.000000
20485.000000, 11.000000, 16.000000, 0, 0, 0, 0, 63125, 45649, 0, 0, 0, 35, 0, 427.497192, 332.273438, 337421.000000
17282.000000, 12.000000, 2.000000, 0, 0, 0, 0, 63125, 40739, 0, 0, 0, 3, 0, 349.672607, 219.572067, 354694.000000
20042.000000, 10.000000, 16.000000, 0, 0, 0, 0, 63125, 44855, 0, 0, 0, 30, 0, 423.528931, 270.149384, 374730.000000
21025.000000, 12.000000, 50.000000, 0, 0, 0, 0, 63125, 45613, 0, 0, 0, 112, 0, 431.731628, 354.312744, 395748.000000
