querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
30304.000000, 11.000000, 812.000000, 0, 0, 0, 0, 72722, 5960, 0, 0, 0, 1452, 0, 17.609259, 12.447766, 30298.000000
15151.000000, 8.000000, 3576.000000, 0, 0, 0, 0, 72722, 154, 0, 0, 0, 17695, 0, 1.971953, 1.665452, 45444.000000
36260.000000, 11.000000, 311.000000, 0, 0, 0, 0, 72722, 16538, 0, 0, 0, 766, 0, 31.460182, 20.164249, 81697.000000
602065.000000, 10.000000, 321.000000, 0, 0, 0, 0, 72722, 67502, 0, 0, 0, 1063, 0, 225.497238, 213.470169, 683756.000000
88745.000000, 7.000000, 307.000000, 0, 0, 0, 0, 72722, 33248, 0, 0, 0, 1312, 0, 83.903053, 49.990955, 772496.000000
6622.000000, 7.000000, 1554.000000, 0, 0, 0, 0, 72722, 18, 0, 0, 0, 15321, 0, 0.179217, 0.179217, 779114.000000
563670.000000, 5.000000, 4034.000000, 0, 0, 0, 0, 72722, 67543, 0, 0, 0, 14187, 0, 206.986145, 151.610733, 1342781.000000
202367.000000, 6.000000, 87.000000, 0, 0, 0, 0, 72722, 66359, 0, 0, 0, 282, 0, 285.402924, 92.912659, 1545144.000000
198851.000000, 10.000000, 5958.000000, 0, 0, 0, 0, 72722, 33319, 0, 0, 0, 17925, 0, 61.636246, 48.675865, 1743988.000000
11659.000000, 10.000000, 3239.000000, 0, 0, 0, 0, 72722, 149, 0, 0, 0, 14144, 0, 1.411948, 0.989566, 1755641.000000
44935.000000, 9.000000, 506.000000, 0, 0, 0, 0, 72722, 6666, 0, 0, 0, 2621, 0, 19.763634, 14.495574, 1800570.000000
17636.000000, 8.000000, 88.000000, 0, 0, 0, 0, 72722, 8967, 0, 0, 0, 456, 0, 84.872833, 55.950466, 1818200.000000
504490.000000, 7.000000, 674.000000, 0, 0, 0, 0, 72722, 67799, 0, 0, 0, 2651, 0, 255.255859, 181.264832, 2322686.000000
4701.000000, 8.000000, 123.000000, 0, 0, 0, 0, 72722, 992, 0, 0, 0, 759, 0, 11.465298, 6.714111, 2327382.000000
54990.000000, 5.000000, 666.000000, 0, 0, 0, 0, 72722, 17977, 0, 0, 0, 2983, 0, 154.553650, 37.990635, 2382369.000000
106629.000000, 10.000000, 2508.000000, 0, 0, 0, 0, 72722, 33102, 0, 0, 0, 11515, 0, 73.135796, 65.409508, 2488992.000000
307080.000000, 8.000000, 380.000000, 0, 0, 0, 0, 72722, 66791, 0, 0, 0, 1532, 0, 190.290695, 141.049713, 2796067.000000
171550.000000, 8.000000, 201.000000, 0, 0, 0, 0, 72722, 65429, 0, 0, 0, 704, 0, 350.938751, 54.946804, 2967612.000000
185662.000000, 8.000000, 98.000000, 0, 0, 0, 0, 72722, 66122, 0, 0, 0, 306, 0, 214.040176, 137.332886, 3153269.000000
269296.000000, 7.000000, 4084.000000, 0, 0, 0, 0, 72722, 66853, 0, 0, 0, 17675, 0, 287.416626, 126.871048, 3422561.000000
457186.000000, 11.000000, 1204.000000, 0, 0, 0, 0, 72722, 67633, 0, 0, 0, 4885, 0, 221.134216, 202.817993, 3879740.000000
8863.000000, 8.000000, 1699.000000, 0, 0, 0, 0, 72722, 161, 0, 0, 0, 14076, 0, 1.091965, 0.770839, 3888598.000000
10658.000000, 6.000000, 176.000000, 0, 0, 0, 0, 72722, 6182, 0, 0, 0, 744, 0, 79.984604, 38.999680, 3899253.000000
7043.000000, 8.000000, 593.000000, 0, 0, 0, 0, 72722, 221, 0, 0, 0, 4483, 0, 4.691911, 1.148669, 3906291.000000
186332.000000, 10.000000, 152.000000, 0, 0, 0, 0, 72722, 33567, 0, 0, 0, 482, 0, 103.112236, 82.649536, 4092617.000000
331648.000000, 8.000000, 370.000000, 0, 0, 0, 0, 72722, 67033, 0, 0, 0, 1357, 0, 193.176270, 150.033920, 4424259.000000
32680.000000, 10.000000, 5987.000000, 0, 0, 0, 0, 72722, 1779, 0, 0, 0, 17671, 0, 7.558424, 7.403674, 4456933.000000
37931.000000, 8.000000, 67.000000, 0, 0, 0, 0, 72722, 29794, 0, 0, 0, 258, 0, 138.806641, 98.353355, 4494859.000000
496032.000000, 7.000000, 3108.000000, 0, 0, 0, 0, 72722, 67700, 0, 0, 0, 12722, 0, 220.303558, 175.922211, 4990887.000000
88442.000000, 8.000000, 5936.000000, 0, 0, 0, 0, 72722, 5506, 0, 0, 0, 19121, 0, 15.920543, 14.879477, 5079324.000000
29378.000000, 8.000000, 4966.000000, 0, 0, 0, 0, 72722, 5762, 0, 0, 0, 14663, 0, 12.490174, 12.238750, 5108697.000000
92104.000000, 7.000000, 183.000000, 0, 0, 0, 0, 72722, 51410, 0, 0, 0, 665, 0, 158.971558, 110.184891, 5200797.000000
10211.000000, 9.000000, 3074.000000, 0, 0, 0, 0, 72722, 154, 0, 0, 0, 19525, 0, 1.352831, 1.052321, 5211002.000000
8519.000000, 10.000000, 1530.000000, 0, 0, 0, 0, 72722, 151, 0, 0, 0, 19042, 0, 1.212171, 0.839579, 5219514.000000
145877.000000, 7.000000, 3789.000000, 0, 0, 0, 0, 72722, 64888, 0, 0, 0, 17914, 0, 175.109772, 43.081028, 5365386.000000
20351.000000, 7.000000, 2612.000000, 0, 0, 0, 0, 72722, 3389, 0, 0, 0, 14381, 0, 18.133062, 16.145891, 5385733.000000
203806.000000, 8.000000, 4453.000000, 0, 0, 0, 0, 72722, 66294, 0, 0, 0, 18962, 0, 214.015747, 88.550842, 5589534.000000
190948.000000, 8.000000, 1035.000000, 0, 0, 0, 0, 72722, 59274, 0, 0, 0, 4500, 0, 131.040649, 110.574158, 5780476.000000
10464.000000, 8.000000, 2752.000000, 0, 0, 0, 0, 72722, 251, 0, 0, 0, 15918, 0, 1.997672, 1.997672, 5790935.000000
124340.000000, 9.000000, 370.000000, 0, 0, 0, 0, 72722, 60252, 0, 0, 0, 1264, 0, 150.179321, 136.787476, 5915269.000000
50551.000000, 10.000000, 81.000000, 0, 0, 0, 0, 72722, 32307, 0, 0, 0, 277, 0, 57.445423, 36.973343, 5965813.000000
16691.000000, 10.000000, 3986.000000, 0, 0, 0, 0, 72722, 200, 0, 0, 0, 19999, 0, 1.307032, 1.286649, 5982498.000000
7859.000000, 9.000000, 2806.000000, 0, 0, 0, 0, 72722, 50, 0, 0, 0, 14888, 0, 0.444287, 0.341315, 5990351.000000
391463.000000, 7.000000, 2696.000000, 0, 0, 0, 0, 72722, 66889, 0, 0, 0, 11840, 0, 204.222076, 128.640259, 6381809.000000
47021.000000, 9.000000, 1966.000000, 0, 0, 0, 0, 72722, 16503, 0, 0, 0, 6705, 0, 34.209717, 28.337069, 6428824.000000
131192.000000, 9.000000, 3172.000000, 0, 0, 0, 0, 72722, 47743, 0, 0, 0, 12223, 0, 111.749329, 98.727242, 6560011.000000
110341.000000, 10.000000, 4686.000000, 0, 0, 0, 0, 72722, 10448, 0, 0, 0, 19969, 0, 36.568100, 33.754276, 6670345.000000
12083.000000, 10.000000, 2960.000000, 0, 0, 0, 0, 72722, 164, 0, 0, 0, 14716, 0, 0.575510, 0.545092, 6682421.000000
8266.000000, 6.000000, 2425.000000, 0, 0, 0, 0, 72722, 203, 0, 0, 0, 11435, 0, 1.195073, 1.195073, 6690683.000000
220226.000000, 7.000000, 6133.000000, 0, 0, 0, 0, 72722, 33738, 0, 0, 0, 19092, 0, 59.039219, 53.206837, 6910905.000000
100842.000000, 10.000000, 1424.000000, 0, 0, 0, 0, 72722, 50964, 0, 0, 0, 5993, 0, 134.624008, 109.005836, 7011741.000000
31235.000000, 8.000000, 207.000000, 0, 0, 0, 0, 72722, 26256, 0, 0, 0, 828, 0, 48.246288, 40.306618, 7042971.000000
248226.000000, 8.000000, 532.000000, 0, 0, 0, 0, 72722, 33652, 0, 0, 0, 2002, 0, 98.566582, 73.460175, 7291192.000000
509195.000000, 7.000000, 3246.000000, 0, 0, 0, 0, 72722, 67608, 0, 0, 0, 14691, 0, 173.761139, 168.038574, 7800383.000000
548132.000000, 10.000000, 913.000000, 0, 0, 0, 0, 72722, 67571, 0, 0, 0, 3813, 0, 262.512329, 195.492447, 8348508.000000
12663.000000, 7.000000, 2944.000000, 0, 0, 0, 0, 72722, 250, 0, 0, 0, 14572, 0, 2.969159, 2.747849, 8361166.000000
13549.000000, 9.000000, 3960.000000, 0, 0, 0, 0, 72722, 500, 0, 0, 0, 16658, 0, 1.277868, 1.277868, 8374710.000000
89342.000000, 7.000000, 4221.000000, 0, 0, 0, 0, 72722, 13219, 0, 0, 0, 18380, 0, 16.090914, 14.453391, 8464048.000000
8277.000000, 10.000000, 1943.000000, 0, 0, 0, 0, 72722, 1782, 0, 0, 0, 15259, 0, 33.068169, 25.128290, 8472319.000000
