querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
71050.000000, 8.000000, 565.000000, 0, 0, 0, 0, 67396, 29075, 0, 0, 0, 994, 0, 81.802528, 78.210190, 71045.000000
199763.000000, 12.000000, 198.000000, 0, 0, 0, 0, 67396, 65155, 0, 0, 0, 665, 0, 269.653625, 206.411499, 270801.000000
158014.000000, 9.000000, 493.000000, 0, 0, 0, 0, 67396, 64711, 0, 0, 0, 1843, 0, 206.790222, 171.566620, 428809.000000
325514.000000, 10.000000, 146.000000, 0, 0, 0, 0, 67396, 65573, 0, 0, 0, 498, 0, 278.319153, 256.000031, 754316.000000
88317.000000, 12.000000, 78.000000, 0, 0, 0, 0, 67396, 63677, 0, 0, 0, 175, 0, 212.693207, 155.947861, 842626.000000
102872.000000, 9.000000, 728.000000, 0, 0, 0, 0, 67396, 64070, 0, 0, 0, 2809, 0, 193.107605, 121.478043, 945491.000000
152202.000000, 9.000000, 94.000000, 0, 0, 0, 0, 67396, 64916, 0, 0, 0, 294, 0, 275.312683, 182.873856, 1097686.000000
13890.000000, 10.000000, 2125.000000, 0, 0, 0, 0, 67396, 9253, 0, 0, 0, 7658, 0, 9.063293, 9.063293, 1111569.000000
219243.000000, 7.000000, 85.000000, 0, 0, 0, 0, 67396, 65314, 0, 0, 0, 234, 0, 296.624329, 219.588623, 1330807.000000
150007.000000, 17.000000, 102.000000, 0, 0, 0, 0, 67396, 64757, 0, 0, 0, 166, 0, 243.321609, 185.919189, 1480803.000000
124541.000000, 8.000000, 165.000000, 0, 0, 0, 0, 67396, 64470, 0, 0, 0, 530, 0, 228.625381, 128.844208, 1605339.000000
220754.000000, 9.000000, 109.000000, 0, 0, 0, 0, 67396, 65414, 0, 0, 0, 346, 0, 297.911621, 237.750717, 1826086.000000
135060.000000, 9.000000, 817.000000, 0, 0, 0, 0, 67396, 64490, 0, 0, 0, 3117, 0, 180.808929, 141.374176, 1961141.000000
183900.000000, 12.000000, 187.000000, 0, 0, 0, 0, 67396, 65196, 0, 0, 0, 562, 0, 330.994537, 219.835876, 2145033.000000
