querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
701759.000000, 5.000000, 85.000000, 0, 0, 0, 0, 86510, 75667, 0, 0, 0, 335, 0, 159.452469, 135.980804, 701756.000000
50595.000000, 6.000000, 306.000000, 0, 0, 0, 0, 86510, 18817, 0, 0, 0, 2115, 0, 35.997322, 35.997322, 752347.000000
582667.000000, 7.000000, 391.000000, 0, 0, 0, 0, 86510, 75658, 0, 0, 0, 2196, 0, 144.833481, 121.714340, 1335010.000000
39934.000000, 5.000000, 319.000000, 0, 0, 0, 0, 86510, 13834, 0, 0, 0, 2115, 0, 33.050213, 33.050213, 1374941.000000
670967.000000, 10.000000, 262.000000, 0, 0, 0, 0, 86510, 75640, 0, 0, 0, 957, 0, 154.186462, 133.919449, 2045903.000000
60712.000000, 7.000000, 698.000000, 0, 0, 0, 0, 86510, 22317, 0, 0, 0, 4831, 0, 42.193722, 37.562798, 2106611.000000
684350.000000, 7.000000, 105.000000, 0, 0, 0, 0, 86510, 75629, 0, 0, 0, 377, 0, 172.430939, 141.361832, 2790957.000000
54337.000000, 6.000000, 521.000000, 0, 0, 0, 0, 86510, 18783, 0, 0, 0, 3028, 0, 44.452259, 37.818684, 2845289.000000
732102.000000, 6.000000, 435.000000, 0, 0, 0, 0, 86510, 75634, 0, 0, 0, 1982, 0, 161.627411, 142.787064, 3577387.000000
66313.000000, 5.000000, 484.000000, 0, 0, 0, 0, 86510, 24983, 0, 0, 0, 3144, 0, 39.659401, 38.735657, 3643696.000000
776746.000000, 7.000000, 125.000000, 0, 0, 0, 0, 86510, 75664, 0, 0, 0, 573, 0, 170.203766, 147.225861, 4420438.000000
43675.000000, 15.000000, 721.000000, 0, 0, 0, 0, 86510, 13806, 0, 0, 0, 2115, 0, 33.858292, 33.858292, 4464103.000000
713581.000000, 12.000000, 261.000000, 0, 0, 0, 0, 86510, 75654, 0, 0, 0, 618, 0, 168.894089, 146.604691, 5177678.000000
50084.000000, 13.000000, 1141.000000, 0, 0, 0, 0, 86510, 16975, 0, 0, 0, 3144, 0, 38.862202, 36.259361, 5227753.000000
735475.000000, 15.000000, 191.000000, 0, 0, 0, 0, 86510, 75641, 0, 0, 0, 374, 0, 168.238937, 141.119568, 5963219.000000
63000.000000, 14.000000, 1035.000000, 0, 0, 0, 0, 86510, 23496, 0, 0, 0, 3086, 0, 41.935078, 39.176807, 6026211.000000
762792.000000, 12.000000, 1638.000000, 0, 0, 0, 0, 86510, 75644, 0, 0, 0, 4238, 0, 167.449524, 153.828033, 6788998.000000
46187.000000, 12.000000, 791.000000, 0, 0, 0, 0, 86510, 15227, 0, 0, 0, 2111, 0, 39.910015, 33.522598, 6835178.000000
770391.000000, 11.000000, 177.000000, 0, 0, 0, 0, 86510, 75631, 0, 0, 0, 322, 0, 194.510452, 148.015671, 7605564.000000
48187.000000, 13.000000, 1367.000000, 0, 0, 0, 0, 86510, 16791, 0, 0, 0, 4080, 0, 39.076645, 35.467789, 7653744.000000
742577.000000, 11.000000, 40.000000, 0, 0, 0, 0, 86510, 75630, 0, 0, 0, 63, 0, 176.629028, 144.147156, 8396316.000000
27966.000000, 14.000000, 1470.000000, 0, 0, 0, 0, 86510, 7495, 0, 0, 0, 4992, 0, 33.216217, 26.935043, 8424274.000000
774834.000000, 10.000000, 1541.000000, 0, 0, 0, 0, 86510, 75662, 0, 0, 0, 3892, 0, 180.364182, 145.101196, 9199104.000000
58715.000000, 14.000000, 1528.000000, 0, 0, 0, 0, 86510, 20983, 0, 0, 0, 4992, 0, 40.320847, 37.071327, 9257811.000000
755222.000000, 8.000000, 29.000000, 0, 0, 0, 0, 86510, 75656, 0, 0, 0, 86, 0, 163.120224, 148.147324, 10013029.000000
43649.000000, 6.000000, 389.000000, 0, 0, 0, 0, 86510, 14333, 0, 0, 0, 2111, 0, 36.235416, 33.610691, 10056675.000000
749540.000000, 7.000000, 95.000000, 0, 0, 0, 0, 86510, 75629, 0, 0, 0, 361, 0, 173.078125, 143.996567, 10806211.000000
32584.000000, 12.000000, 1226.000000, 0, 0, 0, 0, 86510, 9429, 0, 0, 0, 4992, 0, 35.938457, 30.574602, 10838789.000000
742062.000000, 6.000000, 239.000000, 0, 0, 0, 0, 86510, 75650, 0, 0, 0, 1159, 0, 159.643570, 143.262451, 11580848.000000
33107.000000, 6.000000, 604.000000, 0, 0, 0, 0, 86510, 10486, 0, 0, 0, 4992, 0, 36.111034, 30.535423, 11613952.000000
762316.000000, 6.000000, 386.000000, 0, 0, 0, 0, 86510, 75638, 0, 0, 0, 2294, 0, 157.907379, 148.748550, 12376264.000000
43706.000000, 5.000000, 557.000000, 0, 0, 0, 0, 86510, 13964, 0, 0, 0, 3972, 0, 40.241554, 33.535660, 12419967.000000
745033.000000, 5.000000, 344.000000, 0, 0, 0, 0, 86510, 75658, 0, 0, 0, 1808, 0, 171.231888, 150.166672, 13164997.000000
54428.000000, 5.000000, 494.000000, 0, 0, 0, 0, 86510, 20260, 0, 0, 0, 3028, 0, 44.050034, 36.541492, 13219422.000000
685268.000000, 6.000000, 116.000000, 0, 0, 0, 0, 86510, 75607, 0, 0, 0, 490, 0, 163.275101, 135.990601, 13904686.000000
36177.000000, 6.000000, 553.000000, 0, 0, 0, 0, 86510, 11040, 0, 0, 0, 3972, 0, 37.311852, 31.092829, 13940859.000000
725327.000000, 6.000000, 255.000000, 0, 0, 0, 0, 86510, 75623, 0, 0, 0, 1224, 0, 180.146896, 145.601181, 14666182.000000
43548.000000, 14.000000, 730.000000, 0, 0, 0, 0, 86510, 13990, 0, 0, 0, 2115, 0, 32.787247, 32.787247, 14709721.000000
753415.000000, 12.000000, 1177.000000, 0, 0, 0, 0, 86510, 75638, 0, 0, 0, 3047, 0, 166.628128, 141.528687, 15463131.000000
55537.000000, 13.000000, 1315.000000, 0, 0, 0, 0, 86510, 20261, 0, 0, 0, 3972, 0, 38.932110, 36.500233, 15518659.000000
774963.000000, 12.000000, 204.000000, 0, 0, 0, 0, 86510, 75682, 0, 0, 0, 453, 0, 174.554169, 143.299927, 16293617.000000
44722.000000, 10.000000, 1081.000000, 0, 0, 0, 0, 86510, 15410, 0, 0, 0, 3144, 0, 34.305611, 34.305611, 16338334.000000
714685.000000, 10.000000, 1710.000000, 0, 0, 0, 0, 86510, 75641, 0, 0, 0, 4175, 0, 171.531738, 143.378586, 17053015.000000
39479.000000, 12.000000, 1097.000000, 0, 0, 0, 0, 86510, 11336, 0, 0, 0, 3144, 0, 41.930454, 32.568268, 17092488.000000
735681.000000, 12.000000, 1461.000000, 0, 0, 0, 0, 86510, 75639, 0, 0, 0, 4027, 0, 164.415176, 143.950912, 17828164.000000
60383.000000, 13.000000, 1506.000000, 0, 0, 0, 0, 86510, 22433, 0, 0, 0, 4831, 0, 44.696815, 38.204144, 17888539.000000
