querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
502857.000000, 4.000000, 263.000000, 0, 0, 0, 0, 281322, 171591, 0, 0, 0, 850, 0, 59.569485, 51.895206, 502854.000000
305482.000000, 6.000000, 38.000000, 0, 0, 0, 0, 281322, 151426, 0, 0, 0, 183, 0, 67.812935, 36.224583, 808333.000000
110508.000000, 7.000000, 160.000000, 0, 0, 0, 0, 281322, 73770, 0, 0, 0, 727, 0, 19.078072, 19.078072, 918837.000000
205262.000000, 6.000000, 133.000000, 0, 0, 0, 0, 281322, 133409, 0, 0, 0, 722, 0, 21.251453, 21.251453, 1124095.000000
352073.000000, 6.000000, 58.000000, 0, 0, 0, 0, 281322, 161921, 0, 0, 0, 226, 0, 55.518600, 30.531570, 1476165.000000
523365.000000, 5.000000, 195.000000, 0, 0, 0, 0, 281322, 171585, 0, 0, 0, 797, 0, 70.666580, 64.408295, 1999528.000000
543452.000000, 6.000000, 164.000000, 0, 0, 0, 0, 281322, 171800, 0, 0, 0, 790, 0, 62.989208, 55.455639, 2542975.000000
117823.000000, 7.000000, 101.000000, 0, 0, 0, 0, 281322, 82905, 0, 0, 0, 536, 0, 25.459064, 18.778326, 2660794.000000
586105.000000, 6.000000, 202.000000, 0, 0, 0, 0, 281322, 171840, 0, 0, 0, 790, 0, 88.840714, 56.610981, 3246896.000000
199420.000000, 6.000000, 137.000000, 0, 0, 0, 0, 281322, 117410, 0, 0, 0, 756, 0, 38.914787, 35.827148, 3446313.000000
259242.000000, 6.000000, 161.000000, 0, 0, 0, 0, 281322, 149038, 0, 0, 0, 534, 0, 43.008011, 29.562952, 3705552.000000
367720.000000, 6.000000, 38.000000, 0, 0, 0, 0, 281322, 170334, 0, 0, 0, 135, 0, 70.299591, 40.874527, 4073269.000000
181484.000000, 6.000000, 145.000000, 0, 0, 0, 0, 281322, 101928, 0, 0, 0, 676, 0, 41.454174, 25.919353, 4254748.000000
115209.000000, 6.000000, 219.000000, 0, 0, 0, 0, 281322, 75242, 0, 0, 0, 956, 0, 52.009583, 31.971146, 4369954.000000
