querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
529161.000000, 6.000000, 87.000000, 0, 0, 0, 0, 370208, 215356, 0, 0, 0, 186, 0, 374.254974, 197.435623, 529157.000000
47345.000000, 9.000000, 52.000000, 0, 0, 0, 0, 370208, 88569, 0, 0, 0, 165, 0, 143.447693, 104.374077, 576496.000000
359938.000000, 9.000000, 63.000000, 0, 0, 0, 0, 370208, 214031, 0, 0, 0, 165, 0, 232.100159, 180.244370, 936428.000000
459649.000000, 8.000000, 74.000000, 0, 0, 0, 0, 370208, 214902, 0, 0, 0, 241, 0, 294.214264, 197.705109, 1396071.000000
117055.000000, 9.000000, 74.000000, 0, 0, 0, 0, 370208, 178389, 0, 0, 0, 241, 0, 183.845535, 143.106445, 1513121.000000
471762.000000, 9.000000, 67.000000, 0, 0, 0, 0, 370208, 214985, 0, 0, 0, 167, 0, 382.286163, 252.393982, 1984877.000000
340673.000000, 9.000000, 64.000000, 0, 0, 0, 0, 370208, 213741, 0, 0, 0, 191, 0, 290.274048, 161.773712, 2325543.000000
563567.000000, 9.000000, 48.000000, 0, 0, 0, 0, 370208, 215445, 0, 0, 0, 129, 0, 390.394836, 255.999939, 2889104.000000
489319.000000, 9.000000, 47.000000, 0, 0, 0, 0, 370208, 215122, 0, 0, 0, 133, 0, 357.043182, 226.760895, 3378417.000000
393578.000000, 9.000000, 52.000000, 0, 0, 0, 0, 370208, 214374, 0, 0, 0, 146, 0, 379.367493, 149.130676, 3771989.000000
448506.000000, 8.000000, 51.000000, 0, 0, 0, 0, 370208, 214770, 0, 0, 0, 150, 0, 375.120209, 177.441116, 4220490.000000
186407.000000, 9.000000, 35.000000, 0, 0, 0, 0, 370208, 210295, 0, 0, 0, 152, 0, 73.569626, 25.845432, 4406891.000000
554564.000000, 9.000000, 55.000000, 0, 0, 0, 0, 370208, 215184, 0, 0, 0, 150, 0, 431.933289, 255.999939, 4961449.000000
504888.000000, 7.000000, 71.000000, 0, 0, 0, 0, 370208, 215067, 0, 0, 0, 192, 0, 288.315216, 226.074783, 5466332.000000
310779.000000, 8.000000, 50.000000, 0, 0, 0, 0, 370208, 212874, 0, 0, 0, 165, 0, 184.934845, 169.612091, 5777106.000000
408368.000000, 7.000000, 67.000000, 0, 0, 0, 0, 370208, 214606, 0, 0, 0, 202, 0, 247.123215, 196.722839, 6185470.000000
487537.000000, 8.000000, 57.000000, 0, 0, 0, 0, 370208, 214907, 0, 0, 0, 166, 0, 288.972168, 250.125244, 6673002.000000
346463.000000, 10.000000, 60.000000, 0, 0, 0, 0, 370208, 213761, 0, 0, 0, 170, 0, 251.735901, 180.750031, 7019458.000000
552518.000000, 10.000000, 75.000000, 0, 0, 0, 0, 370208, 215196, 0, 0, 0, 217, 0, 364.989777, 255.999969, 7571970.000000
496161.000000, 8.000000, 60.000000, 0, 0, 0, 0, 370208, 215071, 0, 0, 0, 166, 0, 315.403809, 226.219086, 8068126.000000
476571.000000, 8.000000, 31.000000, 0, 0, 0, 0, 370208, 214691, 0, 0, 0, 87, 0, 286.172791, 191.079590, 8544692.000000
468378.000000, 9.000000, 71.000000, 0, 0, 0, 0, 370208, 214979, 0, 0, 0, 208, 0, 327.940674, 183.750427, 9013065.000000
487158.000000, 8.000000, 53.000000, 0, 0, 0, 0, 370208, 214833, 0, 0, 0, 148, 0, 387.642395, 191.238388, 9500218.000000
295925.000000, 8.000000, 66.000000, 0, 0, 0, 0, 370208, 212959, 0, 0, 0, 187, 0, 283.147125, 169.300964, 9796138.000000
165844.000000, 9.000000, 38.000000, 0, 0, 0, 0, 370208, 205291, 0, 0, 0, 122, 0, 242.862442, 147.730011, 9961976.000000
45103.000000, 9.000000, 58.000000, 0, 0, 0, 0, 370208, 97419, 0, 0, 0, 176, 0, 160.375885, 88.271461, 10007073.000000
518013.000000, 7.000000, 68.000000, 0, 0, 0, 0, 370208, 214991, 0, 0, 0, 155, 0, 258.726318, 237.982208, 10525082.000000
334301.000000, 9.000000, 49.000000, 0, 0, 0, 0, 370208, 213497, 0, 0, 0, 139, 0, 234.610046, 162.195755, 10859377.000000
472262.000000, 9.000000, 70.000000, 0, 0, 0, 0, 370208, 214734, 0, 0, 0, 199, 0, 315.584503, 173.879730, 11331631.000000
446495.000000, 9.000000, 44.000000, 0, 0, 0, 0, 370208, 214569, 0, 0, 0, 120, 0, 295.673065, 219.060074, 11778120.000000
350636.000000, 8.000000, 65.000000, 0, 0, 0, 0, 370208, 213637, 0, 0, 0, 186, 0, 251.939087, 174.843033, 12128750.000000
536861.000000, 9.000000, 66.000000, 0, 0, 0, 0, 370208, 215149, 0, 0, 0, 179, 0, 363.475616, 255.999390, 12665606.000000
497422.000000, 11.000000, 42.000000, 0, 0, 0, 0, 370208, 214786, 0, 0, 0, 129, 0, 249.059830, 230.416168, 13163020.000000
536168.000000, 8.000000, 72.000000, 0, 0, 0, 0, 370208, 215106, 0, 0, 0, 190, 0, 361.357300, 255.999969, 13699184.000000
367341.000000, 9.000000, 68.000000, 0, 0, 0, 0, 370208, 214150, 0, 0, 0, 191, 0, 226.847412, 136.511719, 14066520.000000
491414.000000, 8.000000, 82.000000, 0, 0, 0, 0, 370208, 214807, 0, 0, 0, 247, 0, 335.363525, 211.081299, 14557929.000000
270502.000000, 7.000000, 59.000000, 0, 0, 0, 0, 370208, 212219, 0, 0, 0, 173, 0, 263.798218, 154.440598, 14828425.000000
367940.000000, 9.000000, 69.000000, 0, 0, 0, 0, 370208, 213800, 0, 0, 0, 201, 0, 285.373047, 178.396225, 15196359.000000
140079.000000, 8.000000, 56.000000, 0, 0, 0, 0, 370208, 197327, 0, 0, 0, 180, 0, 158.319992, 123.541122, 15336434.000000
456284.000000, 8.000000, 69.000000, 0, 0, 0, 0, 370208, 214774, 0, 0, 0, 159, 0, 288.124054, 202.385406, 15792714.000000
361759.000000, 9.000000, 55.000000, 0, 0, 0, 0, 370208, 213656, 0, 0, 0, 147, 0, 270.888306, 172.721237, 16154466.000000
491418.000000, 8.000000, 53.000000, 0, 0, 0, 0, 370208, 214893, 0, 0, 0, 150, 0, 325.117767, 239.335861, 16645878.000000
