querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
6479.000000, 7.000000, 64.000000, 0, 0, 0, 0, 66102, 2, 0, 0, 0, 1104, 0, 0.000000, 0.000000, 6478.000000
7767.000000, 2.000000, 62.000000, 0, 0, 0, 0, 66102, 5, 0, 0, 0, 1585, 0, 0.011769, 0.011769, 14243.000000
7992.000000, 4.000000, 156.000000, 0, 0, 0, 0, 66102, 5, 0, 0, 0, 1585, 0, 0.047113, 0.047113, 22234.000000
8244.000000, 5.000000, 187.000000, 0, 0, 0, 0, 66102, 5, 0, 0, 0, 1585, 0, 0.106084, 0.106084, 30477.000000
9555.000000, 6.000000, 155.000000, 0, 0, 0, 0, 66102, 64, 0, 0, 0, 1308, 0, 1.191736, 0.188722, 40032.000000
8758.000000, 3.000000, 155.000000, 0, 0, 0, 0, 66102, 52, 0, 0, 0, 1308, 0, 1.293572, 0.295057, 48789.000000
9103.000000, 4.000000, 154.000000, 0, 0, 0, 0, 66102, 60, 0, 0, 0, 1308, 0, 1.419079, 0.425111, 57891.000000
8452.000000, 3.000000, 90.000000, 0, 0, 0, 0, 66102, 44, 0, 0, 0, 1308, 0, 1.568268, 0.578896, 66342.000000
9073.000000, 3.000000, 86.000000, 0, 0, 0, 0, 66102, 65, 0, 0, 0, 1308, 0, 1.741142, 0.756411, 75414.000000
8648.000000, 5.000000, 154.000000, 0, 0, 0, 0, 66102, 70, 0, 0, 0, 1308, 0, 1.937692, 0.957650, 84061.000000
8682.000000, 5.000000, 177.000000, 0, 0, 0, 0, 66102, 95, 0, 0, 0, 1308, 0, 2.157901, 1.182593, 92741.000000
9128.000000, 4.000000, 155.000000, 0, 0, 0, 0, 66102, 126, 0, 0, 0, 1308, 0, 2.401741, 1.431213, 101868.000000
9305.000000, 4.000000, 154.000000, 0, 0, 0, 0, 66102, 182, 0, 0, 0, 1308, 0, 2.669174, 1.703470, 111173.000000
9778.000000, 4.000000, 237.000000, 0, 0, 0, 0, 66102, 256, 0, 0, 0, 2050, 0, 5.299009, 1.999317, 120950.000000
10541.000000, 4.000000, 238.000000, 0, 0, 0, 0, 66102, 367, 0, 0, 0, 2050, 0, 5.600324, 2.318696, 131490.000000
12068.000000, 4.000000, 237.000000, 0, 0, 0, 0, 66102, 500, 0, 0, 0, 2050, 0, 5.924960, 2.661540, 143557.000000
12362.000000, 3.000000, 236.000000, 0, 0, 0, 0, 66102, 676, 0, 0, 0, 2050, 0, 6.272838, 3.027771, 155918.000000
13072.000000, 3.000000, 210.000000, 0, 0, 0, 0, 66102, 873, 0, 0, 0, 2050, 0, 6.643879, 3.417302, 168990.000000
13934.000000, 5.000000, 239.000000, 0, 0, 0, 0, 66102, 1126, 0, 0, 0, 2050, 0, 7.037986, 3.830037, 182923.000000
13811.000000, 5.000000, 228.000000, 0, 0, 0, 0, 66102, 1371, 0, 0, 0, 2050, 0, 7.455059, 4.265870, 196733.000000
15272.000000, 4.000000, 232.000000, 0, 0, 0, 0, 66102, 1657, 0, 0, 0, 2050, 0, 7.894982, 4.724687, 212004.000000
14539.000000, 5.000000, 232.000000, 0, 0, 0, 0, 66102, 1975, 0, 0, 0, 2050, 0, 8.357635, 5.206360, 226542.000000
15019.000000, 4.000000, 235.000000, 0, 0, 0, 0, 66102, 2322, 0, 0, 0, 2050, 0, 8.842889, 5.710759, 241559.000000
16211.000000, 4.000000, 239.000000, 0, 0, 0, 0, 66102, 2755, 0, 0, 0, 2050, 0, 9.350602, 6.237741, 257769.000000
16353.000000, 3.000000, 198.000000, 0, 0, 0, 0, 66102, 3233, 0, 0, 0, 2050, 0, 9.880629, 6.787153, 274121.000000
17961.000000, 4.000000, 182.000000, 0, 0, 0, 0, 66102, 3833, 0, 0, 0, 2050, 0, 10.432808, 7.358836, 292081.000000
20200.000000, 4.000000, 251.000000, 0, 0, 0, 0, 66102, 4566, 0, 0, 0, 2050, 0, 11.006982, 7.952621, 312280.000000
22958.000000, 5.000000, 265.000000, 0, 0, 0, 0, 66102, 5397, 0, 0, 0, 2050, 0, 11.602969, 8.568335, 335237.000000
26714.000000, 4.000000, 195.000000, 0, 0, 0, 0, 66102, 6370, 0, 0, 0, 2050, 0, 12.220592, 9.205786, 361950.000000
28322.000000, 4.000000, 278.000000, 0, 0, 0, 0, 66102, 7478, 0, 0, 0, 2050, 0, 12.859661, 9.864790, 390272.000000
26520.000000, 4.000000, 159.000000, 0, 0, 0, 0, 66102, 8595, 0, 0, 0, 2050, 0, 13.519979, 10.545137, 416790.000000
30790.000000, 4.000000, 268.000000, 0, 0, 0, 0, 66102, 9932, 0, 0, 0, 2050, 0, 14.201343, 11.246633, 447579.000000
32103.000000, 4.000000, 285.000000, 0, 0, 0, 0, 66102, 11251, 0, 0, 0, 2050, 0, 14.903532, 11.969043, 479681.000000
34388.000000, 6.000000, 317.000000, 0, 0, 0, 0, 66102, 12639, 0, 0, 0, 2050, 0, 15.626337, 12.712160, 514068.000000
37467.000000, 6.000000, 309.000000, 0, 0, 0, 0, 66102, 14090, 0, 0, 0, 2050, 0, 16.369530, 13.475749, 551534.000000
43482.000000, 5.000000, 317.000000, 0, 0, 0, 0, 66102, 15709, 0, 0, 0, 2050, 0, 17.132874, 14.259572, 595015.000000
44465.000000, 2.000000, 155.000000, 0, 0, 0, 0, 66102, 17299, 0, 0, 0, 2050, 0, 17.916134, 15.063391, 639480.000000
45941.000000, 3.000000, 182.000000, 0, 0, 0, 0, 66102, 18952, 0, 0, 0, 2050, 0, 18.719063, 15.886956, 685420.000000
53881.000000, 2.000000, 169.000000, 0, 0, 0, 0, 66102, 20813, 0, 0, 0, 2050, 0, 19.541410, 16.730011, 739300.000000
53965.000000, 5.000000, 408.000000, 0, 0, 0, 0, 66102, 22844, 0, 0, 0, 2050, 0, 20.382917, 17.592297, 793263.000000
54826.000000, 5.000000, 416.000000, 0, 0, 0, 0, 66102, 24970, 0, 0, 0, 2050, 0, 21.243322, 18.473545, 848088.000000
61319.000000, 5.000000, 443.000000, 0, 0, 0, 0, 66102, 27235, 0, 0, 0, 2050, 0, 22.122356, 19.373489, 909405.000000
62959.000000, 5.000000, 463.000000, 0, 0, 0, 0, 66102, 29229, 0, 0, 0, 2050, 0, 23.019749, 20.291847, 972363.000000
67859.000000, 5.000000, 492.000000, 0, 0, 0, 0, 66102, 31044, 0, 0, 0, 2050, 0, 23.935230, 21.228342, 1040222.000000
71611.000000, 4.000000, 500.000000, 0, 0, 0, 0, 66102, 32921, 0, 0, 0, 2050, 0, 24.868502, 22.182688, 1111832.000000
74944.000000, 5.000000, 516.000000, 0, 0, 0, 0, 66102, 34928, 0, 0, 0, 2050, 0, 25.819288, 23.154602, 1186775.000000
85114.000000, 1.000000, 274.000000, 0, 0, 0, 0, 66102, 37276, 0, 0, 0, 2050, 0, 26.787302, 24.143776, 1271888.000000
85362.000000, 6.000000, 549.000000, 0, 0, 0, 0, 66102, 39798, 0, 0, 0, 2050, 0, 27.772238, 25.149925, 1357248.000000
94899.000000, 6.000000, 568.000000, 0, 0, 0, 0, 66102, 42633, 0, 0, 0, 2050, 0, 28.773808, 26.172745, 1452145.000000
95345.000000, 6.000000, 633.000000, 0, 0, 0, 0, 66102, 44982, 0, 0, 0, 2050, 0, 29.791714, 27.211931, 1547488.000000
104049.000000, 6.000000, 609.000000, 0, 0, 0, 0, 66102, 47102, 0, 0, 0, 2050, 0, 30.825649, 28.267179, 1651536.000000
104866.000000, 6.000000, 626.000000, 0, 0, 0, 0, 66102, 48904, 0, 0, 0, 2050, 0, 31.875301, 29.338179, 1756401.000000
107727.000000, 6.000000, 649.000000, 0, 0, 0, 0, 66102, 51006, 0, 0, 0, 2050, 0, 32.940369, 30.424620, 1864127.000000
116359.000000, 6.000000, 657.000000, 0, 0, 0, 0, 66102, 53220, 0, 0, 0, 2050, 0, 34.020546, 31.526188, 1980484.000000
120205.000000, 6.000000, 667.000000, 0, 0, 0, 0, 66102, 55602, 0, 0, 0, 2050, 0, 35.115501, 32.642567, 2100688.000000
126456.000000, 6.000000, 675.000000, 0, 0, 0, 0, 66102, 57649, 0, 0, 0, 2050, 0, 36.224953, 33.773430, 2227143.000000
134467.000000, 6.000000, 686.000000, 0, 0, 0, 0, 66102, 59245, 0, 0, 0, 2050, 0, 37.348557, 34.918476, 2361608.000000
139168.000000, 5.000000, 739.000000, 0, 0, 0, 0, 66102, 60179, 0, 0, 0, 2050, 0, 38.485992, 36.077377, 2500774.000000
151972.000000, 7.000000, 705.000000, 0, 0, 0, 0, 66102, 61213, 0, 0, 0, 2050, 0, 39.636978, 37.249805, 2652745.000000
156901.000000, 6.000000, 700.000000, 0, 0, 0, 0, 66102, 62106, 0, 0, 0, 2050, 0, 40.801155, 38.435463, 2809644.000000
165730.000000, 6.000000, 713.000000, 0, 0, 0, 0, 66102, 62936, 0, 0, 0, 2050, 0, 41.978226, 39.633995, 2975373.000000
174302.000000, 6.000000, 733.000000, 0, 0, 0, 0, 66102, 63591, 0, 0, 0, 2050, 0, 43.167870, 40.845100, 3149673.000000
