querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
8294.000000, 31.000000, 7.000000, 0, 0, 0, 0, 18026, 5696, 0, 0, 0, 1, 0, 260.535034, 158.258011, 8271.000000
22636.000000, 9.000000, 2.000000, 0, 0, 0, 0, 18026, 8093, 0, 0, 0, 0, 0, 449.428162, 181.711288, 30900.000000
23788.000000, 23.000000, 0.000000, 0, 0, 0, 0, 18026, 1887, 0, 0, 0, 0, 0, 473.898682, 85.829346, 54674.000000
4915.000000, 18.000000, 3.000000, 0, 0, 0, 0, 18026, 1527, 0, 0, 0, 1, 0, 327.788422, 101.962402, 59576.000000
4933.000000, 11.000000, 1.000000, 0, 0, 0, 0, 18026, 2715, 0, 0, 0, 1, 0, 261.144348, 147.802338, 64501.000000
8586.000000, 11.000000, 5.000000, 0, 0, 0, 0, 18026, 6228, 0, 0, 0, 3, 0, 371.080750, 183.378067, 73080.000000
4457.000000, 13.000000, 4.000000, 0, 0, 0, 0, 18026, 1271, 0, 0, 0, 2, 0, 380.036163, 91.945007, 77529.000000
23612.000000, 15.000000, 0.000000, 0, 0, 0, 0, 18026, 3876, 0, 0, 0, 0, 0, 275.507996, 135.380249, 101131.000000
15884.000000, 9.000000, 0.000000, 0, 0, 0, 0, 18026, 2492, 0, 0, 0, 0, 0, 227.104736, 93.383339, 117008.000000
4552.000000, 19.000000, 2.000000, 0, 0, 0, 0, 18026, 3098, 0, 0, 0, 2, 0, 202.542847, 143.090027, 121548.000000
2884.000000, 13.000000, 2.000000, 0, 0, 0, 0, 18026, 571, 0, 0, 0, 2, 0, 275.677002, 53.414455, 124423.000000
2198.000000, 8.000000, 5.000000, 0, 0, 0, 0, 18026, 279, 0, 0, 0, 14, 0, 57.987724, 44.603924, 126616.000000
24060.000000, 11.000000, 4.000000, 0, 0, 0, 0, 18026, 3814, 0, 0, 0, 0, 0, 181.595459, 146.280670, 150669.000000
17322.000000, 10.000000, 0.000000, 0, 0, 0, 0, 18026, 4662, 0, 0, 0, 0, 0, 422.589722, 116.066116, 167984.000000
15786.000000, 9.000000, 2.000000, 0, 0, 0, 0, 18026, 2040, 0, 0, 0, 0, 0, 173.077255, 92.917755, 183764.000000
4100.000000, 13.000000, 1.000000, 0, 0, 0, 0, 18026, 2506, 0, 0, 0, 1, 0, 111.920464, 111.920464, 187855.000000
6838.000000, 11.000000, 2.000000, 0, 0, 0, 0, 18026, 4967, 0, 0, 0, 1, 0, 301.372681, 194.605789, 194685.000000
3515.000000, 10.000000, 2.000000, 0, 0, 0, 0, 18026, 1787, 0, 0, 0, 4, 0, 175.500763, 111.665497, 198194.000000
14307.000000, 8.000000, 2.000000, 0, 0, 0, 0, 18026, 1891, 0, 0, 0, 0, 0, 196.820389, 100.937386, 212495.000000
15938.000000, 8.000000, 3.000000, 0, 0, 0, 0, 18026, 3751, 0, 0, 0, 0, 0, 446.117371, 100.603912, 228427.000000
20439.000000, 14.000000, 0.000000, 0, 0, 0, 0, 18026, 1361, 0, 0, 0, 0, 0, 380.505035, 66.711548, 248856.000000
2847.000000, 9.000000, 8.000000, 0, 0, 0, 0, 18026, 610, 0, 0, 0, 19, 0, 93.989014, 80.351357, 251696.000000
28792.000000, 19.000000, 0.000000, 0, 0, 0, 0, 18026, 3153, 0, 0, 0, 0, 0, 254.370316, 147.360214, 280474.000000
27295.000000, 16.000000, 0.000000, 0, 0, 0, 0, 18026, 1796, 0, 0, 0, 0, 0, 251.142776, 91.316200, 307758.000000
