querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
32763.000000, 14.000000, 96.000000, 0, 0, 0, 0, 72988, 5212, 0, 0, 0, 491, 0, 24.329285, 12.447766, 32755.000000
10424.000000, 16.000000, 1276.000000, 0, 0, 0, 0, 72988, 181, 0, 0, 0, 18032, 0, 1.971953, 1.665452, 43170.000000
37914.000000, 10.000000, 46.000000, 0, 0, 0, 0, 72988, 16619, 0, 0, 0, 511, 0, 29.112289, 20.164249, 81077.000000
613894.000000, 11.000000, 198.000000, 0, 0, 0, 0, 72988, 68470, 0, 0, 0, 480, 0, 254.436554, 213.470169, 694963.000000
92362.000000, 10.000000, 506.000000, 0, 0, 0, 0, 72988, 33895, 0, 0, 0, 2956, 0, 85.554710, 49.990955, 787318.000000
7283.000000, 11.000000, 1159.000000, 0, 0, 0, 0, 72988, 118, 0, 0, 0, 17551, 0, 0.419924, 0.179217, 794593.000000
584408.000000, 11.000000, 4503.000000, 0, 0, 0, 0, 72988, 68374, 0, 0, 0, 16505, 0, 241.611664, 151.610733, 1378994.000000
226348.000000, 10.000000, 158.000000, 0, 0, 0, 0, 72988, 67782, 0, 0, 0, 497, 0, 247.952255, 92.912659, 1605335.000000
197045.000000, 12.000000, 3293.000000, 0, 0, 0, 0, 72988, 33187, 0, 0, 0, 15878, 0, 52.757790, 48.675865, 1802372.000000
7363.000000, 12.000000, 602.000000, 0, 0, 0, 0, 72988, 167, 0, 0, 0, 18408, 0, 2.338664, 0.989566, 1809728.000000
44180.000000, 14.000000, 669.000000, 0, 0, 0, 0, 72988, 6144, 0, 0, 0, 6117, 0, 20.759771, 14.495574, 1853898.000000
19300.000000, 10.000000, 37.000000, 0, 0, 0, 0, 72988, 9625, 0, 0, 0, 409, 0, 83.171082, 55.950466, 1873191.000000
535286.000000, 9.000000, 304.000000, 0, 0, 0, 0, 72988, 68513, 0, 0, 0, 830, 0, 304.956909, 181.264832, 2408471.000000
5064.000000, 10.000000, 33.000000, 0, 0, 0, 0, 72988, 987, 0, 0, 0, 546, 0, 20.790737, 6.714111, 2413528.000000
58541.000000, 4.000000, 715.000000, 0, 0, 0, 0, 72988, 18024, 0, 0, 0, 2913, 0, 91.271568, 37.990635, 2472066.000000
119442.000000, 11.000000, 841.000000, 0, 0, 0, 0, 72988, 33573, 0, 0, 0, 5844, 0, 78.849258, 65.409508, 2591501.000000
351645.000000, 10.000000, 415.000000, 0, 0, 0, 0, 72988, 67844, 0, 0, 0, 1398, 0, 194.988037, 141.049713, 2943140.000000
204960.000000, 13.000000, 162.000000, 0, 0, 0, 0, 72988, 67415, 0, 0, 0, 397, 0, 404.776794, 54.946804, 3148092.000000
211564.000000, 14.000000, 231.000000, 0, 0, 0, 0, 72988, 67520, 0, 0, 0, 724, 0, 190.795456, 137.332886, 3359645.000000
297770.000000, 12.000000, 634.000000, 0, 0, 0, 0, 72988, 67910, 0, 0, 0, 2121, 0, 335.104584, 126.871048, 3657407.000000
