querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
41145.000000, 16.000000, 131.000000, 0, 0, 0, 0, 66709, 31115, 0, 0, 0, 195, 0, 68.076675, 62.247364, 41132.000000
5620.000000, 12.000000, 44.000000, 0, 0, 0, 0, 66709, 1922, 0, 0, 0, 201, 0, 18.957060, 5.631338, 46743.000000
6480.000000, 10.000000, 86.000000, 0, 0, 0, 0, 66709, 8282, 0, 0, 0, 568, 0, 31.946697, 29.198051, 53216.000000
5696.000000, 9.000000, 46.000000, 0, 0, 0, 0, 66709, 3674, 0, 0, 0, 258, 0, 6.652637, 3.371730, 58905.000000
5515.000000, 10.000000, 98.000000, 0, 0, 0, 0, 66709, 3389, 0, 0, 0, 1861, 0, 16.356520, 6.185990, 64412.000000
29185.000000, 10.000000, 92.000000, 0, 0, 0, 0, 66709, 58809, 0, 0, 0, 312, 0, 107.154762, 107.154762, 93589.000000
5805.000000, 11.000000, 29.000000, 0, 0, 0, 0, 66709, 3234, 0, 0, 0, 248, 0, 24.199776, 13.997404, 99386.000000
10958.000000, 10.000000, 131.000000, 0, 0, 0, 0, 66709, 26333, 0, 0, 0, 2469, 0, 28.245815, 24.051296, 110337.000000
4367.000000, 10.000000, 89.000000, 0, 0, 0, 0, 66709, 2, 0, 0, 0, 1915, 0, 0.000000, 0.000000, 114697.000000
10490.000000, 9.000000, 20.000000, 0, 0, 0, 0, 66709, 14499, 0, 0, 0, 76, 0, 58.613800, 38.112732, 125180.000000
5210.000000, 10.000000, 28.000000, 0, 0, 0, 0, 66709, 3205, 0, 0, 0, 338, 0, 2.832206, 2.832206, 130382.000000
10922.000000, 9.000000, 263.000000, 0, 0, 0, 0, 66709, 20769, 0, 0, 0, 1469, 0, 57.085896, 49.776207, 141297.000000
6005.000000, 11.000000, 24.000000, 0, 0, 0, 0, 66709, 3524, 0, 0, 0, 390, 0, 4.496648, 0.506250, 147294.000000
4941.000000, 9.000000, 75.000000, 0, 0, 0, 0, 66709, 1670, 0, 0, 0, 1616, 0, 6.848129, 2.831873, 152228.000000
5203.000000, 10.000000, 72.000000, 0, 0, 0, 0, 66709, 3275, 0, 0, 0, 1454, 0, 3.310160, 3.081249, 157424.000000
5111.000000, 10.000000, 34.000000, 0, 0, 0, 0, 66709, 3355, 0, 0, 0, 455, 0, 9.201228, 7.334002, 162528.000000
4952.000000, 9.000000, 210.000000, 0, 0, 0, 0, 66709, 1077, 0, 0, 0, 4766, 0, 0.457155, 0.348326, 167473.000000
4896.000000, 10.000000, 105.000000, 0, 0, 0, 0, 66709, 1061, 0, 0, 0, 2283, 0, 0.735505, 0.502818, 172361.000000
27927.000000, 10.000000, 9.000000, 0, 0, 0, 0, 66709, 57951, 0, 0, 0, 10, 0, 215.674957, 124.780502, 200280.000000
4973.000000, 10.000000, 94.000000, 0, 0, 0, 0, 66709, 1122, 0, 0, 0, 2016, 0, 2.951353, 0.978197, 205245.000000
5192.000000, 10.000000, 124.000000, 0, 0, 0, 0, 66709, 2118, 0, 0, 0, 2638, 0, 1.250292, 0.821146, 210430.000000
7018.000000, 10.000000, 107.000000, 0, 0, 0, 0, 66709, 6986, 0, 0, 0, 2307, 0, 2.170046, 0.470098, 217441.000000
6588.000000, 10.000000, 183.000000, 0, 0, 0, 0, 66709, 6101, 0, 0, 0, 3343, 0, 2.561924, 2.395939, 224022.000000
52186.000000, 12.000000, 68.000000, 0, 0, 0, 0, 66709, 61554, 0, 0, 0, 133, 0, 278.129974, 218.710754, 276200.000000
5575.000000, 12.000000, 53.000000, 0, 0, 0, 0, 66709, 2512, 0, 0, 0, 949, 0, 24.067417, 6.422733, 281767.000000
4928.000000, 10.000000, 205.000000, 0, 0, 0, 0, 66709, 863, 0, 0, 0, 3868, 0, 2.089765, 1.705613, 286688.000000
5032.000000, 12.000000, 91.000000, 0, 0, 0, 0, 66709, 1891, 0, 0, 0, 1513, 0, 0.499470, 0.499470, 291711.000000
31319.000000, 10.000000, 10.000000, 0, 0, 0, 0, 66709, 59105, 0, 0, 0, 16, 0, 233.556580, 165.894653, 323023.000000
37133.000000, 12.000000, 16.000000, 0, 0, 0, 0, 66709, 60121, 0, 0, 0, 25, 0, 353.186523, 191.295502, 360148.000000
9508.000000, 10.000000, 26.000000, 0, 0, 0, 0, 66709, 19001, 0, 0, 0, 63, 0, 6.585134, 6.114903, 369649.000000
6930.000000, 10.000000, 15.000000, 0, 0, 0, 0, 66709, 9512, 0, 0, 0, 24, 0, 96.306145, 46.039608, 376571.000000
4595.000000, 10.000000, 40.000000, 0, 0, 0, 0, 66709, 812, 0, 0, 0, 364, 0, 27.235449, 10.488314, 381158.000000
4532.000000, 10.000000, 183.000000, 0, 0, 0, 0, 66709, 820, 0, 0, 0, 4225, 0, 2.844832, 2.247051, 385682.000000
5343.000000, 9.000000, 372.000000, 0, 0, 0, 0, 66709, 1564, 0, 0, 0, 8742, 0, 1.354160, 1.354160, 391017.000000
4694.000000, 9.000000, 65.000000, 0, 0, 0, 0, 66709, 1542, 0, 0, 0, 1240, 0, 4.654942, 1.680820, 395704.000000
4674.000000, 10.000000, 83.000000, 0, 0, 0, 0, 66709, 1078, 0, 0, 0, 1695, 0, 2.051365, 0.870312, 400370.000000
7707.000000, 9.000000, 21.000000, 0, 0, 0, 0, 66709, 13600, 0, 0, 0, 275, 0, 11.592715, 6.212248, 408070.000000
7767.000000, 10.000000, 130.000000, 0, 0, 0, 0, 66709, 13169, 0, 0, 0, 2240, 0, 2.325471, 2.277662, 415830.000000
4845.000000, 10.000000, 80.000000, 0, 0, 0, 0, 66709, 1579, 0, 0, 0, 1661, 0, 7.621712, 3.187462, 420667.000000
4867.000000, 10.000000, 125.000000, 0, 0, 0, 0, 66709, 896, 0, 0, 0, 2591, 0, 0.608701, 0.342386, 425527.000000
6566.000000, 9.000000, 20.000000, 0, 0, 0, 0, 66709, 7477, 0, 0, 0, 153, 0, 16.757267, 5.754169, 432086.000000
5465.000000, 10.000000, 15.000000, 0, 0, 0, 0, 66709, 3482, 0, 0, 0, 81, 0, 44.916191, 16.473316, 437543.000000
10364.000000, 11.000000, 1000.000000, 0, 0, 0, 0, 66709, 13818, 0, 0, 0, 7929, 0, 25.054131, 23.576351, 447898.000000
6177.000000, 17.000000, 167.000000, 0, 0, 0, 0, 66709, 1063, 0, 0, 0, 2060, 0, 0.446660, 0.381663, 454062.000000
6314.000000, 18.000000, 329.000000, 0, 0, 0, 0, 66709, 2357, 0, 0, 0, 4314, 0, 1.259464, 1.148154, 460362.000000
6659.000000, 25.000000, 340.000000, 0, 0, 0, 0, 66709, 1293, 0, 0, 0, 3080, 0, 0.291275, 0.254297, 467001.000000
8804.000000, 24.000000, 146.000000, 0, 0, 0, 0, 66709, 9929, 0, 0, 0, 826, 0, 9.277637, 9.277637, 475786.000000
19923.000000, 22.000000, 121.000000, 0, 0, 0, 0, 66709, 24189, 0, 0, 0, 296, 0, 92.907700, 76.521469, 495692.000000
6132.000000, 19.000000, 282.000000, 0, 0, 0, 0, 66709, 1414, 0, 0, 0, 3343, 0, 3.113205, 1.077951, 501810.000000
6330.000000, 19.000000, 740.000000, 0, 0, 0, 0, 66709, 1102, 0, 0, 0, 9091, 0, 0.756559, 0.484307, 508126.000000
37686.000000, 18.000000, 24.000000, 0, 0, 0, 0, 66709, 60218, 0, 0, 0, 26, 0, 327.558716, 164.311386, 545798.000000
9927.000000, 11.000000, 14.000000, 0, 0, 0, 0, 66709, 13355, 0, 0, 0, 41, 0, 108.667770, 70.845047, 555717.000000
5167.000000, 10.000000, 174.000000, 0, 0, 0, 0, 66709, 1959, 0, 0, 0, 3829, 0, 3.512525, 1.979427, 560877.000000
4912.000000, 10.000000, 150.000000, 0, 0, 0, 0, 66709, 634, 0, 0, 0, 3402, 0, 0.334792, 0.209112, 565781.000000
6651.000000, 10.000000, 18.000000, 0, 0, 0, 0, 66709, 6849, 0, 0, 0, 43, 0, 76.734673, 10.719604, 572425.000000
13726.000000, 10.000000, 12.000000, 0, 0, 0, 0, 66709, 25861, 0, 0, 0, 15, 0, 160.515228, 84.853859, 586144.000000
5165.000000, 11.000000, 102.000000, 0, 0, 0, 0, 66709, 1982, 0, 0, 0, 2105, 0, 3.118743, 1.683931, 591301.000000
5385.000000, 10.000000, 71.000000, 0, 0, 0, 0, 66709, 1267, 0, 0, 0, 1481, 0, 0.704195, 0.572744, 596678.000000
29948.000000, 10.000000, 18.000000, 0, 0, 0, 0, 66709, 58803, 0, 0, 0, 28, 0, 332.992859, 169.894394, 626618.000000
25944.000000, 11.000000, 32.000000, 0, 0, 0, 0, 66709, 56042, 0, 0, 0, 62, 0, 225.462891, 136.214310, 652554.000000
5333.000000, 11.000000, 148.000000, 0, 0, 0, 0, 66709, 2446, 0, 0, 0, 3343, 0, 2.046527, 1.332065, 657879.000000
13080.000000, 10.000000, 17.000000, 0, 0, 0, 0, 66709, 27696, 0, 0, 0, 32, 0, 87.725357, 74.293152, 670951.000000
5620.000000, 11.000000, 181.000000, 0, 0, 0, 0, 66709, 1691, 0, 0, 0, 3960, 0, 2.418155, 2.418155, 676563.000000
5618.000000, 10.000000, 49.000000, 0, 0, 0, 0, 66709, 2941, 0, 0, 0, 804, 0, 12.974253, 7.776399, 682174.000000
20196.000000, 12.000000, 19.000000, 0, 0, 0, 0, 66709, 29911, 0, 0, 0, 27, 0, 282.975250, 97.510429, 702361.000000
5358.000000, 11.000000, 354.000000, 0, 0, 0, 0, 66709, 453, 0, 0, 0, 8243, 0, 0.191052, 0.191052, 707711.000000
4821.000000, 10.000000, 186.000000, 0, 0, 0, 0, 66709, 575, 0, 0, 0, 4097, 0, 1.366258, 0.536909, 712524.000000
4825.000000, 9.000000, 48.000000, 0, 0, 0, 0, 66709, 1198, 0, 0, 0, 946, 0, 1.289574, 0.634296, 717342.000000
5346.000000, 10.000000, 321.000000, 0, 0, 0, 0, 66709, 1873, 0, 0, 0, 7377, 0, 4.086239, 2.675025, 722680.000000
10763.000000, 10.000000, 23.000000, 0, 0, 0, 0, 66709, 22598, 0, 0, 0, 45, 0, 175.697342, 91.622925, 733435.000000
4686.000000, 8.000000, 26.000000, 0, 0, 0, 0, 66709, 2065, 0, 0, 0, 503, 0, 6.676014, 3.527563, 738115.000000
59288.000000, 8.000000, 70.000000, 0, 0, 0, 0, 66709, 61519, 0, 0, 0, 149, 0, 386.793152, 256.000000, 797397.000000
6666.000000, 13.000000, 153.000000, 0, 0, 0, 0, 66709, 6448, 0, 0, 0, 2778, 0, 9.639903, 5.548815, 804054.000000
5875.000000, 13.000000, 56.000000, 0, 0, 0, 0, 66709, 2971, 0, 0, 0, 785, 0, 4.886647, 1.900783, 809919.000000
8601.000000, 14.000000, 131.000000, 0, 0, 0, 0, 66709, 12007, 0, 0, 0, 1860, 0, 2.619887, 1.533096, 818510.000000
5783.000000, 11.000000, 565.000000, 0, 0, 0, 0, 66709, 225, 0, 0, 0, 12109, 0, 0.127750, 0.105561, 824285.000000
14824.000000, 10.000000, 9.000000, 0, 0, 0, 0, 66709, 25768, 0, 0, 0, 10, 0, 269.760254, 64.466240, 839102.000000
13922.000000, 13.000000, 17.000000, 0, 0, 0, 0, 66709, 25151, 0, 0, 0, 33, 0, 64.254738, 47.349865, 853014.000000
5050.000000, 11.000000, 132.000000, 0, 0, 0, 0, 66709, 1735, 0, 0, 0, 2888, 0, 1.775454, 1.775454, 858057.000000
