querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
77485.000000, 13.000000, 106.000000, 0, 0, 0, 0, 65998, 63372, 0, 0, 0, 123, 0, 274.814240, 243.993118, 77477.000000
50094.000000, 12.000000, 61.000000, 0, 0, 0, 0, 65998, 62425, 0, 0, 0, 107, 0, 375.906982, 150.606842, 127562.000000
69800.000000, 12.000000, 31.000000, 0, 0, 0, 0, 65998, 63466, 0, 0, 0, 49, 0, 370.884003, 218.079254, 197354.000000
70197.000000, 11.000000, 27.000000, 0, 0, 0, 0, 65998, 63595, 0, 0, 0, 41, 0, 302.871826, 214.058014, 267543.000000
66111.000000, 11.000000, 21.000000, 0, 0, 0, 0, 65998, 63469, 0, 0, 0, 34, 0, 319.084137, 239.503143, 333645.000000
68398.000000, 11.000000, 34.000000, 0, 0, 0, 0, 65998, 63427, 0, 0, 0, 48, 0, 339.477112, 196.681702, 402036.000000
64674.000000, 11.000000, 27.000000, 0, 0, 0, 0, 65998, 63384, 0, 0, 0, 41, 0, 369.508118, 228.887695, 466704.000000
69026.000000, 10.000000, 53.000000, 0, 0, 0, 0, 65998, 63698, 0, 0, 0, 93, 0, 348.887665, 234.888641, 535723.000000
41947.000000, 12.000000, 16.000000, 0, 0, 0, 0, 65998, 61612, 0, 0, 0, 27, 0, 313.567444, 160.424606, 577662.000000
75544.000000, 11.000000, 81.000000, 0, 0, 0, 0, 65998, 63763, 0, 0, 0, 163, 0, 384.512756, 231.059952, 653198.000000
51493.000000, 12.000000, 175.000000, 0, 0, 0, 0, 65998, 61875, 0, 0, 0, 402, 0, 226.036774, 178.847961, 704683.000000
16171.000000, 12.000000, 74.000000, 0, 0, 0, 0, 65998, 33351, 0, 0, 0, 161, 0, 204.511719, 113.034195, 720846.000000
70555.000000, 10.000000, 43.000000, 0, 0, 0, 0, 65998, 63556, 0, 0, 0, 73, 0, 310.278442, 229.595108, 791394.000000
61061.000000, 11.000000, 23.000000, 0, 0, 0, 0, 65998, 63328, 0, 0, 0, 38, 0, 322.530701, 175.587906, 852447.000000
54576.000000, 9.000000, 128.000000, 0, 0, 0, 0, 65998, 62633, 0, 0, 0, 318, 0, 348.941162, 165.262939, 907017.000000
62787.000000, 11.000000, 12.000000, 0, 0, 0, 0, 65998, 63401, 0, 0, 0, 14, 0, 257.681244, 219.725189, 969796.000000
71853.000000, 10.000000, 58.000000, 0, 0, 0, 0, 65998, 63656, 0, 0, 0, 129, 0, 357.975739, 255.996674, 1041642.000000
73572.000000, 11.000000, 1042.000000, 0, 0, 0, 0, 65998, 63337, 0, 0, 0, 2682, 0, 285.686615, 236.959122, 1115207.000000
70909.000000, 10.000000, 52.000000, 0, 0, 0, 0, 65998, 63676, 0, 0, 0, 85, 0, 310.751526, 255.837036, 1186110.000000
67188.000000, 11.000000, 53.000000, 0, 0, 0, 0, 65998, 63368, 0, 0, 0, 89, 0, 389.261017, 216.517807, 1253292.000000
77174.000000, 10.000000, 101.000000, 0, 0, 0, 0, 65998, 63796, 0, 0, 0, 208, 0, 374.319427, 256.000671, 1330459.000000
60790.000000, 10.000000, 27.000000, 0, 0, 0, 0, 65998, 63363, 0, 0, 0, 51, 0, 373.866425, 187.160324, 1391242.000000
72245.000000, 11.000000, 82.000000, 0, 0, 0, 0, 65998, 63307, 0, 0, 0, 174, 0, 371.419891, 232.524597, 1463480.000000
74400.000000, 10.000000, 29.000000, 0, 0, 0, 0, 65998, 63737, 0, 0, 0, 49, 0, 397.816986, 250.405807, 1537874.000000
48939.000000, 11.000000, 28.000000, 0, 0, 0, 0, 65998, 61905, 0, 0, 0, 47, 0, 252.501526, 190.958176, 1586806.000000
78080.000000, 10.000000, 63.000000, 0, 0, 0, 0, 65998, 63824, 0, 0, 0, 111, 0, 362.543335, 243.094238, 1664879.000000
67350.000000, 11.000000, 63.000000, 0, 0, 0, 0, 65998, 63323, 0, 0, 0, 121, 0, 331.212494, 236.400620, 1732221.000000
57255.000000, 9.000000, 12.000000, 0, 0, 0, 0, 65998, 63119, 0, 0, 0, 17, 0, 404.144745, 215.161865, 1789471.000000
24839.000000, 11.000000, 84.000000, 0, 0, 0, 0, 65998, 50487, 0, 0, 0, 166, 0, 277.762421, 87.816536, 1814303.000000
49793.000000, 11.000000, 45.000000, 0, 0, 0, 0, 65998, 62234, 0, 0, 0, 77, 0, 294.807800, 122.827507, 1864089.000000
71822.000000, 9.000000, 60.000000, 0, 0, 0, 0, 65998, 63534, 0, 0, 0, 115, 0, 331.679047, 230.207031, 1935905.000000
44024.000000, 10.000000, 11.000000, 0, 0, 0, 0, 65998, 61577, 0, 0, 0, 16, 0, 290.337738, 157.214432, 1979923.000000
32644.000000, 15.000000, 38.000000, 0, 0, 0, 0, 65998, 57891, 0, 0, 0, 60, 0, 202.788010, 121.485962, 2012556.000000
59641.000000, 11.000000, 509.000000, 0, 0, 0, 0, 65998, 62214, 0, 0, 0, 1102, 0, 184.194824, 109.317291, 2072190.000000
66991.000000, 10.000000, 29.000000, 0, 0, 0, 0, 65998, 63332, 0, 0, 0, 45, 0, 352.308258, 199.947586, 2139174.000000
72652.000000, 10.000000, 27.000000, 0, 0, 0, 0, 65998, 63613, 0, 0, 0, 40, 0, 392.206268, 223.902496, 2211820.000000
54871.000000, 14.000000, 22.000000, 0, 0, 0, 0, 65998, 62834, 0, 0, 0, 32, 0, 222.454575, 217.547638, 2266682.000000
54745.000000, 10.000000, 49.000000, 0, 0, 0, 0, 65998, 62588, 0, 0, 0, 86, 0, 258.422058, 192.676620, 2321421.000000
53475.000000, 11.000000, 9.000000, 0, 0, 0, 0, 65998, 62685, 0, 0, 0, 11, 0, 315.148987, 190.665359, 2374889.000000
64192.000000, 11.000000, 68.000000, 0, 0, 0, 0, 65998, 63003, 0, 0, 0, 120, 0, 365.796173, 135.844391, 2439074.000000
45171.000000, 10.000000, 45.000000, 0, 0, 0, 0, 65998, 61976, 0, 0, 0, 83, 0, 381.164703, 143.709915, 2484239.000000
68887.000000, 10.000000, 106.000000, 0, 0, 0, 0, 65998, 63528, 0, 0, 0, 239, 0, 335.593506, 220.630966, 2553120.000000
55431.000000, 10.000000, 108.000000, 0, 0, 0, 0, 65998, 62485, 0, 0, 0, 205, 0, 154.049911, 107.220512, 2608545.000000
