querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
687739.000000, 15.000000, 889.000000, 0, 0, 0, 0, 68808, 67009, 0, 0, 0, 1203, 0, 162.599182, 135.980804, 687730.000000
54218.000000, 10.000000, 640.000000, 0, 0, 0, 0, 68808, 19580, 0, 0, 0, 6339, 0, 39.084484, 35.997322, 741941.000000
519822.000000, 9.000000, 940.000000, 0, 0, 0, 0, 68808, 66903, 0, 0, 0, 4103, 0, 144.586960, 121.714340, 1261757.000000
38756.000000, 9.000000, 721.000000, 0, 0, 0, 0, 68808, 13034, 0, 0, 0, 7161, 0, 39.568897, 33.050213, 1300507.000000
701755.000000, 12.000000, 2094.000000, 0, 0, 0, 0, 68808, 66975, 0, 0, 0, 7424, 0, 167.977951, 133.919449, 2002255.000000
49838.000000, 9.000000, 522.000000, 0, 0, 0, 0, 68808, 17439, 0, 0, 0, 4276, 0, 39.098442, 37.562798, 2052088.000000
684615.000000, 9.000000, 403.000000, 0, 0, 0, 0, 68808, 66985, 0, 0, 0, 1473, 0, 169.431808, 141.361832, 2736697.000000
61850.000000, 9.000000, 480.000000, 0, 0, 0, 0, 68808, 20412, 0, 0, 0, 3214, 0, 43.867111, 37.818684, 2798540.000000
759184.000000, 9.000000, 2806.000000, 0, 0, 0, 0, 68808, 66980, 0, 0, 0, 13286, 0, 161.333923, 142.787064, 3557718.000000
60894.000000, 21.000000, 2361.000000, 0, 0, 0, 0, 68808, 19423, 0, 0, 0, 7161, 0, 43.086773, 38.735657, 3618599.000000
767392.000000, 11.000000, 424.000000, 0, 0, 0, 0, 68808, 66974, 0, 0, 0, 1338, 0, 157.307755, 147.225861, 4385985.000000
37839.000000, 10.000000, 664.000000, 0, 0, 0, 0, 68808, 14071, 0, 0, 0, 5243, 0, 38.500221, 33.858292, 4423818.000000
710091.000000, 9.000000, 2310.000000, 0, 0, 0, 0, 68808, 66978, 0, 0, 0, 11918, 0, 156.569138, 146.604691, 5133903.000000
49279.000000, 9.000000, 528.000000, 0, 0, 0, 0, 68808, 17067, 0, 0, 0, 3770, 0, 47.698395, 36.259361, 5183177.000000
721230.000000, 10.000000, 112.000000, 0, 0, 0, 0, 68808, 66978, 0, 0, 0, 276, 0, 179.272964, 141.119568, 5904401.000000
52559.000000, 10.000000, 573.000000, 0, 0, 0, 0, 68808, 18234, 0, 0, 0, 3976, 0, 47.943886, 39.176807, 5956953.000000
755559.000000, 9.000000, 623.000000, 0, 0, 0, 0, 68808, 67010, 0, 0, 0, 2380, 0, 169.937820, 153.828033, 6712507.000000
40049.000000, 10.000000, 705.000000, 0, 0, 0, 0, 68808, 15847, 0, 0, 0, 6801, 0, 35.976173, 33.522598, 6752550.000000
761436.000000, 10.000000, 1810.000000, 0, 0, 0, 0, 68808, 66976, 0, 0, 0, 7581, 0, 173.572769, 148.015671, 7513979.000000
57742.000000, 10.000000, 732.000000, 0, 0, 0, 0, 68808, 18445, 0, 0, 0, 6801, 0, 39.799843, 35.467789, 7571714.000000
723037.000000, 9.000000, 1921.000000, 0, 0, 0, 0, 68808, 66977, 0, 0, 0, 8292, 0, 147.707169, 144.147156, 8294745.000000
28860.000000, 10.000000, 423.000000, 0, 0, 0, 0, 68808, 11271, 0, 0, 0, 4276, 0, 29.399590, 26.935043, 8323600.000000
776081.000000, 9.000000, 1090.000000, 0, 0, 0, 0, 68808, 66969, 0, 0, 0, 4483, 0, 176.079178, 145.101196, 9099675.000000
42938.000000, 9.000000, 613.000000, 0, 0, 0, 0, 68808, 16302, 0, 0, 0, 6278, 0, 38.038025, 37.071327, 9142607.000000
736916.000000, 10.000000, 798.000000, 0, 0, 0, 0, 68808, 67004, 0, 0, 0, 2962, 0, 166.643921, 148.147324, 9879517.000000
57567.000000, 12.000000, 561.000000, 0, 0, 0, 0, 68808, 19608, 0, 0, 0, 6278, 0, 37.968620, 33.610691, 9937076.000000
734815.000000, 9.000000, 478.000000, 0, 0, 0, 0, 68808, 66965, 0, 0, 0, 1767, 0, 161.231934, 143.996567, 10671886.000000
29323.000000, 10.000000, 621.000000, 0, 0, 0, 0, 68808, 10582, 0, 0, 0, 6495, 0, 39.407734, 30.574602, 10701203.000000
747444.000000, 12.000000, 588.000000, 0, 0, 0, 0, 68808, 66984, 0, 0, 0, 2213, 0, 161.951630, 143.262451, 11448640.000000
26079.000000, 11.000000, 434.000000, 0, 0, 0, 0, 68808, 8240, 0, 0, 0, 4276, 0, 33.783905, 30.535423, 11474713.000000
748343.000000, 10.000000, 188.000000, 0, 0, 0, 0, 68808, 67001, 0, 0, 0, 708, 0, 161.985825, 148.748550, 12223050.000000
42105.000000, 9.000000, 292.000000, 0, 0, 0, 0, 68808, 16241, 0, 0, 0, 2638, 0, 35.696968, 33.535660, 12265149.000000
750868.000000, 10.000000, 515.000000, 0, 0, 0, 0, 68808, 66972, 0, 0, 0, 2036, 0, 167.359955, 150.166672, 13016012.000000
48958.000000, 10.000000, 604.000000, 0, 0, 0, 0, 68808, 13580, 0, 0, 0, 3976, 0, 45.117458, 36.541492, 13064963.000000
697582.000000, 11.000000, 1464.000000, 0, 0, 0, 0, 68808, 66950, 0, 0, 0, 6758, 0, 155.516464, 135.990601, 13762538.000000
38681.000000, 10.000000, 551.000000, 0, 0, 0, 0, 68808, 13594, 0, 0, 0, 5010, 0, 38.132080, 31.092829, 13801212.000000
722289.000000, 13.000000, 474.000000, 0, 0, 0, 0, 68808, 66966, 0, 0, 0, 1779, 0, 166.623596, 145.601181, 14523493.000000
56617.000000, 10.000000, 374.000000, 0, 0, 0, 0, 68808, 19893, 0, 0, 0, 3196, 0, 40.752796, 32.787247, 14580103.000000
744578.000000, 11.000000, 111.000000, 0, 0, 0, 0, 68808, 66953, 0, 0, 0, 310, 0, 159.194687, 141.528687, 15324675.000000
51574.000000, 10.000000, 403.000000, 0, 0, 0, 0, 68808, 18187, 0, 0, 0, 3196, 0, 38.021542, 36.500233, 15376243.000000
764593.000000, 9.000000, 460.000000, 0, 0, 0, 0, 68808, 67005, 0, 0, 0, 1700, 0, 164.368851, 143.299927, 16140830.000000
38877.000000, 10.000000, 482.000000, 0, 0, 0, 0, 68808, 13437, 0, 0, 0, 4276, 0, 34.941326, 34.305611, 16179701.000000
712573.000000, 10.000000, 1640.000000, 0, 0, 0, 0, 68808, 66968, 0, 0, 0, 7000, 0, 157.166351, 143.378586, 16892268.000000
47215.000000, 9.000000, 857.000000, 0, 0, 0, 0, 68808, 13504, 0, 0, 0, 7856, 0, 42.170994, 32.568268, 16939477.000000
736111.000000, 13.000000, 188.000000, 0, 0, 0, 0, 68808, 66998, 0, 0, 0, 562, 0, 167.999741, 143.950912, 17675580.000000
60803.000000, 10.000000, 732.000000, 0, 0, 0, 0, 68808, 19594, 0, 0, 0, 6801, 0, 41.076302, 38.204144, 17736377.000000
697776.000000, 10.000000, 778.000000, 0, 0, 0, 0, 68808, 66937, 0, 0, 0, 3100, 0, 160.107773, 137.744781, 18434145.000000
43315.000000, 9.000000, 307.000000, 0, 0, 0, 0, 68808, 16261, 0, 0, 0, 2638, 0, 38.719833, 37.634186, 18477454.000000
764876.000000, 12.000000, 1500.000000, 0, 0, 0, 0, 68808, 66992, 0, 0, 0, 6480, 0, 174.628189, 145.736649, 19242323.000000
24048.000000, 10.000000, 493.000000, 0, 0, 0, 0, 68808, 8121, 0, 0, 0, 6801, 0, 28.365290, 26.075552, 19266365.000000
691031.000000, 11.000000, 113.000000, 0, 0, 0, 0, 68808, 66997, 0, 0, 0, 320, 0, 154.280106, 137.243423, 19957390.000000
42793.000000, 10.000000, 421.000000, 0, 0, 0, 0, 68808, 15414, 0, 0, 0, 4194, 0, 32.985802, 32.985802, 20000176.000000
716230.000000, 10.000000, 177.000000, 0, 0, 0, 0, 68808, 66968, 0, 0, 0, 532, 0, 174.716232, 136.598022, 20716400.000000
43319.000000, 12.000000, 440.000000, 0, 0, 0, 0, 68808, 16273, 0, 0, 0, 3965, 0, 39.848087, 35.370789, 20759712.000000
736140.000000, 10.000000, 3189.000000, 0, 0, 0, 0, 68808, 66974, 0, 0, 0, 14753, 0, 145.816116, 140.803589, 21495844.000000
58417.000000, 12.000000, 457.000000, 0, 0, 0, 0, 68808, 20512, 0, 0, 0, 4276, 0, 35.165745, 33.801830, 21554253.000000
745125.000000, 10.000000, 3432.000000, 0, 0, 0, 0, 68808, 66968, 0, 0, 0, 13764, 0, 177.802444, 136.411774, 22299372.000000
35850.000000, 12.000000, 490.000000, 0, 0, 0, 0, 68808, 11139, 0, 0, 0, 3241, 0, 55.374146, 31.333813, 22335215.000000
689985.000000, 12.000000, 352.000000, 0, 0, 0, 0, 68808, 66950, 0, 0, 0, 1065, 0, 168.471573, 126.075058, 23025192.000000
43044.000000, 20.000000, 1416.000000, 0, 0, 0, 0, 68808, 10897, 0, 0, 0, 3770, 0, 44.685123, 33.769020, 23068224.000000
732399.000000, 11.000000, 341.000000, 0, 0, 0, 0, 68808, 66988, 0, 0, 0, 1025, 0, 173.142822, 141.203354, 23800616.000000
67029.000000, 10.000000, 344.000000, 0, 0, 0, 0, 68808, 21447, 0, 0, 0, 2209, 0, 49.708199, 39.731773, 23867639.000000
771255.000000, 13.000000, 543.000000, 0, 0, 0, 0, 68808, 66999, 0, 0, 0, 1872, 0, 181.488312, 146.000046, 24638886.000000
53354.000000, 9.000000, 532.000000, 0, 0, 0, 0, 68808, 15881, 0, 0, 0, 3392, 0, 51.316273, 38.518738, 24692234.000000
730278.000000, 14.000000, 1069.000000, 0, 0, 0, 0, 68808, 66971, 0, 0, 0, 4256, 0, 157.937622, 144.860107, 25422504.000000
30876.000000, 10.000000, 650.000000, 0, 0, 0, 0, 68808, 8861, 0, 0, 0, 7161, 0, 39.179623, 29.151140, 25453373.000000
757671.000000, 11.000000, 803.000000, 0, 0, 0, 0, 68808, 66999, 0, 0, 0, 3139, 0, 156.587616, 141.681961, 26211036.000000
45829.000000, 10.000000, 547.000000, 0, 0, 0, 0, 68808, 15379, 0, 0, 0, 4276, 0, 36.114731, 36.114731, 26256858.000000
774640.000000, 10.000000, 1069.000000, 0, 0, 0, 0, 68808, 66992, 0, 0, 0, 4220, 0, 167.359818, 146.662613, 27031492.000000
40283.000000, 9.000000, 752.000000, 0, 0, 0, 0, 68808, 15536, 0, 0, 0, 6801, 0, 39.424816, 32.417320, 27071769.000000
674044.000000, 10.000000, 1648.000000, 0, 0, 0, 0, 68808, 66968, 0, 0, 0, 6980, 0, 158.039337, 139.801132, 27745808.000000
71615.000000, 10.000000, 398.000000, 0, 0, 0, 0, 68808, 23890, 0, 0, 0, 3196, 0, 42.571518, 37.866272, 27817417.000000
617879.000000, 10.000000, 800.000000, 0, 0, 0, 0, 68808, 66937, 0, 0, 0, 3030, 0, 155.001236, 127.327995, 28435290.000000
42446.000000, 10.000000, 564.000000, 0, 0, 0, 0, 68808, 16218, 0, 0, 0, 3976, 0, 43.110149, 35.456440, 28477730.000000
728870.000000, 13.000000, 1167.000000, 0, 0, 0, 0, 68808, 66986, 0, 0, 0, 4697, 0, 164.548141, 137.852692, 29206592.000000
45389.000000, 11.000000, 600.000000, 0, 0, 0, 0, 68808, 16765, 0, 0, 0, 3976, 0, 45.820892, 35.730820, 29251974.000000
722799.000000, 10.000000, 1458.000000, 0, 0, 0, 0, 68808, 66960, 0, 0, 0, 7195, 0, 146.155487, 144.250473, 29974766.000000
27861.000000, 8.000000, 243.000000, 0, 0, 0, 0, 68808, 9435, 0, 0, 0, 2209, 0, 37.965206, 29.007755, 30002622.000000
