querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
12384.000000, 12.000000, 1596.000000, 0, 0, 0, 0, 48023, 1519, 0, 0, 0, 3221, 0, 17.696831, 17.696831, 12375.000000
12012.000000, 17.000000, 966.000000, 0, 0, 0, 0, 48023, 1479, 0, 0, 0, 2201, 0, 14.898204, 14.898204, 24374.000000
28688.000000, 13.000000, 606.000000, 0, 0, 0, 0, 48023, 9252, 0, 0, 0, 1529, 0, 17.828831, 17.828831, 53052.000000
106800.000000, 8.000000, 0.000000, 0, 0, 0, 0, 48023, 16751, 0, 0, 0, 0, 0, 15.856450, 15.856450, 159847.000000
18268.000000, 9.000000, 49.000000, 0, 0, 0, 0, 48023, 3778, 0, 0, 0, 149, 0, 378.647919, 14.364668, 178109.000000
37305.000000, 9.000000, 690.000000, 0, 0, 0, 0, 48023, 12741, 0, 0, 0, 2783, 0, 406.383209, 15.054004, 215408.000000
60888.000000, 9.000000, 434.000000, 0, 0, 0, 0, 48023, 19345, 0, 0, 0, 1688, 0, 415.582886, 16.723976, 276289.000000
65871.000000, 9.000000, 0.000000, 0, 0, 0, 0, 48023, 4049, 0, 0, 0, 0, 0, 182.948624, 16.485147, 342155.000000
85921.000000, 11.000000, 0.000000, 0, 0, 0, 0, 48023, 13729, 0, 0, 0, 0, 0, 393.280945, 15.144854, 428068.000000
57548.000000, 9.000000, 435.000000, 0, 0, 0, 0, 48023, 17249, 0, 0, 0, 1702, 0, 453.211731, 15.658474, 485610.000000
16991.000000, 10.000000, 3.000000, 0, 0, 0, 0, 48023, 3693, 0, 0, 0, 4, 0, 537.841980, 14.940656, 502595.000000
36115.000000, 9.000000, 5.000000, 0, 0, 0, 0, 48023, 10953, 0, 0, 0, 6, 0, 500.184265, 14.938226, 538704.000000
72522.000000, 13.000000, 1.000000, 0, 0, 0, 0, 48023, 6452, 0, 0, 0, 0, 0, 14.115511, 14.115511, 611217.000000
22367.000000, 8.000000, 80.000000, 0, 0, 0, 0, 48023, 6608, 0, 0, 0, 257, 0, 508.313232, 16.976398, 633578.000000
12844.000000, 9.000000, 526.000000, 0, 0, 0, 0, 48023, 2896, 0, 0, 0, 2115, 0, 456.851410, 15.534549, 646416.000000
15184.000000, 9.000000, 584.000000, 0, 0, 0, 0, 48023, 4299, 0, 0, 0, 7525, 0, 15.949063, 15.949063, 661594.000000
5902.000000, 9.000000, 803.000000, 0, 0, 0, 0, 48023, 669, 0, 0, 0, 3139, 0, 20.205744, 20.205744, 667490.000000
7701.000000, 7.000000, 368.000000, 0, 0, 0, 0, 48023, 1540, 0, 0, 0, 1801, 0, 16.048643, 16.048643, 675186.000000
9857.000000, 8.000000, 213.000000, 0, 0, 0, 0, 48023, 1431, 0, 0, 0, 843, 0, 405.629486, 15.684227, 685038.000000
6765.000000, 11.000000, 596.000000, 0, 0, 0, 0, 48023, 1037, 0, 0, 0, 3340, 0, 16.539320, 16.539320, 691795.000000
50712.000000, 11.000000, 559.000000, 0, 0, 0, 0, 48023, 14615, 0, 0, 0, 2249, 0, 16.588627, 16.588627, 742499.000000
15147.000000, 10.000000, 462.000000, 0, 0, 0, 0, 48023, 1598, 0, 0, 0, 1659, 0, 428.198334, 15.140232, 757639.000000
36718.000000, 9.000000, 267.000000, 0, 0, 0, 0, 48023, 11420, 0, 0, 0, 1024, 0, 81.228676, 15.695456, 794351.000000
12552.000000, 9.000000, 417.000000, 0, 0, 0, 0, 48023, 3556, 0, 0, 0, 3591, 0, 14.916829, 14.916829, 806897.000000
9468.000000, 9.000000, 204.000000, 0, 0, 0, 0, 48023, 2061, 0, 0, 0, 803, 0, 17.794754, 17.794754, 816359.000000
18110.000000, 9.000000, 245.000000, 0, 0, 0, 0, 48023, 5283, 0, 0, 0, 2330, 0, 16.199396, 16.199396, 834462.000000
21568.000000, 10.000000, 1361.000000, 0, 0, 0, 0, 48023, 3987, 0, 0, 0, 4889, 0, 451.736389, 15.173078, 856023.000000
13800.000000, 10.000000, 23.000000, 0, 0, 0, 0, 48023, 2834, 0, 0, 0, 53, 0, 400.274292, 15.217175, 869816.000000
10495.000000, 10.000000, 207.000000, 0, 0, 0, 0, 48023, 2971, 0, 0, 0, 802, 0, 14.971380, 14.971380, 880304.000000
14431.000000, 10.000000, 33.000000, 0, 0, 0, 0, 48023, 1913, 0, 0, 0, 67, 0, 384.063599, 16.667353, 894728.000000
51907.000000, 10.000000, 318.000000, 0, 0, 0, 0, 48023, 13821, 0, 0, 0, 2180, 0, 15.558429, 15.558429, 946628.000000
10503.000000, 9.000000, 2424.000000, 0, 0, 0, 0, 48023, 1726, 0, 0, 0, 10187, 0, 13.905422, 13.905422, 957125.000000
92914.000000, 9.000000, 1.000000, 0, 0, 0, 0, 48023, 10426, 0, 0, 0, 0, 0, 14.534401, 14.534401, 1050033.000000
45372.000000, 10.000000, 14.000000, 0, 0, 0, 0, 48023, 14746, 0, 0, 0, 37, 0, 17.560816, 17.560816, 1095398.000000
42400.000000, 9.000000, 102.000000, 0, 0, 0, 0, 48023, 13878, 0, 0, 0, 354, 0, 489.722626, 15.518352, 1137792.000000
19652.000000, 9.000000, 63.000000, 0, 0, 0, 0, 48023, 5297, 0, 0, 0, 984, 0, 19.058027, 19.058027, 1157437.000000
31708.000000, 10.000000, 8.000000, 0, 0, 0, 0, 48023, 10360, 0, 0, 0, 13, 0, 445.266052, 16.948715, 1189138.000000
60292.000000, 8.000000, 13.000000, 0, 0, 0, 0, 48023, 19325, 0, 0, 0, 37, 0, 17.251123, 17.251123, 1249424.000000
117603.000000, 9.000000, 667.000000, 0, 0, 0, 0, 48023, 40890, 0, 0, 0, 2420, 0, 482.794769, 16.809704, 1367021.000000
15276.000000, 9.000000, 812.000000, 0, 0, 0, 0, 48023, 3291, 0, 0, 0, 9997, 0, 15.718810, 15.718810, 1382291.000000
20089.000000, 12.000000, 5.000000, 0, 0, 0, 0, 48023, 5630, 0, 0, 0, 2, 0, 487.207458, 16.938984, 1402372.000000
33908.000000, 9.000000, 224.000000, 0, 0, 0, 0, 48023, 11156, 0, 0, 0, 3170, 0, 15.584030, 15.584030, 1436274.000000
40706.000000, 9.000000, 608.000000, 0, 0, 0, 0, 48023, 12341, 0, 0, 0, 2047, 0, 523.908691, 15.348604, 1476973.000000
13804.000000, 10.000000, 529.000000, 0, 0, 0, 0, 48023, 1806, 0, 0, 0, 1873, 0, 421.183716, 14.753498, 1490770.000000
14114.000000, 9.000000, 22.000000, 0, 0, 0, 0, 48023, 5371, 0, 0, 0, 56, 0, 15.072355, 15.072355, 1504877.000000
22076.000000, 10.000000, 504.000000, 0, 0, 0, 0, 48023, 7360, 0, 0, 0, 2060, 0, 17.910053, 17.910053, 1526946.000000
4963.000000, 9.000000, 587.000000, 0, 0, 0, 0, 48023, 416, 0, 0, 0, 3377, 0, 16.090786, 16.090786, 1531903.000000
15666.000000, 7.000000, 236.000000, 0, 0, 0, 0, 48023, 5338, 0, 0, 0, 941, 0, 14.569680, 14.569680, 1547564.000000
9604.000000, 8.000000, 578.000000, 0, 0, 0, 0, 48023, 2502, 0, 0, 0, 3767, 0, 17.636322, 17.636322, 1557163.000000
74471.000000, 13.000000, 0.000000, 0, 0, 0, 0, 48023, 3535, 0, 0, 0, 0, 0, 18.431206, 18.431206, 1631625.000000
18729.000000, 10.000000, 204.000000, 0, 0, 0, 0, 48023, 5047, 0, 0, 0, 807, 0, 13.573879, 13.573879, 1650347.000000
45006.000000, 10.000000, 677.000000, 0, 0, 0, 0, 48023, 16225, 0, 0, 0, 3734, 0, 15.641743, 15.641743, 1695346.000000
14447.000000, 9.000000, 483.000000, 0, 0, 0, 0, 48023, 1994, 0, 0, 0, 1682, 0, 412.672150, 15.386155, 1709787.000000
8869.000000, 9.000000, 665.000000, 0, 0, 0, 0, 48023, 2001, 0, 0, 0, 2728, 0, 13.919651, 13.919651, 1718650.000000
50181.000000, 10.000000, 609.000000, 0, 0, 0, 0, 48023, 16604, 0, 0, 0, 2055, 0, 414.946350, 17.596750, 1768824.000000
20676.000000, 9.000000, 1353.000000, 0, 0, 0, 0, 48023, 4398, 0, 0, 0, 4958, 0, 466.571198, 16.382133, 1789493.000000
8182.000000, 12.000000, 114.000000, 0, 0, 0, 0, 48023, 1835, 0, 0, 0, 1865, 0, 16.046892, 16.046892, 1797666.000000
24164.000000, 12.000000, 86.000000, 0, 0, 0, 0, 48023, 7115, 0, 0, 0, 968, 0, 15.370667, 15.370667, 1821822.000000
89893.000000, 10.000000, 3.000000, 0, 0, 0, 0, 48023, 31102, 0, 0, 0, 4, 0, 461.662537, 18.061523, 1911708.000000
