querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
972083.000000, 11.000000, 699.000000, 0, 0, 0, 0, 65798, 65451, 0, 0, 0, 962, 0, 299.458435, 217.268478, 972076.000000
604791.000000, 9.000000, 987.000000, 0, 0, 0, 0, 65798, 65376, 0, 0, 0, 3419, 0, 216.131851, 147.639908, 1576861.000000
243728.000000, 10.000000, 295.000000, 0, 0, 0, 0, 65798, 59192, 0, 0, 0, 932, 0, 250.715240, 124.486542, 1820581.000000
683421.000000, 9.000000, 345.000000, 0, 0, 0, 0, 65798, 65358, 0, 0, 0, 1035, 0, 256.850098, 184.155075, 2503995.000000
117202.000000, 9.000000, 965.000000, 0, 0, 0, 0, 65798, 46444, 0, 0, 0, 3993, 0, 131.887695, 120.844963, 2621190.000000
304971.000000, 10.000000, 262.000000, 0, 0, 0, 0, 65798, 65120, 0, 0, 0, 775, 0, 224.032104, 127.045837, 2926153.000000
724273.000000, 13.000000, 506.000000, 0, 0, 0, 0, 65798, 65358, 0, 0, 0, 1460, 0, 253.496323, 167.251022, 3650417.000000
499447.000000, 10.000000, 1477.000000, 0, 0, 0, 0, 65798, 65273, 0, 0, 0, 5089, 0, 171.615814, 154.674927, 4149857.000000
689406.000000, 11.000000, 242.000000, 0, 0, 0, 0, 65798, 65362, 0, 0, 0, 701, 0, 289.630859, 162.522430, 4839255.000000
16960.000000, 10.000000, 123.000000, 0, 0, 0, 0, 65798, 8061, 0, 0, 0, 1013, 0, 105.501411, 41.256969, 4856207.000000
752748.000000, 9.000000, 634.000000, 0, 0, 0, 0, 65798, 65361, 0, 0, 0, 2064, 0, 239.878052, 165.862061, 5608949.000000
861172.000000, 9.000000, 282.000000, 0, 0, 0, 0, 65798, 65409, 0, 0, 0, 840, 0, 261.787842, 184.297760, 6470114.000000
703363.000000, 10.000000, 683.000000, 0, 0, 0, 0, 65798, 65380, 0, 0, 0, 2201, 0, 257.471039, 157.931183, 7173470.000000
506752.000000, 9.000000, 306.000000, 0, 0, 0, 0, 65798, 65279, 0, 0, 0, 930, 0, 284.128998, 130.274887, 7680216.000000
323670.000000, 9.000000, 518.000000, 0, 0, 0, 0, 65798, 65081, 0, 0, 0, 1716, 0, 170.003098, 127.069687, 8003879.000000
763984.000000, 10.000000, 343.000000, 0, 0, 0, 0, 65798, 65362, 0, 0, 0, 1079, 0, 242.651550, 179.548889, 8767856.000000
695920.000000, 9.000000, 233.000000, 0, 0, 0, 0, 65798, 65365, 0, 0, 0, 657, 0, 289.605652, 170.973923, 9463770.000000
1066255.000000, 10.000000, 320.000000, 0, 0, 0, 0, 65798, 65446, 0, 0, 0, 990, 0, 285.992523, 248.867737, 10530017.000000
538957.000000, 10.000000, 254.000000, 0, 0, 0, 0, 65798, 65317, 0, 0, 0, 711, 0, 331.209534, 143.385254, 11068968.000000
971744.000000, 11.000000, 451.000000, 0, 0, 0, 0, 65798, 65403, 0, 0, 0, 1439, 0, 257.418976, 205.413010, 12040704.000000
744311.000000, 9.000000, 254.000000, 0, 0, 0, 0, 65798, 65382, 0, 0, 0, 734, 0, 279.254242, 182.777634, 12785009.000000
783731.000000, 14.000000, 2699.000000, 0, 0, 0, 0, 65798, 65377, 0, 0, 0, 9406, 0, 252.729691, 190.047424, 13568731.000000
735814.000000, 9.000000, 281.000000, 0, 0, 0, 0, 65798, 65377, 0, 0, 0, 856, 0, 302.095428, 175.201584, 14304538.000000
410547.000000, 9.000000, 544.000000, 0, 0, 0, 0, 65798, 65164, 0, 0, 0, 1780, 0, 235.471024, 141.163971, 14715080.000000
746451.000000, 10.000000, 230.000000, 0, 0, 0, 0, 65798, 65369, 0, 0, 0, 678, 0, 251.524796, 171.076935, 15461524.000000
858388.000000, 21.000000, 1495.000000, 0, 0, 0, 0, 65798, 65398, 0, 0, 0, 2303, 0, 282.338501, 201.524384, 16319901.000000
764099.000000, 10.000000, 248.000000, 0, 0, 0, 0, 65798, 65378, 0, 0, 0, 676, 0, 330.687775, 162.945312, 17083993.000000
754028.000000, 10.000000, 932.000000, 0, 0, 0, 0, 65798, 65370, 0, 0, 0, 3091, 0, 241.223755, 194.481171, 17838014.000000
926573.000000, 11.000000, 611.000000, 0, 0, 0, 0, 65798, 65409, 0, 0, 0, 1922, 0, 300.750977, 209.982544, 18764579.000000
673122.000000, 11.000000, 309.000000, 0, 0, 0, 0, 65798, 65298, 0, 0, 0, 930, 0, 287.490967, 157.164444, 19437692.000000
558893.000000, 11.000000, 1180.000000, 0, 0, 0, 0, 65798, 65331, 0, 0, 0, 4573, 0, 159.411469, 131.958099, 19996577.000000
867110.000000, 10.000000, 343.000000, 0, 0, 0, 0, 65798, 65403, 0, 0, 0, 1007, 0, 323.081665, 176.389221, 20863681.000000
756079.000000, 19.000000, 500.000000, 0, 0, 0, 0, 65798, 65363, 0, 0, 0, 688, 0, 278.789795, 175.430084, 21619749.000000
847173.000000, 10.000000, 298.000000, 0, 0, 0, 0, 65798, 65419, 0, 0, 0, 881, 0, 265.953705, 191.212784, 22466916.000000
743227.000000, 11.000000, 296.000000, 0, 0, 0, 0, 65798, 65383, 0, 0, 0, 863, 0, 298.299225, 163.357941, 23210136.000000
809816.000000, 10.000000, 272.000000, 0, 0, 0, 0, 65798, 65400, 0, 0, 0, 754, 0, 306.593018, 183.865021, 24019945.000000
492538.000000, 10.000000, 355.000000, 0, 0, 0, 0, 65798, 65240, 0, 0, 0, 1031, 0, 221.166061, 154.893799, 24512477.000000
667438.000000, 11.000000, 561.000000, 0, 0, 0, 0, 65798, 65359, 0, 0, 0, 1744, 0, 306.170593, 174.735199, 25179907.000000
717187.000000, 10.000000, 321.000000, 0, 0, 0, 0, 65798, 65370, 0, 0, 0, 983, 0, 244.372223, 174.501205, 25897088.000000
884697.000000, 19.000000, 415.000000, 0, 0, 0, 0, 65798, 65379, 0, 0, 0, 1237, 0, 320.635406, 190.393555, 26781777.000000
528846.000000, 9.000000, 1567.000000, 0, 0, 0, 0, 65798, 65306, 0, 0, 0, 5281, 0, 187.966476, 106.782013, 27310617.000000
534413.000000, 10.000000, 312.000000, 0, 0, 0, 0, 65798, 65302, 0, 0, 0, 889, 0, 245.843521, 163.529907, 27845024.000000
626683.000000, 11.000000, 271.000000, 0, 0, 0, 0, 65798, 65326, 0, 0, 0, 784, 0, 327.944153, 140.182266, 28471698.000000
235317.000000, 14.000000, 279.000000, 0, 0, 0, 0, 65798, 56914, 0, 0, 0, 772, 0, 191.104858, 119.883583, 28707006.000000
474489.000000, 11.000000, 1760.000000, 0, 0, 0, 0, 65798, 65248, 0, 0, 0, 5888, 0, 158.285538, 136.432846, 29181487.000000
855979.000000, 10.000000, 331.000000, 0, 0, 0, 0, 65798, 65388, 0, 0, 0, 1008, 0, 292.699127, 206.949280, 30037458.000000
839185.000000, 11.000000, 527.000000, 0, 0, 0, 0, 65798, 65412, 0, 0, 0, 1655, 0, 266.234283, 175.126709, 30876637.000000
651073.000000, 10.000000, 595.000000, 0, 0, 0, 0, 65798, 65349, 0, 0, 0, 1906, 0, 255.874969, 155.385559, 31527703.000000
339731.000000, 10.000000, 713.000000, 0, 0, 0, 0, 65798, 65112, 0, 0, 0, 2488, 0, 163.979263, 109.062469, 31867428.000000
602304.000000, 11.000000, 376.000000, 0, 0, 0, 0, 65798, 65331, 0, 0, 0, 1111, 0, 213.838638, 107.266907, 32469724.000000
773746.000000, 9.000000, 1375.000000, 0, 0, 0, 0, 65798, 65378, 0, 0, 0, 4751, 0, 246.560791, 167.964554, 33243464.000000
699441.000000, 14.000000, 444.000000, 0, 0, 0, 0, 65798, 65375, 0, 0, 0, 1308, 0, 254.191071, 176.333313, 33942896.000000
912190.000000, 11.000000, 249.000000, 0, 0, 0, 0, 65798, 65406, 0, 0, 0, 719, 0, 286.908234, 192.752548, 34855079.000000
843374.000000, 10.000000, 469.000000, 0, 0, 0, 0, 65798, 65361, 0, 0, 0, 1538, 0, 288.904846, 209.436691, 35698447.000000
720599.000000, 10.000000, 289.000000, 0, 0, 0, 0, 65798, 65359, 0, 0, 0, 882, 0, 286.923309, 125.747101, 36419039.000000
908555.000000, 10.000000, 378.000000, 0, 0, 0, 0, 65798, 65431, 0, 0, 0, 1136, 0, 274.401978, 209.595276, 37327588.000000
671591.000000, 10.000000, 245.000000, 0, 0, 0, 0, 65798, 65355, 0, 0, 0, 677, 0, 307.633972, 115.334541, 37999172.000000
821301.000000, 19.000000, 491.000000, 0, 0, 0, 0, 65798, 65384, 0, 0, 0, 679, 0, 313.327698, 186.990875, 38820462.000000
443148.000000, 13.000000, 1740.000000, 0, 0, 0, 0, 65798, 65253, 0, 0, 0, 5318, 0, 164.294312, 136.315247, 39263601.000000
991684.000000, 12.000000, 311.000000, 0, 0, 0, 0, 65798, 65417, 0, 0, 0, 912, 0, 307.803040, 224.671646, 40255277.000000
877338.000000, 9.000000, 398.000000, 0, 0, 0, 0, 65798, 65413, 0, 0, 0, 1228, 0, 280.244446, 180.247025, 41132609.000000
355384.000000, 10.000000, 365.000000, 0, 0, 0, 0, 65798, 65111, 0, 0, 0, 1070, 0, 255.262268, 118.555534, 41487986.000000
605921.000000, 13.000000, 547.000000, 0, 0, 0, 0, 65798, 65331, 0, 0, 0, 1795, 0, 171.566788, 138.261139, 42093898.000000
790579.000000, 20.000000, 496.000000, 0, 0, 0, 0, 65798, 65380, 0, 0, 0, 699, 0, 240.942657, 188.258453, 42884466.000000
830075.000000, 10.000000, 582.000000, 0, 0, 0, 0, 65798, 65373, 0, 0, 0, 1838, 0, 280.912170, 187.001083, 43714535.000000
528058.000000, 11.000000, 245.000000, 0, 0, 0, 0, 65798, 65284, 0, 0, 0, 698, 0, 281.248535, 114.894852, 44242585.000000
1041252.000000, 11.000000, 348.000000, 0, 0, 0, 0, 65798, 65413, 0, 0, 0, 994, 0, 308.627075, 221.502945, 45283829.000000
351182.000000, 18.000000, 724.000000, 0, 0, 0, 0, 65798, 65157, 0, 0, 0, 1021, 0, 256.132141, 107.997253, 45635000.000000
521373.000000, 11.000000, 770.000000, 0, 0, 0, 0, 65798, 65268, 0, 0, 0, 2362, 0, 258.458130, 123.035782, 46156365.000000
