querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5749.000000, 12.000000, 89.000000, 0, 0, 0, 0, 65676, 2, 0, 0, 0, 427, 0, 0.000000, 0.000000, 5741.000000
5391.000000, 9.000000, 349.000000, 0, 0, 0, 0, 65676, 3, 0, 0, 0, 2273, 0, 0.011769, 0.011769, 11126.000000
4986.000000, 9.000000, 202.000000, 0, 0, 0, 0, 65676, 3, 0, 0, 0, 2273, 0, 0.047113, 0.047113, 16106.000000
4667.000000, 6.000000, 97.000000, 0, 0, 0, 0, 65676, 3, 0, 0, 0, 2273, 0, 0.106084, 0.106084, 20769.000000
4093.000000, 8.000000, 106.000000, 0, 0, 0, 0, 65676, 3, 0, 0, 0, 2273, 0, 0.188722, 0.188722, 24857.000000
4074.000000, 9.000000, 99.000000, 0, 0, 0, 0, 65676, 6, 0, 0, 0, 2273, 0, 0.295057, 0.295057, 28926.000000
3280.000000, 6.000000, 82.000000, 0, 0, 0, 0, 65676, 9, 0, 0, 0, 2273, 0, 0.425111, 0.425111, 32202.000000
3273.000000, 6.000000, 76.000000, 0, 0, 0, 0, 65676, 17, 0, 0, 0, 2273, 0, 0.578896, 0.578896, 35472.000000
3378.000000, 5.000000, 65.000000, 0, 0, 0, 0, 65676, 28, 0, 0, 0, 2273, 0, 0.756411, 0.756411, 38847.000000
3098.000000, 19.000000, 82.000000, 0, 0, 0, 0, 65676, 50, 0, 0, 0, 2273, 0, 0.957650, 0.957650, 41931.000000
3085.000000, 23.000000, 92.000000, 0, 0, 0, 0, 65676, 78, 0, 0, 0, 2273, 0, 1.182593, 1.182593, 45011.000000
3567.000000, 8.000000, 88.000000, 0, 0, 0, 0, 65676, 120, 0, 0, 0, 2273, 0, 1.431213, 1.431213, 48573.000000
3086.000000, 12.000000, 98.000000, 0, 0, 0, 0, 65676, 159, 0, 0, 0, 2273, 0, 1.703470, 1.703470, 51654.000000
3310.000000, 9.000000, 87.000000, 0, 0, 0, 0, 65676, 217, 0, 0, 0, 2273, 0, 1.999317, 1.999317, 54959.000000
3380.000000, 8.000000, 96.000000, 0, 0, 0, 0, 65676, 292, 0, 0, 0, 2273, 0, 2.318696, 2.318696, 58334.000000
3614.000000, 8.000000, 110.000000, 0, 0, 0, 0, 65676, 397, 0, 0, 0, 2273, 0, 2.661540, 2.661540, 61943.000000
3709.000000, 14.000000, 129.000000, 0, 0, 0, 0, 65676, 553, 0, 0, 0, 2273, 0, 3.027771, 3.027771, 65644.000000
3958.000000, 10.000000, 131.000000, 0, 0, 0, 0, 65676, 735, 0, 0, 0, 2273, 0, 3.417302, 3.417302, 69596.000000
4228.000000, 11.000000, 141.000000, 0, 0, 0, 0, 65676, 955, 0, 0, 0, 2273, 0, 3.830037, 3.830037, 73817.000000
4638.000000, 10.000000, 150.000000, 0, 0, 0, 0, 65676, 1194, 0, 0, 0, 2273, 0, 4.265870, 4.265870, 78448.000000
4961.000000, 11.000000, 158.000000, 0, 0, 0, 0, 65676, 1484, 0, 0, 0, 2273, 0, 4.724687, 4.724687, 83402.000000
5664.000000, 11.000000, 158.000000, 0, 0, 0, 0, 65676, 1800, 0, 0, 0, 2273, 0, 5.206360, 5.206360, 89059.000000
5897.000000, 10.000000, 166.000000, 0, 0, 0, 0, 65676, 2163, 0, 0, 0, 2273, 0, 5.710759, 5.710759, 94949.000000
6492.000000, 11.000000, 161.000000, 0, 0, 0, 0, 65676, 2520, 0, 0, 0, 2273, 0, 6.237741, 6.237741, 101433.000000
6901.000000, 11.000000, 179.000000, 0, 0, 0, 0, 65676, 2876, 0, 0, 0, 2273, 0, 6.787153, 6.787153, 108327.000000
7330.000000, 11.000000, 178.000000, 0, 0, 0, 0, 65676, 3200, 0, 0, 0, 2273, 0, 7.358836, 7.358836, 115649.000000
7827.000000, 12.000000, 185.000000, 0, 0, 0, 0, 65676, 3502, 0, 0, 0, 2273, 0, 7.952621, 7.952621, 123468.000000
8254.000000, 11.000000, 185.000000, 0, 0, 0, 0, 65676, 3781, 0, 0, 0, 2273, 0, 8.568335, 8.568335, 131715.000000
8725.000000, 12.000000, 196.000000, 0, 0, 0, 0, 65676, 4014, 0, 0, 0, 2273, 0, 9.205786, 9.205786, 140432.000000
9136.000000, 12.000000, 197.000000, 0, 0, 0, 0, 65676, 4265, 0, 0, 0, 2273, 0, 9.864790, 9.864790, 149560.000000
9727.000000, 12.000000, 195.000000, 0, 0, 0, 0, 65676, 4529, 0, 0, 0, 2273, 0, 10.545137, 10.545137, 159278.000000
10370.000000, 12.000000, 195.000000, 0, 0, 0, 0, 65676, 4929, 0, 0, 0, 2273, 0, 11.246633, 11.246633, 169639.000000
11360.000000, 12.000000, 196.000000, 0, 0, 0, 0, 65676, 5382, 0, 0, 0, 2273, 0, 11.969043, 11.969043, 180990.000000
12702.000000, 13.000000, 221.000000, 0, 0, 0, 0, 65676, 5948, 0, 0, 0, 2273, 0, 12.712160, 12.712160, 193683.000000
13743.000000, 11.000000, 203.000000, 0, 0, 0, 0, 65676, 6645, 0, 0, 0, 2273, 0, 13.475749, 13.475749, 207418.000000
15406.000000, 12.000000, 209.000000, 0, 0, 0, 0, 65676, 7378, 0, 0, 0, 2273, 0, 14.259572, 14.259572, 222816.000000
17149.000000, 12.000000, 207.000000, 0, 0, 0, 0, 65676, 8332, 0, 0, 0, 2273, 0, 15.063391, 15.063391, 239956.000000
19140.000000, 12.000000, 211.000000, 0, 0, 0, 0, 65676, 9468, 0, 0, 0, 2273, 0, 15.886956, 15.886956, 259088.000000
21564.000000, 12.000000, 213.000000, 0, 0, 0, 0, 65676, 10858, 0, 0, 0, 2273, 0, 16.730011, 16.730011, 280644.000000
24900.000000, 11.000000, 229.000000, 0, 0, 0, 0, 65676, 12471, 0, 0, 0, 2273, 0, 17.592297, 17.592297, 305536.000000
27785.000000, 13.000000, 215.000000, 0, 0, 0, 0, 65676, 14272, 0, 0, 0, 2273, 0, 18.473545, 18.473545, 333312.000000
30755.000000, 12.000000, 219.000000, 0, 0, 0, 0, 65676, 16130, 0, 0, 0, 2273, 0, 19.373489, 19.373489, 364059.000000
33962.000000, 11.000000, 216.000000, 0, 0, 0, 0, 65676, 17784, 0, 0, 0, 2273, 0, 20.291847, 20.291847, 398013.000000
36707.000000, 11.000000, 222.000000, 0, 0, 0, 0, 65676, 19195, 0, 0, 0, 2273, 0, 21.228342, 21.228342, 434712.000000
42168.000000, 12.000000, 230.000000, 0, 0, 0, 0, 65676, 20460, 0, 0, 0, 2273, 0, 22.182688, 22.182688, 476871.000000
45698.000000, 11.000000, 253.000000, 0, 0, 0, 0, 65676, 21852, 0, 0, 0, 2273, 0, 23.154602, 23.154602, 522561.000000
