querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
389792.000000, 7.000000, 1241.000000, 0, 0, 0, 0, 67116, 65815, 0, 0, 0, 3265, 0, 54.249866, 45.758892, 389788.000000
194148.000000, 22.000000, 1614.000000, 0, 0, 0, 0, 67116, 53322, 0, 0, 0, 5602, 0, 38.449734, 31.651720, 583927.000000
158363.000000, 10.000000, 745.000000, 0, 0, 0, 0, 67116, 55717, 0, 0, 0, 3041, 0, 29.769848, 27.509565, 742285.000000
148156.000000, 11.000000, 2548.000000, 0, 0, 0, 0, 67116, 35234, 0, 0, 0, 11324, 0, 34.290520, 23.646791, 890436.000000
4892.000000, 9.000000, 864.000000, 0, 0, 0, 0, 67116, 184, 0, 0, 0, 9517, 0, 1.062729, 1.062729, 895323.000000
278143.000000, 7.000000, 116.000000, 0, 0, 0, 0, 67116, 65819, 0, 0, 0, 308, 0, 50.353725, 38.349384, 1173460.000000
186011.000000, 12.000000, 92.000000, 0, 0, 0, 0, 67116, 59899, 0, 0, 0, 369, 0, 28.215652, 26.243298, 1359465.000000
30158.000000, 17.000000, 4150.000000, 0, 0, 0, 0, 67116, 4731, 0, 0, 0, 19759, 0, 11.247233, 9.777862, 1389611.000000
9921.000000, 12.000000, 1151.000000, 0, 0, 0, 0, 67116, 1549, 0, 0, 0, 7965, 0, 5.602266, 5.602266, 1399527.000000
133008.000000, 9.000000, 387.000000, 0, 0, 0, 0, 67116, 36830, 0, 0, 0, 2259, 0, 24.724426, 24.724426, 1532530.000000
70989.000000, 9.000000, 1976.000000, 0, 0, 0, 0, 67116, 22930, 0, 0, 0, 9269, 0, 37.315392, 17.586506, 1603514.000000
246363.000000, 11.000000, 509.000000, 0, 0, 0, 0, 67116, 64072, 0, 0, 0, 1918, 0, 36.683971, 29.762901, 1849872.000000
118316.000000, 12.000000, 77.000000, 0, 0, 0, 0, 67116, 42460, 0, 0, 0, 250, 0, 26.692078, 19.024351, 1968182.000000
259859.000000, 12.000000, 305.000000, 0, 0, 0, 0, 67116, 65691, 0, 0, 0, 1055, 0, 59.466648, 38.455406, 2228036.000000
277381.000000, 11.000000, 1508.000000, 0, 0, 0, 0, 67116, 65518, 0, 0, 0, 7141, 0, 53.995365, 40.038719, 2505411.000000
275737.000000, 13.000000, 222.000000, 0, 0, 0, 0, 67116, 65704, 0, 0, 0, 846, 0, 48.589409, 41.392410, 2781142.000000
311253.000000, 12.000000, 485.000000, 0, 0, 0, 0, 67116, 65803, 0, 0, 0, 2081, 0, 56.395863, 42.017906, 3092389.000000
184720.000000, 12.000000, 845.000000, 0, 0, 0, 0, 67116, 53637, 0, 0, 0, 3594, 0, 39.597080, 35.950954, 3277103.000000
69210.000000, 9.000000, 1098.000000, 0, 0, 0, 0, 67116, 25839, 0, 0, 0, 4208, 0, 14.669341, 12.127181, 3346306.000000
379479.000000, 9.000000, 776.000000, 0, 0, 0, 0, 67116, 65862, 0, 0, 0, 2967, 0, 42.535545, 42.290161, 3725780.000000
317977.000000, 8.000000, 257.000000, 0, 0, 0, 0, 67116, 65796, 0, 0, 0, 1079, 0, 47.203018, 41.540337, 4043752.000000
