querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5057.000000, 9.000000, 128.000000, 0, 0, 0, 0, 67010, 2, 0, 0, 0, 742, 0, 0.000000, 0.000000, 5051.000000
7585.000000, 9.000000, 1193.000000, 0, 0, 0, 0, 67010, 5, 0, 0, 0, 8069, 0, 0.003883, 0.003883, 12630.000000
6877.000000, 11.000000, 628.000000, 0, 0, 0, 0, 67010, 5, 0, 0, 0, 8069, 0, 0.015523, 0.015523, 19501.000000
5426.000000, 7.000000, 373.000000, 0, 0, 0, 0, 67010, 9, 0, 0, 0, 8069, 0, 0.034906, 0.034906, 24923.000000
5162.000000, 7.000000, 394.000000, 0, 0, 0, 0, 67010, 15, 0, 0, 0, 8069, 0, 0.062013, 0.062013, 30081.000000
4152.000000, 4.000000, 289.000000, 0, 0, 0, 0, 67010, 21, 0, 0, 0, 8069, 0, 0.096824, 0.096824, 34230.000000
4198.000000, 11.000000, 298.000000, 0, 0, 0, 0, 67010, 30, 0, 0, 0, 8069, 0, 0.139316, 0.139316, 38424.000000
3700.000000, 6.000000, 301.000000, 0, 0, 0, 0, 67010, 52, 0, 0, 0, 8069, 0, 0.189462, 0.189462, 42120.000000
3667.000000, 5.000000, 275.000000, 0, 0, 0, 0, 67010, 68, 0, 0, 0, 8069, 0, 0.247234, 0.247234, 45784.000000
3800.000000, 7.000000, 328.000000, 0, 0, 0, 0, 67010, 92, 0, 0, 0, 8069, 0, 0.312600, 0.312600, 49580.000000
3424.000000, 8.000000, 355.000000, 0, 0, 0, 0, 67010, 110, 0, 0, 0, 8069, 0, 0.385527, 0.385527, 53000.000000
3296.000000, 7.000000, 321.000000, 0, 0, 0, 0, 67010, 125, 0, 0, 0, 8069, 0, 0.465978, 0.465978, 56292.000000
3308.000000, 8.000000, 320.000000, 0, 0, 0, 0, 67010, 147, 0, 0, 0, 8069, 0, 0.553913, 0.553913, 59594.000000
3499.000000, 9.000000, 343.000000, 0, 0, 0, 0, 67010, 195, 0, 0, 0, 8069, 0, 0.649291, 0.649291, 63087.000000
4119.000000, 8.000000, 369.000000, 0, 0, 0, 0, 67010, 311, 0, 0, 0, 8069, 0, 0.752068, 0.752068, 67200.000000
4745.000000, 9.000000, 466.000000, 0, 0, 0, 0, 67010, 496, 0, 0, 0, 8069, 0, 0.862197, 0.862197, 71939.000000
5128.000000, 14.000000, 511.000000, 0, 0, 0, 0, 67010, 686, 0, 0, 0, 8069, 0, 0.979630, 0.979630, 77061.000000
5572.000000, 9.000000, 499.000000, 0, 0, 0, 0, 67010, 902, 0, 0, 0, 8069, 0, 1.104315, 1.104315, 82627.000000
6648.000000, 10.000000, 497.000000, 0, 0, 0, 0, 67010, 1183, 0, 0, 0, 8069, 0, 1.236198, 1.236198, 89268.000000
7753.000000, 10.000000, 508.000000, 0, 0, 0, 0, 67010, 1638, 0, 0, 0, 8069, 0, 1.375224, 1.375224, 97014.000000
