querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
5448.000000, 12.000000, 312.000000, 0, 0, 0, 0, 67762, 2, 0, 0, 0, 834, 0, 0.000000, 0.000000, 5440.000000
10452.000000, 12.000000, 4503.000000, 0, 0, 0, 0, 67762, 2, 0, 0, 0, 12766, 0, 0.003883, 0.003883, 15885.000000
7120.000000, 8.000000, 932.000000, 0, 0, 0, 0, 67762, 3, 0, 0, 0, 12766, 0, 0.015523, 0.015523, 23000.000000
6203.000000, 7.000000, 815.000000, 0, 0, 0, 0, 67762, 6, 0, 0, 0, 12766, 0, 0.034906, 0.034906, 29199.000000
5490.000000, 6.000000, 641.000000, 0, 0, 0, 0, 67762, 11, 0, 0, 0, 12766, 0, 0.062013, 0.062013, 34686.000000
5661.000000, 9.000000, 701.000000, 0, 0, 0, 0, 67762, 21, 0, 0, 0, 12766, 0, 0.096824, 0.096824, 40342.000000
5260.000000, 7.000000, 516.000000, 0, 0, 0, 0, 67762, 33, 0, 0, 0, 12766, 0, 0.139316, 0.139316, 45598.000000
5108.000000, 6.000000, 485.000000, 0, 0, 0, 0, 67762, 46, 0, 0, 0, 12766, 0, 0.189462, 0.189462, 50702.000000
4957.000000, 8.000000, 603.000000, 0, 0, 0, 0, 67762, 78, 0, 0, 0, 12766, 0, 0.247234, 0.247234, 55654.000000
4857.000000, 10.000000, 592.000000, 0, 0, 0, 0, 67762, 120, 0, 0, 0, 12766, 0, 0.312600, 0.312600, 60505.000000
4501.000000, 8.000000, 515.000000, 0, 0, 0, 0, 67762, 200, 0, 0, 0, 12766, 0, 0.385527, 0.385527, 65000.000000
5033.000000, 8.000000, 613.000000, 0, 0, 0, 0, 67762, 316, 0, 0, 0, 12766, 0, 0.465978, 0.465978, 70028.000000
5347.000000, 9.000000, 658.000000, 0, 0, 0, 0, 67762, 502, 0, 0, 0, 12766, 0, 0.553913, 0.553913, 75370.000000
6034.000000, 14.000000, 734.000000, 0, 0, 0, 0, 67762, 775, 0, 0, 0, 12766, 0, 0.649291, 0.649291, 81397.000000
7107.000000, 13.000000, 752.000000, 0, 0, 0, 0, 67762, 1184, 0, 0, 0, 12766, 0, 0.752068, 0.752068, 88498.000000
8080.000000, 13.000000, 789.000000, 0, 0, 0, 0, 67762, 1755, 0, 0, 0, 12766, 0, 0.862197, 0.862197, 96571.000000
9798.000000, 11.000000, 792.000000, 0, 0, 0, 0, 67762, 2522, 0, 0, 0, 12766, 0, 0.979630, 0.979630, 106362.000000
