querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
683013.000000, 13.000000, 227.000000, 0, 0, 0, 0, 67556, 66218, 0, 0, 0, 353, 0, 255.981613, 160.474442, 683004.000000
899074.000000, 19.000000, 200.000000, 0, 0, 0, 0, 67556, 66269, 0, 0, 0, 224, 0, 255.986572, 140.199997, 1582066.000000
25233.000000, 19.000000, 786.000000, 0, 0, 0, 0, 67556, 15706, 0, 0, 0, 1496, 0, 151.262726, 8.134409, 1607287.000000
26855.000000, 16.000000, 3935.000000, 0, 0, 0, 0, 67556, 5202, 0, 0, 0, 12711, 0, 121.257591, 6.328071, 1634132.000000
101407.000000, 18.000000, 285.000000, 0, 0, 0, 0, 67556, 56130, 0, 0, 0, 350, 0, 225.397141, 107.638672, 1735527.000000
37191.000000, 12.000000, 2102.000000, 0, 0, 0, 0, 67556, 15368, 0, 0, 0, 5817, 0, 255.991623, 29.842976, 1772711.000000
39638.000000, 14.000000, 978.000000, 0, 0, 0, 0, 67556, 15067, 0, 0, 0, 1949, 0, 255.992691, 11.716393, 1812341.000000
18053.000000, 15.000000, 1217.000000, 0, 0, 0, 0, 67556, 3250, 0, 0, 0, 11276, 0, 11.917797, 9.954462, 1830384.000000
98175.000000, 17.000000, 214.000000, 0, 0, 0, 0, 67556, 59668, 0, 0, 0, 387, 0, 255.980164, 64.074570, 1928552.000000
32934.000000, 10.000000, 3435.000000, 0, 0, 0, 0, 67556, 8200, 0, 0, 0, 8732, 0, 255.970139, 10.271839, 1961478.000000
25657.000000, 13.000000, 990.000000, 0, 0, 0, 0, 67556, 9261, 0, 0, 0, 1792, 0, 159.235504, 25.018688, 1987126.000000
51286.000000, 16.000000, 169.000000, 0, 0, 0, 0, 67556, 32092, 0, 0, 0, 153, 0, 255.997223, 102.369072, 2038402.000000
