querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
221060.000000, 10.000000, 61.000000, 0, 0, 0, 0, 65584, 64683, 0, 0, 0, 40, 0, 255.980423, 158.258011, 221052.000000
192233.000000, 11.000000, 59.000000, 0, 0, 0, 0, 65584, 64644, 0, 0, 0, 59, 0, 255.985626, 181.711288, 413277.000000
17616.000000, 12.000000, 46.000000, 0, 0, 0, 0, 65584, 15343, 0, 0, 0, 57, 0, 255.997528, 85.829346, 430885.000000
25529.000000, 9.000000, 38.000000, 0, 0, 0, 0, 65584, 34780, 0, 0, 0, 49, 0, 255.997253, 101.962402, 456408.000000
28637.000000, 8.000000, 39.000000, 0, 0, 0, 0, 65584, 44119, 0, 0, 0, 41, 0, 255.993500, 147.802338, 485041.000000
196780.000000, 12.000000, 1215.000000, 0, 0, 0, 0, 65584, 64568, 0, 0, 0, 2401, 0, 192.978836, 183.378067, 681815.000000
21132.000000, 12.000000, 61.000000, 0, 0, 0, 0, 65584, 24817, 0, 0, 0, 53, 0, 255.997665, 91.945007, 702939.000000
27039.000000, 9.000000, 40.000000, 0, 0, 0, 0, 65584, 40949, 0, 0, 0, 62, 0, 255.998138, 135.380249, 729972.000000
20499.000000, 8.000000, 109.000000, 0, 0, 0, 0, 65584, 25924, 0, 0, 0, 186, 0, 153.839615, 93.383339, 750466.000000
27596.000000, 23.000000, 106.000000, 0, 0, 0, 0, 65584, 43319, 0, 0, 0, 127, 0, 255.994766, 143.090027, 778055.000000
14397.000000, 14.000000, 35.000000, 0, 0, 0, 0, 65584, 4850, 0, 0, 0, 42, 0, 255.972382, 53.414455, 792444.000000
9529.000000, 8.000000, 111.000000, 0, 0, 0, 0, 65584, 8479, 0, 0, 0, 198, 0, 84.099495, 44.603924, 801968.000000
32553.000000, 8.000000, 51.000000, 0, 0, 0, 0, 65584, 50388, 0, 0, 0, 54, 0, 255.984802, 146.280670, 834515.000000
27508.000000, 14.000000, 92.000000, 0, 0, 0, 0, 65584, 36670, 0, 0, 0, 133, 0, 255.993576, 116.066116, 862014.000000
21063.000000, 14.000000, 26.000000, 0, 0, 0, 0, 65584, 23514, 0, 0, 0, 25, 0, 255.996628, 92.917755, 883067.000000
20795.000000, 15.000000, 31.000000, 0, 0, 0, 0, 65584, 26456, 0, 0, 0, 22, 0, 255.990234, 111.920464, 903852.000000
211231.000000, 11.000000, 40.000000, 0, 0, 0, 0, 65584, 64745, 0, 0, 0, 37, 0, 255.998688, 194.605789, 1115074.000000
24637.000000, 11.000000, 52.000000, 0, 0, 0, 0, 65584, 32131, 0, 0, 0, 32, 0, 172.614243, 111.665497, 1139704.000000
22045.000000, 18.000000, 47.000000, 0, 0, 0, 0, 65584, 26315, 0, 0, 0, 34, 0, 255.995422, 100.937386, 1161741.000000
30684.000000, 17.000000, 1247.000000, 0, 0, 0, 0, 65584, 45216, 0, 0, 0, 2942, 0, 111.275978, 100.603912, 1192416.000000
16944.000000, 11.000000, 24.000000, 0, 0, 0, 0, 65584, 12423, 0, 0, 0, 31, 0, 255.980865, 66.711548, 1209353.000000
12873.000000, 8.000000, 139.000000, 0, 0, 0, 0, 65584, 14512, 0, 0, 0, 279, 0, 94.855026, 80.351357, 1222220.000000
30023.000000, 9.000000, 43.000000, 0, 0, 0, 0, 65584, 45136, 0, 0, 0, 62, 0, 255.998016, 147.360214, 1252237.000000
19683.000000, 13.000000, 26.000000, 0, 0, 0, 0, 65584, 24898, 0, 0, 0, 23, 0, 255.998428, 91.316200, 1271912.000000
12791.000000, 24.000000, 79.000000, 0, 0, 0, 0, 65584, 10914, 0, 0, 0, 90, 0, 184.925797, 52.865437, 1284693.000000
16674.000000, 12.000000, 177.000000, 0, 0, 0, 0, 65584, 10925, 0, 0, 0, 273, 0, 255.986923, 34.020420, 1301361.000000
17330.000000, 12.000000, 125.000000, 0, 0, 0, 0, 65584, 11022, 0, 0, 0, 273, 0, 255.987350, 31.527184, 1318684.000000
17646.000000, 12.000000, 15.000000, 0, 0, 0, 0, 65584, 14246, 0, 0, 0, 18, 0, 255.995728, 75.281052, 1336323.000000
19158.000000, 11.000000, 95.000000, 0, 0, 0, 0, 65584, 16814, 0, 0, 0, 111, 0, 255.991486, 81.051620, 1355474.000000
22880.000000, 15.000000, 48.000000, 0, 0, 0, 0, 65584, 33433, 0, 0, 0, 54, 0, 255.995850, 127.326126, 1378346.000000
16671.000000, 14.000000, 317.000000, 0, 0, 0, 0, 65584, 12918, 0, 0, 0, 512, 0, 255.962799, 63.163536, 1395010.000000
22324.000000, 12.000000, 50.000000, 0, 0, 0, 0, 65584, 29400, 0, 0, 0, 60, 0, 255.984161, 113.241669, 1417327.000000
8772.000000, 14.000000, 231.000000, 0, 0, 0, 0, 65584, 7342, 0, 0, 0, 360, 0, 78.438484, 68.065422, 1426090.000000
29142.000000, 6.000000, 8.000000, 0, 0, 0, 0, 65584, 45409, 0, 0, 0, 13, 0, 255.989349, 144.007919, 1455228.000000
35104.000000, 8.000000, 32.000000, 0, 0, 0, 0, 65584, 53331, 0, 0, 0, 54, 0, 255.990738, 114.220673, 1490327.000000
24799.000000, 12.000000, 53.000000, 0, 0, 0, 0, 65584, 35096, 0, 0, 0, 44, 0, 255.981598, 132.838913, 1515118.000000
30031.000000, 23.000000, 133.000000, 0, 0, 0, 0, 65584, 46904, 0, 0, 0, 202, 0, 204.782150, 147.053467, 1545141.000000
16500.000000, 15.000000, 137.000000, 0, 0, 0, 0, 65584, 12984, 0, 0, 0, 163, 0, 186.905060, 76.447426, 1561632.000000
16782.000000, 13.000000, 107.000000, 0, 0, 0, 0, 65584, 8821, 0, 0, 0, 140, 0, 255.981873, 70.421349, 1578407.000000
16070.000000, 11.000000, 483.000000, 0, 0, 0, 0, 65584, 5710, 0, 0, 0, 852, 0, 255.992645, 21.959927, 1594470.000000
33580.000000, 13.000000, 18.000000, 0, 0, 0, 0, 65584, 53497, 0, 0, 0, 17, 0, 255.996124, 161.175446, 1628042.000000
13839.000000, 14.000000, 525.000000, 0, 0, 0, 0, 65584, 14294, 0, 0, 0, 994, 0, 91.208389, 75.852371, 1641871.000000
21640.000000, 31.000000, 80.000000, 0, 0, 0, 0, 65584, 20379, 0, 0, 0, 88, 0, 255.997604, 41.097660, 1663485.000000
27604.000000, 11.000000, 51.000000, 0, 0, 0, 0, 65584, 36234, 0, 0, 0, 65, 0, 255.983536, 125.284981, 1691083.000000
21275.000000, 15.000000, 22.000000, 0, 0, 0, 0, 65584, 28959, 0, 0, 0, 21, 0, 255.997391, 117.264275, 1712348.000000
33103.000000, 15.000000, 125.000000, 0, 0, 0, 0, 65584, 46967, 0, 0, 0, 181, 0, 255.994461, 131.785400, 1745440.000000
19040.000000, 14.000000, 165.000000, 0, 0, 0, 0, 65584, 13981, 0, 0, 0, 270, 0, 255.995392, 59.948273, 1764470.000000
8671.000000, 12.000000, 1025.000000, 0, 0, 0, 0, 65584, 5733, 0, 0, 0, 2341, 0, 23.911345, 22.664766, 1773130.000000
204490.000000, 16.000000, 33.000000, 0, 0, 0, 0, 65584, 64716, 0, 0, 0, 35, 0, 255.981628, 148.833740, 1977613.000000
31962.000000, 11.000000, 32.000000, 0, 0, 0, 0, 65584, 50878, 0, 0, 0, 36, 0, 255.997314, 162.269165, 2009568.000000
20036.000000, 12.000000, 34.000000, 0, 0, 0, 0, 65584, 23922, 0, 0, 0, 53, 0, 201.424011, 112.801476, 2029595.000000
15122.000000, 12.000000, 46.000000, 0, 0, 0, 0, 65584, 11184, 0, 0, 0, 42, 0, 220.890533, 71.750328, 2044709.000000
17644.000000, 13.000000, 32.000000, 0, 0, 0, 0, 65584, 17327, 0, 0, 0, 20, 0, 255.993896, 98.650528, 2062345.000000
32401.000000, 13.000000, 67.000000, 0, 0, 0, 0, 65584, 49789, 0, 0, 0, 74, 0, 255.980469, 153.105713, 2094738.000000
18663.000000, 21.000000, 13.000000, 0, 0, 0, 0, 65584, 19495, 0, 0, 0, 10, 0, 255.998077, 109.409790, 2113386.000000
17390.000000, 12.000000, 20.000000, 0, 0, 0, 0, 65584, 12838, 0, 0, 0, 13, 0, 255.986328, 88.899483, 2130769.000000
19585.000000, 13.000000, 43.000000, 0, 0, 0, 0, 65584, 24805, 0, 0, 0, 48, 0, 172.742828, 117.356651, 2150346.000000
27946.000000, 13.000000, 121.000000, 0, 0, 0, 0, 65584, 44988, 0, 0, 0, 178, 0, 212.643463, 126.888107, 2178285.000000
24988.000000, 14.000000, 164.000000, 0, 0, 0, 0, 65584, 39098, 0, 0, 0, 204, 0, 166.895874, 122.851662, 2203264.000000
19412.000000, 10.000000, 83.000000, 0, 0, 0, 0, 65584, 14573, 0, 0, 0, 115, 0, 255.997879, 67.306450, 2222668.000000
14955.000000, 14.000000, 100.000000, 0, 0, 0, 0, 65584, 6954, 0, 0, 0, 139, 0, 168.428482, 68.445503, 2237613.000000
22226.000000, 15.000000, 25.000000, 0, 0, 0, 0, 65584, 27215, 0, 0, 0, 24, 0, 255.991562, 122.627609, 2259828.000000
16594.000000, 15.000000, 91.000000, 0, 0, 0, 0, 65584, 9620, 0, 0, 0, 133, 0, 255.985367, 57.757580, 2276412.000000
35032.000000, 16.000000, 35.000000, 0, 0, 0, 0, 65584, 55118, 0, 0, 0, 44, 0, 255.997040, 164.587082, 2311433.000000
180983.000000, 19.000000, 59.000000, 0, 0, 0, 0, 65584, 64630, 0, 0, 0, 55, 0, 255.982574, 177.359726, 2492402.000000
34840.000000, 16.000000, 161.000000, 0, 0, 0, 0, 65584, 50878, 0, 0, 0, 227, 0, 255.997986, 145.503998, 2527230.000000
24685.000000, 11.000000, 57.000000, 0, 0, 0, 0, 65584, 26151, 0, 0, 0, 97, 0, 255.996872, 68.306519, 2551906.000000
26108.000000, 28.000000, 109.000000, 0, 0, 0, 0, 65584, 40743, 0, 0, 0, 123, 0, 255.997391, 130.172729, 2578001.000000
19830.000000, 21.000000, 83.000000, 0, 0, 0, 0, 65584, 21479, 0, 0, 0, 75, 0, 255.981415, 98.873627, 2597819.000000
24055.000000, 30.000000, 232.000000, 0, 0, 0, 0, 65584, 34343, 0, 0, 0, 332, 0, 255.995178, 93.603302, 2621865.000000
178714.000000, 29.000000, 59.000000, 0, 0, 0, 0, 65584, 64628, 0, 0, 0, 69, 0, 255.997482, 226.853302, 2800571.000000
200620.000000, 22.000000, 51.000000, 0, 0, 0, 0, 65584, 64645, 0, 0, 0, 49, 0, 255.998871, 163.768860, 3001179.000000
16240.000000, 18.000000, 352.000000, 0, 0, 0, 0, 65584, 4851, 0, 0, 0, 536, 0, 255.985626, 36.114483, 3017407.000000
27839.000000, 12.000000, 93.000000, 0, 0, 0, 0, 65584, 43639, 0, 0, 0, 125, 0, 255.977600, 139.803543, 3045238.000000
14651.000000, 14.000000, 115.000000, 0, 0, 0, 0, 65584, 6916, 0, 0, 0, 140, 0, 255.962982, 49.415321, 3059880.000000
19873.000000, 12.000000, 81.000000, 0, 0, 0, 0, 65584, 15182, 0, 0, 0, 63, 0, 255.999344, 23.501236, 3079746.000000
21824.000000, 14.000000, 33.000000, 0, 0, 0, 0, 65584, 29186, 0, 0, 0, 32, 0, 255.987091, 123.406723, 3101563.000000
174564.000000, 18.000000, 270.000000, 0, 0, 0, 0, 65584, 64499, 0, 0, 0, 460, 0, 255.994965, 173.544907, 3276118.000000
23976.000000, 13.000000, 135.000000, 0, 0, 0, 0, 65584, 30797, 0, 0, 0, 261, 0, 255.997986, 110.300056, 3300086.000000
22154.000000, 17.000000, 78.000000, 0, 0, 0, 0, 65584, 24597, 0, 0, 0, 83, 0, 255.997055, 96.349037, 3322230.000000
173562.000000, 16.000000, 55.000000, 0, 0, 0, 0, 65584, 64585, 0, 0, 0, 51, 0, 255.997009, 160.359848, 3495784.000000
15912.000000, 25.000000, 24.000000, 0, 0, 0, 0, 65584, 12339, 0, 0, 0, 21, 0, 255.996872, 77.229454, 3511679.000000
18277.000000, 15.000000, 46.000000, 0, 0, 0, 0, 65584, 18170, 0, 0, 0, 42, 0, 255.989212, 92.268562, 3529948.000000
10098.000000, 9.000000, 359.000000, 0, 0, 0, 0, 65584, 5598, 0, 0, 0, 576, 0, 90.183693, 32.630383, 3540038.000000
17779.000000, 20.000000, 30.000000, 0, 0, 0, 0, 65584, 18680, 0, 0, 0, 24, 0, 255.992615, 92.738129, 3557807.000000
